Lugar de condena;Nacionalidad;Periodo;Total
Total Nacional;Total;2019;412.571
Total Nacional;Total;2018;406.327
Total Nacional;Total;2017;394.301
Total Nacional;Total;2016;365.202
Total Nacional;Total;2015;288.756
Total Nacional;Total;2014;277.956
Total Nacional;Total;2013;275.196
Total Nacional;Española;2019;307.609
Total Nacional;Española;2018;307.924
Total Nacional;Española;2017;303.717
Total Nacional;Española;2016;280.750
Total Nacional;Española;2015;221.857
Total Nacional;Española;2014;213.157
Total Nacional;Española;2013;207.580
Total Nacional;País de la UE28 sin España;2019;33.027
Total Nacional;País de la UE28 sin España;2018;33.517
Total Nacional;País de la UE28 sin España;2017;30.470
Total Nacional;País de la UE28 sin España;2016;28.819
Total Nacional;País de la UE28 sin España;2015;21.936
Total Nacional;País de la UE28 sin España;2014;20.607
Total Nacional;País de la UE28 sin España;2013;20.889
Total Nacional;País de Europa menos UE;2019;7.665
Total Nacional;País de Europa menos UE;2018;5.922
Total Nacional;País de Europa menos UE;2017;4.984
Total Nacional;País de Europa menos UE;2016;4.289
Total Nacional;País de Europa menos UE;2015;3.010
Total Nacional;País de Europa menos UE;2014;2.466
Total Nacional;País de Europa menos UE;2013;2.126
Total Nacional;De Africa;2019;30.198
Total Nacional;De Africa;2018;27.649
Total Nacional;De Africa;2017;25.859
Total Nacional;De Africa;2016;23.575
Total Nacional;De Africa;2015;18.277
Total Nacional;De Africa;2014;17.534
Total Nacional;De Africa;2013;18.152
Total Nacional;De América;2019;30.448
Total Nacional;De América;2018;27.879
Total Nacional;De América;2017;26.009
Total Nacional;De América;2016;24.839
Total Nacional;De América;2015;21.446
Total Nacional;De América;2014;21.997
Total Nacional;De América;2013;23.984
Total Nacional;De Asia;2019;3.583
Total Nacional;De Asia;2018;3.409
Total Nacional;De Asia;2017;3.228
Total Nacional;De Asia;2016;2.879
Total Nacional;De Asia;2015;2.207
Total Nacional;De Asia;2014;2.173
Total Nacional;De Asia;2013;2.153
Total Nacional;De Oceanía;2019;41
Total Nacional;De Oceanía;2018;27
Total Nacional;De Oceanía;2017;34
Total Nacional;De Oceanía;2016;51
Total Nacional;De Oceanía;2015;23
Total Nacional;De Oceanía;2014;22
Total Nacional;De Oceanía;2013;312
02 Albacete;Total;2019;2.486
02 Albacete;Total;2018;2.788
02 Albacete;Total;2017;2.900
02 Albacete;Total;2016;2.712
02 Albacete;Total;2015;2.385
02 Albacete;Total;2014;2.331
02 Albacete;Total;2013;2.279
02 Albacete;Española;2019;2.030
02 Albacete;Española;2018;2.313
02 Albacete;Española;2017;2.350
02 Albacete;Española;2016;2.200
02 Albacete;Española;2015;1.890
02 Albacete;Española;2014;1.871
02 Albacete;Española;2013;1.737
02 Albacete;País de la UE28 sin España;2019;202
02 Albacete;País de la UE28 sin España;2018;206
02 Albacete;País de la UE28 sin España;2017;261
02 Albacete;País de la UE28 sin España;2016;239
02 Albacete;País de la UE28 sin España;2015;180
02 Albacete;País de la UE28 sin España;2014;184
02 Albacete;País de la UE28 sin España;2013;191
02 Albacete;País de Europa menos UE;2019;13
02 Albacete;País de Europa menos UE;2018;18
02 Albacete;País de Europa menos UE;2017;7
02 Albacete;País de Europa menos UE;2016;9
02 Albacete;País de Europa menos UE;2015;16
02 Albacete;País de Europa menos UE;2014;12
02 Albacete;País de Europa menos UE;2013;11
02 Albacete;De Africa;2019;127
02 Albacete;De Africa;2018;106
02 Albacete;De Africa;2017;128
02 Albacete;De Africa;2016;124
02 Albacete;De Africa;2015;103
02 Albacete;De Africa;2014;100
02 Albacete;De Africa;2013;134
02 Albacete;De América;2019;99
02 Albacete;De América;2018;140
02 Albacete;De América;2017;147
02 Albacete;De América;2016;138
02 Albacete;De América;2015;187
02 Albacete;De América;2014;158
02 Albacete;De América;2013;194
02 Albacete;De Asia;2019;15
02 Albacete;De Asia;2018;5
02 Albacete;De Asia;2017;7
02 Albacete;De Asia;2016;2
02 Albacete;De Asia;2015;9
02 Albacete;De Asia;2014;6
02 Albacete;De Asia;2013;10
02 Albacete;De Oceanía;2019;0
02 Albacete;De Oceanía;2018;0
02 Albacete;De Oceanía;2017;0
02 Albacete;De Oceanía;2016;0
02 Albacete;De Oceanía;2015;0
02 Albacete;De Oceanía;2014;0
02 Albacete;De Oceanía;2013;2
03 Alicante/Alacant;Total;2019;22.300
03 Alicante/Alacant;Total;2018;20.666
03 Alicante/Alacant;Total;2017;18.674
03 Alicante/Alacant;Total;2016;16.509
03 Alicante/Alacant;Total;2015;13.483
03 Alicante/Alacant;Total;2014;13.688
03 Alicante/Alacant;Total;2013;12.909
03 Alicante/Alacant;Española;2019;16.151
03 Alicante/Alacant;Española;2018;14.812
03 Alicante/Alacant;Española;2017;13.977
03 Alicante/Alacant;Española;2016;12.134
03 Alicante/Alacant;Española;2015;9.908
03 Alicante/Alacant;Española;2014;10.095
03 Alicante/Alacant;Española;2013;9.294
03 Alicante/Alacant;País de la UE28 sin España;2019;2.481
03 Alicante/Alacant;País de la UE28 sin España;2018;2.422
03 Alicante/Alacant;País de la UE28 sin España;2017;1.906
03 Alicante/Alacant;País de la UE28 sin España;2016;1.868
03 Alicante/Alacant;País de la UE28 sin España;2015;1.477
03 Alicante/Alacant;País de la UE28 sin España;2014;1.511
03 Alicante/Alacant;País de la UE28 sin España;2013;1.464
03 Alicante/Alacant;País de Europa menos UE;2019;715
03 Alicante/Alacant;País de Europa menos UE;2018;632
03 Alicante/Alacant;País de Europa menos UE;2017;503
03 Alicante/Alacant;País de Europa menos UE;2016;419
03 Alicante/Alacant;País de Europa menos UE;2015;308
03 Alicante/Alacant;País de Europa menos UE;2014;290
03 Alicante/Alacant;País de Europa menos UE;2013;264
03 Alicante/Alacant;De Africa;2019;1.316
03 Alicante/Alacant;De Africa;2018;1.267
03 Alicante/Alacant;De Africa;2017;1.043
03 Alicante/Alacant;De Africa;2016;907
03 Alicante/Alacant;De Africa;2015;781
03 Alicante/Alacant;De Africa;2014;684
03 Alicante/Alacant;De Africa;2013;682
03 Alicante/Alacant;De América;2019;1.368
03 Alicante/Alacant;De América;2018;1.300
03 Alicante/Alacant;De América;2017;1.073
03 Alicante/Alacant;De América;2016;1.015
03 Alicante/Alacant;De América;2015;892
03 Alicante/Alacant;De América;2014;1.000
03 Alicante/Alacant;De América;2013;1.116
03 Alicante/Alacant;De Asia;2019;266
03 Alicante/Alacant;De Asia;2018;232
03 Alicante/Alacant;De Asia;2017;172
03 Alicante/Alacant;De Asia;2016;165
03 Alicante/Alacant;De Asia;2015;115
03 Alicante/Alacant;De Asia;2014;108
03 Alicante/Alacant;De Asia;2013;77
03 Alicante/Alacant;De Oceanía;2019;3
03 Alicante/Alacant;De Oceanía;2018;1
03 Alicante/Alacant;De Oceanía;2017;0
03 Alicante/Alacant;De Oceanía;2016;1
03 Alicante/Alacant;De Oceanía;2015;2
03 Alicante/Alacant;De Oceanía;2014;0
03 Alicante/Alacant;De Oceanía;2013;12
04 Almería;Total;2019;6.812
04 Almería;Total;2018;7.234
04 Almería;Total;2017;6.900
04 Almería;Total;2016;6.203
04 Almería;Total;2015;4.944
04 Almería;Total;2014;4.764
04 Almería;Total;2013;4.766
04 Almería;Española;2019;4.542
04 Almería;Española;2018;4.923
04 Almería;Española;2017;4.911
04 Almería;Española;2016;4.312
04 Almería;Española;2015;3.433
04 Almería;Española;2014;3.274
04 Almería;Española;2013;3.154
04 Almería;País de la UE28 sin España;2019;649
04 Almería;País de la UE28 sin España;2018;725
04 Almería;País de la UE28 sin España;2017;630
04 Almería;País de la UE28 sin España;2016;654
04 Almería;País de la UE28 sin España;2015;538
04 Almería;País de la UE28 sin España;2014;517
04 Almería;País de la UE28 sin España;2013;508
04 Almería;País de Europa menos UE;2019;104
04 Almería;País de Europa menos UE;2018;71
04 Almería;País de Europa menos UE;2017;119
04 Almería;País de Europa menos UE;2016;56
04 Almería;País de Europa menos UE;2015;53
04 Almería;País de Europa menos UE;2014;41
04 Almería;País de Europa menos UE;2013;24
04 Almería;De Africa;2019;1.187
04 Almería;De Africa;2018;1.168
04 Almería;De Africa;2017;994
04 Almería;De Africa;2016;924
04 Almería;De Africa;2015;671
04 Almería;De Africa;2014;680
04 Almería;De Africa;2013;773
04 Almería;De América;2019;324
04 Almería;De América;2018;327
04 Almería;De América;2017;221
04 Almería;De América;2016;242
04 Almería;De América;2015;241
04 Almería;De América;2014;236
04 Almería;De América;2013;293
