;;;;;;;;;;;;;
;PARO REGISTRADO SEGÚN SEXO, EDAD Y SECTOR DE ACTIVIDAD ECONÓMICA;;;;;;;;;;;;
;;;;;;;;;;;;;
;ALMERIA;;;;;;;;OCTUBRE 2013;;;;
;MUNICIPIOS;TOTAL;SEXO Y EDAD;;;;;;SECTORES;;;;
;;;HOMBRES;;;MUJERES;;;AGRI- CULTURA;INDUS- TRIA;CONS- TRUCCIÓN;SERVICIOS;SIN EMPLEO ANTERIOR
;;;<25;25 - 44;>=45;<25;25 - 44;>=45;;;;;
;;;;;;;;;;;;;
4001;ABLA;129;10;34;35;7;31;12;10;6;14;88;11
4002;ABRUCENA;73;5;19;20;5;19;5;9;4;19;34;7
4003;ADRA;2,640;106;638;555;134;701;506;375;170;556;1,310;229
4004;ALBANCHEZ;26; ;7;4;2;8;5; ;5;2;16;3
4005;ALBOLODUY;54;4;13;16;5;10;6;2;6;13;28;5
4006;ALBOX;1,019;53;242;221;67;297;139;55;99;190;574;101
4007;ALCOLEA;74;2;15;28;8;16;5;8;2;19;40;5
4008;ALCONTAR;27; ;7;8; ;5;7; ;3;9;13;2
4009;ALCUDIA DE MONTEAGUD;4; ; ;3; ; ;1; ; ; ;3;1
4010;ALHABIA;101;5;29;25;7;23;12;4;17;19;50;11
4011;ALHAMA DE ALMERIA;493;44;115;100;37;127;70;38;47;88;255;65
4012;ALICUN;24; ;2;7;2;7;6; ;3;2;18;1
4013;ALMERIA;26,272;1,361;6,247;5,150;1,392;6,921;5,201;1,452;1,248;4,286;15,868;3,418
4014;ALMOCITA;20;2;6;2;2;5;3;1; ;6;12;1
4015;ALSODUX;5; ;2;2; ;1; ; ;1;2;1;1
4016;ANTAS;184;12;37;31;7;57;40;19;6;30;111;18
4017;ARBOLEAS;174;12;53;33;9;44;23;12;14;33;98;17
4018;ARMUÑA DE ALMANZORA;27;1;8;5;1;7;5; ;4;4;16;3
4019;BACARES;17;3;3;2;2;3;4;1;1;5;7;3
4020;BAYARCAL;18;3;7;4;1;2;1; ; ;6;10;2
4021;BAYARQUE;12;1;4;2;1;1;3;2;1;2;4;3
4022;BEDAR;50;3;7;13;1;8;18;1;2;10;30;7
4023;BEIRES;6; ;3;2; ; ;1; ;1;1;3;1
4024;BENAHADUX;567;29;107;119;29;166;117;18;48;97;345;59
4026;BENITAGLA; ; ; ; ; ; ; ; ; ; ; ; 
4027;BENIZALON;18;2;4;6;2;3;1; ; ;6;8;4
4028;BENTARIQUE;35;3;10;8; ;11;3;2; ;7;25;1
4029;BERJA;1,736;92;390;433;104;414;303;294;77;430;812;123
4030;CANJAYAR;149;17;42;37;13;28;12;14;13;30;73;19
4031;CANTORIA;345;21;86;109;13;79;37;22;67;71;156;29
4032;CARBONERAS;839;52;213;184;33;220;137;101;92;143;436;67
4033;CASTRO DE FILABRES;7;1;3;1; ; ;2;2; ;1;4; 
4036;CHERCOS;25;1;10;6; ;7;1; ;7;4;14; 
4037;CHIRIVEL;98;8;29;23;3;26;9;8;9;10;65;6
