;;;;;;;;;;;;;
;PARO REGISTRADO SEGÚN SEXO, EDAD Y SECTOR DE ACTIVIDAD ECONÓMICA;;;;;;;;;;;;
;;;;;;;;;;;;;
;CADIZ;;;;;;;;FEBRERO 2017;;;;
;MUNICIPIOS;TOTAL;SEXO Y EDAD;;;;;;SECTORES;;;;
;;;HOMBRES;;;MUJERES;;;AGRI- CULTURA;INDUS- TRIA;CONS- TRUCCIÓN;SERVICIOS;SIN EMPLEO ANTERIOR
;;;<25;25 - 44;>=45;<25;25 - 44;>=45;;;;;
;;;;;;;;;;;;;
11001;ALCALA DE LOS GAZULES;908;43;188;160;47;260;210;122;36;69;604;77
11002;ALCALA DEL VALLE;354;36;82;120;30;50;36;147;6;30;149;22
11003;ALGAR;190;20;32;24;13;51;50;8;13;23;136;10
11004;ALGECIRAS;15,213;721;2,809;2,777;750;4,262;3,894;280;718;1,533;10,183;2,499
11005;ALGODONALES;596;34;117;147;60;146;92;126;18;30;383;39
11006;ARCOS DE LA FRONTERA;5,462;299;941;1,065;266;1,574;1,317;423;204;790;3,544;501
11007;BARBATE;4,429;223;860;823;229;1,218;1,076;241;377;394;2,890;527
11008;BARRIOS, LOS;2,813;173;480;451;165;841;703;76;188;286;1,875;388
11901;BENALUP-CASAS VIEJAS;1,057;56;175;209;55;280;282;148;28;140;647;94
11009;BENAOCAZ;89;1;15;15;5;22;31; ;9;1;75;4
11010;BORNOS;874;76;183;221;68;224;102;116;32;116;533;77
11011;BOSQUE, EL;280;16;58;58;19;67;62;11;27;18;199;25
11012;CADIZ;14,659;455;3,054;2,982;417;3,963;3,788;102;911;1,112;10,667;1,867
11013;CASTELLAR DE LA FRONTERA;390;19;55;70;23;110;113;26;23;23;282;36
11015;CHICLANA DE LA FRONTERA;12,065;584;2,327;2,294;524;3,399;2,937;138;707;1,806;7,280;2,134
11016;CHIPIONA;3,171;180;631;617;187;863;693;256;105;377;2,087;346
11014;CONIL DE LA FRONTERA;2,708;147;560;525;108;821;547;80;79;269;2,045;235
11017;ESPERA;458;38;105;126;34;111;44;57;10;84;271;36
11018;GASTOR, EL;175;21;30;60;9;36;19;46;3;14;103;9
11019;GRAZALEMA;272;17;45;60;9;64;77;15;12;25;196;24
11020;JEREZ DE LA FRONTERA;31,265;1,291;5,507;6,215;1,167;8,251;8,834;1,163;1,727;3,405;20,491;4,479
11021;JIMENA DE LA FRONTERA;1,098;40;175;232;60;311;280;103;54;96;728;117
11022;LINEA DE LA CONCEPCION, LA;8,916;403;1,705;2,047;412;2,111;2,238;93;718;1,379;5,104;1,622
11023;MEDINA-SIDONIA;1,979;83;345;390;91;588;482;186;81;229;1,277;206
11024;OLVERA;655;46;135;169;53;156;96;115;22;75;384;59
11025;PATERNA DE RIVERA;980;67;193;181;57;299;183;78;50;497;273;82
11026;PRADO DEL REY;913;42;141;207;37;241;245;50;161;52;576;74
11027;PUERTO DE SANTA MARIA, EL;11,198;412;2,102;2,159;394;3,059;3,072;151;582;1,166;7,629;1,670
11028;PUERTO REAL;5,461;244;1,053;970;217;1,655;1,322;111;426;499;3,562;863
11029;PUERTO SERRANO;557;52;136;110;94;125;40;154;17;51;276;59
11030;ROTA;3,569;175;691;629;160;1,080;834;51;485;272;2,382;379
11031;SAN FERNANDO;12,275;517;2,336;2,171;451;3,546;3,254;84;704;1,207;8,065;2,215
11902;SAN JOSE DEL VALLE;604;46;127;124;34;155;118;72;35;77;365;55
11032;SANLUCAR DE BARRAMEDA;10,392;574;1,991;2,053;492;2,689;2,593;1,085;592;1,064;5,981;1,670
11033;SAN ROQUE;3,774;200;807;721;148;1,014;884;59;289;678;2,260;488
11034;SETENIL DE LAS BODEGAS;241;26;43;64;19;56;33;52;3;25;133;28
11035;TARIFA;2,378;138;452;361;117;732;578;35;87;158;1,887;211
11036;TORRE ALHAQUIME;54;4;11;24;4;8;3;20;3;3;28; 
11037;TREBUJENA;881;71;245;179;43;241;102;153;17;90;527;94
11038;UBRIQUE;2,687;94;403;583;88;631;888;38;1,128;123;1,201;197
11039;VEJER DE LA FRONTERA;2,204;121;401;444;111;604;523;98;63;219;1,594;230
11040;VILLALUENGA DEL ROSARIO;40;1;6;11;4;10;8; ;3;1;34;2
11041;VILLAMARTIN;1,932;179;378;440;142;521;272;205;83;216;1,251;177
11042;ZAHARA;156;20;40;42;9;27;18;28;7;61;52;8
;CADIZ;170,372;8,005;32,170;33,330;7,422;46,472;42,973;6,602;10,843;18,783;110,209;23,935
;;;;;;;;;;;;;
