;;;;;;;;;;;;;
;PARO REGISTRADO SEGÚN SEXO, EDAD Y SECTOR DE ACTIVIDAD ECONÓMICA;;;;;;;;;;;;
;;;;;;;;;;;;;
;CORDOBA;;;;;;;;MARZO 2013;;;;
;MUNICIPIOS;TOTAL;SEXO Y EDAD;;;;;;SECTORES;;;;
;;;HOMBRES;;;MUJERES;;;AGRI- CULTURA;INDUS- TRIA;CONS- TRUCCIÓN;SERVICIOS;SIN EMPLEO ANTERIOR
;;;<25;25 - 44;>=45;<25;25 - 44;>=45;;;;;
;;;;;;;;;;;;;
14001;ADAMUZ;386;31;114;83;48;89;21;158;18;42;142;26
14002;AGUILAR DE LA FRONTERA;1,394;134;451;319;153;272;65;292;120;323;511;148
14003;ALCARACEJOS;214;19;42;43;20;40;50;9;8;28;156;13
14004;ALMEDINILLA;195;11;50;35;8;69;22;41;36;29;79;10
14005;ALMODOVAR DEL RIO;1,290;95;363;277;86;306;163;221;80;263;645;81
14006;AÑORA;217;13;43;42;17;53;49;8;25;52;112;20
14007;BAENA;2,095;142;592;462;183;524;192;644;216;287;793;155
14008;BELALCAZAR;523;48;100;76;46;130;123;27;49;83;252;112
14009;BELMEZ;571;49;134;114;40;130;104;20;52;117;268;114
14010;BENAMEJI;402;41;114;101;48;72;26;120;36;70;141;35
14011;BLAZQUEZ, LOS;130;15;21;16;8;36;34;4;10;34;75;7
14012;BUJALANCE;719;74;183;170;76;158;58;251;60;92;240;76
14013;CABRA;2,344;191;599;480;151;586;337;406;378;252;1,066;242
14014;CAÑETE DE LAS TORRES;230;19;64;54;21;48;24;83;16;41;74;16
14015;CARCABUEY;224;23;52;49;17;57;26;39;19;30;119;17
14016;CARDEÑA;165;12;26;38;12;48;29;23;10;26;99;7
14017;CARLOTA, LA;1,740;102;548;362;101;454;173;245;196;324;836;139
14018;CARPIO, EL;691;48;201;151;47;167;77;87;119;104;337;44
14019;CASTRO DEL RIO;675;49;194;140;68;176;48;196;38;116;250;75
14020;CONQUISTA;42;5;7;3;5;11;11;4;1;11;22;4
14021;CORDOBA;49,258;2,809;11,221;9,181;2,567;12,654;10,826;1,617;4,944;6,120;30,065;6,512
14022;DOÑA MENCIA;451;27;119;110;48;110;37;117;93;55;143;43
14023;DOS TORRES;346;30;62;71;19;75;89;20;49;60;191;26
14024;ENCINAS REALES;259;11;77;59;23;59;30;51;41;44;106;17
14025;ESPEJO;197;10;53;56;24;42;12;49;12;41;71;24
14026;ESPIEL;395;36;80;52;24;119;84;37;67;76;175;40
14027;FERNAN-NUÑEZ;1,305;127;380;281;81;325;111;200;106;276;558;165
14028;FUENTE LA LANCHA;70;6;15;12;2;19;16;2;3;35;30; 
14029;FUENTE OBEJUNA;939;79;180;141;66;212;261;60;72;156;511;140
14030;FUENTE PALMERA;1,088;94;329;249;100;246;70;277;148;223;372;68
14031;FUENTE-TOJAR;55;3;18;6;6;16;6;10;6;5;31;3
14032;GRANJUELA, LA;105;10;19;16;9;24;27;2;5;39;51;8
