;;;;;;;;;;;;;
;PARO REGISTRADO SEGÚN SEXO, EDAD Y SECTOR DE ACTIVIDAD ECONÓMICA;;;;;;;;;;;;
;;;;;;;;;;;;;
;HUELVA;;;;;;;;JUNIO 2019;;;;
;MUNICIPIOS;TOTAL;SEXO Y EDAD;;;;;;SECTORES;;;;
;;;HOMBRES;;;MUJERES;;;AGRI- CULTURA;INDUS- TRIA;CONS- TRUCCIÓN;SERVICIOS;SIN EMPLEO ANTERIOR
;;;<25;25 - 44;>=45;<25;25 - 44;>=45;;;;;
;;;;;;;;;;;;;
21001;ALAJAR;110;4;15;32;9;19;31;2;4;6;91;7
21002;ALJARAQUE;1,498;50;182;274;48;460;484;177;72;99;1,053;97
21003;ALMENDRO, EL;63;1;11;15; ;16;20;15;5; ;43; 
21004;ALMONASTER LA REAL;148;9;15;35;7;37;45;12;25;35;61;15
21005;ALMONTE;2,866;104;475;415;94;900;878;2,052;54;137;549;74
21006;ALOSNO;398;19;64;88;20;92;115;75;18;18;268;19
21007;ARACENA;745;29;108;152;23;195;238;31;67;103;478;66
21008;AROCHE;113;4;25;28;8;16;32;22;8;8;69;6
21009;ARROYOMOLINOS DE LEON;116;4;11;21;6;32;42;6;7;9;78;16
21010;AYAMONTE;1,404;53;237;366;55;317;376;275;61;127;845;96
21011;BEAS;314;14;51;86;16;89;58;86;16;23;163;26
21012;BERROCAL;20;1;3;9; ;3;4; ; ;2;18; 
21013;BOLLULLOS PAR DEL CONDADO;767;33;142;204;33;192;163;213;25;97;383;49
21014;BONARES;308;25;70;82;19;60;52;128;16;30;114;20
21015;CABEZAS RUBIAS;57;2;7;11;1;18;18;4;1;1;51; 
21016;CALA;163;8;22;21;10;46;56;9;3;8;125;18
21017;CALAÑAS;403;14;49;104;18;98;120;63;15;30;258;37
21018;CAMPILLO, EL;224;4;40;54;12;41;73;28;9;7;146;34
21019;CAMPOFRIO;73;3;11;11;3;17;28;11;5;4;49;4
21020;CAÑAVERAL DE LEON;26;3;6;5;2;4;6;4;1;4;13;4
21021;CARTAYA;1,237;45;238;274;57;304;319;568;38;79;510;42
21022;CASTAÑO DEL ROBLEDO;32;3;3;14;1;5;6;3;5;2;22; 
21023;CERRO DE ANDEVALO, EL;177;4;24;44;10;43;52;12;9;15;131;10
21030;CHUCENA;122;16;24;28;13;21;20;23;3;13;73;10
21024;CORTECONCEPCION;59;3;14;17; ;10;15;3;8;4;41;3
21025;CORTEGANA;398;16;71;99;17;104;91;32;47;106;183;30
21026;CORTELAZOR;30;1;6;7; ;6;10;1;5;9;13;2
21027;CUMBRES DE ENMEDIO;2; ; ;2; ; ; ; ; ;2; ; 
21028;CUMBRES DE SAN BARTOLOME;26;2;3;3;1;6;11;4;7;1;11;3
21029;CUMBRES MAYORES;165;7;22;40;5;36;55;11;44;17;83;10
21031;ENCINASOLA;83;3;9;23;3;20;25;9;7;16;44;7
21032;ESCACENA DEL CAMPO;108;7;20;18;8;37;18;22;1;9;70;6
