;;;;;;;;;;;;;
;PARO REGISTRADO SEGÚN SEXO, EDAD Y SECTOR DE ACTIVIDAD ECONÓMICA;;;;;;;;;;;;
;;;;;;;;;;;;;
;JAEN;;;;;;;;MAYO 2018;;;;
;MUNICIPIOS;TOTAL;SEXO Y EDAD;;;;;;SECTORES;;;;
;;;HOMBRES;;;MUJERES;;;AGRI- CULTURA;INDUS- TRIA;CONS- TRUCCIÓN;SERVICIOS;SIN EMPLEO ANTERIOR
;;;<25;25 - 44;>=45;<25;25 - 44;>=45;;;;;
;;;;;;;;;;;;;
23001;ALBANCHEZ DE MAGINA;62;8;9;15;1;14;15;21; ; ;37;4
23002;ALCALA LA REAL;1,109;59;154;217;76;385;218;253;91;31;630;104
23003;ALCAUDETE;650;39;113;101;66;221;110;158;78;21;336;57
23004;ALDEAQUEMADA;36;2;5;6;4;6;13;3;3; ;27;3
23005;ANDUJAR;4,122;190;585;716;190;1,149;1,292;777;421;230;2,229;465
23006;ARJONA;254;17;50;49;21;67;50;96;21;13;99;25
23007;ARJONILLA;187;18;38;38;19;49;25;79;3;10;79;16
23008;ARQUILLOS;125;8;19;36;14;24;24;45;4;7;63;6
23905;ARROYO DEL OJANCO;102;4;14;21;7;39;17;35;5;7;54;1
23009;BAEZA;1,203;39;175;208;60;372;349;235;77;56;702;133
23010;BAILEN;2,176;95;292;308;103;627;751;455;198;84;1,062;377
23011;BAÑOS DE LA ENCINA;256;12;30;60;7;67;80;64;10;11;157;14
23012;BEAS DE SEGURA;369;12;53;83;27;96;98;163;3;25;164;14
23902;BEDMAR Y GARCIEZ;153;16;15;38;18;38;28;40;8;12;85;8
23014;BEGIJAR;216;15;33;41;20;64;43;57;15; ;125;19
23015;BELMEZ DE LA MORALEDA;129;6;16;27;6;24;50;33;15;5;67;9
23016;BENATAE;30;1;5;8;1;10;5;11; ;4;15; 
23017;CABRA DEL SANTO CRISTO;122;5;15;33;8;29;32;51;9;4;52;6
23018;CAMBIL;157;5;26;48;14;41;23;60;7;11;67;12
23019;CAMPILLO DE ARENAS;89;4;18;24;5;27;11;27;4;6;48;4
23020;CANENA;112;6;12;7;4;40;43;26;8;3;61;14
23021;CARBONEROS;47;5;9;8;3;12;10;11;4;4;28; 
23901;CARCHELES;58;3;8;14;2;19;12;17;4;2;29;6
23024;CAROLINA, LA;2,259;106;395;345;138;601;674;325;291;80;1,321;242
23025;CASTELLAR;180;11;32;37;17;47;36;63;16;7;84;10
23026;CASTILLO DE LOCUBIN;150;17;27;37;16;31;22;53;10;6;61;20
23027;CAZALILLA;55;3;9;15;6;16;6;20;1;3;30;1
23028;CAZORLA;571;37;98;106;30;170;130;136;12;11;373;39
23029;CHICLANA DE SEGURA;29; ;5;6;4;6;8;3; ;6;15;5
23030;CHILLUEVAR;44; ;8;10;4;15;7;17;1; ;23;3
23031;ESCAÑUELA;45;2;5;23;1;10;4;18;2;14;10;1
23032;ESPELUY;60;3;5;6;10;26;10;11;3;21;19;6
23033;FRAILES;51;5;9;9;4;18;6;15;3;2;29;2
