;;;;;;;;;;;;;
;PARO REGISTRADO SEGÚN SEXO, EDAD Y SECTOR DE ACTIVIDAD ECONÓMICA;;;;;;;;;;;;
;;;;;;;;;;;;;
;MALAGA;;;;;;;;JULIO 2013;;;;
;MUNICIPIOS;TOTAL;SEXO Y EDAD;;;;;;SECTORES;;;;
;;;HOMBRES;;;MUJERES;;;AGRI- CULTURA;INDUS- TRIA;CONS- TRUCCIÓN;SERVICIOS;SIN EMPLEO ANTERIOR
;;;<25;25 - 44;>=45;<25;25 - 44;>=45;;;;;
;;;;;;;;;;;;;
29001;ALAMEDA;529;50;166;150;36;92;35;195;46;96;140;52
29002;ALCAUCIN;197;16;57;39;15;38;32;5;12;34;116;30
29003;ALFARNATE;95;7;30;33;2;15;8;25;3;13;44;10
29004;ALFARNATEJO;38;4;12;15;2;3;2;2;3;7;24;2
29005;ALGARROBO;648;40;193;140;46;158;71;46;27;189;332;54
29006;ALGATOCIN;144;8;37;29;3;35;32;3;3;24;102;12
29007;ALHAURIN DE LA TORRE;4,597;251;974;797;214;1,353;1,008;51;321;671;2,962;592
29008;ALHAURIN EL GRANDE;3,068;174;789;627;141;786;551;74;306;989;1,228;471
29009;ALMACHAR;208;17;79;54;16;34;8;10;11;79;86;22
29010;ALMARGEN;206;19;50;50;17;56;14;52;16;21;103;14
29011;ALMOGIA;598;31;152;128;33;138;116;32;54;215;228;69
29012;ALORA;2,186;136;472;455;166;586;371;68;112;526;1,155;325
29013;ALOZAINA;309;20;73;63;20;67;66;35;26;64;145;39
29014;ALPANDEIRE;31;1;11;9; ;6;4;1; ;17;13; 
29015;ANTEQUERA;4,708;326;1,070;948;324;1,187;853;387;582;846;2,435;458
29016;ARCHEZ;42;3;9;16;6;7;1;3; ;19;14;6
29017;ARCHIDONA;877;71;199;206;64;222;115;177;70;133;419;78
29018;ARDALES;284;27;70;75;30;57;25;22;16;105;120;21
29019;ARENAS;110;11;37;39;4;17;2;4;3;39;52;12
29020;ARRIATE;565;23;147;155;29;140;71;30;28;119;343;45
29021;ATAJATE;29;1;10;7;1;6;4;2; ;17;9;1
29022;BENADALID;25;1;7;7; ;7;3; ;2;1;21;1
29023;BENAHAVIS;220;5;34;43;7;83;48;3;6;40;157;14
29024;BENALAURIA;51;4;10;8;6;15;8;3;4;7;30;7
29025;BENALMADENA;6,796;231;1,350;1,272;261;1,996;1,686;66;247;815;5,291;377
29026;BENAMARGOSA;114;11;33;30;8;25;7;15;7;17;61;14
29027;BENAMOCARRA;321;26;114;80;20;66;15;34;33;84;138;32
29028;BENAOJAN;282;18;64;71;15;61;53;11;53;35;154;29
29029;BENARRABA;72;5;20;14;2;17;14;8;3;9;43;9
29030;BORGE, EL;121;8;45;37;14;14;3;5; ;28;78;10
29031;BURGO, EL;263;21;45;76;21;62;38;26;18;60;130;29
29032;CAMPILLOS;970;66;230;179;89;249;157;148;58;83;587;94
29033;CANILLAS DE ACEITUNO;184;12;58;74;8;24;8;8;16;74;76;10
