Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;001  Abla;Africa;1
Ambos sexos;001  Abla;América;..
Ambos sexos;001  Abla;Asia;..
Ambos sexos;001  Abla;Europa;..
Ambos sexos;001  Abla;Resto;..
Ambos sexos;002  Abrucena;Africa;..
Ambos sexos;002  Abrucena;América;..
Ambos sexos;002  Abrucena;Asia;..
Ambos sexos;002  Abrucena;Europa;..
Ambos sexos;002  Abrucena;Resto;..
Ambos sexos;003  Adra;Africa;261
Ambos sexos;003  Adra;América;16
Ambos sexos;003  Adra;Asia;6
Ambos sexos;003  Adra;Europa;54
Ambos sexos;003  Adra;Resto;..
Ambos sexos;004  Albánchez;Africa;..
Ambos sexos;004  Albánchez;América;..
Ambos sexos;004  Albánchez;Asia;..
Ambos sexos;004  Albánchez;Europa;1
Ambos sexos;004  Albánchez;Resto;..
Ambos sexos;005  Alboloduy;Africa;..
Ambos sexos;005  Alboloduy;América;..
Ambos sexos;005  Alboloduy;Asia;..
Ambos sexos;005  Alboloduy;Europa;1
Ambos sexos;005  Alboloduy;Resto;..
Ambos sexos;006  Albox;Africa;4
Ambos sexos;006  Albox;América;7
Ambos sexos;006  Albox;Asia;..
Ambos sexos;006  Albox;Europa;90
Ambos sexos;006  Albox;Resto;..
Ambos sexos;007  Alcolea;Africa;..
Ambos sexos;007  Alcolea;América;1
Ambos sexos;007  Alcolea;Asia;..
Ambos sexos;007  Alcolea;Europa;..
Ambos sexos;007  Alcolea;Resto;..
Ambos sexos;008  Alcóntar;Africa;..
Ambos sexos;008  Alcóntar;América;..
Ambos sexos;008  Alcóntar;Asia;..
Ambos sexos;008  Alcóntar;Europa;..
Ambos sexos;008  Alcóntar;Resto;..
Ambos sexos;009  Alcudia de Monteagud;Africa;..
Ambos sexos;009  Alcudia de Monteagud;América;..
Ambos sexos;009  Alcudia de Monteagud;Asia;..
Ambos sexos;009  Alcudia de Monteagud;Europa;..
Ambos sexos;009  Alcudia de Monteagud;Resto;..
Ambos sexos;010  Alhabia;Africa;..
Ambos sexos;010  Alhabia;América;..
Ambos sexos;010  Alhabia;Asia;..
Ambos sexos;010  Alhabia;Europa;..
Ambos sexos;010  Alhabia;Resto;..
Ambos sexos;011  Alhama de Almería;Africa;..
Ambos sexos;011  Alhama de Almería;América;4
Ambos sexos;011  Alhama de Almería;Asia;1
Ambos sexos;011  Alhama de Almería;Europa;2
Ambos sexos;011  Alhama de Almería;Resto;..
Ambos sexos;012  Alicún;Africa;..
Ambos sexos;012  Alicún;América;..
Ambos sexos;012  Alicún;Asia;..
Ambos sexos;012  Alicún;Europa;2
Ambos sexos;012  Alicún;Resto;..
Ambos sexos;013  Almería;Africa;838
Ambos sexos;013  Almería;América;342
Ambos sexos;013  Almería;Asia;113
Ambos sexos;013  Almería;Europa;435
Ambos sexos;013  Almería;Resto;2
Ambos sexos;014  Almócita;Africa;..
Ambos sexos;014  Almócita;América;..
Ambos sexos;014  Almócita;Asia;..
Ambos sexos;014  Almócita;Europa;..
Ambos sexos;014  Almócita;Resto;..
Ambos sexos;015  Alsodux;Africa;..
Ambos sexos;015  Alsodux;América;..
Ambos sexos;015  Alsodux;Asia;..
Ambos sexos;015  Alsodux;Europa;..
Ambos sexos;015  Alsodux;Resto;..
Ambos sexos;016  Antas;Africa;2
Ambos sexos;016  Antas;América;2
Ambos sexos;016  Antas;Asia;..
Ambos sexos;016  Antas;Europa;7
Ambos sexos;016  Antas;Resto;..
Ambos sexos;017  Arboleas;Africa;..
Ambos sexos;017  Arboleas;América;4
Ambos sexos;017  Arboleas;Asia;..
Ambos sexos;017  Arboleas;Europa;24
