Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;04001-Abla;Total Población;1.503
Ambos sexos;04001-Abla;Nacidos en España;1.370
Ambos sexos;04001-Abla;Nacidos en el Extranjero;133
Ambos sexos;04001-Abla;Total Europa;113
Ambos sexos;04001-Abla;Total Unión Europea;112
Ambos sexos;04001-Abla;Alemania;2
Ambos sexos;04001-Abla;Bulgaria;4
Ambos sexos;04001-Abla;Francia;1
Ambos sexos;04001-Abla;Italia;0
Ambos sexos;04001-Abla;Polonia;0
Ambos sexos;04001-Abla;Portugal;0
Ambos sexos;04001-Abla;Reino Unido;3
Ambos sexos;04001-Abla;Rumanía;94
Ambos sexos;04001-Abla;Total Europa No Comunitaria;1
Ambos sexos;04001-Abla;Rusia;1
Ambos sexos;04001-Abla;Ucrania;0
Ambos sexos;04001-Abla;Total Africa;8
Ambos sexos;04001-Abla;Argelia;2
Ambos sexos;04001-Abla;Marruecos;5
Ambos sexos;04001-Abla;Nigeria;1
Ambos sexos;04001-Abla;Senegal;0
Ambos sexos;04001-Abla;Total América;12
Ambos sexos;04001-Abla;Argentina;6
Ambos sexos;04001-Abla;Bolivia;0
Ambos sexos;04001-Abla;Brasil;4
Ambos sexos;04001-Abla;Colombia;0
Ambos sexos;04001-Abla;Cuba;0
Ambos sexos;04001-Abla;Chile;0
Ambos sexos;04001-Abla;Ecuador;1
Ambos sexos;04001-Abla;Paraguay;0
Ambos sexos;04001-Abla;Perú;0
Ambos sexos;04001-Abla;Rep. Dominicana;1
Ambos sexos;04001-Abla;Uruguay;0
Ambos sexos;04001-Abla;Venezuela;0
Ambos sexos;04001-Abla;Total Asia;0
Ambos sexos;04001-Abla;China;0
Ambos sexos;04001-Abla;Pakistán;0
Ambos sexos;04001-Abla;Oceanía;0
Ambos sexos;04002-Abrucena;Total Población;1.366
Ambos sexos;04002-Abrucena;Nacidos en España;1.300
Ambos sexos;04002-Abrucena;Nacidos en el Extranjero;66
Ambos sexos;04002-Abrucena;Total Europa;60
Ambos sexos;04002-Abrucena;Total Unión Europea;60
Ambos sexos;04002-Abrucena;Alemania;3
Ambos sexos;04002-Abrucena;Bulgaria;0
Ambos sexos;04002-Abrucena;Francia;0
Ambos sexos;04002-Abrucena;Italia;0
Ambos sexos;04002-Abrucena;Polonia;0
Ambos sexos;04002-Abrucena;Portugal;0
Ambos sexos;04002-Abrucena;Reino Unido;1
Ambos sexos;04002-Abrucena;Rumanía;56
Ambos sexos;04002-Abrucena;Total Europa No Comunitaria;0
Ambos sexos;04002-Abrucena;Rusia;0
Ambos sexos;04002-Abrucena;Ucrania;0
Ambos sexos;04002-Abrucena;Total Africa;3
Ambos sexos;04002-Abrucena;Argelia;0
Ambos sexos;04002-Abrucena;Marruecos;3
Ambos sexos;04002-Abrucena;Nigeria;0
Ambos sexos;04002-Abrucena;Senegal;0
Ambos sexos;04002-Abrucena;Total América;3
Ambos sexos;04002-Abrucena;Argentina;0
Ambos sexos;04002-Abrucena;Bolivia;0
Ambos sexos;04002-Abrucena;Brasil;0
Ambos sexos;04002-Abrucena;Colombia;0
Ambos sexos;04002-Abrucena;Cuba;1
Ambos sexos;04002-Abrucena;Chile;0
Ambos sexos;04002-Abrucena;Ecuador;1
Ambos sexos;04002-Abrucena;Paraguay;0
Ambos sexos;04002-Abrucena;Perú;0
Ambos sexos;04002-Abrucena;Rep. Dominicana;1
