Sexo;Municipios;País de nacimiento;Total
Ambos sexos;04001-Abla;Total Población;1.465
Ambos sexos;04001-Abla;Nacidos en España;1.289
Ambos sexos;04001-Abla;Nacidos en el Extranjero;176
Ambos sexos;04001-Abla;Total Europa;150
Ambos sexos;04001-Abla;Total Unión Europea;149
Ambos sexos;04001-Abla;Alemania;2
Ambos sexos;04001-Abla;Bulgaria;7
Ambos sexos;04001-Abla;Francia;0
Ambos sexos;04001-Abla;Italia;0
Ambos sexos;04001-Abla;Polonia;0
Ambos sexos;04001-Abla;Portugal;0
Ambos sexos;04001-Abla;Reino Unido;3
Ambos sexos;04001-Abla;Rumanía;129
Ambos sexos;04001-Abla;Total Europa No Comunitaria;1
Ambos sexos;04001-Abla;Rusia;0
Ambos sexos;04001-Abla;Ucrania;0
Ambos sexos;04001-Abla;Total Africa;11
Ambos sexos;04001-Abla;Argelia;1
Ambos sexos;04001-Abla;Marruecos;9
Ambos sexos;04001-Abla;Nigeria;0
Ambos sexos;04001-Abla;Senegal;1
Ambos sexos;04001-Abla;Total América;15
Ambos sexos;04001-Abla;Argentina;3
Ambos sexos;04001-Abla;Bolivia;0
Ambos sexos;04001-Abla;Brasil;3
Ambos sexos;04001-Abla;Colombia;1
Ambos sexos;04001-Abla;Cuba;0
Ambos sexos;04001-Abla;Chile;0
Ambos sexos;04001-Abla;Ecuador;3
Ambos sexos;04001-Abla;Paraguay;0
Ambos sexos;04001-Abla;Perú;0
Ambos sexos;04001-Abla;República Dominicana;5
Ambos sexos;04001-Abla;Uruguay;0
Ambos sexos;04001-Abla;Venezuela;0
Ambos sexos;04001-Abla;Total Asia;0
Ambos sexos;04001-Abla;China;0
Ambos sexos;04001-Abla;Pakistán;0
Ambos sexos;04001-Abla;Total Oceanía;0
Ambos sexos;04002-Abrucena;Total Población;1.360
Ambos sexos;04002-Abrucena;Nacidos en España;1.253
Ambos sexos;04002-Abrucena;Nacidos en el Extranjero;107
Ambos sexos;04002-Abrucena;Total Europa;89
Ambos sexos;04002-Abrucena;Total Unión Europea;89
Ambos sexos;04002-Abrucena;Alemania;0
Ambos sexos;04002-Abrucena;Bulgaria;0
Ambos sexos;04002-Abrucena;Francia;0
Ambos sexos;04002-Abrucena;Italia;0
Ambos sexos;04002-Abrucena;Polonia;0
Ambos sexos;04002-Abrucena;Portugal;0
Ambos sexos;04002-Abrucena;Reino Unido;0
Ambos sexos;04002-Abrucena;Rumanía;89
Ambos sexos;04002-Abrucena;Total Europa No Comunitaria;0
Ambos sexos;04002-Abrucena;Rusia;0
Ambos sexos;04002-Abrucena;Ucrania;0
Ambos sexos;04002-Abrucena;Total Africa;16
Ambos sexos;04002-Abrucena;Argelia;0
Ambos sexos;04002-Abrucena;Marruecos;16
Ambos sexos;04002-Abrucena;Nigeria;0
Ambos sexos;04002-Abrucena;Senegal;0
Ambos sexos;04002-Abrucena;Total América;2
Ambos sexos;04002-Abrucena;Argentina;0
Ambos sexos;04002-Abrucena;Bolivia;0
Ambos sexos;04002-Abrucena;Brasil;0
Ambos sexos;04002-Abrucena;Colombia;0
Ambos sexos;04002-Abrucena;Cuba;1
Ambos sexos;04002-Abrucena;Chile;0
Ambos sexos;04002-Abrucena;Ecuador;0
Ambos sexos;04002-Abrucena;Paraguay;0
Ambos sexos;04002-Abrucena;Perú;0
