Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;11001 Alcalá de los Gazules;Africa;1
Ambos sexos;11001 Alcalá de los Gazules;América;2
Ambos sexos;11001 Alcalá de los Gazules;Asia;..
Ambos sexos;11001 Alcalá de los Gazules;Europa;9
Ambos sexos;11001 Alcalá de los Gazules;Resto;..
Ambos sexos;11002 Alcalá del Valle;Africa;..
Ambos sexos;11002 Alcalá del Valle;América;1
Ambos sexos;11002 Alcalá del Valle;Asia;..
Ambos sexos;11002 Alcalá del Valle;Europa;4
Ambos sexos;11002 Alcalá del Valle;Resto;..
Ambos sexos;11003 Algar;Africa;1
Ambos sexos;11003 Algar;América;..
Ambos sexos;11003 Algar;Asia;..
Ambos sexos;11003 Algar;Europa;..
Ambos sexos;11003 Algar;Resto;..
Ambos sexos;11004 Algeciras;Africa;1.073
Ambos sexos;11004 Algeciras;América;189
Ambos sexos;11004 Algeciras;Asia;76
Ambos sexos;11004 Algeciras;Europa;410
Ambos sexos;11004 Algeciras;Resto;3
Ambos sexos;11005 Algodonales;Africa;2
Ambos sexos;11005 Algodonales;América;2
Ambos sexos;11005 Algodonales;Asia;..
Ambos sexos;11005 Algodonales;Europa;31
Ambos sexos;11005 Algodonales;Resto;..
Ambos sexos;11006 Arcos de la Frontera;Africa;36
Ambos sexos;11006 Arcos de la Frontera;América;18
Ambos sexos;11006 Arcos de la Frontera;Asia;7
Ambos sexos;11006 Arcos de la Frontera;Europa;63
Ambos sexos;11006 Arcos de la Frontera;Resto;..
Ambos sexos;11007 Barbate;Africa;15
Ambos sexos;11007 Barbate;América;20
Ambos sexos;11007 Barbate;Asia;4
Ambos sexos;11007 Barbate;Europa;102
Ambos sexos;11007 Barbate;Resto;..
Ambos sexos;11008 Barrios (Los);Africa;55
Ambos sexos;11008 Barrios (Los);América;30
Ambos sexos;11008 Barrios (Los);Asia;5
Ambos sexos;11008 Barrios (Los);Europa;227
Ambos sexos;11008 Barrios (Los);Resto;..
Ambos sexos;11009 Benaocaz;Africa;..
Ambos sexos;11009 Benaocaz;América;..
Ambos sexos;11009 Benaocaz;Asia;..
Ambos sexos;11009 Benaocaz;Europa;2
Ambos sexos;11009 Benaocaz;Resto;..
Ambos sexos;11010 Bornos;Africa;4
Ambos sexos;11010 Bornos;América;..
Ambos sexos;11010 Bornos;Asia;..
Ambos sexos;11010 Bornos;Europa;6
Ambos sexos;11010 Bornos;Resto;..
Ambos sexos;11011 Bosque (El);Africa;1
Ambos sexos;11011 Bosque (El);América;4
Ambos sexos;11011 Bosque (El);Asia;..
Ambos sexos;11011 Bosque (El);Europa;2
Ambos sexos;11011 Bosque (El);Resto;..
Ambos sexos;11012 Cádiz;Africa;208
Ambos sexos;11012 Cádiz;América;169
Ambos sexos;11012 Cádiz;Asia;50
Ambos sexos;11012 Cádiz;Europa;162
Ambos sexos;11012 Cádiz;Resto;1
Ambos sexos;11013 Castellar de la Frontera;Africa;..
Ambos sexos;11013 Castellar de la Frontera;América;5
Ambos sexos;11013 Castellar de la Frontera;Asia;..
Ambos sexos;11013 Castellar de la Frontera;Europa;81
Ambos sexos;11013 Castellar de la Frontera;Resto;..
Ambos sexos;11014 Conil de la Frontera;Africa;53
Ambos sexos;11014 Conil de la Frontera;América;24
Ambos sexos;11014 Conil de la Frontera;Asia;6
Ambos sexos;11014 Conil de la Frontera;Europa;189
Ambos sexos;11014 Conil de la Frontera;Resto;..
Ambos sexos;11015 Chiclana de la Frontera;Africa;57
Ambos sexos;11015 Chiclana de la Frontera;América;72
Ambos sexos;11015 Chiclana de la Frontera;Asia;9
Ambos sexos;11015 Chiclana de la Frontera;Europa;253
Ambos sexos;11015 Chiclana de la Frontera;Resto;1
Ambos sexos;11016 Chipiona;Africa;16
Ambos sexos;11016 Chipiona;América;91
Ambos sexos;11016 Chipiona;Asia;5
Ambos sexos;11016 Chipiona;Europa;45
Ambos sexos;11016 Chipiona;Resto;..
Ambos sexos;11017 Espera;Africa;..
Ambos sexos;11017 Espera;América;..
Ambos sexos;11017 Espera;Asia;..
Ambos sexos;11017 Espera;Europa;..
Ambos sexos;11017 Espera;Resto;..
Ambos sexos;11018 Gastor (El);Africa;..
Ambos sexos;11018 Gastor (El);América;2
Ambos sexos;11018 Gastor (El);Asia;1
Ambos sexos;11018 Gastor (El);Europa;1
Ambos sexos;11018 Gastor (El);Resto;..
Ambos sexos;11019 Grazalema;Africa;..
Ambos sexos;11019 Grazalema;América;..
Ambos sexos;11019 Grazalema;Asia;..
Ambos sexos;11019 Grazalema;Europa;5
Ambos sexos;11019 Grazalema;Resto;..
Ambos sexos;11020 Jerez de la Frontera;Africa;161
Ambos sexos;11020 Jerez de la Frontera;América;222
Ambos sexos;11020 Jerez de la Frontera;Asia;51
Ambos sexos;11020 Jerez de la Frontera;Europa;255
Ambos sexos;11020 Jerez de la Frontera;Resto;..
Ambos sexos;11021 Jimena de la Frontera;Africa;17
Ambos sexos;11021 Jimena de la Frontera;América;12
Ambos sexos;11021 Jimena de la Frontera;Asia;3
Ambos sexos;11021 Jimena de la Frontera;Europa;284
Ambos sexos;11021 Jimena de la Frontera;Resto;..
Ambos sexos;11022 Línea de la Concepción (La);Africa;212
Ambos sexos;11022 Línea de la Concepción (La);América;91
Ambos sexos;11022 Línea de la Concepción (La);Asia;73
Ambos sexos;11022 Línea de la Concepción (La);Europa;716
Ambos sexos;11022 Línea de la Concepción (La);Resto;..
Ambos sexos;11023 Medina-Sidonia;Africa;1
Ambos sexos;11023 Medina-Sidonia;América;4
Ambos sexos;11023 Medina-Sidonia;Asia;1
Ambos sexos;11023 Medina-Sidonia;Europa;6
Ambos sexos;11023 Medina-Sidonia;Resto;..
Ambos sexos;11024 Olvera;Africa;12
Ambos sexos;11024 Olvera;América;8
Ambos sexos;11024 Olvera;Asia;..
Ambos sexos;11024 Olvera;Europa;5
Ambos sexos;11024 Olvera;Resto;..
Ambos sexos;11025 Paterna de Rivera;Africa;..
Ambos sexos;11025 Paterna de Rivera;América;..
Ambos sexos;11025 Paterna de Rivera;Asia;..
Ambos sexos;11025 Paterna de Rivera;Europa;1
Ambos sexos;11025 Paterna de Rivera;Resto;..
Ambos sexos;11026 Prado del Rey;Africa;8
Ambos sexos;11026 Prado del Rey;América;4
Ambos sexos;11026 Prado del Rey;Asia;..
Ambos sexos;11026 Prado del Rey;Europa;9
Ambos sexos;11026 Prado del Rey;Resto;..
Ambos sexos;11027 Puerto de Santa María (El);Africa;91
Ambos sexos;11027 Puerto de Santa María (El);América;442
Ambos sexos;11027 Puerto de Santa María (El);Asia;62
Ambos sexos;11027 Puerto de Santa María (El);Europa;269
Ambos sexos;11027 Puerto de Santa María (El);Resto;..
Ambos sexos;11028 Puerto Real;Africa;134
Ambos sexos;11028 Puerto Real;América;36
Ambos sexos;11028 Puerto Real;Asia;8
Ambos sexos;11028 Puerto Real;Europa;59
Ambos sexos;11028 Puerto Real;Resto;1
Ambos sexos;11029 Puerto Serrano;Africa;..
