Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;11001 Alcalá de los Gazules;Total Unión Europea;8
Ambos sexos;11001 Alcalá de los Gazules;Reino Unido;1
Ambos sexos;11001 Alcalá de los Gazules;Alemania;4
Ambos sexos;11001 Alcalá de los Gazules;Total Africa;1
Ambos sexos;11001 Alcalá de los Gazules;Marruecos;1
Ambos sexos;11001 Alcalá de los Gazules;Total América;2
Ambos sexos;11001 Alcalá de los Gazules;Colombia;0
Ambos sexos;11001 Alcalá de los Gazules;Ecuador;0
Ambos sexos;11001 Alcalá de los Gazules;Total Asia;0
Ambos sexos;11001 Alcalá de los Gazules;Resto;0
Ambos sexos;11002 Alcalá del Valle;Total Unión Europea;3
Ambos sexos;11002 Alcalá del Valle;Reino Unido;0
Ambos sexos;11002 Alcalá del Valle;Alemania;0
Ambos sexos;11002 Alcalá del Valle;Total Africa;0
Ambos sexos;11002 Alcalá del Valle;Marruecos;0
Ambos sexos;11002 Alcalá del Valle;Total América;1
Ambos sexos;11002 Alcalá del Valle;Colombia;0
Ambos sexos;11002 Alcalá del Valle;Ecuador;0
Ambos sexos;11002 Alcalá del Valle;Total Asia;0
Ambos sexos;11002 Alcalá del Valle;Resto;0
Ambos sexos;11003 Algar;Total Unión Europea;0
Ambos sexos;11003 Algar;Reino Unido;0
Ambos sexos;11003 Algar;Alemania;0
Ambos sexos;11003 Algar;Total Africa;0
Ambos sexos;11003 Algar;Marruecos;0
Ambos sexos;11003 Algar;Total América;1
Ambos sexos;11003 Algar;Colombia;1
Ambos sexos;11003 Algar;Ecuador;0
Ambos sexos;11003 Algar;Total Asia;0
Ambos sexos;11003 Algar;Resto;0
Ambos sexos;11004 Algeciras;Total Unión Europea;419
Ambos sexos;11004 Algeciras;Reino Unido;132
Ambos sexos;11004 Algeciras;Alemania;49
Ambos sexos;11004 Algeciras;Total Africa;2.078
Ambos sexos;11004 Algeciras;Marruecos;2.006
Ambos sexos;11004 Algeciras;Total América;378
Ambos sexos;11004 Algeciras;Colombia;130
Ambos sexos;11004 Algeciras;Ecuador;14
Ambos sexos;11004 Algeciras;Total Asia;92
Ambos sexos;11004 Algeciras;Resto;3
Ambos sexos;11005 Algodonales;Total Unión Europea;36
Ambos sexos;11005 Algodonales;Reino Unido;4
Ambos sexos;11005 Algodonales;Alemania;23
Ambos sexos;11005 Algodonales;Total Africa;3
Ambos sexos;11005 Algodonales;Marruecos;3
Ambos sexos;11005 Algodonales;Total América;4
Ambos sexos;11005 Algodonales;Colombia;0
Ambos sexos;11005 Algodonales;Ecuador;1
Ambos sexos;11005 Algodonales;Total Asia;0
Ambos sexos;11005 Algodonales;Resto;0
Ambos sexos;11006 Arcos de la Frontera;Total Unión Europea;62
Ambos sexos;11006 Arcos de la Frontera;Reino Unido;15
Ambos sexos;11006 Arcos de la Frontera;Alemania;19
Ambos sexos;11006 Arcos de la Frontera;Total Africa;39
Ambos sexos;11006 Arcos de la Frontera;Marruecos;24
Ambos sexos;11006 Arcos de la Frontera;Total América;40
Ambos sexos;11006 Arcos de la Frontera;Colombia;23
Ambos sexos;11006 Arcos de la Frontera;Ecuador;5
Ambos sexos;11006 Arcos de la Frontera;Total Asia;6
Ambos sexos;11006 Arcos de la Frontera;Resto;0
Ambos sexos;11007 Barbate;Total Unión Europea;154
Ambos sexos;11007 Barbate;Reino Unido;30
Ambos sexos;11007 Barbate;Alemania;71
Ambos sexos;11007 Barbate;Total Africa;66
Ambos sexos;11007 Barbate;Marruecos;64
Ambos sexos;11007 Barbate;Total América;39
Ambos sexos;11007 Barbate;Colombia;8
Ambos sexos;11007 Barbate;Ecuador;0
Ambos sexos;11007 Barbate;Total Asia;5
Ambos sexos;11007 Barbate;Resto;1
Ambos sexos;11008 Barrios (Los);Total Unión Europea;303
Ambos sexos;11008 Barrios (Los);Reino Unido;217
Ambos sexos;11008 Barrios (Los);Alemania;22
Ambos sexos;11008 Barrios (Los);Total Africa;110
Ambos sexos;11008 Barrios (Los);Marruecos;97
Ambos sexos;11008 Barrios (Los);Total América;69
Ambos sexos;11008 Barrios (Los);Colombia;18
Ambos sexos;11008 Barrios (Los);Ecuador;6
Ambos sexos;11008 Barrios (Los);Total Asia;5
Ambos sexos;11008 Barrios (Los);Resto;2
Ambos sexos;11009 Benaocaz;Total Unión Europea;2
Ambos sexos;11009 Benaocaz;Reino Unido;0
Ambos sexos;11009 Benaocaz;Alemania;1
Ambos sexos;11009 Benaocaz;Total Africa;1
Ambos sexos;11009 Benaocaz;Marruecos;1
Ambos sexos;11009 Benaocaz;Total América;0
Ambos sexos;11009 Benaocaz;Colombia;0
Ambos sexos;11009 Benaocaz;Ecuador;0
Ambos sexos;11009 Benaocaz;Total Asia;0
Ambos sexos;11009 Benaocaz;Resto;0
Ambos sexos;11010 Bornos;Total Unión Europea;4
Ambos sexos;11010 Bornos;Reino Unido;1
Ambos sexos;11010 Bornos;Alemania;1
Ambos sexos;11010 Bornos;Total Africa;3
Ambos sexos;11010 Bornos;Marruecos;3
Ambos sexos;11010 Bornos;Total América;2
Ambos sexos;11010 Bornos;Colombia;0
Ambos sexos;11010 Bornos;Ecuador;2
Ambos sexos;11010 Bornos;Total Asia;0
Ambos sexos;11010 Bornos;Resto;0
Ambos sexos;11011 Bosque (El);Total Unión Europea;3
Ambos sexos;11011 Bosque (El);Reino Unido;0
Ambos sexos;11011 Bosque (El);Alemania;1
Ambos sexos;11011 Bosque (El);Total Africa;4
Ambos sexos;11011 Bosque (El);Marruecos;3
Ambos sexos;11011 Bosque (El);Total América;2
Ambos sexos;11011 Bosque (El);Colombia;1
Ambos sexos;11011 Bosque (El);Ecuador;0
Ambos sexos;11011 Bosque (El);Total Asia;0
Ambos sexos;11011 Bosque (El);Resto;0
Ambos sexos;11012 Cádiz;Total Unión Europea;184
Ambos sexos;11012 Cádiz;Reino Unido;29
Ambos sexos;11012 Cádiz;Alemania;48
Ambos sexos;11012 Cádiz;Total Africa;289
Ambos sexos;11012 Cádiz;Marruecos;169
Ambos sexos;11012 Cádiz;Total América;235
Ambos sexos;11012 Cádiz;Colombia;19
Ambos sexos;11012 Cádiz;Ecuador;7
Ambos sexos;11012 Cádiz;Total Asia;121
Ambos sexos;11012 Cádiz;Resto;1
Ambos sexos;11013 Castellar de la Frontera;Total Unión Europea;89
Ambos sexos;11013 Castellar de la Frontera;Reino Unido;22
Ambos sexos;11013 Castellar de la Frontera;Alemania;59
Ambos sexos;11013 Castellar de la Frontera;Total Africa;1
Ambos sexos;11013 Castellar de la Frontera;Marruecos;1
Ambos sexos;11013 Castellar de la Frontera;Total América;4
Ambos sexos;11013 Castellar de la Frontera;Colombia;0
Ambos sexos;11013 Castellar de la Frontera;Ecuador;0
Ambos sexos;11013 Castellar de la Frontera;Total Asia;0
Ambos sexos;11013 Castellar de la Frontera;Resto;0
Ambos sexos;11014 Conil de la Frontera;Total Unión Europea;263
Ambos sexos;11014 Conil de la Frontera;Reino Unido;39
Ambos sexos;11014 Conil de la Frontera;Alemania;140
Ambos sexos;11014 Conil de la Frontera;Total Africa;68
Ambos sexos;11014 Conil de la Frontera;Marruecos;67
Ambos sexos;11014 Conil de la Frontera;Total América;36
Ambos sexos;11014 Conil de la Frontera;Colombia;5
Ambos sexos;11014 Conil de la Frontera;Ecuador;6
Ambos sexos;11014 Conil de la Frontera;Total Asia;7
Ambos sexos;11014 Conil de la Frontera;Resto;0
Ambos sexos;11015 Chiclana de la Frontera;Total Unión Europea;416
Ambos sexos;11015 Chiclana de la Frontera;Reino Unido;94
Ambos sexos;11015 Chiclana de la Frontera;Alemania;144
Ambos sexos;11015 Chiclana de la Frontera;Total Africa;99
Ambos sexos;11015 Chiclana de la Frontera;Marruecos;82
Ambos sexos;11015 Chiclana de la Frontera;Total América;147
Ambos sexos;11015 Chiclana de la Frontera;Colombia;30
Ambos sexos;11015 Chiclana de la Frontera;Ecuador;6
Ambos sexos;11015 Chiclana de la Frontera;Total Asia;17
Ambos sexos;11015 Chiclana de la Frontera;Resto;1
Ambos sexos;11016 Chipiona;Total Unión Europea;78
Ambos sexos;11016 Chipiona;Reino Unido;11
Ambos sexos;11016 Chipiona;Alemania;40
Ambos sexos;11016 Chipiona;Total Africa;30
Ambos sexos;11016 Chipiona;Marruecos;23
Ambos sexos;11016 Chipiona;Total América;105
Ambos sexos;11016 Chipiona;Colombia;10
Ambos sexos;11016 Chipiona;Ecuador;1
Ambos sexos;11016 Chipiona;Total Asia;7
Ambos sexos;11016 Chipiona;Resto;1
Ambos sexos;11017 Espera;Total Unión Europea;0
Ambos sexos;11017 Espera;Reino Unido;0
Ambos sexos;11017 Espera;Alemania;0
Ambos sexos;11017 Espera;Total Africa;0
Ambos sexos;11017 Espera;Marruecos;0
Ambos sexos;11017 Espera;Total América;0
Ambos sexos;11017 Espera;Colombia;0
Ambos sexos;11017 Espera;Ecuador;0
Ambos sexos;11017 Espera;Total Asia;0
Ambos sexos;11017 Espera;Resto;0
Ambos sexos;11018 Gastor (El);Total Unión Europea;5
Ambos sexos;11018 Gastor (El);Reino Unido;1
Ambos sexos;11018 Gastor (El);Alemania;1
Ambos sexos;11018 Gastor (El);Total Africa;0
Ambos sexos;11018 Gastor (El);Marruecos;0
Ambos sexos;11018 Gastor (El);Total América;1
Ambos sexos;11018 Gastor (El);Colombia;1
Ambos sexos;11018 Gastor (El);Ecuador;0
Ambos sexos;11018 Gastor (El);Total Asia;1
Ambos sexos;11018 Gastor (El);Resto;0
Ambos sexos;11019 Grazalema;Total Unión Europea;8
Ambos sexos;11019 Grazalema;Reino Unido;3
Ambos sexos;11019 Grazalema;Alemania;2
Ambos sexos;11019 Grazalema;Total Africa;0
Ambos sexos;11019 Grazalema;Marruecos;0
Ambos sexos;11019 Grazalema;Total América;0
Ambos sexos;11019 Grazalema;Colombia;0
Ambos sexos;11019 Grazalema;Ecuador;0
Ambos sexos;11019 Grazalema;Total Asia;0
Ambos sexos;11019 Grazalema;Resto;0
Ambos sexos;11020 Jerez de la Frontera;Total Unión Europea;324
Ambos sexos;11020 Jerez de la Frontera;Reino Unido;112
Ambos sexos;11020 Jerez de la Frontera;Alemania;53
Ambos sexos;11020 Jerez de la Frontera;Total Africa;303
Ambos sexos;11020 Jerez de la Frontera;Marruecos;212
Ambos sexos;11020 Jerez de la Frontera;Total América;509
Ambos sexos;11020 Jerez de la Frontera;Colombia;148
Ambos sexos;11020 Jerez de la Frontera;Ecuador;48
Ambos sexos;11020 Jerez de la Frontera;Total Asia;115
Ambos sexos;11020 Jerez de la Frontera;Resto;2
Ambos sexos;11021 Jimena de la Frontera;Total Unión Europea;329
Ambos sexos;11021 Jimena de la Frontera;Reino Unido;255
Ambos sexos;11021 Jimena de la Frontera;Alemania;25
Ambos sexos;11021 Jimena de la Frontera;Total Africa;27
Ambos sexos;11021 Jimena de la Frontera;Marruecos;25
Ambos sexos;11021 Jimena de la Frontera;Total América;18
Ambos sexos;11021 Jimena de la Frontera;Colombia;0
Ambos sexos;11021 Jimena de la Frontera;Ecuador;1
Ambos sexos;11021 Jimena de la Frontera;Total Asia;2
Ambos sexos;11021 Jimena de la Frontera;Resto;0
Ambos sexos;11022 Línea de la Concepción (La);Total Unión Europea;957
Ambos sexos;11022 Línea de la Concepción (La);Reino Unido;647
Ambos sexos;11022 Línea de la Concepción (La);Alemania;43
Ambos sexos;11022 Línea de la Concepción (La);Total Africa;360
Ambos sexos;11022 Línea de la Concepción (La);Marruecos;315
Ambos sexos;11022 Línea de la Concepción (La);Total América;215
Ambos sexos;11022 Línea de la Concepción (La);Colombia;45
Ambos sexos;11022 Línea de la Concepción (La);Ecuador;36
Ambos sexos;11022 Línea de la Concepción (La);Total Asia;99
Ambos sexos;11022 Línea de la Concepción (La);Resto;6
Ambos sexos;11023 Medina-Sidonia;Total Unión Europea;6
Ambos sexos;11023 Medina-Sidonia;Reino Unido;2
Ambos sexos;11023 Medina-Sidonia;Alemania;0
Ambos sexos;11023 Medina-Sidonia;Total Africa;2
Ambos sexos;11023 Medina-Sidonia;Marruecos;2
Ambos sexos;11023 Medina-Sidonia;Total América;4
Ambos sexos;11023 Medina-Sidonia;Colombia;0
Ambos sexos;11023 Medina-Sidonia;Ecuador;0
Ambos sexos;11023 Medina-Sidonia;Total Asia;1
Ambos sexos;11023 Medina-Sidonia;Resto;0
Ambos sexos;11024 Olvera;Total Unión Europea;7
Ambos sexos;11024 Olvera;Reino Unido;0
Ambos sexos;11024 Olvera;Alemania;2
Ambos sexos;11024 Olvera;Total Africa;16
Ambos sexos;11024 Olvera;Marruecos;14
Ambos sexos;11024 Olvera;Total América;8
Ambos sexos;11024 Olvera;Colombia;1
Ambos sexos;11024 Olvera;Ecuador;1
Ambos sexos;11024 Olvera;Total Asia;0
Ambos sexos;11024 Olvera;Resto;0
Ambos sexos;11025 Paterna de Rivera;Total Unión Europea;1
Ambos sexos;11025 Paterna de Rivera;Reino Unido;0
Ambos sexos;11025 Paterna de Rivera;Alemania;0
Ambos sexos;11025 Paterna de Rivera;Total Africa;0
Ambos sexos;11025 Paterna de Rivera;Marruecos;0
Ambos sexos;11025 Paterna de Rivera;Total América;0
Ambos sexos;11025 Paterna de Rivera;Colombia;0
Ambos sexos;11025 Paterna de Rivera;Ecuador;0
Ambos sexos;11025 Paterna de Rivera;Total Asia;0
Ambos sexos;11025 Paterna de Rivera;Resto;0
Ambos sexos;11026 Prado del Rey;Total Unión Europea;14
Ambos sexos;11026 Prado del Rey;Reino Unido;1
Ambos sexos;11026 Prado del Rey;Alemania;6
Ambos sexos;11026 Prado del Rey;Total Africa;11
Ambos sexos;11026 Prado del Rey;Marruecos;10
Ambos sexos;11026 Prado del Rey;Total América;16
Ambos sexos;11026 Prado del Rey;Colombia;10
Ambos sexos;11026 Prado del Rey;Ecuador;0
Ambos sexos;11026 Prado del Rey;Total Asia;0
Ambos sexos;11026 Prado del Rey;Resto;0
Ambos sexos;11027 Puerto de Santa María (El);Total Unión Europea;353
Ambos sexos;11027 Puerto de Santa María (El);Reino Unido;113
Ambos sexos;11027 Puerto de Santa María (El);Alemania;45
Ambos sexos;11027 Puerto de Santa María (El);Total Africa;151
Ambos sexos;11027 Puerto de Santa María (El);Marruecos;107
Ambos sexos;11027 Puerto de Santa María (El);Total América;564
Ambos sexos;11027 Puerto de Santa María (El);Colombia;54
Ambos sexos;11027 Puerto de Santa María (El);Ecuador;51
Ambos sexos;11027 Puerto de Santa María (El);Total Asia;70
Ambos sexos;11027 Puerto de Santa María (El);Resto;2
Ambos sexos;11028 Puerto Real;Total Unión Europea;60
Ambos sexos;11028 Puerto Real;Reino Unido;6
Ambos sexos;11028 Puerto Real;Alemania;8
Ambos sexos;11028 Puerto Real;Total Africa;225
Ambos sexos;11028 Puerto Real;Marruecos;97
Ambos sexos;11028 Puerto Real;Total América;70
Ambos sexos;11028 Puerto Real;Colombia;27
Ambos sexos;11028 Puerto Real;Ecuador;2
Ambos sexos;11028 Puerto Real;Total Asia;17
Ambos sexos;11028 Puerto Real;Resto;1
Ambos sexos;11029 Puerto Serrano;Total Unión Europea;1
Ambos sexos;11029 Puerto Serrano;Reino Unido;0
Ambos sexos;11029 Puerto Serrano;Alemania;0
Ambos sexos;11029 Puerto Serrano;Total Africa;0
Ambos sexos;11029 Puerto Serrano;Marruecos;0
Ambos sexos;11029 Puerto Serrano;Total América;0
Ambos sexos;11029 Puerto Serrano;Colombia;0
Ambos sexos;11029 Puerto Serrano;Ecuador;0
Ambos sexos;11029 Puerto Serrano;Total Asia;0
Ambos sexos;11029 Puerto Serrano;Resto;0
Ambos sexos;11030 Rota;Total Unión Europea;153
Ambos sexos;11030 Rota;Reino Unido;37
Ambos sexos;11030 Rota;Alemania;23
Ambos sexos;11030 Rota;Total Africa;113
Ambos sexos;11030 Rota;Marruecos;85
Ambos sexos;11030 Rota;Total América;574
Ambos sexos;11030 Rota;Colombia;21
Ambos sexos;11030 Rota;Ecuador;18
Ambos sexos;11030 Rota;Total Asia;37
Ambos sexos;11030 Rota;Resto;3
Ambos sexos;11031 San Fernando;Total Unión Europea;67
Ambos sexos;11031 San Fernando;Reino Unido;10
Ambos sexos;11031 San Fernando;Alemania;13
Ambos sexos;11031 San Fernando;Total Africa;125
Ambos sexos;11031 San Fernando;Marruecos;97
Ambos sexos;11031 San Fernando;Total América;101
Ambos sexos;11031 San Fernando;Colombia;24
Ambos sexos;11031 San Fernando;Ecuador;4
Ambos sexos;11031 San Fernando;Total Asia;20
Ambos sexos;11031 San Fernando;Resto;2
Ambos sexos;11032 Sanlúcar de Barrameda;Total Unión Europea;122
Ambos sexos;11032 Sanlúcar de Barrameda;Reino Unido;19
Ambos sexos;11032 Sanlúcar de Barrameda;Alemania;19
Ambos sexos;11032 Sanlúcar de Barrameda;Total Africa;116
Ambos sexos;11032 Sanlúcar de Barrameda;Marruecos;70
Ambos sexos;11032 Sanlúcar de Barrameda;Total América;87
Ambos sexos;11032 Sanlúcar de Barrameda;Colombia;24
Ambos sexos;11032 Sanlúcar de Barrameda;Ecuador;9
Ambos sexos;11032 Sanlúcar de Barrameda;Total Asia;21
Ambos sexos;11032 Sanlúcar de Barrameda;Resto;1
Ambos sexos;11033 San Roque;Total Unión Europea;966
Ambos sexos;11033 San Roque;Reino Unido;662
Ambos sexos;11033 San Roque;Alemania;41
Ambos sexos;11033 San Roque;Total Africa;96
Ambos sexos;11033 San Roque;Marruecos;66
Ambos sexos;11033 San Roque;Total América;200
Ambos sexos;11033 San Roque;Colombia;31
Ambos sexos;11033 San Roque;Ecuador;16
Ambos sexos;11033 San Roque;Total Asia;95
Ambos sexos;11033 San Roque;Resto;5
Ambos sexos;11034 Setenil de las Bodegas;Total Unión Europea;0
Ambos sexos;11034 Setenil de las Bodegas;Reino Unido;0
Ambos sexos;11034 Setenil de las Bodegas;Alemania;0
Ambos sexos;11034 Setenil de las Bodegas;Total Africa;1
Ambos sexos;11034 Setenil de las Bodegas;Marruecos;1
Ambos sexos;11034 Setenil de las Bodegas;Total América;2
Ambos sexos;11034 Setenil de las Bodegas;Colombia;0
Ambos sexos;11034 Setenil de las Bodegas;Ecuador;0
Ambos sexos;11034 Setenil de las Bodegas;Total Asia;0
Ambos sexos;11034 Setenil de las Bodegas;Resto;0
Ambos sexos;11035 Tarifa;Total Unión Europea;459
Ambos sexos;11035 Tarifa;Reino Unido;62
Ambos sexos;11035 Tarifa;Alemania;182
Ambos sexos;11035 Tarifa;Total Africa;50
Ambos sexos;11035 Tarifa;Marruecos;43
Ambos sexos;11035 Tarifa;Total América;48
Ambos sexos;11035 Tarifa;Colombia;3
Ambos sexos;11035 Tarifa;Ecuador;4
Ambos sexos;11035 Tarifa;Total Asia;7
Ambos sexos;11035 Tarifa;Resto;0
Ambos sexos;11036 Torre Alháquime;Total Unión Europea;4
Ambos sexos;11036 Torre Alháquime;Reino Unido;0
Ambos sexos;11036 Torre Alháquime;Alemania;2
Ambos sexos;11036 Torre Alháquime;Total Africa;0
Ambos sexos;11036 Torre Alháquime;Marruecos;0
Ambos sexos;11036 Torre Alháquime;Total América;0
Ambos sexos;11036 Torre Alháquime;Colombia;0
Ambos sexos;11036 Torre Alháquime;Ecuador;0
