Sexo;Municipios;País de nacimiento;Total
Ambos sexos;11001-Alcalá de los Gazules;Total Población;5.219
Ambos sexos;11001-Alcalá de los Gazules;Nacidos en España;5.135
Ambos sexos;11001-Alcalá de los Gazules;Nacidos en el Extranjero;84
Ambos sexos;11001-Alcalá de los Gazules;Total Europa;32
Ambos sexos;11001-Alcalá de los Gazules;Total Unión Europea;30
Ambos sexos;11001-Alcalá de los Gazules;Alemania;4
Ambos sexos;11001-Alcalá de los Gazules;Bulgaria;0
Ambos sexos;11001-Alcalá de los Gazules;Francia;4
Ambos sexos;11001-Alcalá de los Gazules;Italia;1
Ambos sexos;11001-Alcalá de los Gazules;Polonia;3
Ambos sexos;11001-Alcalá de los Gazules;Portugal;2
Ambos sexos;11001-Alcalá de los Gazules;Reino Unido;12
Ambos sexos;11001-Alcalá de los Gazules;Rumanía;2
Ambos sexos;11001-Alcalá de los Gazules;Total Europa No Comunitaria;2
Ambos sexos;11001-Alcalá de los Gazules;Rusia;0
Ambos sexos;11001-Alcalá de los Gazules;Ucrania;1
Ambos sexos;11001-Alcalá de los Gazules;Total África;20
Ambos sexos;11001-Alcalá de los Gazules;Argelia;2
Ambos sexos;11001-Alcalá de los Gazules;Marruecos;17
Ambos sexos;11001-Alcalá de los Gazules;Nigeria;0
Ambos sexos;11001-Alcalá de los Gazules;Senegal;0
Ambos sexos;11001-Alcalá de los Gazules;Total América;24
Ambos sexos;11001-Alcalá de los Gazules;Argentina;0
Ambos sexos;11001-Alcalá de los Gazules;Bolivia;2
Ambos sexos;11001-Alcalá de los Gazules;Brasil;1
Ambos sexos;11001-Alcalá de los Gazules;Colombia;6
Ambos sexos;11001-Alcalá de los Gazules;Cuba;1
Ambos sexos;11001-Alcalá de los Gazules;Chile;0
Ambos sexos;11001-Alcalá de los Gazules;Ecuador;1
Ambos sexos;11001-Alcalá de los Gazules;Paraguay;0
Ambos sexos;11001-Alcalá de los Gazules;Perú;4
Ambos sexos;11001-Alcalá de los Gazules;República Dominicana;2
Ambos sexos;11001-Alcalá de los Gazules;Uruguay;1
Ambos sexos;11001-Alcalá de los Gazules;Venezuela;3
Ambos sexos;11001-Alcalá de los Gazules;Total Asia;7
Ambos sexos;11001-Alcalá de los Gazules;China;3
Ambos sexos;11001-Alcalá de los Gazules;Pakistán;4
Ambos sexos;11001-Alcalá de los Gazules;Total Oceanía;1
Ambos sexos;11002-Alcalá del Valle;Total Población;5.046
Ambos sexos;11002-Alcalá del Valle;Nacidos en España;4.937
Ambos sexos;11002-Alcalá del Valle;Nacidos en el Extranjero;109
Ambos sexos;11002-Alcalá del Valle;Total Europa;68
Ambos sexos;11002-Alcalá del Valle;Total Unión Europea;61
Ambos sexos;11002-Alcalá del Valle;Alemania;20
Ambos sexos;11002-Alcalá del Valle;Bulgaria;2
Ambos sexos;11002-Alcalá del Valle;Francia;23
Ambos sexos;11002-Alcalá del Valle;Italia;0
Ambos sexos;11002-Alcalá del Valle;Polonia;0
Ambos sexos;11002-Alcalá del Valle;Portugal;2
Ambos sexos;11002-Alcalá del Valle;Reino Unido;3
Ambos sexos;11002-Alcalá del Valle;Rumanía;3
Ambos sexos;11002-Alcalá del Valle;Total Europa No Comunitaria;7
Ambos sexos;11002-Alcalá del Valle;Rusia;0
Ambos sexos;11002-Alcalá del Valle;Ucrania;0
Ambos sexos;11002-Alcalá del Valle;Total África;8
Ambos sexos;11002-Alcalá del Valle;Argelia;1
Ambos sexos;11002-Alcalá del Valle;Marruecos;6
Ambos sexos;11002-Alcalá del Valle;Nigeria;0
Ambos sexos;11002-Alcalá del Valle;Senegal;0
Ambos sexos;11002-Alcalá del Valle;Total América;28
Ambos sexos;11002-Alcalá del Valle;Argentina;5
Ambos sexos;11002-Alcalá del Valle;Bolivia;1
Ambos sexos;11002-Alcalá del Valle;Brasil;1
Ambos sexos;11002-Alcalá del Valle;Colombia;3
Ambos sexos;11002-Alcalá del Valle;Cuba;1
Ambos sexos;11002-Alcalá del Valle;Chile;0
Ambos sexos;11002-Alcalá del Valle;Ecuador;1
Ambos sexos;11002-Alcalá del Valle;Paraguay;3
Ambos sexos;11002-Alcalá del Valle;Perú;1
Ambos sexos;11002-Alcalá del Valle;República Dominicana;4
Ambos sexos;11002-Alcalá del Valle;Uruguay;0
Ambos sexos;11002-Alcalá del Valle;Venezuela;1
Ambos sexos;11002-Alcalá del Valle;Total Asia;5
Ambos sexos;11002-Alcalá del Valle;China;4
Ambos sexos;11002-Alcalá del Valle;Pakistán;0
Ambos sexos;11002-Alcalá del Valle;Total Oceanía;0
Ambos sexos;11003-Algar;Total Población;1.413
Ambos sexos;11003-Algar;Nacidos en España;1.392
Ambos sexos;11003-Algar;Nacidos en el Extranjero;21
Ambos sexos;11003-Algar;Total Europa;8
Ambos sexos;11003-Algar;Total Unión Europea;8
Ambos sexos;11003-Algar;Alemania;2
Ambos sexos;11003-Algar;Bulgaria;0
Ambos sexos;11003-Algar;Francia;2
Ambos sexos;11003-Algar;Italia;0
Ambos sexos;11003-Algar;Polonia;0
Ambos sexos;11003-Algar;Portugal;0
Ambos sexos;11003-Algar;Reino Unido;4
Ambos sexos;11003-Algar;Rumanía;0
Ambos sexos;11003-Algar;Total Europa No Comunitaria;0
Ambos sexos;11003-Algar;Rusia;0
Ambos sexos;11003-Algar;Ucrania;0
Ambos sexos;11003-Algar;Total África;7
Ambos sexos;11003-Algar;Argelia;0
Ambos sexos;11003-Algar;Marruecos;7
Ambos sexos;11003-Algar;Nigeria;0
Ambos sexos;11003-Algar;Senegal;0
Ambos sexos;11003-Algar;Total América;6
Ambos sexos;11003-Algar;Argentina;1
Ambos sexos;11003-Algar;Bolivia;1
Ambos sexos;11003-Algar;Brasil;0
Ambos sexos;11003-Algar;Colombia;3
Ambos sexos;11003-Algar;Cuba;0
Ambos sexos;11003-Algar;Chile;0
Ambos sexos;11003-Algar;Ecuador;1
Ambos sexos;11003-Algar;Paraguay;0
Ambos sexos;11003-Algar;Perú;0
Ambos sexos;11003-Algar;República Dominicana;0
Ambos sexos;11003-Algar;Uruguay;0
Ambos sexos;11003-Algar;Venezuela;0
Ambos sexos;11003-Algar;Total Asia;0
Ambos sexos;11003-Algar;China;0
Ambos sexos;11003-Algar;Pakistán;0
Ambos sexos;11003-Algar;Total Oceanía;0
Ambos sexos;11004-Algeciras;Total Población;121.957
Ambos sexos;11004-Algeciras;Nacidos en España;108.884
Ambos sexos;11004-Algeciras;Nacidos en el Extranjero;13.073
Ambos sexos;11004-Algeciras;Total Europa;2.135
Ambos sexos;11004-Algeciras;Total Unión Europea;1.845
Ambos sexos;11004-Algeciras;Alemania;330
Ambos sexos;11004-Algeciras;Bulgaria;28
Ambos sexos;11004-Algeciras;Francia;473
Ambos sexos;11004-Algeciras;Italia;79
Ambos sexos;11004-Algeciras;Polonia;60
Ambos sexos;11004-Algeciras;Portugal;98
Ambos sexos;11004-Algeciras;Reino Unido;269
Ambos sexos;11004-Algeciras;Rumanía;266
Ambos sexos;11004-Algeciras;Total Europa No Comunitaria;290
Ambos sexos;11004-Algeciras;Rusia;73
Ambos sexos;11004-Algeciras;Ucrania;124
Ambos sexos;11004-Algeciras;Total África;7.828
Ambos sexos;11004-Algeciras;Argelia;37
Ambos sexos;11004-Algeciras;Marruecos;7.459
Ambos sexos;11004-Algeciras;Nigeria;66
Ambos sexos;11004-Algeciras;Senegal;56
Ambos sexos;11004-Algeciras;Total América;2.688
Ambos sexos;11004-Algeciras;Argentina;333
Ambos sexos;11004-Algeciras;Bolivia;539
Ambos sexos;11004-Algeciras;Brasil;286
Ambos sexos;11004-Algeciras;Colombia;337
Ambos sexos;11004-Algeciras;Cuba;131
Ambos sexos;11004-Algeciras;Chile;31
Ambos sexos;11004-Algeciras;Ecuador;82
Ambos sexos;11004-Algeciras;Paraguay;190
Ambos sexos;11004-Algeciras;Perú;131
Ambos sexos;11004-Algeciras;República Dominicana;138
Ambos sexos;11004-Algeciras;Uruguay;76
Ambos sexos;11004-Algeciras;Venezuela;211
Ambos sexos;11004-Algeciras;Total Asia;384
Ambos sexos;11004-Algeciras;China;244
