Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;14001 Adamuz;Africa;1
Ambos sexos;14001 Adamuz;América;5
Ambos sexos;14001 Adamuz;Asia;..
Ambos sexos;14001 Adamuz;Europa;..
Ambos sexos;14001 Adamuz;Resto;..
Ambos sexos;14002 Aguilar de la Frontera;Africa;15
Ambos sexos;14002 Aguilar de la Frontera;América;2
Ambos sexos;14002 Aguilar de la Frontera;Asia;..
Ambos sexos;14002 Aguilar de la Frontera;Europa;9
Ambos sexos;14002 Aguilar de la Frontera;Resto;..
Ambos sexos;14003 Alcaracejos;Africa;..
Ambos sexos;14003 Alcaracejos;América;..
Ambos sexos;14003 Alcaracejos;Asia;..
Ambos sexos;14003 Alcaracejos;Europa;1
Ambos sexos;14003 Alcaracejos;Resto;..
Ambos sexos;14004 Almedinilla;Africa;10
Ambos sexos;14004 Almedinilla;América;1
Ambos sexos;14004 Almedinilla;Asia;..
Ambos sexos;14004 Almedinilla;Europa;1
Ambos sexos;14004 Almedinilla;Resto;..
Ambos sexos;14005 Almodóvar del Río;Africa;1
Ambos sexos;14005 Almodóvar del Río;América;4
Ambos sexos;14005 Almodóvar del Río;Asia;..
Ambos sexos;14005 Almodóvar del Río;Europa;4
Ambos sexos;14005 Almodóvar del Río;Resto;1
Ambos sexos;14006 Añora;Africa;..
Ambos sexos;14006 Añora;América;..
Ambos sexos;14006 Añora;Asia;..
Ambos sexos;14006 Añora;Europa;..
Ambos sexos;14006 Añora;Resto;..
Ambos sexos;14007 Baena;Africa;19
Ambos sexos;14007 Baena;América;10
Ambos sexos;14007 Baena;Asia;9
Ambos sexos;14007 Baena;Europa;14
Ambos sexos;14007 Baena;Resto;..
Ambos sexos;14008 Belalcázar;Africa;..
Ambos sexos;14008 Belalcázar;América;1
Ambos sexos;14008 Belalcázar;Asia;..
Ambos sexos;14008 Belalcázar;Europa;3
Ambos sexos;14008 Belalcázar;Resto;..
Ambos sexos;14009 Belmez;Africa;..
Ambos sexos;14009 Belmez;América;..
Ambos sexos;14009 Belmez;Asia;4
Ambos sexos;14009 Belmez;Europa;1
Ambos sexos;14009 Belmez;Resto;..
Ambos sexos;14010 Benamejí;Africa;3
Ambos sexos;14010 Benamejí;América;..
Ambos sexos;14010 Benamejí;Asia;..
Ambos sexos;14010 Benamejí;Europa;2
Ambos sexos;14010 Benamejí;Resto;..
Ambos sexos;14011 Blázquez (Los);Africa;..
Ambos sexos;14011 Blázquez (Los);América;..
Ambos sexos;14011 Blázquez (Los);Asia;..
Ambos sexos;14011 Blázquez (Los);Europa;..
Ambos sexos;14011 Blázquez (Los);Resto;..
Ambos sexos;14012 Bujalance;Africa;1
Ambos sexos;14012 Bujalance;América;4
Ambos sexos;14012 Bujalance;Asia;..
Ambos sexos;14012 Bujalance;Europa;..
Ambos sexos;14012 Bujalance;Resto;..
Ambos sexos;14013 Cabra;Africa;9
Ambos sexos;14013 Cabra;América;12
Ambos sexos;14013 Cabra;Asia;3
Ambos sexos;14013 Cabra;Europa;21
Ambos sexos;14013 Cabra;Resto;..
Ambos sexos;14014 Cañete de las Torres;Africa;..
