Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;14001 Adamuz;Total Unión Europea;0
Ambos sexos;14001 Adamuz;Reino Unido;0
Ambos sexos;14001 Adamuz;Alemania;0
Ambos sexos;14001 Adamuz;Total Africa;6
Ambos sexos;14001 Adamuz;Marruecos;6
Ambos sexos;14001 Adamuz;Total América;5
Ambos sexos;14001 Adamuz;Colombia;1
Ambos sexos;14001 Adamuz;Ecuador;0
Ambos sexos;14001 Adamuz;Total Asia;0
Ambos sexos;14001 Adamuz;Resto;0
Ambos sexos;14002 Aguilar de la Frontera;Total Unión Europea;10
Ambos sexos;14002 Aguilar de la Frontera;Reino Unido;5
Ambos sexos;14002 Aguilar de la Frontera;Alemania;1
Ambos sexos;14002 Aguilar de la Frontera;Total Africa;81
Ambos sexos;14002 Aguilar de la Frontera;Marruecos;80
Ambos sexos;14002 Aguilar de la Frontera;Total América;17
Ambos sexos;14002 Aguilar de la Frontera;Colombia;10
Ambos sexos;14002 Aguilar de la Frontera;Ecuador;6
Ambos sexos;14002 Aguilar de la Frontera;Total Asia;0
Ambos sexos;14002 Aguilar de la Frontera;Resto;0
Ambos sexos;14003 Alcaracejos;Total Unión Europea;1
Ambos sexos;14003 Alcaracejos;Reino Unido;0
Ambos sexos;14003 Alcaracejos;Alemania;0
Ambos sexos;14003 Alcaracejos;Total Africa;0
Ambos sexos;14003 Alcaracejos;Marruecos;0
Ambos sexos;14003 Alcaracejos;Total América;0
Ambos sexos;14003 Alcaracejos;Colombia;0
Ambos sexos;14003 Alcaracejos;Ecuador;0
Ambos sexos;14003 Alcaracejos;Total Asia;0
Ambos sexos;14003 Alcaracejos;Resto;0
Ambos sexos;14004 Almedinilla;Total Unión Europea;1
Ambos sexos;14004 Almedinilla;Reino Unido;0
Ambos sexos;14004 Almedinilla;Alemania;0
Ambos sexos;14004 Almedinilla;Total Africa;10
Ambos sexos;14004 Almedinilla;Marruecos;10
Ambos sexos;14004 Almedinilla;Total América;1
Ambos sexos;14004 Almedinilla;Colombia;0
Ambos sexos;14004 Almedinilla;Ecuador;0
Ambos sexos;14004 Almedinilla;Total Asia;0
Ambos sexos;14004 Almedinilla;Resto;0
Ambos sexos;14005 Almodóvar del Río;Total Unión Europea;4
Ambos sexos;14005 Almodóvar del Río;Reino Unido;0
Ambos sexos;14005 Almodóvar del Río;Alemania;0
Ambos sexos;14005 Almodóvar del Río;Total Africa;2
Ambos sexos;14005 Almodóvar del Río;Marruecos;1
Ambos sexos;14005 Almodóvar del Río;Total América;7
Ambos sexos;14005 Almodóvar del Río;Colombia;0
Ambos sexos;14005 Almodóvar del Río;Ecuador;5
Ambos sexos;14005 Almodóvar del Río;Total Asia;0
Ambos sexos;14005 Almodóvar del Río;Resto;1
Ambos sexos;14006 Añora;Total Unión Europea;0
Ambos sexos;14006 Añora;Reino Unido;0
Ambos sexos;14006 Añora;Alemania;0
Ambos sexos;14006 Añora;Total Africa;0
Ambos sexos;14006 Añora;Marruecos;0
Ambos sexos;14006 Añora;Total América;0
Ambos sexos;14006 Añora;Colombia;0
Ambos sexos;14006 Añora;Ecuador;0
Ambos sexos;14006 Añora;Total Asia;0
Ambos sexos;14006 Añora;Resto;0
Ambos sexos;14007 Baena;Total Unión Europea;19
Ambos sexos;14007 Baena;Reino Unido;0
Ambos sexos;14007 Baena;Alemania;0
Ambos sexos;14007 Baena;Total Africa;30
Ambos sexos;14007 Baena;Marruecos;28
Ambos sexos;14007 Baena;Total América;51
Ambos sexos;14007 Baena;Colombia;15
Ambos sexos;14007 Baena;Ecuador;16
Ambos sexos;14007 Baena;Total Asia;16
Ambos sexos;14007 Baena;Resto;0
