Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;18001-Agrón;Total Población;381
Ambos sexos;18001-Agrón;Nacidos en España;354
Ambos sexos;18001-Agrón;Nacidos en el Extranjero;27
Ambos sexos;18001-Agrón;Total Europa;19
Ambos sexos;18001-Agrón;Total Unión Europea;19
Ambos sexos;18001-Agrón;Alemania;2
Ambos sexos;18001-Agrón;Bulgaria;4
Ambos sexos;18001-Agrón;Francia;0
Ambos sexos;18001-Agrón;Italia;0
Ambos sexos;18001-Agrón;Polonia;0
Ambos sexos;18001-Agrón;Portugal;0
Ambos sexos;18001-Agrón;Reino Unido;2
Ambos sexos;18001-Agrón;Rumanía;2
Ambos sexos;18001-Agrón;Total Europa No Comunitaria;0
Ambos sexos;18001-Agrón;Rusia;0
Ambos sexos;18001-Agrón;Ucrania;0
Ambos sexos;18001-Agrón;Total Africa;5
Ambos sexos;18001-Agrón;Argelia;0
Ambos sexos;18001-Agrón;Marruecos;5
Ambos sexos;18001-Agrón;Nigeria;0
Ambos sexos;18001-Agrón;Senegal;0
Ambos sexos;18001-Agrón;Total América;3
Ambos sexos;18001-Agrón;Argentina;0
Ambos sexos;18001-Agrón;Bolivia;0
Ambos sexos;18001-Agrón;Brasil;0
Ambos sexos;18001-Agrón;Colombia;3
Ambos sexos;18001-Agrón;Cuba;0
Ambos sexos;18001-Agrón;Chile;0
Ambos sexos;18001-Agrón;Ecuador;0
Ambos sexos;18001-Agrón;Paraguay;0
Ambos sexos;18001-Agrón;Perú;0
Ambos sexos;18001-Agrón;Rep. Dominicana;0
Ambos sexos;18001-Agrón;Uruguay;0
Ambos sexos;18001-Agrón;Venezuela;0
Ambos sexos;18001-Agrón;Total Asia;0
Ambos sexos;18001-Agrón;China;0
Ambos sexos;18001-Agrón;Pakistán;0
Ambos sexos;18001-Agrón;Oceanía;0
Ambos sexos;18002-Alamedilla;Total Población;757
Ambos sexos;18002-Alamedilla;Nacidos en España;725
Ambos sexos;18002-Alamedilla;Nacidos en el Extranjero;32
Ambos sexos;18002-Alamedilla;Total Europa;32
Ambos sexos;18002-Alamedilla;Total Unión Europea;32
Ambos sexos;18002-Alamedilla;Alemania;5
Ambos sexos;18002-Alamedilla;Bulgaria;0
Ambos sexos;18002-Alamedilla;Francia;17
Ambos sexos;18002-Alamedilla;Italia;0
Ambos sexos;18002-Alamedilla;Polonia;0
Ambos sexos;18002-Alamedilla;Portugal;0
Ambos sexos;18002-Alamedilla;Reino Unido;0
Ambos sexos;18002-Alamedilla;Rumanía;10
Ambos sexos;18002-Alamedilla;Total Europa No Comunitaria;0
Ambos sexos;18002-Alamedilla;Rusia;0
Ambos sexos;18002-Alamedilla;Ucrania;0
Ambos sexos;18002-Alamedilla;Total Africa;0
Ambos sexos;18002-Alamedilla;Argelia;0
Ambos sexos;18002-Alamedilla;Marruecos;0
Ambos sexos;18002-Alamedilla;Nigeria;0
Ambos sexos;18002-Alamedilla;Senegal;0
Ambos sexos;18002-Alamedilla;Total América;0
Ambos sexos;18002-Alamedilla;Argentina;0
Ambos sexos;18002-Alamedilla;Bolivia;0
Ambos sexos;18002-Alamedilla;Brasil;0
