Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;21001 Alájar;Total Unión Europea;34
Ambos sexos;21001 Alájar;Reino Unido;5
Ambos sexos;21001 Alájar;Alemania;14
Ambos sexos;21001 Alájar;Total Africa;0
Ambos sexos;21001 Alájar;Marruecos;0
Ambos sexos;21001 Alájar;Total América;1
Ambos sexos;21001 Alájar;Colombia;0
Ambos sexos;21001 Alájar;Ecuador;0
Ambos sexos;21001 Alájar;Total Asia;0
Ambos sexos;21001 Alájar;Resto;0
Ambos sexos;21002 Aljaraque;Total Unión Europea;121
Ambos sexos;21002 Aljaraque;Reino Unido;14
Ambos sexos;21002 Aljaraque;Alemania;22
Ambos sexos;21002 Aljaraque;Total Africa;68
Ambos sexos;21002 Aljaraque;Marruecos;13
Ambos sexos;21002 Aljaraque;Total América;73
Ambos sexos;21002 Aljaraque;Colombia;44
Ambos sexos;21002 Aljaraque;Ecuador;1
Ambos sexos;21002 Aljaraque;Total Asia;1
Ambos sexos;21002 Aljaraque;Resto;0
Ambos sexos;21003 Almendro (El);Total Unión Europea;15
Ambos sexos;21003 Almendro (El);Reino Unido;0
Ambos sexos;21003 Almendro (El);Alemania;0
Ambos sexos;21003 Almendro (El);Total Africa;1
Ambos sexos;21003 Almendro (El);Marruecos;1
Ambos sexos;21003 Almendro (El);Total América;3
Ambos sexos;21003 Almendro (El);Colombia;1
Ambos sexos;21003 Almendro (El);Ecuador;0
Ambos sexos;21003 Almendro (El);Total Asia;0
Ambos sexos;21003 Almendro (El);Resto;0
Ambos sexos;21004 Almonaster la Real;Total Unión Europea;13
Ambos sexos;21004 Almonaster la Real;Reino Unido;2
Ambos sexos;21004 Almonaster la Real;Alemania;1
Ambos sexos;21004 Almonaster la Real;Total Africa;3
Ambos sexos;21004 Almonaster la Real;Marruecos;1
Ambos sexos;21004 Almonaster la Real;Total América;0
Ambos sexos;21004 Almonaster la Real;Colombia;0
Ambos sexos;21004 Almonaster la Real;Ecuador;0
Ambos sexos;21004 Almonaster la Real;Total Asia;0
Ambos sexos;21004 Almonaster la Real;Resto;2
Ambos sexos;21005 Almonte;Total Unión Europea;59
Ambos sexos;21005 Almonte;Reino Unido;0
Ambos sexos;21005 Almonte;Alemania;34
Ambos sexos;21005 Almonte;Total Africa;113
Ambos sexos;21005 Almonte;Marruecos;104
Ambos sexos;21005 Almonte;Total América;146
Ambos sexos;21005 Almonte;Colombia;11
Ambos sexos;21005 Almonte;Ecuador;116
Ambos sexos;21005 Almonte;Total Asia;5
Ambos sexos;21005 Almonte;Resto;0
Ambos sexos;21006 Alosno;Total Unión Europea;6
Ambos sexos;21006 Alosno;Reino Unido;1
Ambos sexos;21006 Alosno;Alemania;0
Ambos sexos;21006 Alosno;Total Africa;6
Ambos sexos;21006 Alosno;Marruecos;6
Ambos sexos;21006 Alosno;Total América;0
Ambos sexos;21006 Alosno;Colombia;0
Ambos sexos;21006 Alosno;Ecuador;0
Ambos sexos;21006 Alosno;Total Asia;0
Ambos sexos;21006 Alosno;Resto;0
Ambos sexos;21007 Aracena;Total Unión Europea;13
Ambos sexos;21007 Aracena;Reino Unido;3
Ambos sexos;21007 Aracena;Alemania;2
Ambos sexos;21007 Aracena;Total Africa;2
Ambos sexos;21007 Aracena;Marruecos;2
Ambos sexos;21007 Aracena;Total América;3
Ambos sexos;21007 Aracena;Colombia;0
Ambos sexos;21007 Aracena;Ecuador;0
Ambos sexos;21007 Aracena;Total Asia;0
Ambos sexos;21007 Aracena;Resto;0
Ambos sexos;21008 Aroche;Total Unión Europea;8
Ambos sexos;21008 Aroche;Reino Unido;0
Ambos sexos;21008 Aroche;Alemania;1
Ambos sexos;21008 Aroche;Total Africa;0
Ambos sexos;21008 Aroche;Marruecos;0
Ambos sexos;21008 Aroche;Total América;0
Ambos sexos;21008 Aroche;Colombia;0
Ambos sexos;21008 Aroche;Ecuador;0
Ambos sexos;21008 Aroche;Total Asia;0
Ambos sexos;21008 Aroche;Resto;0
Ambos sexos;21009 Arroyomolinos de León;Total Unión Europea;0
Ambos sexos;21009 Arroyomolinos de León;Reino Unido;0
Ambos sexos;21009 Arroyomolinos de León;Alemania;0
Ambos sexos;21009 Arroyomolinos de León;Total Africa;0
Ambos sexos;21009 Arroyomolinos de León;Marruecos;0
Ambos sexos;21009 Arroyomolinos de León;Total América;0
Ambos sexos;21009 Arroyomolinos de León;Colombia;0
Ambos sexos;21009 Arroyomolinos de León;Ecuador;0
Ambos sexos;21009 Arroyomolinos de León;Total Asia;0
Ambos sexos;21009 Arroyomolinos de León;Resto;0
Ambos sexos;21010 Ayamonte;Total Unión Europea;407
Ambos sexos;21010 Ayamonte;Reino Unido;15
Ambos sexos;21010 Ayamonte;Alemania;31
Ambos sexos;21010 Ayamonte;Total Africa;97
Ambos sexos;21010 Ayamonte;Marruecos;78
Ambos sexos;21010 Ayamonte;Total América;92
Ambos sexos;21010 Ayamonte;Colombia;35
Ambos sexos;21010 Ayamonte;Ecuador;11
Ambos sexos;21010 Ayamonte;Total Asia;3
Ambos sexos;21010 Ayamonte;Resto;0
Ambos sexos;21011 Beas;Total Unión Europea;6
Ambos sexos;21011 Beas;Reino Unido;0
Ambos sexos;21011 Beas;Alemania;1
Ambos sexos;21011 Beas;Total Africa;12
Ambos sexos;21011 Beas;Marruecos;12
Ambos sexos;21011 Beas;Total América;9
Ambos sexos;21011 Beas;Colombia;0
Ambos sexos;21011 Beas;Ecuador;0
Ambos sexos;21011 Beas;Total Asia;1
Ambos sexos;21011 Beas;Resto;0
Ambos sexos;21012 Berrocal;Total Unión Europea;0
Ambos sexos;21012 Berrocal;Reino Unido;0
Ambos sexos;21012 Berrocal;Alemania;0
Ambos sexos;21012 Berrocal;Total Africa;0
Ambos sexos;21012 Berrocal;Marruecos;0
Ambos sexos;21012 Berrocal;Total América;0
Ambos sexos;21012 Berrocal;Colombia;0
Ambos sexos;21012 Berrocal;Ecuador;0
Ambos sexos;21012 Berrocal;Total Asia;0
Ambos sexos;21012 Berrocal;Resto;0
Ambos sexos;21013 Bollullos Par del Condado;Total Unión Europea;27
Ambos sexos;21013 Bollullos Par del Condado;Reino Unido;1
Ambos sexos;21013 Bollullos Par del Condado;Alemania;10
Ambos sexos;21013 Bollullos Par del Condado;Total Africa;51
Ambos sexos;21013 Bollullos Par del Condado;Marruecos;45
Ambos sexos;21013 Bollullos Par del Condado;Total América;19
Ambos sexos;21013 Bollullos Par del Condado;Colombia;12
Ambos sexos;21013 Bollullos Par del Condado;Ecuador;3
Ambos sexos;21013 Bollullos Par del Condado;Total Asia;3
Ambos sexos;21013 Bollullos Par del Condado;Resto;0
Ambos sexos;21014 Bonares;Total Unión Europea;25
Ambos sexos;21014 Bonares;Reino Unido;3
Ambos sexos;21014 Bonares;Alemania;4
Ambos sexos;21014 Bonares;Total Africa;189
Ambos sexos;21014 Bonares;Marruecos;169
Ambos sexos;21014 Bonares;Total América;8
Ambos sexos;21014 Bonares;Colombia;6
Ambos sexos;21014 Bonares;Ecuador;0
Ambos sexos;21014 Bonares;Total Asia;0
Ambos sexos;21014 Bonares;Resto;0
Ambos sexos;21015 Cabezas Rubias;Total Unión Europea;7
Ambos sexos;21015 Cabezas Rubias;Reino Unido;0
Ambos sexos;21015 Cabezas Rubias;Alemania;0
Ambos sexos;21015 Cabezas Rubias;Total Africa;0
Ambos sexos;21015 Cabezas Rubias;Marruecos;0
Ambos sexos;21015 Cabezas Rubias;Total América;2
Ambos sexos;21015 Cabezas Rubias;Colombia;0
Ambos sexos;21015 Cabezas Rubias;Ecuador;0
Ambos sexos;21015 Cabezas Rubias;Total Asia;0
Ambos sexos;21015 Cabezas Rubias;Resto;0
Ambos sexos;21016 Cala;Total Unión Europea;2
Ambos sexos;21016 Cala;Reino Unido;0
Ambos sexos;21016 Cala;Alemania;1
Ambos sexos;21016 Cala;Total Africa;0
Ambos sexos;21016 Cala;Marruecos;0
Ambos sexos;21016 Cala;Total América;0
Ambos sexos;21016 Cala;Colombia;0
Ambos sexos;21016 Cala;Ecuador;0
Ambos sexos;21016 Cala;Total Asia;0
Ambos sexos;21016 Cala;Resto;0
Ambos sexos;21017 Calañas;Total Unión Europea;20
Ambos sexos;21017 Calañas;Reino Unido;0
Ambos sexos;21017 Calañas;Alemania;6
Ambos sexos;21017 Calañas;Total Africa;0
Ambos sexos;21017 Calañas;Marruecos;0
Ambos sexos;21017 Calañas;Total América;1
Ambos sexos;21017 Calañas;Colombia;0
Ambos sexos;21017 Calañas;Ecuador;0
Ambos sexos;21017 Calañas;Total Asia;0
Ambos sexos;21017 Calañas;Resto;0
Ambos sexos;21018 Campillo (El);Total Unión Europea;12
Ambos sexos;21018 Campillo (El);Reino Unido;1
Ambos sexos;21018 Campillo (El);Alemania;0
Ambos sexos;21018 Campillo (El);Total Africa;0
Ambos sexos;21018 Campillo (El);Marruecos;0
Ambos sexos;21018 Campillo (El);Total América;0
Ambos sexos;21018 Campillo (El);Colombia;0
Ambos sexos;21018 Campillo (El);Ecuador;0
Ambos sexos;21018 Campillo (El);Total Asia;0
Ambos sexos;21018 Campillo (El);Resto;0
Ambos sexos;21019 Campofrío;Total Unión Europea;4
Ambos sexos;21019 Campofrío;Reino Unido;0
Ambos sexos;21019 Campofrío;Alemania;1
Ambos sexos;21019 Campofrío;Total Africa;0
Ambos sexos;21019 Campofrío;Marruecos;0
Ambos sexos;21019 Campofrío;Total América;0
Ambos sexos;21019 Campofrío;Colombia;0
Ambos sexos;21019 Campofrío;Ecuador;0
Ambos sexos;21019 Campofrío;Total Asia;0
Ambos sexos;21019 Campofrío;Resto;0
Ambos sexos;21020 Cañaveral de León;Total Unión Europea;0
Ambos sexos;21020 Cañaveral de León;Reino Unido;0
Ambos sexos;21020 Cañaveral de León;Alemania;0
Ambos sexos;21020 Cañaveral de León;Total Africa;0
Ambos sexos;21020 Cañaveral de León;Marruecos;0
Ambos sexos;21020 Cañaveral de León;Total América;0
Ambos sexos;21020 Cañaveral de León;Colombia;0
Ambos sexos;21020 Cañaveral de León;Ecuador;0
Ambos sexos;21020 Cañaveral de León;Total Asia;0
Ambos sexos;21020 Cañaveral de León;Resto;0
Ambos sexos;21021 Cartaya;Total Unión Europea;151
Ambos sexos;21021 Cartaya;Reino Unido;8
Ambos sexos;21021 Cartaya;Alemania;23
Ambos sexos;21021 Cartaya;Total Africa;329
Ambos sexos;21021 Cartaya;Marruecos;279
Ambos sexos;21021 Cartaya;Total América;77
Ambos sexos;21021 Cartaya;Colombia;5
Ambos sexos;21021 Cartaya;Ecuador;43
Ambos sexos;21021 Cartaya;Total Asia;7
Ambos sexos;21021 Cartaya;Resto;0
Ambos sexos;21022 Castaño del Robledo;Total Unión Europea;1
Ambos sexos;21022 Castaño del Robledo;Reino Unido;1
Ambos sexos;21022 Castaño del Robledo;Alemania;0
Ambos sexos;21022 Castaño del Robledo;Total Africa;0
Ambos sexos;21022 Castaño del Robledo;Marruecos;0
Ambos sexos;21022 Castaño del Robledo;Total América;0
Ambos sexos;21022 Castaño del Robledo;Colombia;0
Ambos sexos;21022 Castaño del Robledo;Ecuador;0
Ambos sexos;21022 Castaño del Robledo;Total Asia;0
Ambos sexos;21022 Castaño del Robledo;Resto;0
Ambos sexos;21023 Cerro de Andévalo (El);Total Unión Europea;3
Ambos sexos;21023 Cerro de Andévalo (El);Reino Unido;0
Ambos sexos;21023 Cerro de Andévalo (El);Alemania;0
Ambos sexos;21023 Cerro de Andévalo (El);Total Africa;0
Ambos sexos;21023 Cerro de Andévalo (El);Marruecos;0
Ambos sexos;21023 Cerro de Andévalo (El);Total América;0
Ambos sexos;21023 Cerro de Andévalo (El);Colombia;0
Ambos sexos;21023 Cerro de Andévalo (El);Ecuador;0
Ambos sexos;21023 Cerro de Andévalo (El);Total Asia;0
Ambos sexos;21023 Cerro de Andévalo (El);Resto;0
Ambos sexos;21024 Corteconcepción;Total Unión Europea;4
Ambos sexos;21024 Corteconcepción;Reino Unido;0
Ambos sexos;21024 Corteconcepción;Alemania;4
Ambos sexos;21024 Corteconcepción;Total Africa;0
Ambos sexos;21024 Corteconcepción;Marruecos;0
