Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;21001 Alájar;Total Población;750
Ambos sexos;21001 Alájar;Nacidos en el Extranjero;37
Ambos sexos;21001 Alájar;Total Europa;33
Ambos sexos;21001 Alájar;Total Unión Europea (25);31
Ambos sexos;21001 Alájar;Alemania;7
Ambos sexos;21001 Alájar;Francia;2
Ambos sexos;21001 Alájar;Reino Unido;1
Ambos sexos;21001 Alájar;Resto de Europa;2
Ambos sexos;21001 Alájar;Rumanía;0
Ambos sexos;21001 Alájar;Total Africa;1
Ambos sexos;21001 Alájar;Marruecos;0
Ambos sexos;21001 Alájar;Total Am‚rica;2
Ambos sexos;21001 Alájar;Colombia;0
Ambos sexos;21001 Alájar;Ecuador;0
Ambos sexos;21001 Alájar;Argentina;2
Ambos sexos;21001 Alájar;Total Asia;1
Ambos sexos;21001 Alájar;Oceanía;0
Ambos sexos;21002 Aljaraque;Total Población;14.060
Ambos sexos;21002 Aljaraque;Nacidos en el Extranjero;649
Ambos sexos;21002 Aljaraque;Total Europa;342
Ambos sexos;21002 Aljaraque;Total Unión Europea (25);300
Ambos sexos;21002 Aljaraque;Alemania;98
Ambos sexos;21002 Aljaraque;Francia;45
Ambos sexos;21002 Aljaraque;Reino Unido;30
Ambos sexos;21002 Aljaraque;Resto de Europa;42
Ambos sexos;21002 Aljaraque;Rumanía;9
Ambos sexos;21002 Aljaraque;Total Africa;138
Ambos sexos;21002 Aljaraque;Marruecos;57
Ambos sexos;21002 Aljaraque;Total Am‚rica;155
Ambos sexos;21002 Aljaraque;Colombia;33
Ambos sexos;21002 Aljaraque;Ecuador;10
Ambos sexos;21002 Aljaraque;Argentina;30
Ambos sexos;21002 Aljaraque;Total Asia;11
Ambos sexos;21002 Aljaraque;Oceanía;3
Ambos sexos;21003 Almendro (El);Total Población;834
Ambos sexos;21003 Almendro (El);Nacidos en el Extranjero;42
Ambos sexos;21003 Almendro (El);Total Europa;37
Ambos sexos;21003 Almendro (El);Total Unión Europea (25);34
Ambos sexos;21003 Almendro (El);Alemania;13
Ambos sexos;21003 Almendro (El);Francia;0
Ambos sexos;21003 Almendro (El);Reino Unido;0
Ambos sexos;21003 Almendro (El);Resto de Europa;3
Ambos sexos;21003 Almendro (El);Rumanía;0
Ambos sexos;21003 Almendro (El);Total Africa;0
Ambos sexos;21003 Almendro (El);Marruecos;0
Ambos sexos;21003 Almendro (El);Total Am‚rica;5
Ambos sexos;21003 Almendro (El);Colombia;0
Ambos sexos;21003 Almendro (El);Ecuador;3
Ambos sexos;21003 Almendro (El);Argentina;0
Ambos sexos;21003 Almendro (El);Total Asia;0
Ambos sexos;21003 Almendro (El);Oceanía;0
Ambos sexos;21004 Almonaster la Real;Total Población;1.858
Ambos sexos;21004 Almonaster la Real;Nacidos en el Extranjero;34
Ambos sexos;21004 Almonaster la Real;Total Europa;25
Ambos sexos;21004 Almonaster la Real;Total Unión Europea (25);21
Ambos sexos;21004 Almonaster la Real;Alemania;2
Ambos sexos;21004 Almonaster la Real;Francia;2
Ambos sexos;21004 Almonaster la Real;Reino Unido;1
Ambos sexos;21004 Almonaster la Real;Resto de Europa;4
Ambos sexos;21004 Almonaster la Real;Rumanía;0
Ambos sexos;21004 Almonaster la Real;Total Africa;5
Ambos sexos;21004 Almonaster la Real;Marruecos;2
Ambos sexos;21004 Almonaster la Real;Total Am‚rica;2
Ambos sexos;21004 Almonaster la Real;Colombia;1
Ambos sexos;21004 Almonaster la Real;Ecuador;0
Ambos sexos;21004 Almonaster la Real;Argentina;1
Ambos sexos;21004 Almonaster la Real;Total Asia;0
Ambos sexos;21004 Almonaster la Real;Oceanía;2
Ambos sexos;21005 Almonte;Total Población;19.191
Ambos sexos;21005 Almonte;Nacidos en el Extranjero;1.193
Ambos sexos;21005 Almonte;Total Europa;615
Ambos sexos;21005 Almonte;Total Unión Europea (25);346
Ambos sexos;21005 Almonte;Alemania;124
Ambos sexos;21005 Almonte;Francia;42
Ambos sexos;21005 Almonte;Reino Unido;10
Ambos sexos;21005 Almonte;Resto de Europa;269
Ambos sexos;21005 Almonte;Rumanía;114
Ambos sexos;21005 Almonte;Total Africa;203
Ambos sexos;21005 Almonte;Marruecos;179
Ambos sexos;21005 Almonte;Total Am‚rica;364
Ambos sexos;21005 Almonte;Colombia;39
Ambos sexos;21005 Almonte;Ecuador;221
Ambos sexos;21005 Almonte;Argentina;18
Ambos sexos;21005 Almonte;Total Asia;11
Ambos sexos;21005 Almonte;Oceanía;0
Ambos sexos;21006 Alosno;Total Población;4.419
Ambos sexos;21006 Alosno;Nacidos en el Extranjero;124
Ambos sexos;21006 Alosno;Total Europa;92
Ambos sexos;21006 Alosno;Total Unión Europea (25);69
Ambos sexos;21006 Alosno;Alemania;37
Ambos sexos;21006 Alosno;Francia;9
Ambos sexos;21006 Alosno;Reino Unido;1
Ambos sexos;21006 Alosno;Resto de Europa;23
Ambos sexos;21006 Alosno;Rumanía;0
Ambos sexos;21006 Alosno;Total Africa;24
Ambos sexos;21006 Alosno;Marruecos;24
Ambos sexos;21006 Alosno;Total Am‚rica;8
Ambos sexos;21006 Alosno;Colombia;0
Ambos sexos;21006 Alosno;Ecuador;1
Ambos sexos;21006 Alosno;Argentina;4
Ambos sexos;21006 Alosno;Total Asia;0
Ambos sexos;21006 Alosno;Oceanía;0
Ambos sexos;21007 Aracena;Total Población;6.979
Ambos sexos;21007 Aracena;Nacidos en el Extranjero;137
Ambos sexos;21007 Aracena;Total Europa;93
Ambos sexos;21007 Aracena;Total Unión Europea (25);85
Ambos sexos;21007 Aracena;Alemania;12
Ambos sexos;21007 Aracena;Francia;8
Ambos sexos;21007 Aracena;Reino Unido;18
Ambos sexos;21007 Aracena;Resto de Europa;8
Ambos sexos;21007 Aracena;Rumanía;6
Ambos sexos;21007 Aracena;Total Africa;16
Ambos sexos;21007 Aracena;Marruecos;12
Ambos sexos;21007 Aracena;Total Am‚rica;27
Ambos sexos;21007 Aracena;Colombia;7
Ambos sexos;21007 Aracena;Ecuador;1
Ambos sexos;21007 Aracena;Argentina;1
Ambos sexos;21007 Aracena;Total Asia;1
Ambos sexos;21007 Aracena;Oceanía;0
Ambos sexos;21008 Aroche;Total Población;3.360
Ambos sexos;21008 Aroche;Nacidos en el Extranjero;16
Ambos sexos;21008 Aroche;Total Europa;14
Ambos sexos;21008 Aroche;Total Unión Europea (25);14
Ambos sexos;21008 Aroche;Alemania;2
Ambos sexos;21008 Aroche;Francia;0
Ambos sexos;21008 Aroche;Reino Unido;1
Ambos sexos;21008 Aroche;Resto de Europa;0
Ambos sexos;21008 Aroche;Rumanía;0
Ambos sexos;21008 Aroche;Total Africa;2
Ambos sexos;21008 Aroche;Marruecos;1
Ambos sexos;21008 Aroche;Total Am‚rica;0
Ambos sexos;21008 Aroche;Colombia;0
Ambos sexos;21008 Aroche;Ecuador;0
Ambos sexos;21008 Aroche;Argentina;0
Ambos sexos;21008 Aroche;Total Asia;0
