Sexo;Municipios;País de nacimiento;Total
Ambos sexos;21001-Alájar;Total Población;756
Ambos sexos;21001-Alájar;Nacidos en España;696
Ambos sexos;21001-Alájar;Nacidos en el Extranjero;60
Ambos sexos;21001-Alájar;Total Europa;41
Ambos sexos;21001-Alájar;Total Unión Europea;38
Ambos sexos;21001-Alájar;Alemania;14
Ambos sexos;21001-Alájar;Bulgaria;0
Ambos sexos;21001-Alájar;Francia;5
Ambos sexos;21001-Alájar;Italia;1
Ambos sexos;21001-Alájar;Polonia;0
Ambos sexos;21001-Alájar;Portugal;6
Ambos sexos;21001-Alájar;Reino Unido;6
Ambos sexos;21001-Alájar;Rumanía;0
Ambos sexos;21001-Alájar;Total Europa No Comunitaria;3
Ambos sexos;21001-Alájar;Rusia;0
Ambos sexos;21001-Alájar;Ucrania;1
Ambos sexos;21001-Alájar;Total África;0
Ambos sexos;21001-Alájar;Argelia;0
Ambos sexos;21001-Alájar;Marruecos;0
Ambos sexos;21001-Alájar;Nigeria;0
Ambos sexos;21001-Alájar;Senegal;0
Ambos sexos;21001-Alájar;Total América;18
Ambos sexos;21001-Alájar;Argentina;6
Ambos sexos;21001-Alájar;Bolivia;0
Ambos sexos;21001-Alájar;Brasil;0
Ambos sexos;21001-Alájar;Colombia;0
Ambos sexos;21001-Alájar;Cuba;0
Ambos sexos;21001-Alájar;Chile;0
Ambos sexos;21001-Alájar;Ecuador;0
Ambos sexos;21001-Alájar;Paraguay;0
Ambos sexos;21001-Alájar;Perú;0
Ambos sexos;21001-Alájar;República Dominicana;0
Ambos sexos;21001-Alájar;Uruguay;1
Ambos sexos;21001-Alájar;Venezuela;2
Ambos sexos;21001-Alájar;Total Asia;1
Ambos sexos;21001-Alájar;China;0
Ambos sexos;21001-Alájar;Pakistán;0
Ambos sexos;21001-Alájar;Total Oceanía;0
Ambos sexos;21002-Aljaraque;Total Población;21.260
Ambos sexos;21002-Aljaraque;Nacidos en España;20.211
Ambos sexos;21002-Aljaraque;Nacidos en el Extranjero;1.049
Ambos sexos;21002-Aljaraque;Total Europa;532
Ambos sexos;21002-Aljaraque;Total Unión Europea;483
Ambos sexos;21002-Aljaraque;Alemania;139
Ambos sexos;21002-Aljaraque;Bulgaria;1
Ambos sexos;21002-Aljaraque;Francia;42
Ambos sexos;21002-Aljaraque;Italia;13
Ambos sexos;21002-Aljaraque;Polonia;28
Ambos sexos;21002-Aljaraque;Portugal;75
Ambos sexos;21002-Aljaraque;Reino Unido;47
Ambos sexos;21002-Aljaraque;Rumanía;84
Ambos sexos;21002-Aljaraque;Total Europa No Comunitaria;49
Ambos sexos;21002-Aljaraque;Rusia;6
Ambos sexos;21002-Aljaraque;Ucrania;16
Ambos sexos;21002-Aljaraque;Total África;122
Ambos sexos;21002-Aljaraque;Argelia;2
Ambos sexos;21002-Aljaraque;Marruecos;85
Ambos sexos;21002-Aljaraque;Nigeria;2
Ambos sexos;21002-Aljaraque;Senegal;17
Ambos sexos;21002-Aljaraque;Total América;358
Ambos sexos;21002-Aljaraque;Argentina;70
Ambos sexos;21002-Aljaraque;Bolivia;5
Ambos sexos;21002-Aljaraque;Brasil;40
Ambos sexos;21002-Aljaraque;Colombia;54
