Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;23001 Albanchez de Mágina;Total Unión Europea;0
Ambos sexos;23001 Albanchez de Mágina;Reino Unido;0
Ambos sexos;23001 Albanchez de Mágina;Alemania;0
Ambos sexos;23001 Albanchez de Mágina;Total Africa;0
Ambos sexos;23001 Albanchez de Mágina;Marruecos;0
Ambos sexos;23001 Albanchez de Mágina;Total América;0
Ambos sexos;23001 Albanchez de Mágina;Colombia;0
Ambos sexos;23001 Albanchez de Mágina;Ecuador;0
Ambos sexos;23001 Albanchez de Mágina;Total Asia;0
Ambos sexos;23001 Albanchez de Mágina;Resto;0
Ambos sexos;23002 Alcalá la Real;Total Unión Europea;7
Ambos sexos;23002 Alcalá la Real;Reino Unido;0
Ambos sexos;23002 Alcalá la Real;Alemania;0
Ambos sexos;23002 Alcalá la Real;Total Africa;5
Ambos sexos;23002 Alcalá la Real;Marruecos;2
Ambos sexos;23002 Alcalá la Real;Total América;16
Ambos sexos;23002 Alcalá la Real;Colombia;6
Ambos sexos;23002 Alcalá la Real;Ecuador;3
Ambos sexos;23002 Alcalá la Real;Total Asia;0
Ambos sexos;23002 Alcalá la Real;Resto;0
Ambos sexos;23003 Alcaudete;Total Unión Europea;10
Ambos sexos;23003 Alcaudete;Reino Unido;2
Ambos sexos;23003 Alcaudete;Alemania;4
Ambos sexos;23003 Alcaudete;Total Africa;4
Ambos sexos;23003 Alcaudete;Marruecos;2
Ambos sexos;23003 Alcaudete;Total América;3
Ambos sexos;23003 Alcaudete;Colombia;0
Ambos sexos;23003 Alcaudete;Ecuador;0
Ambos sexos;23003 Alcaudete;Total Asia;1
Ambos sexos;23003 Alcaudete;Resto;0
Ambos sexos;23004 Aldeaquemada;Total Unión Europea;0
Ambos sexos;23004 Aldeaquemada;Reino Unido;0
Ambos sexos;23004 Aldeaquemada;Alemania;0
Ambos sexos;23004 Aldeaquemada;Total Africa;0
Ambos sexos;23004 Aldeaquemada;Marruecos;0
Ambos sexos;23004 Aldeaquemada;Total América;5
Ambos sexos;23004 Aldeaquemada;Colombia;1
Ambos sexos;23004 Aldeaquemada;Ecuador;4
Ambos sexos;23004 Aldeaquemada;Total Asia;0
Ambos sexos;23004 Aldeaquemada;Resto;0
Ambos sexos;23005 Andújar;Total Unión Europea;58
Ambos sexos;23005 Andújar;Reino Unido;11
Ambos sexos;23005 Andújar;Alemania;23
Ambos sexos;23005 Andújar;Total Africa;66
Ambos sexos;23005 Andújar;Marruecos;57
Ambos sexos;23005 Andújar;Total América;78
Ambos sexos;23005 Andújar;Colombia;31
Ambos sexos;23005 Andújar;Ecuador;10
Ambos sexos;23005 Andújar;Total Asia;11
Ambos sexos;23005 Andújar;Resto;1
Ambos sexos;23006 Arjona;Total Unión Europea;0
Ambos sexos;23006 Arjona;Reino Unido;0
Ambos sexos;23006 Arjona;Alemania;0
Ambos sexos;23006 Arjona;Total Africa;0
Ambos sexos;23006 Arjona;Marruecos;0
Ambos sexos;23006 Arjona;Total América;0
Ambos sexos;23006 Arjona;Colombia;0
Ambos sexos;23006 Arjona;Ecuador;0
Ambos sexos;23006 Arjona;Total Asia;0
Ambos sexos;23006 Arjona;Resto;0
Ambos sexos;23007 Arjonilla;Total Unión Europea;1
Ambos sexos;23007 Arjonilla;Reino Unido;0
Ambos sexos;23007 Arjonilla;Alemania;0
Ambos sexos;23007 Arjonilla;Total Africa;17
Ambos sexos;23007 Arjonilla;Marruecos;17
Ambos sexos;23007 Arjonilla;Total América;6
Ambos sexos;23007 Arjonilla;Colombia;0
Ambos sexos;23007 Arjonilla;Ecuador;3
Ambos sexos;23007 Arjonilla;Total Asia;0
Ambos sexos;23007 Arjonilla;Resto;0
Ambos sexos;23008 Arquillos;Total Unión Europea;1
Ambos sexos;23008 Arquillos;Reino Unido;0
Ambos sexos;23008 Arquillos;Alemania;0
Ambos sexos;23008 Arquillos;Total Africa;0
Ambos sexos;23008 Arquillos;Marruecos;0
Ambos sexos;23008 Arquillos;Total América;1
Ambos sexos;23008 Arquillos;Colombia;0
Ambos sexos;23008 Arquillos;Ecuador;0
Ambos sexos;23008 Arquillos;Total Asia;0
Ambos sexos;23008 Arquillos;Resto;0
Ambos sexos;23009 Baeza;Total Unión Europea;17
Ambos sexos;23009 Baeza;Reino Unido;3
Ambos sexos;23009 Baeza;Alemania;1
Ambos sexos;23009 Baeza;Total Africa;82
Ambos sexos;23009 Baeza;Marruecos;76
Ambos sexos;23009 Baeza;Total América;16
Ambos sexos;23009 Baeza;Colombia;1
Ambos sexos;23009 Baeza;Ecuador;2
Ambos sexos;23009 Baeza;Total Asia;1
Ambos sexos;23009 Baeza;Resto;0
Ambos sexos;23010 Bailén;Total Unión Europea;7
Ambos sexos;23010 Bailén;Reino Unido;1
Ambos sexos;23010 Bailén;Alemania;0
Ambos sexos;23010 Bailén;Total Africa;38
Ambos sexos;23010 Bailén;Marruecos;26
Ambos sexos;23010 Bailén;Total América;24
Ambos sexos;23010 Bailén;Colombia;18
Ambos sexos;23010 Bailén;Ecuador;1
Ambos sexos;23010 Bailén;Total Asia;34
Ambos sexos;23010 Bailén;Resto;0
Ambos sexos;23011 Baños de la Encina;Total Unión Europea;0
Ambos sexos;23011 Baños de la Encina;Reino Unido;0
