Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;23001 Albanchez de Mágina;Total Población;1.358
Ambos sexos;23001 Albanchez de Mágina;Nacidos en el Extranjero;3
Ambos sexos;23001 Albanchez de Mágina;Total Europa;2
Ambos sexos;23001 Albanchez de Mágina;Total Unión Europea (25);0
Ambos sexos;23001 Albanchez de Mágina;Alemania;0
Ambos sexos;23001 Albanchez de Mágina;Francia;0
Ambos sexos;23001 Albanchez de Mágina;Italia;0
Ambos sexos;23001 Albanchez de Mágina;Reino Unido;0
Ambos sexos;23001 Albanchez de Mágina;Resto de Europa;2
Ambos sexos;23001 Albanchez de Mágina;Bulgaria;0
Ambos sexos;23001 Albanchez de Mágina;Rumanía;0
Ambos sexos;23001 Albanchez de Mágina;Total Africa;1
Ambos sexos;23001 Albanchez de Mágina;Marruecos;0
Ambos sexos;23001 Albanchez de Mágina;Total Am‚rica;0
Ambos sexos;23001 Albanchez de Mágina;Argentina;0
Ambos sexos;23001 Albanchez de Mágina;Bolivia;0
Ambos sexos;23001 Albanchez de Mágina;Colombia;0
Ambos sexos;23001 Albanchez de Mágina;Ecuador;0
Ambos sexos;23001 Albanchez de Mágina;Perú;0
Ambos sexos;23001 Albanchez de Mágina;Total Asia;0
Ambos sexos;23001 Albanchez de Mágina;China;0
Ambos sexos;23001 Albanchez de Mágina;Oceanía;0
Ambos sexos;23002 Alcalá la Real;Total Población;22.038
Ambos sexos;23002 Alcalá la Real;Nacidos en el Extranjero;624
Ambos sexos;23002 Alcalá la Real;Total Europa;419
Ambos sexos;23002 Alcalá la Real;Total Unión Europea (25);153
Ambos sexos;23002 Alcalá la Real;Alemania;56
Ambos sexos;23002 Alcalá la Real;Francia;24
Ambos sexos;23002 Alcalá la Real;Italia;5
Ambos sexos;23002 Alcalá la Real;Reino Unido;51
Ambos sexos;23002 Alcalá la Real;Resto de Europa;266
Ambos sexos;23002 Alcalá la Real;Bulgaria;0
Ambos sexos;23002 Alcalá la Real;Rumanía;106
Ambos sexos;23002 Alcalá la Real;Total Africa;75
Ambos sexos;23002 Alcalá la Real;Marruecos;61
Ambos sexos;23002 Alcalá la Real;Total Am‚rica;124
Ambos sexos;23002 Alcalá la Real;Argentina;10
Ambos sexos;23002 Alcalá la Real;Bolivia;6
Ambos sexos;23002 Alcalá la Real;Colombia;37
Ambos sexos;23002 Alcalá la Real;Ecuador;38
Ambos sexos;23002 Alcalá la Real;Perú;7
Ambos sexos;23002 Alcalá la Real;Total Asia;6
Ambos sexos;23002 Alcalá la Real;China;3
Ambos sexos;23002 Alcalá la Real;Oceanía;0
Ambos sexos;23003 Alcaudete;Total Población;11.143
Ambos sexos;23003 Alcaudete;Nacidos en el Extranjero;161
Ambos sexos;23003 Alcaudete;Total Europa;58
Ambos sexos;23003 Alcaudete;Total Unión Europea (25);29
Ambos sexos;23003 Alcaudete;Alemania;3
Ambos sexos;23003 Alcaudete;Francia;1
Ambos sexos;23003 Alcaudete;Italia;2
Ambos sexos;23003 Alcaudete;Reino Unido;17
Ambos sexos;23003 Alcaudete;Resto de Europa;29
Ambos sexos;23003 Alcaudete;Bulgaria;0
Ambos sexos;23003 Alcaudete;Rumanía;22
Ambos sexos;23003 Alcaudete;Total Africa;71
Ambos sexos;23003 Alcaudete;Marruecos;29
Ambos sexos;23003 Alcaudete;Total Am‚rica;31
Ambos sexos;23003 Alcaudete;Argentina;1
Ambos sexos;23003 Alcaudete;Bolivia;15
Ambos sexos;23003 Alcaudete;Colombia;6
Ambos sexos;23003 Alcaudete;Ecuador;3
Ambos sexos;23003 Alcaudete;Perú;0
Ambos sexos;23003 Alcaudete;Total Asia;1
Ambos sexos;23003 Alcaudete;China;0
Ambos sexos;23003 Alcaudete;Oceanía;0
Ambos sexos;23004 Aldeaquemada;Total Población;545
Ambos sexos;23004 Aldeaquemada;Nacidos en el Extranjero;6
Ambos sexos;23004 Aldeaquemada;Total Europa;1
Ambos sexos;23004 Aldeaquemada;Total Unión Europea (25);1
Ambos sexos;23004 Aldeaquemada;Alemania;0
Ambos sexos;23004 Aldeaquemada;Francia;1
Ambos sexos;23004 Aldeaquemada;Italia;0
Ambos sexos;23004 Aldeaquemada;Reino Unido;0
