Sexo;Municipios;País de nacimiento;Total
Ambos sexos;23001-Albanchez de Mágina;Total Población;1.027
Ambos sexos;23001-Albanchez de Mágina;Nacidos en España;1.012
Ambos sexos;23001-Albanchez de Mágina;Nacidos en el Extranjero;15
Ambos sexos;23001-Albanchez de Mágina;Total Europa;8
Ambos sexos;23001-Albanchez de Mágina;Total Unión Europea;6
Ambos sexos;23001-Albanchez de Mágina;Alemania;0
Ambos sexos;23001-Albanchez de Mágina;Bulgaria;0
Ambos sexos;23001-Albanchez de Mágina;Francia;4
Ambos sexos;23001-Albanchez de Mágina;Italia;0
Ambos sexos;23001-Albanchez de Mágina;Polonia;0
Ambos sexos;23001-Albanchez de Mágina;Portugal;1
Ambos sexos;23001-Albanchez de Mágina;Reino Unido;0
Ambos sexos;23001-Albanchez de Mágina;Rumanía;0
Ambos sexos;23001-Albanchez de Mágina;Total Europa No Comunitaria;2
Ambos sexos;23001-Albanchez de Mágina;Rusia;2
Ambos sexos;23001-Albanchez de Mágina;Ucrania;0
Ambos sexos;23001-Albanchez de Mágina;Total África;4
Ambos sexos;23001-Albanchez de Mágina;Argelia;0
Ambos sexos;23001-Albanchez de Mágina;Marruecos;1
Ambos sexos;23001-Albanchez de Mágina;Nigeria;0
Ambos sexos;23001-Albanchez de Mágina;Senegal;0
Ambos sexos;23001-Albanchez de Mágina;Total América;3
Ambos sexos;23001-Albanchez de Mágina;Argentina;0
Ambos sexos;23001-Albanchez de Mágina;Bolivia;2
Ambos sexos;23001-Albanchez de Mágina;Brasil;0
Ambos sexos;23001-Albanchez de Mágina;Colombia;1
Ambos sexos;23001-Albanchez de Mágina;Cuba;0
Ambos sexos;23001-Albanchez de Mágina;Chile;0
Ambos sexos;23001-Albanchez de Mágina;Ecuador;0
Ambos sexos;23001-Albanchez de Mágina;Paraguay;0
Ambos sexos;23001-Albanchez de Mágina;Perú;0
Ambos sexos;23001-Albanchez de Mágina;República Dominicana;0
Ambos sexos;23001-Albanchez de Mágina;Uruguay;0
Ambos sexos;23001-Albanchez de Mágina;Venezuela;0
Ambos sexos;23001-Albanchez de Mágina;Total Asia;0
Ambos sexos;23001-Albanchez de Mágina;China;0
Ambos sexos;23001-Albanchez de Mágina;Pakistán;0
Ambos sexos;23001-Albanchez de Mágina;Total Oceanía;0
Ambos sexos;23002-Alcalá la Real;Total Población;21.708
Ambos sexos;23002-Alcalá la Real;Nacidos en España;20.656
Ambos sexos;23002-Alcalá la Real;Nacidos en el Extranjero;1.052
Ambos sexos;23002-Alcalá la Real;Total Europa;592
Ambos sexos;23002-Alcalá la Real;Total Unión Europea;469
Ambos sexos;23002-Alcalá la Real;Alemania;58
Ambos sexos;23002-Alcalá la Real;Bulgaria;7
Ambos sexos;23002-Alcalá la Real;Francia;24
Ambos sexos;23002-Alcalá la Real;Italia;11
Ambos sexos;23002-Alcalá la Real;Polonia;2
Ambos sexos;23002-Alcalá la Real;Portugal;5
Ambos sexos;23002-Alcalá la Real;Reino Unido;154
Ambos sexos;23002-Alcalá la Real;Rumanía;179
Ambos sexos;23002-Alcalá la Real;Total Europa No Comunitaria;123
Ambos sexos;23002-Alcalá la Real;Rusia;6
Ambos sexos;23002-Alcalá la Real;Ucrania;25
Ambos sexos;23002-Alcalá la Real;Total África;249
Ambos sexos;23002-Alcalá la Real;Argelia;4
Ambos sexos;23002-Alcalá la Real;Marruecos;173
Ambos sexos;23002-Alcalá la Real;Nigeria;1
Ambos sexos;23002-Alcalá la Real;Senegal;25
Ambos sexos;23002-Alcalá la Real;Total América;187
Ambos sexos;23002-Alcalá la Real;Argentina;13
Ambos sexos;23002-Alcalá la Real;Bolivia;6
Ambos sexos;23002-Alcalá la Real;Brasil;21
Ambos sexos;23002-Alcalá la Real;Colombia;40
Ambos sexos;23002-Alcalá la Real;Cuba;4
Ambos sexos;23002-Alcalá la Real;Chile;5
Ambos sexos;23002-Alcalá la Real;Ecuador;27
Ambos sexos;23002-Alcalá la Real;Paraguay;2
Ambos sexos;23002-Alcalá la Real;Perú;14
Ambos sexos;23002-Alcalá la Real;República Dominicana;5
Ambos sexos;23002-Alcalá la Real;Uruguay;1
Ambos sexos;23002-Alcalá la Real;Venezuela;35
Ambos sexos;23002-Alcalá la Real;Total Asia;24
Ambos sexos;23002-Alcalá la Real;China;13
Ambos sexos;23002-Alcalá la Real;Pakistán;6
Ambos sexos;23002-Alcalá la Real;Total Oceanía;0
Ambos sexos;23003-Alcaudete;Total Población;10.558
Ambos sexos;23003-Alcaudete;Nacidos en España;10.224
Ambos sexos;23003-Alcaudete;Nacidos en el Extranjero;334
Ambos sexos;23003-Alcaudete;Total Europa;123
Ambos sexos;23003-Alcaudete;Total Unión Europea;111
Ambos sexos;23003-Alcaudete;Alemania;1
Ambos sexos;23003-Alcaudete;Bulgaria;2
Ambos sexos;23003-Alcaudete;Francia;4
Ambos sexos;23003-Alcaudete;Italia;2
Ambos sexos;23003-Alcaudete;Polonia;1
Ambos sexos;23003-Alcaudete;Portugal;1
Ambos sexos;23003-Alcaudete;Reino Unido;67
Ambos sexos;23003-Alcaudete;Rumanía;23
Ambos sexos;23003-Alcaudete;Total Europa No Comunitaria;12
Ambos sexos;23003-Alcaudete;Rusia;5
Ambos sexos;23003-Alcaudete;Ucrania;2
Ambos sexos;23003-Alcaudete;Total África;108
Ambos sexos;23003-Alcaudete;Argelia;3
Ambos sexos;23003-Alcaudete;Marruecos;27
Ambos sexos;23003-Alcaudete;Nigeria;0
Ambos sexos;23003-Alcaudete;Senegal;8
Ambos sexos;23003-Alcaudete;Total América;83
Ambos sexos;23003-Alcaudete;Argentina;0
Ambos sexos;23003-Alcaudete;Bolivia;11
Ambos sexos;23003-Alcaudete;Brasil;5
Ambos sexos;23003-Alcaudete;Colombia;14
Ambos sexos;23003-Alcaudete;Cuba;6
Ambos sexos;23003-Alcaudete;Chile;1
Ambos sexos;23003-Alcaudete;Ecuador;9
Ambos sexos;23003-Alcaudete;Paraguay;0
Ambos sexos;23003-Alcaudete;Perú;1
Ambos sexos;23003-Alcaudete;República Dominicana;0
Ambos sexos;23003-Alcaudete;Uruguay;5
Ambos sexos;23003-Alcaudete;Venezuela;1
Ambos sexos;23003-Alcaudete;Total Asia;20
Ambos sexos;23003-Alcaudete;China;12
Ambos sexos;23003-Alcaudete;Pakistán;5
Ambos sexos;23003-Alcaudete;Total Oceanía;0
Ambos sexos;23004-Aldeaquemada;Total Población;501
Ambos sexos;23004-Aldeaquemada;Nacidos en España;485
Ambos sexos;23004-Aldeaquemada;Nacidos en el Extranjero;16
Ambos sexos;23004-Aldeaquemada;Total Europa;5
Ambos sexos;23004-Aldeaquemada;Total Unión Europea;5
Ambos sexos;23004-Aldeaquemada;Alemania;1
Ambos sexos;23004-Aldeaquemada;Bulgaria;0
Ambos sexos;23004-Aldeaquemada;Francia;0
Ambos sexos;23004-Aldeaquemada;Italia;0
Ambos sexos;23004-Aldeaquemada;Polonia;0
Ambos sexos;23004-Aldeaquemada;Portugal;0
Ambos sexos;23004-Aldeaquemada;Reino Unido;0
Ambos sexos;23004-Aldeaquemada;Rumanía;4
Ambos sexos;23004-Aldeaquemada;Total Europa No Comunitaria;0
Ambos sexos;23004-Aldeaquemada;Rusia;0
Ambos sexos;23004-Aldeaquemada;Ucrania;0
Ambos sexos;23004-Aldeaquemada;Total África;0
Ambos sexos;23004-Aldeaquemada;Argelia;0
Ambos sexos;23004-Aldeaquemada;Marruecos;0
Ambos sexos;23004-Aldeaquemada;Nigeria;0
Ambos sexos;23004-Aldeaquemada;Senegal;0
Ambos sexos;23004-Aldeaquemada;Total América;11
Ambos sexos;23004-Aldeaquemada;Argentina;0
Ambos sexos;23004-Aldeaquemada;Bolivia;4
Ambos sexos;23004-Aldeaquemada;Brasil;0
Ambos sexos;23004-Aldeaquemada;Colombia;0
Ambos sexos;23004-Aldeaquemada;Cuba;0
Ambos sexos;23004-Aldeaquemada;Chile;0
Ambos sexos;23004-Aldeaquemada;Ecuador;1
Ambos sexos;23004-Aldeaquemada;Paraguay;0
Ambos sexos;23004-Aldeaquemada;Perú;1
Ambos sexos;23004-Aldeaquemada;República Dominicana;0
Ambos sexos;23004-Aldeaquemada;Uruguay;0
Ambos sexos;23004-Aldeaquemada;Venezuela;0
Ambos sexos;23004-Aldeaquemada;Total Asia;0
Ambos sexos;23004-Aldeaquemada;China;0
Ambos sexos;23004-Aldeaquemada;Pakistán;0
Ambos sexos;23004-Aldeaquemada;Total Oceanía;0
Ambos sexos;23005-Andújar;Total Población;37.113
Ambos sexos;23005-Andújar;Nacidos en España;36.150
Ambos sexos;23005-Andújar;Nacidos en el Extranjero;963
Ambos sexos;23005-Andújar;Total Europa;318
Ambos sexos;23005-Andújar;Total Unión Europea;256
Ambos sexos;23005-Andújar;Alemania;80
Ambos sexos;23005-Andújar;Bulgaria;5
Ambos sexos;23005-Andújar;Francia;38
Ambos sexos;23005-Andújar;Italia;10
Ambos sexos;23005-Andújar;Polonia;3
Ambos sexos;23005-Andújar;Portugal;6
Ambos sexos;23005-Andújar;Reino Unido;21
Ambos sexos;23005-Andújar;Rumanía;70
Ambos sexos;23005-Andújar;Total Europa No Comunitaria;62
Ambos sexos;23005-Andújar;Rusia;14
Ambos sexos;23005-Andújar;Ucrania;8
Ambos sexos;23005-Andújar;Total África;256
Ambos sexos;23005-Andújar;Argelia;9
Ambos sexos;23005-Andújar;Marruecos;215
Ambos sexos;23005-Andújar;Nigeria;2
Ambos sexos;23005-Andújar;Senegal;0
Ambos sexos;23005-Andújar;Total América;295
Ambos sexos;23005-Andújar;Argentina;25
Ambos sexos;23005-Andújar;Bolivia;26
Ambos sexos;23005-Andújar;Brasil;11
Ambos sexos;23005-Andújar;Colombia;72
Ambos sexos;23005-Andújar;Cuba;18
Ambos sexos;23005-Andújar;Chile;1
Ambos sexos;23005-Andújar;Ecuador;44
Ambos sexos;23005-Andújar;Paraguay;11
Ambos sexos;23005-Andújar;Perú;33
Ambos sexos;23005-Andújar;República Dominicana;20
Ambos sexos;23005-Andújar;Uruguay;3
Ambos sexos;23005-Andújar;Venezuela;16
Ambos sexos;23005-Andújar;Total Asia;92
Ambos sexos;23005-Andújar;China;36
Ambos sexos;23005-Andújar;Pakistán;35
Ambos sexos;23005-Andújar;Total Oceanía;2
Ambos sexos;23006-Arjona;Total Población;5.595
Ambos sexos;23006-Arjona;Nacidos en España;5.531
Ambos sexos;23006-Arjona;Nacidos en el Extranjero;64
Ambos sexos;23006-Arjona;Total Europa;23
Ambos sexos;23006-Arjona;Total Unión Europea;19
Ambos sexos;23006-Arjona;Alemania;9
Ambos sexos;23006-Arjona;Bulgaria;0
Ambos sexos;23006-Arjona;Francia;1
Ambos sexos;23006-Arjona;Italia;0
Ambos sexos;23006-Arjona;Polonia;0
Ambos sexos;23006-Arjona;Portugal;1
Ambos sexos;23006-Arjona;Reino Unido;1
Ambos sexos;23006-Arjona;Rumanía;7
Ambos sexos;23006-Arjona;Total Europa No Comunitaria;4
Ambos sexos;23006-Arjona;Rusia;1
Ambos sexos;23006-Arjona;Ucrania;0
Ambos sexos;23006-Arjona;Total África;14
Ambos sexos;23006-Arjona;Argelia;0
Ambos sexos;23006-Arjona;Marruecos;14
Ambos sexos;23006-Arjona;Nigeria;0
Ambos sexos;23006-Arjona;Senegal;0
Ambos sexos;23006-Arjona;Total América;20
Ambos sexos;23006-Arjona;Argentina;0
Ambos sexos;23006-Arjona;Bolivia;2
Ambos sexos;23006-Arjona;Brasil;4
Ambos sexos;23006-Arjona;Colombia;8
Ambos sexos;23006-Arjona;Cuba;0
Ambos sexos;23006-Arjona;Chile;1
Ambos sexos;23006-Arjona;Ecuador;0
Ambos sexos;23006-Arjona;Paraguay;3
Ambos sexos;23006-Arjona;Perú;0
Ambos sexos;23006-Arjona;República Dominicana;0
Ambos sexos;23006-Arjona;Uruguay;0
Ambos sexos;23006-Arjona;Venezuela;0
Ambos sexos;23006-Arjona;Total Asia;7
Ambos sexos;23006-Arjona;China;5
Ambos sexos;23006-Arjona;Pakistán;2
Ambos sexos;23006-Arjona;Total Oceanía;0
Ambos sexos;23007-Arjonilla;Total Población;3.610
Ambos sexos;23007-Arjonilla;Nacidos en España;3.543
Ambos sexos;23007-Arjonilla;Nacidos en el Extranjero;67
Ambos sexos;23007-Arjonilla;Total Europa;20
Ambos sexos;23007-Arjonilla;Total Unión Europea;15
Ambos sexos;23007-Arjonilla;Alemania;0
Ambos sexos;23007-Arjonilla;Bulgaria;0
Ambos sexos;23007-Arjonilla;Francia;3
Ambos sexos;23007-Arjonilla;Italia;0
Ambos sexos;23007-Arjonilla;Polonia;0
Ambos sexos;23007-Arjonilla;Portugal;0
Ambos sexos;23007-Arjonilla;Reino Unido;0
Ambos sexos;23007-Arjonilla;Rumanía;11
Ambos sexos;23007-Arjonilla;Total Europa No Comunitaria;5
Ambos sexos;23007-Arjonilla;Rusia;0
Ambos sexos;23007-Arjonilla;Ucrania;0
Ambos sexos;23007-Arjonilla;Total África;25
Ambos sexos;23007-Arjonilla;Argelia;1
Ambos sexos;23007-Arjonilla;Marruecos;24
Ambos sexos;23007-Arjonilla;Nigeria;0
Ambos sexos;23007-Arjonilla;Senegal;0
Ambos sexos;23007-Arjonilla;Total América;18
Ambos sexos;23007-Arjonilla;Argentina;3
Ambos sexos;23007-Arjonilla;Bolivia;3
Ambos sexos;23007-Arjonilla;Brasil;0
Ambos sexos;23007-Arjonilla;Colombia;2
Ambos sexos;23007-Arjonilla;Cuba;0
Ambos sexos;23007-Arjonilla;Chile;0
Ambos sexos;23007-Arjonilla;Ecuador;4
Ambos sexos;23007-Arjonilla;Paraguay;0
Ambos sexos;23007-Arjonilla;Perú;1
Ambos sexos;23007-Arjonilla;República Dominicana;0
Ambos sexos;23007-Arjonilla;Uruguay;0
Ambos sexos;23007-Arjonilla;Venezuela;0
Ambos sexos;23007-Arjonilla;Total Asia;4
Ambos sexos;23007-Arjonilla;China;4
Ambos sexos;23007-Arjonilla;Pakistán;0
Ambos sexos;23007-Arjonilla;Total Oceanía;0
Ambos sexos;23008-Arquillos;Total Población;1.767
Ambos sexos;23008-Arquillos;Nacidos en España;1.737
Ambos sexos;23008-Arquillos;Nacidos en el Extranjero;30
Ambos sexos;23008-Arquillos;Total Europa;12
Ambos sexos;23008-Arquillos;Total Unión Europea;12
Ambos sexos;23008-Arquillos;Alemania;0
Ambos sexos;23008-Arquillos;Bulgaria;4
Ambos sexos;23008-Arquillos;Francia;3
Ambos sexos;23008-Arquillos;Italia;0
Ambos sexos;23008-Arquillos;Polonia;0
Ambos sexos;23008-Arquillos;Portugal;0
Ambos sexos;23008-Arquillos;Reino Unido;0
Ambos sexos;23008-Arquillos;Rumanía;5
Ambos sexos;23008-Arquillos;Total Europa No Comunitaria;0
Ambos sexos;23008-Arquillos;Rusia;0
Ambos sexos;23008-Arquillos;Ucrania;0
Ambos sexos;23008-Arquillos;Total África;13
Ambos sexos;23008-Arquillos;Argelia;2
Ambos sexos;23008-Arquillos;Marruecos;9
Ambos sexos;23008-Arquillos;Nigeria;0
Ambos sexos;23008-Arquillos;Senegal;1
Ambos sexos;23008-Arquillos;Total América;4
Ambos sexos;23008-Arquillos;Argentina;0
Ambos sexos;23008-Arquillos;Bolivia;0
Ambos sexos;23008-Arquillos;Brasil;0
Ambos sexos;23008-Arquillos;Colombia;0
Ambos sexos;23008-Arquillos;Cuba;1
Ambos sexos;23008-Arquillos;Chile;0
Ambos sexos;23008-Arquillos;Ecuador;0
Ambos sexos;23008-Arquillos;Paraguay;0
Ambos sexos;23008-Arquillos;Perú;0
Ambos sexos;23008-Arquillos;República Dominicana;2
Ambos sexos;23008-Arquillos;Uruguay;0
Ambos sexos;23008-Arquillos;Venezuela;0
Ambos sexos;23008-Arquillos;Total Asia;1
Ambos sexos;23008-Arquillos;China;1
Ambos sexos;23008-Arquillos;Pakistán;0
Ambos sexos;23008-Arquillos;Total Oceanía;0
Ambos sexos;23905-Arroyo del Ojanco;Total Población;2.323
