Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;001  Alameda;Africa;..
Ambos sexos;001  Alameda;América;3
Ambos sexos;001  Alameda;Asia;..
Ambos sexos;001  Alameda;Europa;6
Ambos sexos;001  Alameda;Resto;..
Ambos sexos;002  Alcaucín;Africa;..
Ambos sexos;002  Alcaucín;América;4
Ambos sexos;002  Alcaucín;Asia;..
Ambos sexos;002  Alcaucín;Europa;63
Ambos sexos;002  Alcaucín;Resto;..
Ambos sexos;003  Alfarnate;Africa;1
Ambos sexos;003  Alfarnate;América;..
Ambos sexos;003  Alfarnate;Asia;..
Ambos sexos;003  Alfarnate;Europa;1
Ambos sexos;003  Alfarnate;Resto;..
Ambos sexos;004  Alfarnatejo;Africa;..
Ambos sexos;004  Alfarnatejo;América;..
Ambos sexos;004  Alfarnatejo;Asia;..
Ambos sexos;004  Alfarnatejo;Europa;..
Ambos sexos;004  Alfarnatejo;Resto;..
Ambos sexos;005  Algarrobo;Africa;9
Ambos sexos;005  Algarrobo;América;2
Ambos sexos;005  Algarrobo;Asia;3
Ambos sexos;005  Algarrobo;Europa;98
Ambos sexos;005  Algarrobo;Resto;..
Ambos sexos;006  Algatocín;Africa;..
Ambos sexos;006  Algatocín;América;..
Ambos sexos;006  Algatocín;Asia;..
Ambos sexos;006  Algatocín;Europa;9
Ambos sexos;006  Algatocín;Resto;..
Ambos sexos;007  Alhaurín de la Torre;Africa;22
Ambos sexos;007  Alhaurín de la Torre;América;43
Ambos sexos;007  Alhaurín de la Torre;Asia;7
Ambos sexos;007  Alhaurín de la Torre;Europa;306
Ambos sexos;007  Alhaurín de la Torre;Resto;1
Ambos sexos;008  Alhaurín el Grande;Africa;110
Ambos sexos;008  Alhaurín el Grande;América;93
Ambos sexos;008  Alhaurín el Grande;Asia;39
Ambos sexos;008  Alhaurín el Grande;Europa;1.023
Ambos sexos;008  Alhaurín el Grande;Resto;8
Ambos sexos;009  Almáchar;Africa;..
Ambos sexos;009  Almáchar;América;..
Ambos sexos;009  Almáchar;Asia;..
Ambos sexos;009  Almáchar;Europa;..
Ambos sexos;009  Almáchar;Resto;..
Ambos sexos;010  Almargen;Africa;1
Ambos sexos;010  Almargen;América;3
Ambos sexos;010  Almargen;Asia;..
Ambos sexos;010  Almargen;Europa;..
Ambos sexos;010  Almargen;Resto;..
Ambos sexos;011  Almogía;Africa;..
Ambos sexos;011  Almogía;América;5
Ambos sexos;011  Almogía;Asia;..
Ambos sexos;011  Almogía;Europa;142
Ambos sexos;011  Almogía;Resto;..
Ambos sexos;012  Álora;Africa;5
Ambos sexos;012  Álora;América;5
Ambos sexos;012  Álora;Asia;1
Ambos sexos;012  Álora;Europa;68
Ambos sexos;012  Álora;Resto;..
Ambos sexos;013  Alozaina;Africa;..
Ambos sexos;013  Alozaina;América;..
Ambos sexos;013  Alozaina;Asia;..
Ambos sexos;013  Alozaina;Europa;3
Ambos sexos;013  Alozaina;Resto;..
Ambos sexos;014  Alpandeire;Africa;..
Ambos sexos;014  Alpandeire;América;..
Ambos sexos;014  Alpandeire;Asia;..
Ambos sexos;014  Alpandeire;Europa;..
Ambos sexos;014  Alpandeire;Resto;..
Ambos sexos;015  Antequera;Africa;28
Ambos sexos;015  Antequera;América;29
Ambos sexos;015  Antequera;Asia;5
Ambos sexos;015  Antequera;Europa;76
Ambos sexos;015  Antequera;Resto;1
Ambos sexos;016  Árchez;Africa;3
Ambos sexos;016  Árchez;América;..
Ambos sexos;016  Árchez;Asia;..
Ambos sexos;016  Árchez;Europa;8
Ambos sexos;016  Árchez;Resto;..
Ambos sexos;017  Archidona;Africa;..
Ambos sexos;017  Archidona;América;..
Ambos sexos;017  Archidona;Asia;..
Ambos sexos;017  Archidona;Europa;3
Ambos sexos;017  Archidona;Resto;..
Ambos sexos;018  Ardales;Africa;..
Ambos sexos;018  Ardales;América;..
Ambos sexos;018  Ardales;Asia;..
Ambos sexos;018  Ardales;Europa;3
Ambos sexos;018  Ardales;Resto;..
Ambos sexos;019  Arenas;Africa;..
Ambos sexos;019  Arenas;América;..
Ambos sexos;019  Arenas;Asia;..
Ambos sexos;019  Arenas;Europa;..
Ambos sexos;019  Arenas;Resto;..
Ambos sexos;020  Arriate;Africa;8
Ambos sexos;020  Arriate;América;1
Ambos sexos;020  Arriate;Asia;..
Ambos sexos;020  Arriate;Europa;9
Ambos sexos;020  Arriate;Resto;..
Ambos sexos;022  Benadalid;Africa;..
Ambos sexos;022  Benadalid;América;..
Ambos sexos;022  Benadalid;Asia;..
Ambos sexos;022  Benadalid;Europa;2
Ambos sexos;022  Benadalid;Resto;..
Ambos sexos;023  Benahavís;Africa;33
Ambos sexos;023  Benahavís;América;27
Ambos sexos;023  Benahavís;Asia;16
Ambos sexos;023  Benahavís;Europa;692
Ambos sexos;023  Benahavís;Resto;6
Ambos sexos;024  Benalauría;Africa;..
Ambos sexos;024  Benalauría;América;..
Ambos sexos;024  Benalauría;Asia;..
Ambos sexos;024  Benalauría;Europa;..
Ambos sexos;024  Benalauría;Resto;..
Ambos sexos;025  Benalmádena;Africa;260
Ambos sexos;025  Benalmádena;América;329
Ambos sexos;025  Benalmádena;Asia;199
Ambos sexos;025  Benalmádena;Europa;3.703
Ambos sexos;025  Benalmádena;Resto;5
Ambos sexos;026  Benamargosa;Africa;..
Ambos sexos;026  Benamargosa;América;3
Ambos sexos;026  Benamargosa;Asia;..
Ambos sexos;026  Benamargosa;Europa;7
Ambos sexos;026  Benamargosa;Resto;..
Ambos sexos;027  Benamocarra;Africa;..
Ambos sexos;027  Benamocarra;América;2
Ambos sexos;027  Benamocarra;Asia;..
Ambos sexos;027  Benamocarra;Europa;3
Ambos sexos;027  Benamocarra;Resto;..
Ambos sexos;028  Benaoján;Africa;..
Ambos sexos;028  Benaoján;América;..
Ambos sexos;028  Benaoján;Asia;..
Ambos sexos;028  Benaoján;Europa;9
Ambos sexos;028  Benaoján;Resto;..
Ambos sexos;029  Benarrabá;Africa;1
Ambos sexos;029  Benarrabá;América;..
Ambos sexos;029  Benarrabá;Asia;..
Ambos sexos;029  Benarrabá;Europa;1
Ambos sexos;029  Benarrabá;Resto;..
Ambos sexos;030  Borge (El);Africa;..
Ambos sexos;030  Borge (El);América;..
Ambos sexos;030  Borge (El);Asia;..
Ambos sexos;030  Borge (El);Europa;1
Ambos sexos;030  Borge (El);Resto;..
Ambos sexos;031  Burgo (El);Africa;..
Ambos sexos;031  Burgo (El);América;..
Ambos sexos;031  Burgo (El);Asia;..
Ambos sexos;031  Burgo (El);Europa;..
Ambos sexos;031  Burgo (El);Resto;..
Ambos sexos;032  Campillos;Africa;6
Ambos sexos;032  Campillos;América;7
Ambos sexos;032  Campillos;Asia;..
Ambos sexos;032  Campillos;Europa;4
Ambos sexos;032  Campillos;Resto;..
Ambos sexos;033  Canillas de Aceituno;Africa;2
Ambos sexos;033  Canillas de Aceituno;América;2
Ambos sexos;033  Canillas de Aceituno;Asia;..
Ambos sexos;033  Canillas de Aceituno;Europa;37
Ambos sexos;033  Canillas de Aceituno;Resto;..
Ambos sexos;034  Canillas de Albaida;Africa;4
Ambos sexos;034  Canillas de Albaida;América;2
Ambos sexos;034  Canillas de Albaida;Asia;..
Ambos sexos;034  Canillas de Albaida;Europa;74
Ambos sexos;034  Canillas de Albaida;Resto;..
Ambos sexos;035  Cañete la Real;Africa;..
Ambos sexos;035  Cañete la Real;América;..
Ambos sexos;035  Cañete la Real;Asia;..
Ambos sexos;035  Cañete la Real;Europa;..
Ambos sexos;035  Cañete la Real;Resto;..
Ambos sexos;036  Carratraca;Africa;..
Ambos sexos;036  Carratraca;América;2
Ambos sexos;036  Carratraca;Asia;..
Ambos sexos;036  Carratraca;Europa;3
Ambos sexos;036  Carratraca;Resto;..
Ambos sexos;037  Cartajima;Africa;..
Ambos sexos;037  Cartajima;América;..
Ambos sexos;037  Cartajima;Asia;..
Ambos sexos;037  Cartajima;Europa;..
Ambos sexos;037  Cartajima;Resto;..
Ambos sexos;038  Cártama;Africa;5
Ambos sexos;038  Cártama;América;1
Ambos sexos;038  Cártama;Asia;..
Ambos sexos;038  Cártama;Europa;51
Ambos sexos;038  Cártama;Resto;..
Ambos sexos;039  Casabermeja;Africa;3
Ambos sexos;039  Casabermeja;América;2
Ambos sexos;039  Casabermeja;Asia;..
Ambos sexos;039  Casabermeja;Europa;13
Ambos sexos;039  Casabermeja;Resto;..
Ambos sexos;040  Casarabonela;Africa;2
Ambos sexos;040  Casarabonela;América;3
Ambos sexos;040  Casarabonela;Asia;..
Ambos sexos;040  Casarabonela;Europa;18
Ambos sexos;040  Casarabonela;Resto;..
Ambos sexos;041  Casares;Africa;7
Ambos sexos;041  Casares;América;11
Ambos sexos;041  Casares;Asia;5
Ambos sexos;041  Casares;Europa;314
Ambos sexos;041  Casares;Resto;2
Ambos sexos;042  Coín;Africa;23
Ambos sexos;042  Coín;América;22
Ambos sexos;042  Coín;Asia;14
Ambos sexos;042  Coín;Europa;441
Ambos sexos;042  Coín;Resto;..
Ambos sexos;043  Colmenar;Africa;..
Ambos sexos;043  Colmenar;América;3
Ambos sexos;043  Colmenar;Asia;3
Ambos sexos;043  Colmenar;Europa;28
Ambos sexos;043  Colmenar;Resto;..
Ambos sexos;044  Comares;Africa;..
Ambos sexos;044  Comares;América;2
Ambos sexos;044  Comares;Asia;..
Ambos sexos;044  Comares;Europa;83
