Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;29001 Alameda;Total Unión Europea;6
Ambos sexos;29001 Alameda;Reino Unido;0
Ambos sexos;29001 Alameda;Alemania;0
Ambos sexos;29001 Alameda;Total Africa;4
Ambos sexos;29001 Alameda;Marruecos;1
Ambos sexos;29001 Alameda;Total América;5
Ambos sexos;29001 Alameda;Colombia;0
Ambos sexos;29001 Alameda;Ecuador;2
Ambos sexos;29001 Alameda;Total Asia;0
Ambos sexos;29001 Alameda;Resto;0
Ambos sexos;29002 Alcaucín;Total Unión Europea;124
Ambos sexos;29002 Alcaucín;Reino Unido;61
Ambos sexos;29002 Alcaucín;Alemania;41
Ambos sexos;29002 Alcaucín;Total Africa;2
Ambos sexos;29002 Alcaucín;Marruecos;2
Ambos sexos;29002 Alcaucín;Total América;16
Ambos sexos;29002 Alcaucín;Colombia;8
Ambos sexos;29002 Alcaucín;Ecuador;0
Ambos sexos;29002 Alcaucín;Total Asia;1
Ambos sexos;29002 Alcaucín;Resto;0
Ambos sexos;29003 Alfarnate;Total Unión Europea;4
Ambos sexos;29003 Alfarnate;Reino Unido;3
Ambos sexos;29003 Alfarnate;Alemania;0
Ambos sexos;29003 Alfarnate;Total Africa;2
Ambos sexos;29003 Alfarnate;Marruecos;2
Ambos sexos;29003 Alfarnate;Total América;0
Ambos sexos;29003 Alfarnate;Colombia;0
Ambos sexos;29003 Alfarnate;Ecuador;0
Ambos sexos;29003 Alfarnate;Total Asia;0
Ambos sexos;29003 Alfarnate;Resto;0
Ambos sexos;29004 Alfarnatejo;Total Unión Europea;1
Ambos sexos;29004 Alfarnatejo;Reino Unido;0
Ambos sexos;29004 Alfarnatejo;Alemania;1
Ambos sexos;29004 Alfarnatejo;Total Africa;0
Ambos sexos;29004 Alfarnatejo;Marruecos;0
Ambos sexos;29004 Alfarnatejo;Total América;0
Ambos sexos;29004 Alfarnatejo;Colombia;0
Ambos sexos;29004 Alfarnatejo;Ecuador;0
Ambos sexos;29004 Alfarnatejo;Total Asia;0
Ambos sexos;29004 Alfarnatejo;Resto;0
Ambos sexos;29005 Algarrobo;Total Unión Europea;120
Ambos sexos;29005 Algarrobo;Reino Unido;18
Ambos sexos;29005 Algarrobo;Alemania;78
Ambos sexos;29005 Algarrobo;Total Africa;8
Ambos sexos;29005 Algarrobo;Marruecos;7
Ambos sexos;29005 Algarrobo;Total América;13
Ambos sexos;29005 Algarrobo;Colombia;8
Ambos sexos;29005 Algarrobo;Ecuador;2
Ambos sexos;29005 Algarrobo;Total Asia;5
Ambos sexos;29005 Algarrobo;Resto;0
Ambos sexos;29006 Algatocín;Total Unión Europea;20
Ambos sexos;29006 Algatocín;Reino Unido;4
Ambos sexos;29006 Algatocín;Alemania;6
Ambos sexos;29006 Algatocín;Total Africa;0
Ambos sexos;29006 Algatocín;Marruecos;0
Ambos sexos;29006 Algatocín;Total América;3
Ambos sexos;29006 Algatocín;Colombia;0
Ambos sexos;29006 Algatocín;Ecuador;0
Ambos sexos;29006 Algatocín;Total Asia;0
Ambos sexos;29006 Algatocín;Resto;0
Ambos sexos;29007 Alhaurín de la Torre;Total Unión Europea;723
Ambos sexos;29007 Alhaurín de la Torre;Reino Unido;311
Ambos sexos;29007 Alhaurín de la Torre;Alemania;127
Ambos sexos;29007 Alhaurín de la Torre;Total Africa;36
Ambos sexos;29007 Alhaurín de la Torre;Marruecos;25
Ambos sexos;29007 Alhaurín de la Torre;Total América;157
Ambos sexos;29007 Alhaurín de la Torre;Colombia;21
Ambos sexos;29007 Alhaurín de la Torre;Ecuador;15
Ambos sexos;29007 Alhaurín de la Torre;Total Asia;24
Ambos sexos;29007 Alhaurín de la Torre;Resto;1
Ambos sexos;29008 Alhaurín el Grande;Total Unión Europea;998
Ambos sexos;29008 Alhaurín el Grande;Reino Unido;691
Ambos sexos;29008 Alhaurín el Grande;Alemania;101
