Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;29001-Alameda;Total Población;5.426
Ambos sexos;29001-Alameda;Nacidos en España;5.177
Ambos sexos;29001-Alameda;Nacidos en el Extranjero;249
Ambos sexos;29001-Alameda;Total Europa;181
Ambos sexos;29001-Alameda;Total Unión Europea;173
Ambos sexos;29001-Alameda;Alemania;26
Ambos sexos;29001-Alameda;Bulgaria;0
Ambos sexos;29001-Alameda;Francia;2
Ambos sexos;29001-Alameda;Italia;0
Ambos sexos;29001-Alameda;Polonia;3
Ambos sexos;29001-Alameda;Portugal;1
Ambos sexos;29001-Alameda;Reino Unido;60
Ambos sexos;29001-Alameda;Rumanía;30
Ambos sexos;29001-Alameda;Total Europa No Comunitaria;8
Ambos sexos;29001-Alameda;Rusia;1
Ambos sexos;29001-Alameda;Ucrania;0
Ambos sexos;29001-Alameda;Total Africa;29
Ambos sexos;29001-Alameda;Argelia;8
Ambos sexos;29001-Alameda;Marruecos;18
Ambos sexos;29001-Alameda;Nigeria;1
Ambos sexos;29001-Alameda;Senegal;0
Ambos sexos;29001-Alameda;Total América;39
Ambos sexos;29001-Alameda;Argentina;4
Ambos sexos;29001-Alameda;Bolivia;1
Ambos sexos;29001-Alameda;Brasil;2
Ambos sexos;29001-Alameda;Colombia;15
Ambos sexos;29001-Alameda;Cuba;2
Ambos sexos;29001-Alameda;Chile;1
Ambos sexos;29001-Alameda;Ecuador;2
Ambos sexos;29001-Alameda;Paraguay;0
Ambos sexos;29001-Alameda;Perú;2
Ambos sexos;29001-Alameda;Rep. Dominicana;0
Ambos sexos;29001-Alameda;Uruguay;5
Ambos sexos;29001-Alameda;Venezuela;5
Ambos sexos;29001-Alameda;Total Asia;0
Ambos sexos;29001-Alameda;China;0
Ambos sexos;29001-Alameda;Pakistán;0
Ambos sexos;29001-Alameda;Oceanía;0
Ambos sexos;29002-Alcaucín;Total Población;2.469
Ambos sexos;29002-Alcaucín;Nacidos en España;1.456
Ambos sexos;29002-Alcaucín;Nacidos en el Extranjero;1.013
Ambos sexos;29002-Alcaucín;Total Europa;939
Ambos sexos;29002-Alcaucín;Total Unión Europea;921
Ambos sexos;29002-Alcaucín;Alemania;70
Ambos sexos;29002-Alcaucín;Bulgaria;0
Ambos sexos;29002-Alcaucín;Francia;8
Ambos sexos;29002-Alcaucín;Italia;1
Ambos sexos;29002-Alcaucín;Polonia;0
Ambos sexos;29002-Alcaucín;Portugal;1
Ambos sexos;29002-Alcaucín;Reino Unido;731
Ambos sexos;29002-Alcaucín;Rumanía;28
Ambos sexos;29002-Alcaucín;Total Europa No Comunitaria;18
Ambos sexos;29002-Alcaucín;Rusia;2
Ambos sexos;29002-Alcaucín;Ucrania;9
Ambos sexos;29002-Alcaucín;Total Africa;18
Ambos sexos;29002-Alcaucín;Argelia;0
Ambos sexos;29002-Alcaucín;Marruecos;15
Ambos sexos;29002-Alcaucín;Nigeria;0
Ambos sexos;29002-Alcaucín;Senegal;1
Ambos sexos;29002-Alcaucín;Total América;41
Ambos sexos;29002-Alcaucín;Argentina;6
Ambos sexos;29002-Alcaucín;Bolivia;30
Ambos sexos;29002-Alcaucín;Brasil;0
Ambos sexos;29002-Alcaucín;Colombia;0
Ambos sexos;29002-Alcaucín;Cuba;0
Ambos sexos;29002-Alcaucín;Chile;0
Ambos sexos;29002-Alcaucín;Ecuador;0
Ambos sexos;29002-Alcaucín;Paraguay;0
Ambos sexos;29002-Alcaucín;Perú;0
Ambos sexos;29002-Alcaucín;Rep. Dominicana;0
Ambos sexos;29002-Alcaucín;Uruguay;0
Ambos sexos;29002-Alcaucín;Venezuela;1
Ambos sexos;29002-Alcaucín;Total Asia;15
Ambos sexos;29002-Alcaucín;China;0
Ambos sexos;29002-Alcaucín;Pakistán;3
Ambos sexos;29002-Alcaucín;Oceanía;0
Ambos sexos;29003-Alfarnate;Total Población;1.362
Ambos sexos;29003-Alfarnate;Nacidos en España;1.325
Ambos sexos;29003-Alfarnate;Nacidos en el Extranjero;37
Ambos sexos;29003-Alfarnate;Total Europa;22
Ambos sexos;29003-Alfarnate;Total Unión Europea;22
Ambos sexos;29003-Alfarnate;Alemania;2
Ambos sexos;29003-Alfarnate;Bulgaria;9
Ambos sexos;29003-Alfarnate;Francia;0
Ambos sexos;29003-Alfarnate;Italia;0
Ambos sexos;29003-Alfarnate;Polonia;0
Ambos sexos;29003-Alfarnate;Portugal;0
Ambos sexos;29003-Alfarnate;Reino Unido;10
Ambos sexos;29003-Alfarnate;Rumanía;0
Ambos sexos;29003-Alfarnate;Total Europa No Comunitaria;0
Ambos sexos;29003-Alfarnate;Rusia;0
Ambos sexos;29003-Alfarnate;Ucrania;0
Ambos sexos;29003-Alfarnate;Total Africa;12
Ambos sexos;29003-Alfarnate;Argelia;0
Ambos sexos;29003-Alfarnate;Marruecos;12
Ambos sexos;29003-Alfarnate;Nigeria;0
Ambos sexos;29003-Alfarnate;Senegal;0
Ambos sexos;29003-Alfarnate;Total América;1
Ambos sexos;29003-Alfarnate;Argentina;1
Ambos sexos;29003-Alfarnate;Bolivia;0
Ambos sexos;29003-Alfarnate;Brasil;0
Ambos sexos;29003-Alfarnate;Colombia;0
Ambos sexos;29003-Alfarnate;Cuba;0
Ambos sexos;29003-Alfarnate;Chile;0
Ambos sexos;29003-Alfarnate;Ecuador;0
Ambos sexos;29003-Alfarnate;Paraguay;0
Ambos sexos;29003-Alfarnate;Perú;0
Ambos sexos;29003-Alfarnate;Rep. Dominicana;0
Ambos sexos;29003-Alfarnate;Uruguay;0
Ambos sexos;29003-Alfarnate;Venezuela;0
Ambos sexos;29003-Alfarnate;Total Asia;0
Ambos sexos;29003-Alfarnate;China;0
Ambos sexos;29003-Alfarnate;Pakistán;0
Ambos sexos;29003-Alfarnate;Oceanía;2
Ambos sexos;29004-Alfarnatejo;Total Población;516
Ambos sexos;29004-Alfarnatejo;Nacidos en España;393
Ambos sexos;29004-Alfarnatejo;Nacidos en el Extranjero;123
Ambos sexos;29004-Alfarnatejo;Total Europa;116
Ambos sexos;29004-Alfarnatejo;Total Unión Europea;115
Ambos sexos;29004-Alfarnatejo;Alemania;20
Ambos sexos;29004-Alfarnatejo;Bulgaria;0
Ambos sexos;29004-Alfarnatejo;Francia;0
Ambos sexos;29004-Alfarnatejo;Italia;1
Ambos sexos;29004-Alfarnatejo;Polonia;1
Ambos sexos;29004-Alfarnatejo;Portugal;2
Ambos sexos;29004-Alfarnatejo;Reino Unido;77
Ambos sexos;29004-Alfarnatejo;Rumanía;4
Ambos sexos;29004-Alfarnatejo;Total Europa No Comunitaria;1
Ambos sexos;29004-Alfarnatejo;Rusia;0
Ambos sexos;29004-Alfarnatejo;Ucrania;0
Ambos sexos;29004-Alfarnatejo;Total Africa;0
Ambos sexos;29004-Alfarnatejo;Argelia;0
Ambos sexos;29004-Alfarnatejo;Marruecos;0
Ambos sexos;29004-Alfarnatejo;Nigeria;0
Ambos sexos;29004-Alfarnatejo;Senegal;0
Ambos sexos;29004-Alfarnatejo;Total América;7
Ambos sexos;29004-Alfarnatejo;Argentina;0
Ambos sexos;29004-Alfarnatejo;Bolivia;2
Ambos sexos;29004-Alfarnatejo;Brasil;1
Ambos sexos;29004-Alfarnatejo;Colombia;0
Ambos sexos;29004-Alfarnatejo;Cuba;0
Ambos sexos;29004-Alfarnatejo;Chile;1
Ambos sexos;29004-Alfarnatejo;Ecuador;0
Ambos sexos;29004-Alfarnatejo;Paraguay;1
Ambos sexos;29004-Alfarnatejo;Perú;0
Ambos sexos;29004-Alfarnatejo;Rep. Dominicana;0
Ambos sexos;29004-Alfarnatejo;Uruguay;0
Ambos sexos;29004-Alfarnatejo;Venezuela;2
Ambos sexos;29004-Alfarnatejo;Total Asia;0
Ambos sexos;29004-Alfarnatejo;China;0
Ambos sexos;29004-Alfarnatejo;Pakistán;0
Ambos sexos;29004-Alfarnatejo;Oceanía;0
Ambos sexos;29005-Algarrobo;Total Población;6.144
Ambos sexos;29005-Algarrobo;Nacidos en España;4.989
Ambos sexos;29005-Algarrobo;Nacidos en el Extranjero;1.155
Ambos sexos;29005-Algarrobo;Total Europa;867
Ambos sexos;29005-Algarrobo;Total Unión Europea;803
Ambos sexos;29005-Algarrobo;Alemania;452
Ambos sexos;29005-Algarrobo;Bulgaria;7
Ambos sexos;29005-Algarrobo;Francia;23
Ambos sexos;29005-Algarrobo;Italia;6
Ambos sexos;29005-Algarrobo;Polonia;14
Ambos sexos;29005-Algarrobo;Portugal;3
Ambos sexos;29005-Algarrobo;Reino Unido;149
Ambos sexos;29005-Algarrobo;Rumanía;73
Ambos sexos;29005-Algarrobo;Total Europa No Comunitaria;64
Ambos sexos;29005-Algarrobo;Rusia;1
Ambos sexos;29005-Algarrobo;Ucrania;5
Ambos sexos;29005-Algarrobo;Total Africa;95
Ambos sexos;29005-Algarrobo;Argelia;1
Ambos sexos;29005-Algarrobo;Marruecos;73
Ambos sexos;29005-Algarrobo;Nigeria;3
Ambos sexos;29005-Algarrobo;Senegal;16
Ambos sexos;29005-Algarrobo;Total América;178
Ambos sexos;29005-Algarrobo;Argentina;39
Ambos sexos;29005-Algarrobo;Bolivia;46
Ambos sexos;29005-Algarrobo;Brasil;10
Ambos sexos;29005-Algarrobo;Colombia;8
Ambos sexos;29005-Algarrobo;Cuba;3
Ambos sexos;29005-Algarrobo;Chile;0
Ambos sexos;29005-Algarrobo;Ecuador;0
Ambos sexos;29005-Algarrobo;Paraguay;43
Ambos sexos;29005-Algarrobo;Perú;4
Ambos sexos;29005-Algarrobo;Rep. Dominicana;1
Ambos sexos;29005-Algarrobo;Uruguay;16
Ambos sexos;29005-Algarrobo;Venezuela;3
Ambos sexos;29005-Algarrobo;Total Asia;15
Ambos sexos;29005-Algarrobo;China;4
Ambos sexos;29005-Algarrobo;Pakistán;0
Ambos sexos;29005-Algarrobo;Oceanía;0
Ambos sexos;29006-Algatocín;Total Población;929
Ambos sexos;29006-Algatocín;Nacidos en España;853
Ambos sexos;29006-Algatocín;Nacidos en el Extranjero;76
Ambos sexos;29006-Algatocín;Total Europa;58
Ambos sexos;29006-Algatocín;Total Unión Europea;57
Ambos sexos;29006-Algatocín;Alemania;18
Ambos sexos;29006-Algatocín;Bulgaria;0
Ambos sexos;29006-Algatocín;Francia;10
Ambos sexos;29006-Algatocín;Italia;1
Ambos sexos;29006-Algatocín;Polonia;0
Ambos sexos;29006-Algatocín;Portugal;0
Ambos sexos;29006-Algatocín;Reino Unido;20
Ambos sexos;29006-Algatocín;Rumanía;5
Ambos sexos;29006-Algatocín;Total Europa No Comunitaria;1
Ambos sexos;29006-Algatocín;Rusia;1
Ambos sexos;29006-Algatocín;Ucrania;0
Ambos sexos;29006-Algatocín;Total Africa;9
Ambos sexos;29006-Algatocín;Argelia;0
Ambos sexos;29006-Algatocín;Marruecos;7
Ambos sexos;29006-Algatocín;Nigeria;0
Ambos sexos;29006-Algatocín;Senegal;0
Ambos sexos;29006-Algatocín;Total América;8
Ambos sexos;29006-Algatocín;Argentina;0
Ambos sexos;29006-Algatocín;Bolivia;4
Ambos sexos;29006-Algatocín;Brasil;1
