Sexo;Municipios;País de nacimiento;Total
Ambos sexos;29001-Alameda;Total Población;5.390
Ambos sexos;29001-Alameda;Nacidos en España;5.087
Ambos sexos;29001-Alameda;Nacidos en el Extranjero;303
Ambos sexos;29001-Alameda;Total Europa;181
Ambos sexos;29001-Alameda;Total Unión Europea;175
Ambos sexos;29001-Alameda;Alemania;28
Ambos sexos;29001-Alameda;Bulgaria;0
Ambos sexos;29001-Alameda;Francia;4
Ambos sexos;29001-Alameda;Italia;1
Ambos sexos;29001-Alameda;Polonia;3
Ambos sexos;29001-Alameda;Portugal;1
Ambos sexos;29001-Alameda;Reino Unido;36
Ambos sexos;29001-Alameda;Rumanía;78
Ambos sexos;29001-Alameda;Total Europa No Comunitaria;6
Ambos sexos;29001-Alameda;Rusia;1
Ambos sexos;29001-Alameda;Ucrania;1
Ambos sexos;29001-Alameda;Total Africa;84
Ambos sexos;29001-Alameda;Argelia;8
Ambos sexos;29001-Alameda;Marruecos;70
Ambos sexos;29001-Alameda;Nigeria;0
Ambos sexos;29001-Alameda;Senegal;0
Ambos sexos;29001-Alameda;Total América;32
Ambos sexos;29001-Alameda;Argentina;0
Ambos sexos;29001-Alameda;Bolivia;0
Ambos sexos;29001-Alameda;Brasil;3
Ambos sexos;29001-Alameda;Colombia;14
Ambos sexos;29001-Alameda;Cuba;5
Ambos sexos;29001-Alameda;Chile;0
Ambos sexos;29001-Alameda;Ecuador;3
Ambos sexos;29001-Alameda;Paraguay;2
Ambos sexos;29001-Alameda;Perú;1
Ambos sexos;29001-Alameda;República Dominicana;0
Ambos sexos;29001-Alameda;Uruguay;1
Ambos sexos;29001-Alameda;Venezuela;3
Ambos sexos;29001-Alameda;Total Asia;6
Ambos sexos;29001-Alameda;China;5
Ambos sexos;29001-Alameda;Pakistán;0
Ambos sexos;29001-Alameda;Total Oceanía;0
Ambos sexos;29002-Alcaucín;Total Población;2.272
Ambos sexos;29002-Alcaucín;Nacidos en España;1.424
Ambos sexos;29002-Alcaucín;Nacidos en el Extranjero;848
Ambos sexos;29002-Alcaucín;Total Europa;732
Ambos sexos;29002-Alcaucín;Total Unión Europea;717
Ambos sexos;29002-Alcaucín;Alemania;36
Ambos sexos;29002-Alcaucín;Bulgaria;0
Ambos sexos;29002-Alcaucín;Francia;3
Ambos sexos;29002-Alcaucín;Italia;8
Ambos sexos;29002-Alcaucín;Polonia;1
Ambos sexos;29002-Alcaucín;Portugal;1
Ambos sexos;29002-Alcaucín;Reino Unido;575
Ambos sexos;29002-Alcaucín;Rumanía;13
Ambos sexos;29002-Alcaucín;Total Europa No Comunitaria;15
Ambos sexos;29002-Alcaucín;Rusia;0
Ambos sexos;29002-Alcaucín;Ucrania;11
Ambos sexos;29002-Alcaucín;Total Africa;62
Ambos sexos;29002-Alcaucín;Argelia;0
Ambos sexos;29002-Alcaucín;Marruecos;57
Ambos sexos;29002-Alcaucín;Nigeria;1
Ambos sexos;29002-Alcaucín;Senegal;0
Ambos sexos;29002-Alcaucín;Total América;21
Ambos sexos;29002-Alcaucín;Argentina;4
Ambos sexos;29002-Alcaucín;Bolivia;8
Ambos sexos;29002-Alcaucín;Brasil;1
Ambos sexos;29002-Alcaucín;Colombia;3
Ambos sexos;29002-Alcaucín;Cuba;1
Ambos sexos;29002-Alcaucín;Chile;0
Ambos sexos;29002-Alcaucín;Ecuador;0
Ambos sexos;29002-Alcaucín;Paraguay;0
Ambos sexos;29002-Alcaucín;Perú;1
Ambos sexos;29002-Alcaucín;República Dominicana;0
Ambos sexos;29002-Alcaucín;Uruguay;0
Ambos sexos;29002-Alcaucín;Venezuela;0
Ambos sexos;29002-Alcaucín;Total Asia;33
Ambos sexos;29002-Alcaucín;China;4
Ambos sexos;29002-Alcaucín;Pakistán;13
Ambos sexos;29002-Alcaucín;Total Oceanía;0
Ambos sexos;29003-Alfarnate;Total Población;1.135
Ambos sexos;29003-Alfarnate;Nacidos en España;1.111
Ambos sexos;29003-Alfarnate;Nacidos en el Extranjero;24
Ambos sexos;29003-Alfarnate;Total Europa;6
Ambos sexos;29003-Alfarnate;Total Unión Europea;6
Ambos sexos;29003-Alfarnate;Alemania;0
Ambos sexos;29003-Alfarnate;Bulgaria;0
Ambos sexos;29003-Alfarnate;Francia;0
Ambos sexos;29003-Alfarnate;Italia;0
Ambos sexos;29003-Alfarnate;Polonia;0
Ambos sexos;29003-Alfarnate;Portugal;0
Ambos sexos;29003-Alfarnate;Reino Unido;5
Ambos sexos;29003-Alfarnate;Rumanía;0
Ambos sexos;29003-Alfarnate;Total Europa No Comunitaria;0
Ambos sexos;29003-Alfarnate;Rusia;0
Ambos sexos;29003-Alfarnate;Ucrania;0
Ambos sexos;29003-Alfarnate;Total Africa;13
Ambos sexos;29003-Alfarnate;Argelia;0
Ambos sexos;29003-Alfarnate;Marruecos;13
Ambos sexos;29003-Alfarnate;Nigeria;0
Ambos sexos;29003-Alfarnate;Senegal;0
Ambos sexos;29003-Alfarnate;Total América;4
Ambos sexos;29003-Alfarnate;Argentina;0
Ambos sexos;29003-Alfarnate;Bolivia;2
Ambos sexos;29003-Alfarnate;Brasil;0
Ambos sexos;29003-Alfarnate;Colombia;1
Ambos sexos;29003-Alfarnate;Cuba;0
Ambos sexos;29003-Alfarnate;Chile;0
Ambos sexos;29003-Alfarnate;Ecuador;0
Ambos sexos;29003-Alfarnate;Paraguay;0
Ambos sexos;29003-Alfarnate;Perú;0
Ambos sexos;29003-Alfarnate;República Dominicana;0
Ambos sexos;29003-Alfarnate;Uruguay;0
Ambos sexos;29003-Alfarnate;Venezuela;0
Ambos sexos;29003-Alfarnate;Total Asia;0
Ambos sexos;29003-Alfarnate;China;0
Ambos sexos;29003-Alfarnate;Pakistán;0
Ambos sexos;29003-Alfarnate;Total Oceanía;1
Ambos sexos;29004-Alfarnatejo;Total Población;405
Ambos sexos;29004-Alfarnatejo;Nacidos en España;345
Ambos sexos;29004-Alfarnatejo;Nacidos en el Extranjero;60
Ambos sexos;29004-Alfarnatejo;Total Europa;47
Ambos sexos;29004-Alfarnatejo;Total Unión Europea;46
Ambos sexos;29004-Alfarnatejo;Alemania;3
Ambos sexos;29004-Alfarnatejo;Bulgaria;0
Ambos sexos;29004-Alfarnatejo;Francia;0
