Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;41001 Aguadulce;Africa;2
Ambos sexos;41001 Aguadulce;América;..
Ambos sexos;41001 Aguadulce;Asia;..
Ambos sexos;41001 Aguadulce;Europa;..
Ambos sexos;41001 Aguadulce;Resto;..
Ambos sexos;41002 Alanís;Africa;1
Ambos sexos;41002 Alanís;América;1
Ambos sexos;41002 Alanís;Asia;..
Ambos sexos;41002 Alanís;Europa;..
Ambos sexos;41002 Alanís;Resto;..
Ambos sexos;41003 Albaida del Aljarafe;Africa;..
Ambos sexos;41003 Albaida del Aljarafe;América;..
Ambos sexos;41003 Albaida del Aljarafe;Asia;..
Ambos sexos;41003 Albaida del Aljarafe;Europa;1
Ambos sexos;41003 Albaida del Aljarafe;Resto;..
Ambos sexos;41004 Alcalá de Guadaira;Africa;67
Ambos sexos;41004 Alcalá de Guadaira;América;48
Ambos sexos;41004 Alcalá de Guadaira;Asia;8
Ambos sexos;41004 Alcalá de Guadaira;Europa;84
Ambos sexos;41004 Alcalá de Guadaira;Resto;..
Ambos sexos;41005 Alcalá del Río;Africa;3
Ambos sexos;41005 Alcalá del Río;América;..
Ambos sexos;41005 Alcalá del Río;Asia;..
Ambos sexos;41005 Alcalá del Río;Europa;7
Ambos sexos;41005 Alcalá del Río;Resto;..
Ambos sexos;41006 Alcolea del Río;Africa;..
Ambos sexos;41006 Alcolea del Río;América;..
Ambos sexos;41006 Alcolea del Río;Asia;..
Ambos sexos;41006 Alcolea del Río;Europa;3
Ambos sexos;41006 Alcolea del Río;Resto;..
Ambos sexos;41007 Algaba (La);Africa;15
Ambos sexos;41007 Algaba (La);América;1
Ambos sexos;41007 Algaba (La);Asia;..
Ambos sexos;41007 Algaba (La);Europa;6
Ambos sexos;41007 Algaba (La);Resto;..
Ambos sexos;41008 Algámitas;Africa;..
Ambos sexos;41008 Algámitas;América;..
Ambos sexos;41008 Algámitas;Asia;..
Ambos sexos;41008 Algámitas;Europa;1
Ambos sexos;41008 Algámitas;Resto;..
Ambos sexos;41009 Almadén de la Plata;Africa;3
Ambos sexos;41009 Almadén de la Plata;América;..
Ambos sexos;41009 Almadén de la Plata;Asia;..
Ambos sexos;41009 Almadén de la Plata;Europa;..
Ambos sexos;41009 Almadén de la Plata;Resto;..
Ambos sexos;41010 Almensilla;Africa;5
Ambos sexos;41010 Almensilla;América;3
Ambos sexos;41010 Almensilla;Asia;..
Ambos sexos;41010 Almensilla;Europa;5
Ambos sexos;41010 Almensilla;Resto;..
Ambos sexos;41011 Arahal;Africa;24
Ambos sexos;41011 Arahal;América;11
Ambos sexos;41011 Arahal;Asia;..
Ambos sexos;41011 Arahal;Europa;4
Ambos sexos;41011 Arahal;Resto;..
Ambos sexos;41012 Aznalcázar;Africa;2
Ambos sexos;41012 Aznalcázar;América;3
Ambos sexos;41012 Aznalcázar;Asia;..
Ambos sexos;41012 Aznalcázar;Europa;..
Ambos sexos;41012 Aznalcázar;Resto;..
Ambos sexos;41013 Aznalcóllar;Africa;10
Ambos sexos;41013 Aznalcóllar;América;5
Ambos sexos;41013 Aznalcóllar;Asia;2
Ambos sexos;41013 Aznalcóllar;Europa;4
Ambos sexos;41013 Aznalcóllar;Resto;..
Ambos sexos;41014 Badolatosa;Africa;..
Ambos sexos;41014 Badolatosa;América;..
Ambos sexos;41014 Badolatosa;Asia;..
Ambos sexos;41014 Badolatosa;Europa;..
Ambos sexos;41014 Badolatosa;Resto;..
Ambos sexos;41015 Benacazón;Africa;2
Ambos sexos;41015 Benacazón;América;5
Ambos sexos;41015 Benacazón;Asia;..
Ambos sexos;41015 Benacazón;Europa;4
Ambos sexos;41015 Benacazón;Resto;..
Ambos sexos;41016 Bollullos de la Mitación;Africa;12
Ambos sexos;41016 Bollullos de la Mitación;América;3
Ambos sexos;41016 Bollullos de la Mitación;Asia;..
Ambos sexos;41016 Bollullos de la Mitación;Europa;8
Ambos sexos;41016 Bollullos de la Mitación;Resto;..
Ambos sexos;41017 Bormujos;Africa;1
Ambos sexos;41017 Bormujos;América;19
Ambos sexos;41017 Bormujos;Asia;3
Ambos sexos;41017 Bormujos;Europa;24
Ambos sexos;41017 Bormujos;Resto;1
Ambos sexos;41018 Brenes;Africa;16
Ambos sexos;41018 Brenes;América;7
Ambos sexos;41018 Brenes;Asia;2
Ambos sexos;41018 Brenes;Europa;14
Ambos sexos;41018 Brenes;Resto;..
Ambos sexos;41019 Burguillos;Africa;8
Ambos sexos;41019 Burguillos;América;..
Ambos sexos;41019 Burguillos;Asia;..
Ambos sexos;41019 Burguillos;Europa;2
Ambos sexos;41019 Burguillos;Resto;..
Ambos sexos;41020 Cabezas de San Juan (Las);Africa;19
Ambos sexos;41020 Cabezas de San Juan (Las);América;7
Ambos sexos;41020 Cabezas de San Juan (Las);Asia;..
Ambos sexos;41020 Cabezas de San Juan (Las);Europa;2
Ambos sexos;41020 Cabezas de San Juan (Las);Resto;..
Ambos sexos;41021 Camas;Africa;17
Ambos sexos;41021 Camas;América;30
Ambos sexos;41021 Camas;Asia;2
Ambos sexos;41021 Camas;Europa;53
Ambos sexos;41021 Camas;Resto;..
Ambos sexos;41022 Campana (La);Africa;3
Ambos sexos;41022 Campana (La);América;7
Ambos sexos;41022 Campana (La);Asia;..
Ambos sexos;41022 Campana (La);Europa;18
Ambos sexos;41022 Campana (La);Resto;..
Ambos sexos;41023 Cantillana;Africa;6
Ambos sexos;41023 Cantillana;América;9
Ambos sexos;41023 Cantillana;Asia;3
Ambos sexos;41023 Cantillana;Europa;9
Ambos sexos;41023 Cantillana;Resto;..
Ambos sexos;41024 Carmona;Africa;33
Ambos sexos;41024 Carmona;América;11
Ambos sexos;41024 Carmona;Asia;8
Ambos sexos;41024 Carmona;Europa;39
Ambos sexos;41024 Carmona;Resto;..
Ambos sexos;41025 Carrión de los Céspedes;Africa;8
Ambos sexos;41025 Carrión de los Céspedes;América;..
Ambos sexos;41025 Carrión de los Céspedes;Asia;..
Ambos sexos;41025 Carrión de los Céspedes;Europa;..
Ambos sexos;41025 Carrión de los Céspedes;Resto;..
Ambos sexos;41026 Casariche;Africa;23
Ambos sexos;41026 Casariche;América;1
Ambos sexos;41026 Casariche;Asia;..
Ambos sexos;41026 Casariche;Europa;4
Ambos sexos;41026 Casariche;Resto;..
Ambos sexos;41027 Castilblanco de los Arroyos;Africa;2
Ambos sexos;41027 Castilblanco de los Arroyos;América;2
Ambos sexos;41027 Castilblanco de los Arroyos;Asia;..
Ambos sexos;41027 Castilblanco de los Arroyos;Europa;26
Ambos sexos;41027 Castilblanco de los Arroyos;Resto;..
Ambos sexos;41028 Castilleja de Guzmán;Africa;..
Ambos sexos;41028 Castilleja de Guzmán;América;10
Ambos sexos;41028 Castilleja de Guzmán;Asia;..
Ambos sexos;41028 Castilleja de Guzmán;Europa;9
Ambos sexos;41028 Castilleja de Guzmán;Resto;..
Ambos sexos;41029 Castilleja de la Cuesta;Africa;11
Ambos sexos;41029 Castilleja de la Cuesta;América;23
Ambos sexos;41029 Castilleja de la Cuesta;Asia;5
Ambos sexos;41029 Castilleja de la Cuesta;Europa;29
Ambos sexos;41029 Castilleja de la Cuesta;Resto;..
Ambos sexos;41030 Castilleja del Campo;Africa;..
Ambos sexos;41030 Castilleja del Campo;América;..
Ambos sexos;41030 Castilleja del Campo;Asia;..
Ambos sexos;41030 Castilleja del Campo;Europa;..
Ambos sexos;41030 Castilleja del Campo;Resto;..
Ambos sexos;41031 Castillo de las Guardas (El);Africa;5
Ambos sexos;41031 Castillo de las Guardas (El);América;..
Ambos sexos;41031 Castillo de las Guardas (El);Asia;..
Ambos sexos;41031 Castillo de las Guardas (El);Europa;3
Ambos sexos;41031 Castillo de las Guardas (El);Resto;..
Ambos sexos;41032 Cazalla de la Sierra;Africa;1
Ambos sexos;41032 Cazalla de la Sierra;América;3
Ambos sexos;41032 Cazalla de la Sierra;Asia;1
Ambos sexos;41032 Cazalla de la Sierra;Europa;16
Ambos sexos;41032 Cazalla de la Sierra;Resto;..
Ambos sexos;41033 Constantina;Africa;7
Ambos sexos;41033 Constantina;América;5
Ambos sexos;41033 Constantina;Asia;5
Ambos sexos;41033 Constantina;Europa;2
Ambos sexos;41033 Constantina;Resto;1
Ambos sexos;41034 Coria del Río;Africa;37
Ambos sexos;41034 Coria del Río;América;12
Ambos sexos;41034 Coria del Río;Asia;3
Ambos sexos;41034 Coria del Río;Europa;38
Ambos sexos;41034 Coria del Río;Resto;..
Ambos sexos;41035 Coripe;Africa;..
Ambos sexos;41035 Coripe;América;5
Ambos sexos;41035 Coripe;Asia;..
Ambos sexos;41035 Coripe;Europa;2
Ambos sexos;41035 Coripe;Resto;..
Ambos sexos;41036 Coronil (El);Africa;24
Ambos sexos;41036 Coronil (El);América;..
Ambos sexos;41036 Coronil (El);Asia;1
Ambos sexos;41036 Coronil (El);Europa;2
Ambos sexos;41036 Coronil (El);Resto;..
Ambos sexos;41037 Corrales (Los);Africa;4
Ambos sexos;41037 Corrales (Los);América;..
Ambos sexos;41037 Corrales (Los);Asia;1
Ambos sexos;41037 Corrales (Los);Europa;4
Ambos sexos;41037 Corrales (Los);Resto;..
Ambos sexos;41038 Dos Hermanas;Africa;104
Ambos sexos;41038 Dos Hermanas;América;172
Ambos sexos;41038 Dos Hermanas;Asia;26
Ambos sexos;41038 Dos Hermanas;Europa;222
Ambos sexos;41038 Dos Hermanas;Resto;..
Ambos sexos;41039 Écija;Africa;27
Ambos sexos;41039 Écija;América;11
Ambos sexos;41039 Écija;Asia;2
Ambos sexos;41039 Écija;Europa;13
Ambos sexos;41039 Écija;Resto;..
Ambos sexos;41040 Espartinas;Africa;9
Ambos sexos;41040 Espartinas;América;27
