Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;41001 Aguadulce;Total Unión Europea;0
Ambos sexos;41001 Aguadulce;Reino Unido;0
Ambos sexos;41001 Aguadulce;Alemania;0
Ambos sexos;41001 Aguadulce;Total Africa;3
Ambos sexos;41001 Aguadulce;Marruecos;3
Ambos sexos;41001 Aguadulce;Total América;5
Ambos sexos;41001 Aguadulce;Colombia;5
Ambos sexos;41001 Aguadulce;Ecuador;0
Ambos sexos;41001 Aguadulce;Total Asia;0
Ambos sexos;41001 Aguadulce;Resto;0
Ambos sexos;41002 Alanís;Total Unión Europea;0
Ambos sexos;41002 Alanís;Reino Unido;0
Ambos sexos;41002 Alanís;Alemania;0
Ambos sexos;41002 Alanís;Total Africa;1
Ambos sexos;41002 Alanís;Marruecos;1
Ambos sexos;41002 Alanís;Total América;4
Ambos sexos;41002 Alanís;Colombia;0
Ambos sexos;41002 Alanís;Ecuador;3
Ambos sexos;41002 Alanís;Total Asia;0
Ambos sexos;41002 Alanís;Resto;0
Ambos sexos;41003 Albaida del Aljarafe;Total Unión Europea;0
Ambos sexos;41003 Albaida del Aljarafe;Reino Unido;0
Ambos sexos;41003 Albaida del Aljarafe;Alemania;0
Ambos sexos;41003 Albaida del Aljarafe;Total Africa;0
Ambos sexos;41003 Albaida del Aljarafe;Marruecos;0
Ambos sexos;41003 Albaida del Aljarafe;Total América;0
Ambos sexos;41003 Albaida del Aljarafe;Colombia;0
Ambos sexos;41003 Albaida del Aljarafe;Ecuador;0
Ambos sexos;41003 Albaida del Aljarafe;Total Asia;0
Ambos sexos;41003 Albaida del Aljarafe;Resto;0
Ambos sexos;41004 Alcalá de Guadaira;Total Unión Europea;126
Ambos sexos;41004 Alcalá de Guadaira;Reino Unido;12
Ambos sexos;41004 Alcalá de Guadaira;Alemania;18
Ambos sexos;41004 Alcalá de Guadaira;Total Africa;141
Ambos sexos;41004 Alcalá de Guadaira;Marruecos;127
Ambos sexos;41004 Alcalá de Guadaira;Total América;149
Ambos sexos;41004 Alcalá de Guadaira;Colombia;50
Ambos sexos;41004 Alcalá de Guadaira;Ecuador;15
Ambos sexos;41004 Alcalá de Guadaira;Total Asia;13
Ambos sexos;41004 Alcalá de Guadaira;Resto;0
Ambos sexos;41005 Alcalá del Río;Total Unión Europea;9
Ambos sexos;41005 Alcalá del Río;Reino Unido;0
Ambos sexos;41005 Alcalá del Río;Alemania;0
Ambos sexos;41005 Alcalá del Río;Total Africa;8
Ambos sexos;41005 Alcalá del Río;Marruecos;8
Ambos sexos;41005 Alcalá del Río;Total América;4
Ambos sexos;41005 Alcalá del Río;Colombia;0
Ambos sexos;41005 Alcalá del Río;Ecuador;0
Ambos sexos;41005 Alcalá del Río;Total Asia;0
Ambos sexos;41005 Alcalá del Río;Resto;0
Ambos sexos;41006 Alcolea del Río;Total Unión Europea;2
Ambos sexos;41006 Alcolea del Río;Reino Unido;0
Ambos sexos;41006 Alcolea del Río;Alemania;2
Ambos sexos;41006 Alcolea del Río;Total Africa;1
Ambos sexos;41006 Alcolea del Río;Marruecos;1
Ambos sexos;41006 Alcolea del Río;Total América;1
Ambos sexos;41006 Alcolea del Río;Colombia;0
Ambos sexos;41006 Alcolea del Río;Ecuador;0
Ambos sexos;41006 Alcolea del Río;Total Asia;0
Ambos sexos;41006 Alcolea del Río;Resto;0
Ambos sexos;41007 Algaba (La);Total Unión Europea;10
Ambos sexos;41007 Algaba (La);Reino Unido;0
Ambos sexos;41007 Algaba (La);Alemania;0
Ambos sexos;41007 Algaba (La);Total Africa;21
Ambos sexos;41007 Algaba (La);Marruecos;14
Ambos sexos;41007 Algaba (La);Total América;12
Ambos sexos;41007 Algaba (La);Colombia;4
Ambos sexos;41007 Algaba (La);Ecuador;8
Ambos sexos;41007 Algaba (La);Total Asia;0
Ambos sexos;41007 Algaba (La);Resto;0
Ambos sexos;41008 Algámitas;Total Unión Europea;3
Ambos sexos;41008 Algámitas;Reino Unido;0
Ambos sexos;41008 Algámitas;Alemania;0
Ambos sexos;41008 Algámitas;Total Africa;1
Ambos sexos;41008 Algámitas;Marruecos;1
Ambos sexos;41008 Algámitas;Total América;1
Ambos sexos;41008 Algámitas;Colombia;0
Ambos sexos;41008 Algámitas;Ecuador;0
Ambos sexos;41008 Algámitas;Total Asia;0
Ambos sexos;41008 Algámitas;Resto;0
Ambos sexos;41009 Almadén de la Plata;Total Unión Europea;0
Ambos sexos;41009 Almadén de la Plata;Reino Unido;0
Ambos sexos;41009 Almadén de la Plata;Alemania;0
Ambos sexos;41009 Almadén de la Plata;Total Africa;2
Ambos sexos;41009 Almadén de la Plata;Marruecos;0
Ambos sexos;41009 Almadén de la Plata;Total América;1
Ambos sexos;41009 Almadén de la Plata;Colombia;1
Ambos sexos;41009 Almadén de la Plata;Ecuador;0
Ambos sexos;41009 Almadén de la Plata;Total Asia;0
Ambos sexos;41009 Almadén de la Plata;Resto;0
Ambos sexos;41010 Almensilla;Total Unión Europea;14
Ambos sexos;41010 Almensilla;Reino Unido;1
Ambos sexos;41010 Almensilla;Alemania;4
Ambos sexos;41010 Almensilla;Total Africa;2
Ambos sexos;41010 Almensilla;Marruecos;1
Ambos sexos;41010 Almensilla;Total América;13
Ambos sexos;41010 Almensilla;Colombia;2
Ambos sexos;41010 Almensilla;Ecuador;0
Ambos sexos;41010 Almensilla;Total Asia;0
Ambos sexos;41010 Almensilla;Resto;0
Ambos sexos;41011 Arahal;Total Unión Europea;3
Ambos sexos;41011 Arahal;Reino Unido;0
Ambos sexos;41011 Arahal;Alemania;0
Ambos sexos;41011 Arahal;Total Africa;41
Ambos sexos;41011 Arahal;Marruecos;36
Ambos sexos;41011 Arahal;Total América;33
Ambos sexos;41011 Arahal;Colombia;26
Ambos sexos;41011 Arahal;Ecuador;1
Ambos sexos;41011 Arahal;Total Asia;0
Ambos sexos;41011 Arahal;Resto;0
Ambos sexos;41012 Aznalcázar;Total Unión Europea;13
Ambos sexos;41012 Aznalcázar;Reino Unido;4
Ambos sexos;41012 Aznalcázar;Alemania;0
Ambos sexos;41012 Aznalcázar;Total Africa;4
Ambos sexos;41012 Aznalcázar;Marruecos;4
Ambos sexos;41012 Aznalcázar;Total América;3
Ambos sexos;41012 Aznalcázar;Colombia;0
