Municipios;Sexo;Periodo;Total
04001 Abla;Total;2019;1249
04001 Abla;Total;2018;1235
04001 Abla;Total;2017;1267
04001 Abla;Total;2016;1294
04001 Abla;Total;2015;1342
04001 Abla;Total;2014;1426
04001 Abla;Total;2013;1422
04001 Abla;Total;2012;1465
04001 Abla;Total;2011;1480
04001 Abla;Total;2010;1463
04001 Abla;Total;2009;1504
04001 Abla;Total;2008;1503
04001 Abla;Total;2007;1514
04001 Abla;Total;2006;1505
04001 Abla;Total;2005;1512
04001 Abla;Total;2004;1482
04001 Abla;Total;2003;1480
04001 Abla;Total;2002;1529
04001 Abla;Total;2001;1517
04001 Abla;Total;2000;1516
04001 Abla;Total;1999;1519
04001 Abla;Total;1998;1516
04002 Abrucena;Total;2019;1202
04002 Abrucena;Total;2018;1150
04002 Abrucena;Total;2017;1170
04002 Abrucena;Total;2016;1208
04002 Abrucena;Total;2015;1279
04002 Abrucena;Total;2014;1262
04002 Abrucena;Total;2013;1299
04002 Abrucena;Total;2012;1360
04002 Abrucena;Total;2011;1391
04002 Abrucena;Total;2010;1367
04002 Abrucena;Total;2009;1341
04002 Abrucena;Total;2008;1366
04002 Abrucena;Total;2007;1379
04002 Abrucena;Total;2006;1339
04002 Abrucena;Total;2005;1358
04002 Abrucena;Total;2004;1386
04002 Abrucena;Total;2003;1391
04002 Abrucena;Total;2002;1413
04002 Abrucena;Total;2001;1437
04002 Abrucena;Total;2000;1455
04002 Abrucena;Total;1999;1460
04002 Abrucena;Total;1998;1462
04003 Adra;Total;2019;25148
04003 Adra;Total;2018;24859
04003 Adra;Total;2017;24697
04003 Adra;Total;2016;24713
04003 Adra;Total;2015;24670
04003 Adra;Total;2014;24782
04003 Adra;Total;2013;24761
04003 Adra;Total;2012;24626
04003 Adra;Total;2011;24512
04003 Adra;Total;2010;24512
04003 Adra;Total;2009;24373
04003 Adra;Total;2008;23880
04003 Adra;Total;2007;23742
04003 Adra;Total;2006;23545
04003 Adra;Total;2005;23195
04003 Adra;Total;2004;22257
04003 Adra;Total;2003;21704
04003 Adra;Total;2002;22034
