Municipios;Sexo;Periodo;Total
11001 Alcalá de los Gazules;Total;2019;5219
11001 Alcalá de los Gazules;Total;2018;5242
11001 Alcalá de los Gazules;Total;2017;5258
11001 Alcalá de los Gazules;Total;2016;5316
11001 Alcalá de los Gazules;Total;2015;5326
11001 Alcalá de los Gazules;Total;2014;5377
11001 Alcalá de los Gazules;Total;2013;5439
11001 Alcalá de los Gazules;Total;2012;5500
11001 Alcalá de los Gazules;Total;2011;5549
11001 Alcalá de los Gazules;Total;2010;5592
11001 Alcalá de los Gazules;Total;2009;5619
11001 Alcalá de los Gazules;Total;2008;5660
11001 Alcalá de los Gazules;Total;2007;5673
11001 Alcalá de los Gazules;Total;2006;5650
11001 Alcalá de los Gazules;Total;2005;5633
11001 Alcalá de los Gazules;Total;2004;5590
11001 Alcalá de los Gazules;Total;2003;5491
11001 Alcalá de los Gazules;Total;2002;5565
11001 Alcalá de los Gazules;Total;2001;5596
11001 Alcalá de los Gazules;Total;2000;5563
11001 Alcalá de los Gazules;Total;1999;5575
11001 Alcalá de los Gazules;Total;1998;5578
11002 Alcalá del Valle;Total;2019;5046
11002 Alcalá del Valle;Total;2018;5123
11002 Alcalá del Valle;Total;2017;5150
11002 Alcalá del Valle;Total;2016;5174
11002 Alcalá del Valle;Total;2015;5224
11002 Alcalá del Valle;Total;2014;5221
11002 Alcalá del Valle;Total;2013;5261
11002 Alcalá del Valle;Total;2012;5262
11002 Alcalá del Valle;Total;2011;5294
11002 Alcalá del Valle;Total;2010;5319
11002 Alcalá del Valle;Total;2009;5300
11002 Alcalá del Valle;Total;2008;5363
11002 Alcalá del Valle;Total;2007;5372
11002 Alcalá del Valle;Total;2006;5382
11002 Alcalá del Valle;Total;2005;5355
11002 Alcalá del Valle;Total;2004;5325
11002 Alcalá del Valle;Total;2003;5329
11002 Alcalá del Valle;Total;2002;5278
11002 Alcalá del Valle;Total;2001;5292
11002 Alcalá del Valle;Total;2000;5271
11002 Alcalá del Valle;Total;1999;5274
11002 Alcalá del Valle;Total;1998;5277
11003 Algar;Total;2019;1413
11003 Algar;Total;2018;1413
11003 Algar;Total;2017;1433
11003 Algar;Total;2016;1429
11003 Algar;Total;2015;1448
11003 Algar;Total;2014;1482
