Municipios;Sexo;Periodo;Total
14001 Adamuz;Total;2019;4192
14001 Adamuz;Total;2018;4185
14001 Adamuz;Total;2017;4236
14001 Adamuz;Total;2016;4270
14001 Adamuz;Total;2015;4317
14001 Adamuz;Total;2014;4398
14001 Adamuz;Total;2013;4368
14001 Adamuz;Total;2012;4446
14001 Adamuz;Total;2011;4467
14001 Adamuz;Total;2010;4414
14001 Adamuz;Total;2009;4419
14001 Adamuz;Total;2008;4472
14001 Adamuz;Total;2007;4469
14001 Adamuz;Total;2006;4476
14001 Adamuz;Total;2005;4443
14001 Adamuz;Total;2004;4397
14001 Adamuz;Total;2003;4423
14001 Adamuz;Total;2002;4455
14001 Adamuz;Total;2001;4451
14001 Adamuz;Total;2000;4465
14001 Adamuz;Total;1999;4453
14001 Adamuz;Total;1998;4440
14002 Aguilar de la Frontera;Total;2019;13328
14002 Aguilar de la Frontera;Total;2018;13438
14002 Aguilar de la Frontera;Total;2017;13476
14002 Aguilar de la Frontera;Total;2016;13511
14002 Aguilar de la Frontera;Total;2015;13551
14002 Aguilar de la Frontera;Total;2014;13631
14002 Aguilar de la Frontera;Total;2013;13671
14002 Aguilar de la Frontera;Total;2012;13701
14002 Aguilar de la Frontera;Total;2011;13654
14002 Aguilar de la Frontera;Total;2010;13693
14002 Aguilar de la Frontera;Total;2009;13746
14002 Aguilar de la Frontera;Total;2008;13692
14002 Aguilar de la Frontera;Total;2007;13653
14002 Aguilar de la Frontera;Total;2006;13657
14002 Aguilar de la Frontera;Total;2005;13589
14002 Aguilar de la Frontera;Total;2004;13522
14002 Aguilar de la Frontera;Total;2003;13546
14002 Aguilar de la Frontera;Total;2002;13508
14002 Aguilar de la Frontera;Total;2001;13435
14002 Aguilar de la Frontera;Total;2000;13393
14002 Aguilar de la Frontera;Total;1999;13416
14002 Aguilar de la Frontera;Total;1998;13397
14003 Alcaracejos;Total;2019;1486
14003 Alcaracejos;Total;2018;1473
14003 Alcaracejos;Total;2017;1496
14003 Alcaracejos;Total;2016;1495
14003 Alcaracejos;Total;2015;1523
14003 Alcaracejos;Total;2014;1527
14003 Alcaracejos;Total;2013;1529
14003 Alcaracejos;Total;2012;1545
14003 Alcaracejos;Total;2011;1545
14003 Alcaracejos;Total;2010;1548
14003 Alcaracejos;Total;2009;1528
14003 Alcaracejos;Total;2008;1524
14003 Alcaracejos;Total;2007;1500
14003 Alcaracejos;Total;2006;1485
14003 Alcaracejos;Total;2005;1472
14003 Alcaracejos;Total;2004;1446
14003 Alcaracejos;Total;2003;1428
14003 Alcaracejos;Total;2002;1423
14003 Alcaracejos;Total;2001;1430
14003 Alcaracejos;Total;2000;1469
14003 Alcaracejos;Total;1999;1474
14003 Alcaracejos;Total;1998;1474
14004 Almedinilla;Total;2019;2391
14004 Almedinilla;Total;2018;2409
14004 Almedinilla;Total;2017;2455
14004 Almedinilla;Total;2016;2431
14004 Almedinilla;Total;2015;2455
14004 Almedinilla;Total;2014;2468
14004 Almedinilla;Total;2013;2501
14004 Almedinilla;Total;2012;2523
14004 Almedinilla;Total;2011;2510
14004 Almedinilla;Total;2010;2524
14004 Almedinilla;Total;2009;2522
14004 Almedinilla;Total;2008;2513
14004 Almedinilla;Total;2007;2510
14004 Almedinilla;Total;2006;2536
14004 Almedinilla;Total;2005;2534
14004 Almedinilla;Total;2004;2563
14004 Almedinilla;Total;2003;2565
14004 Almedinilla;Total;2002;2547
14004 Almedinilla;Total;2001;2544
14004 Almedinilla;Total;2000;2527
14004 Almedinilla;Total;1999;2555
14004 Almedinilla;Total;1998;2554
14005 Almodóvar del Río;Total;2019;7937
14005 Almodóvar del Río;Total;2018;7964
14005 Almodóvar del Río;Total;2017;7982
14005 Almodóvar del Río;Total;2016;7948
14005 Almodóvar del Río;Total;2015;7961
14005 Almodóvar del Río;Total;2014;7977
14005 Almodóvar del Río;Total;2013;7997
14005 Almodóvar del Río;Total;2012;8000
14005 Almodóvar del Río;Total;2011;7969
14005 Almodóvar del Río;Total;2010;7916
14005 Almodóvar del Río;Total;2009;7839
14005 Almodóvar del Río;Total;2008;7746
14005 Almodóvar del Río;Total;2007;7682
14005 Almodóvar del Río;Total;2006;7487
14005 Almodóvar del Río;Total;2005;7420
14005 Almodóvar del Río;Total;2004;7324
14005 Almodóvar del Río;Total;2003;7123
14005 Almodóvar del Río;Total;2002;7079
14005 Almodóvar del Río;Total;2001;6978
14005 Almodóvar del Río;Total;2000;7013
14005 Almodóvar del Río;Total;1999;7144
14005 Almodóvar del Río;Total;1998;7155
14006 Añora;Total;2019;1527
14006 Añora;Total;2018;1524
14006 Añora;Total;2017;1553
14006 Añora;Total;2016;1558
14006 Añora;Total;2015;1563
14006 Añora;Total;2014;1555
14006 Añora;Total;2013;1554
14006 Añora;Total;2012;1556
14006 Añora;Total;2011;1552
14006 Añora;Total;2010;1540
14006 Añora;Total;2009;1534
14006 Añora;Total;2008;1537
14006 Añora;Total;2007;1532
14006 Añora;Total;2006;1534
14006 Añora;Total;2005;1531
14006 Añora;Total;2004;1536
14006 Añora;Total;2003;1551
14006 Añora;Total;2002;1582
14006 Añora;Total;2001;1606
14006 Añora;Total;2000;1618
14006 Añora;Total;1999;1631
14006 Añora;Total;1998;1628
14007 Baena;Total;2019;19284
14007 Baena;Total;2018;19338
14007 Baena;Total;2017;19523
14007 Baena;Total;2016;19782
14007 Baena;Total;2015;19802
14007 Baena;Total;2014;20207
14007 Baena;Total;2013;20358
14007 Baena;Total;2012;20266
14007 Baena;Total;2011;21028
14007 Baena;Total;2010;20862
14007 Baena;Total;2009;20915
14007 Baena;Total;2008;21260
14007 Baena;Total;2007;21138
14007 Baena;Total;2006;20507
14007 Baena;Total;2005;20447
14007 Baena;Total;2004;20071
14007 Baena;Total;2003;19716
14007 Baena;Total;2002;19784
14007 Baena;Total;2001;19692
14007 Baena;Total;2000;19725
14007 Baena;Total;1999;19712
14007 Baena;Total;1998;20057
14008 Belalcázar;Total;2019;3255
14008 Belalcázar;Total;2018;3273
14008 Belalcázar;Total;2017;3336
14008 Belalcázar;Total;2016;3391
14008 Belalcázar;Total;2015;3437
14008 Belalcázar;Total;2014;3427
14008 Belalcázar;Total;2013;3452
14008 Belalcázar;Total;2012;3486
14008 Belalcázar;Total;2011;3449
14008 Belalcázar;Total;2010;3458
14008 Belalcázar;Total;2009;3466
14008 Belalcázar;Total;2008;3529
14008 Belalcázar;Total;2007;3546
14008 Belalcázar;Total;2006;3567
14008 Belalcázar;Total;2005;3576
14008 Belalcázar;Total;2004;3602
14008 Belalcázar;Total;2003;3646
14008 Belalcázar;Total;2002;3712
14008 Belalcázar;Total;2001;3743
14008 Belalcázar;Total;2000;3768
14008 Belalcázar;Total;1999;3835
14008 Belalcázar;Total;1998;3879
14009 Belmez;Total;2019;2923
14009 Belmez;Total;2018;2964
14009 Belmez;Total;2017;2913
14009 Belmez;Total;2016;3062
14009 Belmez;Total;2015;3119
14009 Belmez;Total;2014;3227
14009 Belmez;Total;2013;3289
14009 Belmez;Total;2012;3162
14009 Belmez;Total;2011;3216
14009 Belmez;Total;2010;3207
14009 Belmez;Total;2009;3246
14009 Belmez;Total;2008;3292
14009 Belmez;Total;2007;3373
14009 Belmez;Total;2006;3327
14009 Belmez;Total;2005;3440
14009 Belmez;Total;2004;3527
14009 Belmez;Total;2003;3588
14009 Belmez;Total;2002;3705
14009 Belmez;Total;2001;3817
14009 Belmez;Total;2000;3924
14009 Belmez;Total;1999;3992
14009 Belmez;Total;1998;4057
14010 Benamejí;Total;2019;4966
14010 Benamejí;Total;2018;4975
14010 Benamejí;Total;2017;5025
14010 Benamejí;Total;2016;5035
14010 Benamejí;Total;2015;5060
14010 Benamejí;Total;2014;5123
14010 Benamejí;Total;2013;5121
14010 Benamejí;Total;2012;5158
14010 Benamejí;Total;2011;5155
14010 Benamejí;Total;2010;5184
14010 Benamejí;Total;2009;5146
14010 Benamejí;Total;2008;5122
14010 Benamejí;Total;2007;5095
14010 Benamejí;Total;2006;5072
14010 Benamejí;Total;2005;5030
14010 Benamejí;Total;2004;4897
14010 Benamejí;Total;2003;4854
14010 Benamejí;Total;2002;4847
14010 Benamejí;Total;2001;4800
14010 Benamejí;Total;2000;4788
14010 Benamejí;Total;1999;4763
14010 Benamejí;Total;1998;4735
14011 Los Blázquez;Total;2019;661
14011 Los Blázquez;Total;2018;681
14011 Los Blázquez;Total;2017;691
14011 Los Blázquez;Total;2016;695
14011 Los Blázquez;Total;2015;703
14011 Los Blázquez;Total;2014;701
14011 Los Blázquez;Total;2013;721
14011 Los Blázquez;Total;2012;727
14011 Los Blázquez;Total;2011;745
14011 Los Blázquez;Total;2010;728
14011 Los Blázquez;Total;2009;738
14011 Los Blázquez;Total;2008;724
14011 Los Blázquez;Total;2007;688
14011 Los Blázquez;Total;2006;691
14011 Los Blázquez;Total;2005;685
14011 Los Blázquez;Total;2004;693
14011 Los Blázquez;Total;2003;681
14011 Los Blázquez;Total;2002;688
14011 Los Blázquez;Total;2001;702
14011 Los Blázquez;Total;2000;714
14011 Los Blázquez;Total;1999;726
14011 Los Blázquez;Total;1998;712
14012 Bujalance;Total;2019;7417
14012 Bujalance;Total;2018;7537
14012 Bujalance;Total;2017;7599
14012 Bujalance;Total;2016;7638
14012 Bujalance;Total;2015;7693
14012 Bujalance;Total;2014;7744
14012 Bujalance;Total;2013;7792
14012 Bujalance;Total;2012;7896
14012 Bujalance;Total;2011;7932
14012 Bujalance;Total;2010;7910
14012 Bujalance;Total;2009;7889
14012 Bujalance;Total;2008;7941
14012 Bujalance;Total;2007;7841
14012 Bujalance;Total;2006;7832
14012 Bujalance;Total;2005;7870
14012 Bujalance;Total;2004;7915
14012 Bujalance;Total;2003;7995
14012 Bujalance;Total;2002;8066
14012 Bujalance;Total;2001;8088
14012 Bujalance;Total;2000;8051
14012 Bujalance;Total;1999;8156
14012 Bujalance;Total;1998;8204
14013 Cabra;Total;2019;20341
14013 Cabra;Total;2018;20417
14013 Cabra;Total;2017;20557
14013 Cabra;Total;2016;20704
14013 Cabra;Total;2015;20837
14013 Cabra;Total;2014;21001
14013 Cabra;Total;2013;20835
14013 Cabra;Total;2012;21136
14013 Cabra;Total;2011;21188
14013 Cabra;Total;2010;21266
14013 Cabra;Total;2009;21352
14013 Cabra;Total;2008;21288
14013 Cabra;Total;2007;21087
14013 Cabra;Total;2006;20935
14013 Cabra;Total;2005;20940
14013 Cabra;Total;2004;20837
14013 Cabra;Total;2003;20724
14013 Cabra;Total;2002;20711
14013 Cabra;Total;2001;20645
14013 Cabra;Total;2000;20711
14013 Cabra;Total;1999;20744
14013 Cabra;Total;1998;20819
14014 Cañete de las Torres;Total;2019;2933
14014 Cañete de las Torres;Total;2018;2969
14014 Cañete de las Torres;Total;2017;3000
14014 Cañete de las Torres;Total;2016;2992
14014 Cañete de las Torres;Total;2015;3010
14014 Cañete de las Torres;Total;2014;3033
14014 Cañete de las Torres;Total;2013;3087
14014 Cañete de las Torres;Total;2012;3124
14014 Cañete de las Torres;Total;2011;3157
14014 Cañete de las Torres;Total;2010;3133
14014 Cañete de las Torres;Total;2009;3144
14014 Cañete de las Torres;Total;2008;3173
14014 Cañete de las Torres;Total;2007;3182
14014 Cañete de las Torres;Total;2006;3211
14014 Cañete de las Torres;Total;2005;3210
14014 Cañete de las Torres;Total;2004;3209
14014 Cañete de las Torres;Total;2003;3221
14014 Cañete de las Torres;Total;2002;3295
14014 Cañete de las Torres;Total;2001;3310
14014 Cañete de las Torres;Total;2000;3328
14014 Cañete de las Torres;Total;1999;3385
14014 Cañete de las Torres;Total;1998;3424
14015 Carcabuey;Total;2019;2412
14015 Carcabuey;Total;2018;2454
14015 Carcabuey;Total;2017;2471
14015 Carcabuey;Total;2016;2529
14015 Carcabuey;Total;2015;2595
14015 Carcabuey;Total;2014;2632
14015 Carcabuey;Total;2013;2668
14015 Carcabuey;Total;2012;2659
14015 Carcabuey;Total;2011;2662
14015 Carcabuey;Total;2010;2685
14015 Carcabuey;Total;2009;2738
14015 Carcabuey;Total;2008;2748
14015 Carcabuey;Total;2007;2752
14015 Carcabuey;Total;2006;2775
14015 Carcabuey;Total;2005;2825
14015 Carcabuey;Total;2004;2834
14015 Carcabuey;Total;2003;2800
14015 Carcabuey;Total;2002;2827
14015 Carcabuey;Total;2001;2845
14015 Carcabuey;Total;2000;2868
14015 Carcabuey;Total;1999;2888
14015 Carcabuey;Total;1998;2887
14016 Cardeña;Total;2019;1490
14016 Cardeña;Total;2018;1503
14016 Cardeña;Total;2017;1532
14016 Cardeña;Total;2016;1552
14016 Cardeña;Total;2015;1604
14016 Cardeña;Total;2014;1606
14016 Cardeña;Total;2013;1634
14016 Cardeña;Total;2012;1669
14016 Cardeña;Total;2011;1703
14016 Cardeña;Total;2010;1732
14016 Cardeña;Total;2009;1695
14016 Cardeña;Total;2008;1721
14016 Cardeña;Total;2007;1717
14016 Cardeña;Total;2006;1750
14016 Cardeña;Total;2005;1761
14016 Cardeña;Total;2004;1776
14016 Cardeña;Total;2003;1755
14016 Cardeña;Total;2002;1801
14016 Cardeña;Total;2001;1856
14016 Cardeña;Total;2000;1907
14016 Cardeña;Total;1999;1912
14016 Cardeña;Total;1998;1966
14017 La Carlota;Total;2019;14061
14017 La Carlota;Total;2018;14067
14017 La Carlota;Total;2017;14010
14017 La Carlota;Total;2016;13936
14017 La Carlota;Total;2015;13929
14017 La Carlota;Total;2014;13872
14017 La Carlota;Total;2013;13903
14017 La Carlota;Total;2012;13743
14017 La Carlota;Total;2011;13595
14017 La Carlota;Total;2010;13469
14017 La Carlota;Total;2009;13182
14017 La Carlota;Total;2008;12827
14017 La Carlota;Total;2007;12303
14017 La Carlota;Total;2006;11906
14017 La Carlota;Total;2005;11488
14017 La Carlota;Total;2004;11203
14017 La Carlota;Total;2003;10944
14017 La Carlota;Total;2002;10736
14017 La Carlota;Total;2001;10518
14017 La Carlota;Total;2000;10471
14017 La Carlota;Total;1999;10336
14017 La Carlota;Total;1998;10295
14018 El Carpio;Total;2019;4383
14018 El Carpio;Total;2018;4457
14018 El Carpio;Total;2017;4480
14018 El Carpio;Total;2016;4500
14018 El Carpio;Total;2015;4496
14018 El Carpio;Total;2014;4516
14018 El Carpio;Total;2013;4582
14018 El Carpio;Total;2012;4555
14018 El Carpio;Total;2011;4590
14018 El Carpio;Total;2010;4596
14018 El Carpio;Total;2009;4605
14018 El Carpio;Total;2008;4591
14018 El Carpio;Total;2007;4516
14018 El Carpio;Total;2006;4477
14018 El Carpio;Total;2005;4491
14018 El Carpio;Total;2004;4473
14018 El Carpio;Total;2003;4463
14018 El Carpio;Total;2002;4449
14018 El Carpio;Total;2001;4461
14018 El Carpio;Total;2000;4465
14018 El Carpio;Total;1999;4509
14018 El Carpio;Total;1998;4394
14019 Castro del Río;Total;2019;7809
14019 Castro del Río;Total;2018;7834
14019 Castro del Río;Total;2017;7881
14019 Castro del Río;Total;2016;7917
14019 Castro del Río;Total;2015;7972
14019 Castro del Río;Total;2014;8052
14019 Castro del Río;Total;2013;8108
