Municipios;Sexo;Periodo;Total
18001 Agrón;Total;2019;274
18001 Agrón;Total;2018;288
18001 Agrón;Total;2017;290
18001 Agrón;Total;2016;297
18001 Agrón;Total;2015;310
18001 Agrón;Total;2014;313
18001 Agrón;Total;2013;324
18001 Agrón;Total;2012;342
18001 Agrón;Total;2011;330
18001 Agrón;Total;2010;340
18001 Agrón;Total;2009;358
18001 Agrón;Total;2008;381
18001 Agrón;Total;2007;374
18001 Agrón;Total;2006;283
18001 Agrón;Total;2005;301
18001 Agrón;Total;2004;320
18001 Agrón;Total;2003;344
18001 Agrón;Total;2002;354
18001 Agrón;Total;2001;380
18001 Agrón;Total;2000;392
18001 Agrón;Total;1999;415
18001 Agrón;Total;1998;425
18002 Alamedilla;Total;2019;574
18002 Alamedilla;Total;2018;599
18002 Alamedilla;Total;2017;606
18002 Alamedilla;Total;2016;611
18002 Alamedilla;Total;2015;637
18002 Alamedilla;Total;2014;658
18002 Alamedilla;Total;2013;695
18002 Alamedilla;Total;2012;673
18002 Alamedilla;Total;2011;704
18002 Alamedilla;Total;2010;699
18002 Alamedilla;Total;2009;721
18002 Alamedilla;Total;2008;757
18002 Alamedilla;Total;2007;777
18002 Alamedilla;Total;2006;785
18002 Alamedilla;Total;2005;811
18002 Alamedilla;Total;2004;830
18002 Alamedilla;Total;2003;843
18002 Alamedilla;Total;2002;864
18002 Alamedilla;Total;2001;871
18002 Alamedilla;Total;2000;898
18002 Alamedilla;Total;1999;947
18002 Alamedilla;Total;1998;953
18003 Albolote;Total;2019;18808
18003 Albolote;Total;2018;18746
18003 Albolote;Total;2017;18660
18003 Albolote;Total;2016;18497
18003 Albolote;Total;2015;18464
18003 Albolote;Total;2014;18306
18003 Albolote;Total;2013;18082
18003 Albolote;Total;2012;18088
18003 Albolote;Total;2011;17892
18003 Albolote;Total;2010;17637
18003 Albolote;Total;2009;17089
18003 Albolote;Total;2008;16879
18003 Albolote;Total;2007;16450
18003 Albolote;Total;2006;15978
18003 Albolote;Total;2005;15563
18003 Albolote;Total;2004;14862
18003 Albolote;Total;2003;14106
18003 Albolote;Total;2002;13725
18003 Albolote;Total;2001;13350
18003 Albolote;Total;2000;13048
18003 Albolote;Total;1999;12916
18003 Albolote;Total;1998;12693
18004 Albondón;Total;2019;728
18004 Albondón;Total;2018;729
18004 Albondón;Total;2017;745
18004 Albondón;Total;2016;762
18004 Albondón;Total;2015;782
18004 Albondón;Total;2014;797
18004 Albondón;Total;2013;814
18004 Albondón;Total;2012;889
18004 Albondón;Total;2011;905
18004 Albondón;Total;2010;883
18004 Albondón;Total;2009;871
18004 Albondón;Total;2008;921
18004 Albondón;Total;2007;915
18004 Albondón;Total;2006;914
18004 Albondón;Total;2005;929
18004 Albondón;Total;2004;941
18004 Albondón;Total;2003;967
18004 Albondón;Total;2002;986
18004 Albondón;Total;2001;989
18004 Albondón;Total;2000;996
18004 Albondón;Total;1999;1060
18004 Albondón;Total;1998;1060
18005 Albuñán;Total;2019;406
18005 Albuñán;Total;2018;415
