Municipios;Sexo;Periodo;Total
23001 Albanchez de Mágina;Total;2019;1024
23001 Albanchez de Mágina;Total;2018;1027
23001 Albanchez de Mágina;Total;2017;1060
23001 Albanchez de Mágina;Total;2016;1072
23001 Albanchez de Mágina;Total;2015;1186
23001 Albanchez de Mágina;Total;2014;1140
23001 Albanchez de Mágina;Total;2013;1179
23001 Albanchez de Mágina;Total;2012;1233
23001 Albanchez de Mágina;Total;2011;1229
23001 Albanchez de Mágina;Total;2010;1230
23001 Albanchez de Mágina;Total;2009;1228
23001 Albanchez de Mágina;Total;2008;1264
23001 Albanchez de Mágina;Total;2007;1272
23001 Albanchez de Mágina;Total;2006;1326
23001 Albanchez de Mágina;Total;2005;1358
23001 Albanchez de Mágina;Total;2004;1397
23001 Albanchez de Mágina;Total;2003;1405
23001 Albanchez de Mágina;Total;2002;1453
23001 Albanchez de Mágina;Total;2001;1474
23001 Albanchez de Mágina;Total;2000;1497
23001 Albanchez de Mágina;Total;1999;1502
23001 Albanchez de Mágina;Total;1998;1496
23002 Alcalá la Real;Total;2019;21605
23002 Alcalá la Real;Total;2018;21708
23002 Alcalá la Real;Total;2017;21758
23002 Alcalá la Real;Total;2016;21758
23002 Alcalá la Real;Total;2015;22036
23002 Alcalá la Real;Total;2014;22324
23002 Alcalá la Real;Total;2013;22682
23002 Alcalá la Real;Total;2012;22870
23002 Alcalá la Real;Total;2011;22758
23002 Alcalá la Real;Total;2010;22759
23002 Alcalá la Real;Total;2009;22783
23002 Alcalá la Real;Total;2008;22524
23002 Alcalá la Real;Total;2007;22324
23002 Alcalá la Real;Total;2006;22129
23002 Alcalá la Real;Total;2005;22038
23002 Alcalá la Real;Total;2004;21806
23002 Alcalá la Real;Total;2003;21880
23002 Alcalá la Real;Total;2002;21517
23002 Alcalá la Real;Total;2001;21523
23002 Alcalá la Real;Total;2000;21599
23002 Alcalá la Real;Total;1999;21521
23002 Alcalá la Real;Total;1998;21493
23003 Alcaudete;Total;2019;10498
23003 Alcaudete;Total;2018;10558
23003 Alcaudete;Total;2017;10634
23003 Alcaudete;Total;2016;10698
23003 Alcaudete;Total;2015;10779
23003 Alcaudete;Total;2014;10896
23003 Alcaudete;Total;2013;11008
23003 Alcaudete;Total;2012;11139
23003 Alcaudete;Total;2011;11265
