Municipios;Sexo;Periodo;Total
29001 Alameda;Total;2019;5372
29001 Alameda;Total;2018;5366
29001 Alameda;Total;2017;5384
29001 Alameda;Total;2016;5390
29001 Alameda;Total;2015;5403
29001 Alameda;Total;2014;5403
29001 Alameda;Total;2013;5455
29001 Alameda;Total;2012;5504
29001 Alameda;Total;2011;5471
29001 Alameda;Total;2010;5486
29001 Alameda;Total;2009;5481
29001 Alameda;Total;2008;5426
29001 Alameda;Total;2007;5367
29001 Alameda;Total;2006;5314
29001 Alameda;Total;2005;5245
29001 Alameda;Total;2004;5161
29001 Alameda;Total;2003;5066
29001 Alameda;Total;2002;5017
29001 Alameda;Total;2001;5008
29001 Alameda;Total;2000;5002
29001 Alameda;Total;1999;4947
29001 Alameda;Total;1998;4961
29002 Alcaucín;Total;2019;2230
29002 Alcaucín;Total;2018;2239
29002 Alcaucín;Total;2017;2253
29002 Alcaucín;Total;2016;2272
29002 Alcaucín;Total;2015;2375
29002 Alcaucín;Total;2014;2454
29002 Alcaucín;Total;2013;2832
29002 Alcaucín;Total;2012;2817
29002 Alcaucín;Total;2011;2753
29002 Alcaucín;Total;2010;2668
29002 Alcaucín;Total;2009;2576
29002 Alcaucín;Total;2008;2469
29002 Alcaucín;Total;2007;2286
29002 Alcaucín;Total;2006;2086
29002 Alcaucín;Total;2005;1917
29002 Alcaucín;Total;2004;1651
29002 Alcaucín;Total;2003;1599
29002 Alcaucín;Total;2002;1557
29002 Alcaucín;Total;2001;1534
29002 Alcaucín;Total;2000;1511
29002 Alcaucín;Total;1999;1499
29002 Alcaucín;Total;1998;1509
29003 Alfarnate;Total;2019;1069
29003 Alfarnate;Total;2018;1105
29003 Alfarnate;Total;2017;1113
29003 Alfarnate;Total;2016;1135
29003 Alfarnate;Total;2015;1159
29003 Alfarnate;Total;2014;1198
29003 Alfarnate;Total;2013;1240
29003 Alfarnate;Total;2012;1300
29003 Alfarnate;Total;2011;1323
29003 Alfarnate;Total;2010;1338
29003 Alfarnate;Total;2009;1348
29003 Alfarnate;Total;2008;1362
29003 Alfarnate;Total;2007;1365
29003 Alfarnate;Total;2006;1386
29003 Alfarnate;Total;2005;1398
29003 Alfarnate;Total;2004;1413
29003 Alfarnate;Total;2003;1401
29003 Alfarnate;Total;2002;1430
29003 Alfarnate;Total;2001;1429
29003 Alfarnate;Total;2000;1443
29003 Alfarnate;Total;1999;1431
29003 Alfarnate;Total;1998;1451
29004 Alfarnatejo;Total;2019;377
29004 Alfarnatejo;Total;2018;394
29004 Alfarnatejo;Total;2017;397
29004 Alfarnatejo;Total;2016;405
29004 Alfarnatejo;Total;2015;463
29004 Alfarnatejo;Total;2014;477
29004 Alfarnatejo;Total;2013;515
29004 Alfarnatejo;Total;2012;532
29004 Alfarnatejo;Total;2011;546
29004 Alfarnatejo;Total;2010;543
29004 Alfarnatejo;Total;2009;538
29004 Alfarnatejo;Total;2008;516
29004 Alfarnatejo;Total;2007;478
29004 Alfarnatejo;Total;2006;448
29004 Alfarnatejo;Total;2005;404
29004 Alfarnatejo;Total;2004;394
29004 Alfarnatejo;Total;2003;387
29004 Alfarnatejo;Total;2002;388
29004 Alfarnatejo;Total;2001;392
29004 Alfarnatejo;Total;2000;399
29004 Alfarnatejo;Total;1999;408
29004 Alfarnatejo;Total;1998;405
29005 Algarrobo;Total;2019;6444
29005 Algarrobo;Total;2018;6367
29005 Algarrobo;Total;2017;6284
29005 Algarrobo;Total;2016;6232
29005 Algarrobo;Total;2015;6013
29005 Algarrobo;Total;2014;6103
29005 Algarrobo;Total;2013;6601
29005 Algarrobo;Total;2012;6584
29005 Algarrobo;Total;2011;6539
29005 Algarrobo;Total;2010;6350
29005 Algarrobo;Total;2009;6219
29005 Algarrobo;Total;2008;6144
29005 Algarrobo;Total;2007;5907
29005 Algarrobo;Total;2006;5668
29005 Algarrobo;Total;2005;5275
29005 Algarrobo;Total;2004;4979
29005 Algarrobo;Total;2003;4862
29005 Algarrobo;Total;2002;4823
29005 Algarrobo;Total;2001;4844
29005 Algarrobo;Total;2000;4852
29005 Algarrobo;Total;1999;4861
29005 Algarrobo;Total;1998;4794
29006 Algatocín;Total;2019;793
29006 Algatocín;Total;2018;778
29006 Algatocín;Total;2017;778
29006 Algatocín;Total;2016;795
29006 Algatocín;Total;2015;834
29006 Algatocín;Total;2014;844
29006 Algatocín;Total;2013;866
29006 Algatocín;Total;2012;887
29006 Algatocín;Total;2011;904
29006 Algatocín;Total;2010;937
29006 Algatocín;Total;2009;909
29006 Algatocín;Total;2008;929
29006 Algatocín;Total;2007;936
29006 Algatocín;Total;2006;942
29006 Algatocín;Total;2005;951
29006 Algatocín;Total;2004;944
29006 Algatocín;Total;2003;954
29006 Algatocín;Total;2002;965
29006 Algatocín;Total;2001;962
29006 Algatocín;Total;2000;949
29006 Algatocín;Total;1999;947
