Municipios;Sexo;Periodo;Total
41001 Aguadulce;Total;2019;2020
41001 Aguadulce;Total;2018;2026
41001 Aguadulce;Total;2017;2047
41001 Aguadulce;Total;2016;2073
41001 Aguadulce;Total;2015;2114
41001 Aguadulce;Total;2014;2149
41001 Aguadulce;Total;2013;2166
41001 Aguadulce;Total;2012;2165
41001 Aguadulce;Total;2011;2165
41001 Aguadulce;Total;2010;2181
41001 Aguadulce;Total;2009;2124
41001 Aguadulce;Total;2008;2124
41001 Aguadulce;Total;2007;2060
41001 Aguadulce;Total;2006;2010
41001 Aguadulce;Total;2005;1993
41001 Aguadulce;Total;2004;1982
41001 Aguadulce;Total;2003;1970
41001 Aguadulce;Total;2002;1981
41001 Aguadulce;Total;2001;1968
41001 Aguadulce;Total;2000;1958
41001 Aguadulce;Total;1999;1953
41001 Aguadulce;Total;1998;1966
41002 Alanís;Total;2019;1723
41002 Alanís;Total;2018;1746
41002 Alanís;Total;2017;1781
41002 Alanís;Total;2016;1811
41002 Alanís;Total;2015;1820
41002 Alanís;Total;2014;1832
41002 Alanís;Total;2013;1843
41002 Alanís;Total;2012;1858
41002 Alanís;Total;2011;1859
41002 Alanís;Total;2010;1863
41002 Alanís;Total;2009;1894
41002 Alanís;Total;2008;1891
41002 Alanís;Total;2007;1887
41002 Alanís;Total;2006;1890
41002 Alanís;Total;2005;1937
41002 Alanís;Total;2004;1974
41002 Alanís;Total;2003;1984
41002 Alanís;Total;2002;2009
41002 Alanís;Total;2001;2030
41002 Alanís;Total;2000;2014
41002 Alanís;Total;1999;2038
41002 Alanís;Total;1998;2047
41003 Albaida del Aljarafe;Total;2019;3197
41003 Albaida del Aljarafe;Total;2018;3193
41003 Albaida del Aljarafe;Total;2017;3137
41003 Albaida del Aljarafe;Total;2016;3135
41003 Albaida del Aljarafe;Total;2015;3110
41003 Albaida del Aljarafe;Total;2014;3089
41003 Albaida del Aljarafe;Total;2013;3084
41003 Albaida del Aljarafe;Total;2012;2987
41003 Albaida del Aljarafe;Total;2011;2971
41003 Albaida del Aljarafe;Total;2010;2898
41003 Albaida del Aljarafe;Total;2009;2881
41003 Albaida del Aljarafe;Total;2008;2798
41003 Albaida del Aljarafe;Total;2007;2586
41003 Albaida del Aljarafe;Total;2006;2351
41003 Albaida del Aljarafe;Total;2005;2231
41003 Albaida del Aljarafe;Total;2004;2157
41003 Albaida del Aljarafe;Total;2003;2029
41003 Albaida del Aljarafe;Total;2002;1833
41003 Albaida del Aljarafe;Total;2001;1840
41003 Albaida del Aljarafe;Total;2000;1820
41003 Albaida del Aljarafe;Total;1999;1819
41003 Albaida del Aljarafe;Total;1998;1814
41004 Alcalá de Guadaíra;Total;2019;75279
41004 Alcalá de Guadaíra;Total;2018;75256
41004 Alcalá de Guadaíra;Total;2017;75106
41004 Alcalá de Guadaíra;Total;2016;75080
41004 Alcalá de Guadaíra;Total;2015;74845
41004 Alcalá de Guadaíra;Total;2014;74404
41004 Alcalá de Guadaíra;Total;2013;73876
41004 Alcalá de Guadaíra;Total;2012;73675
41004 Alcalá de Guadaíra;Total;2011;72800
41004 Alcalá de Guadaíra;Total;2010;71740
41004 Alcalá de Guadaíra;Total;2009;70155
41004 Alcalá de Guadaíra;Total;2008;68452
41004 Alcalá de Guadaíra;Total;2007;66089
41004 Alcalá de Guadaíra;Total;2006;64990
41004 Alcalá de Guadaíra;Total;2005;63237
41004 Alcalá de Guadaíra;Total;2004;61063
41004 Alcalá de Guadaíra;Total;2003;59807
41004 Alcalá de Guadaíra;Total;2002;58351
41004 Alcalá de Guadaíra;Total;2001;57830
41004 Alcalá de Guadaíra;Total;2000;57206
41004 Alcalá de Guadaíra;Total;1999;56743
41004 Alcalá de Guadaíra;Total;1998;56244
41005 Alcalá del Río;Total;2019;12029
41005 Alcalá del Río;Total;2018;11927
41005 Alcalá del Río;Total;2017;11950
41005 Alcalá del Río;Total;2016;11813
41005 Alcalá del Río;Total;2015;11745
41005 Alcalá del Río;Total;2014;11690
41005 Alcalá del Río;Total;2013;11620
41005 Alcalá del Río;Total;2012;11513
41005 Alcalá del Río;Total;2011;11298
41005 Alcalá del Río;Total;2010;11004
41005 Alcalá del Río;Total;2009;10869
41005 Alcalá del Río;Total;2008;10479
41005 Alcalá del Río;Total;2007;9943
41005 Alcalá del Río;Total;2006;9484
41005 Alcalá del Río;Total;2005;9317
41005 Alcalá del Río;Total;2004;9211
41005 Alcalá del Río;Total;2003;9142
41005 Alcalá del Río;Total;2002;9130
41005 Alcalá del Río;Total;2001;9214
41005 Alcalá del Río;Total;2000;9301
41005 Alcalá del Río;Total;1999;9265
41005 Alcalá del Río;Total;1998;9274
41006 Alcolea del Río;Total;2019;3373
41006 Alcolea del Río;Total;2018;3387
41006 Alcolea del Río;Total;2017;3413
41006 Alcolea del Río;Total;2016;3397
41006 Alcolea del Río;Total;2015;3414
41006 Alcolea del Río;Total;2014;3402
41006 Alcolea del Río;Total;2013;3404
41006 Alcolea del Río;Total;2012;3424
41006 Alcolea del Río;Total;2011;3408
41006 Alcolea del Río;Total;2010;3407
41006 Alcolea del Río;Total;2009;3394
41006 Alcolea del Río;Total;2008;3370
41006 Alcolea del Río;Total;2007;3331
41006 Alcolea del Río;Total;2006;3356
41006 Alcolea del Río;Total;2005;3331
41006 Alcolea del Río;Total;2004;3336
41006 Alcolea del Río;Total;2003;3328
41006 Alcolea del Río;Total;2002;3382
41006 Alcolea del Río;Total;2001;3366
41006 Alcolea del Río;Total;2000;3392
41006 Alcolea del Río;Total;1999;3350
41006 Alcolea del Río;Total;1998;3385
41007 La Algaba;Total;2019;16374
41007 La Algaba;Total;2018;16301
41007 La Algaba;Total;2017;16275
41007 La Algaba;Total;2016;16203
41007 La Algaba;Total;2015;16279
41007 La Algaba;Total;2014;16105
41007 La Algaba;Total;2013;16029
41007 La Algaba;Total;2012;15754
41007 La Algaba;Total;2011;15519
41007 La Algaba;Total;2010;15255
41007 La Algaba;Total;2009;14942
41007 La Algaba;Total;2008;14642
41007 La Algaba;Total;2007;14064
41007 La Algaba;Total;2006;13764
41007 La Algaba;Total;2005;13623
41007 La Algaba;Total;2004;13463
41007 La Algaba;Total;2003;13304
41007 La Algaba;Total;2002;13113
41007 La Algaba;Total;2001;12989
41007 La Algaba;Total;2000;12916
41007 La Algaba;Total;1999;12785
41007 La Algaba;Total;1998;12784
41008 Algámitas;Total;2019;1255
41008 Algámitas;Total;2018;1248
41008 Algámitas;Total;2017;1284
41008 Algámitas;Total;2016;1283
41008 Algámitas;Total;2015;1291
41008 Algámitas;Total;2014;1316
41008 Algámitas;Total;2013;1310
41008 Algámitas;Total;2012;1326
41008 Algámitas;Total;2011;1320
41008 Algámitas;Total;2010;1346
41008 Algámitas;Total;2009;1363
41008 Algámitas;Total;2008;1341
41008 Algámitas;Total;2007;1321
41008 Algámitas;Total;2006;1330
41008 Algámitas;Total;2005;1337
41008 Algámitas;Total;2004;1347
41008 Algámitas;Total;2003;1360
41008 Algámitas;Total;2002;1371
41008 Algámitas;Total;2001;1378
41008 Algámitas;Total;2000;1373
41008 Algámitas;Total;1999;1382
41008 Algámitas;Total;1998;1377
41009 Almadén de la Plata;Total;2019;1355
41009 Almadén de la Plata;Total;2018;1379
41009 Almadén de la Plata;Total;2017;1424
41009 Almadén de la Plata;Total;2016;1461
41009 Almadén de la Plata;Total;2015;1480
41009 Almadén de la Plata;Total;2014;1503
41009 Almadén de la Plata;Total;2013;1531
41009 Almadén de la Plata;Total;2012;1553
41009 Almadén de la Plata;Total;2011;1542
41009 Almadén de la Plata;Total;2010;1520
41009 Almadén de la Plata;Total;2009;1533
41009 Almadén de la Plata;Total;2008;1560
41009 Almadén de la Plata;Total;2007;1577
41009 Almadén de la Plata;Total;2006;1649
41009 Almadén de la Plata;Total;2005;1696
41009 Almadén de la Plata;Total;2004;1705
41009 Almadén de la Plata;Total;2003;1686
41009 Almadén de la Plata;Total;2002;1713
41009 Almadén de la Plata;Total;2001;1738
41009 Almadén de la Plata;Total;2000;1764
41009 Almadén de la Plata;Total;1999;1728
41009 Almadén de la Plata;Total;1998;1716
41010 Almensilla;Total;2019;6080
41010 Almensilla;Total;2018;6008
41010 Almensilla;Total;2017;5929
41010 Almensilla;Total;2016;5919
41010 Almensilla;Total;2015;5861
41010 Almensilla;Total;2014;5816
41010 Almensilla;Total;2013;5814
41010 Almensilla;Total;2012;5776
41010 Almensilla;Total;2011;5786
41010 Almensilla;Total;2010;5732
41010 Almensilla;Total;2009;5598
41010 Almensilla;Total;2008;5438
41010 Almensilla;Total;2007;5096
41010 Almensilla;Total;2006;4927
41010 Almensilla;Total;2005;4534
41010 Almensilla;Total;2004;4244
41010 Almensilla;Total;2003;3545
41010 Almensilla;Total;2002;3352
41010 Almensilla;Total;2001;3213
41010 Almensilla;Total;2000;3110
41010 Almensilla;Total;1999;2884
41010 Almensilla;Total;1998;2703
41011 Arahal;Total;2019;19526
41011 Arahal;Total;2018;19565
41011 Arahal;Total;2017;19532
41011 Arahal;Total;2016;19594
41011 Arahal;Total;2015;19550
41011 Arahal;Total;2014;19585
41011 Arahal;Total;2013;19536
41011 Arahal;Total;2012;19513
41011 Arahal;Total;2011;19382
41011 Arahal;Total;2010;19335
41011 Arahal;Total;2009;19248
41011 Arahal;Total;2008;19150
41011 Arahal;Total;2007;18896
41011 Arahal;Total;2006;18861
41011 Arahal;Total;2005;18655
41011 Arahal;Total;2004;18588
41011 Arahal;Total;2003;18568
41011 Arahal;Total;2002;18473
41011 Arahal;Total;2001;18444
41011 Arahal;Total;2000;18501
41011 Arahal;Total;1999;18431
41011 Arahal;Total;1998;18252
41012 Aznalcázar;Total;2019;4586
41012 Aznalcázar;Total;2018;4495
41012 Aznalcázar;Total;2017;4493
41012 Aznalcázar;Total;2016;4470
41012 Aznalcázar;Total;2015;4469
41012 Aznalcázar;Total;2014;4349
41012 Aznalcázar;Total;2013;4257
41012 Aznalcázar;Total;2012;4260
41012 Aznalcázar;Total;2011;4206
41012 Aznalcázar;Total;2010;4128
41012 Aznalcázar;Total;2009;4064
41012 Aznalcázar;Total;2008;4003
41012 Aznalcázar;Total;2007;3860
41012 Aznalcázar;Total;2006;3793
41012 Aznalcázar;Total;2005;3692
41012 Aznalcázar;Total;2004;3613
41012 Aznalcázar;Total;2003;3581
41012 Aznalcázar;Total;2002;3522
41012 Aznalcázar;Total;2001;3522
41012 Aznalcázar;Total;2000;3518
41012 Aznalcázar;Total;1999;3490
41012 Aznalcázar;Total;1998;3431
41013 Aznalcóllar;Total;2019;6091
41013 Aznalcóllar;Total;2018;6092
41013 Aznalcóllar;Total;2017;6116
41013 Aznalcóllar;Total;2016;6148
41013 Aznalcóllar;Total;2015;6168
41013 Aznalcóllar;Total;2014;6144
41013 Aznalcóllar;Total;2013;6200
41013 Aznalcóllar;Total;2012;6192
41013 Aznalcóllar;Total;2011;6161
41013 Aznalcóllar;Total;2010;6191
41013 Aznalcóllar;Total;2009;6185
41013 Aznalcóllar;Total;2008;6188
41013 Aznalcóllar;Total;2007;6168
41013 Aznalcóllar;Total;2006;6094
41013 Aznalcóllar;Total;2005;5988
41013 Aznalcóllar;Total;2004;5841
41013 Aznalcóllar;Total;2003;5845
41013 Aznalcóllar;Total;2002;5818
41013 Aznalcóllar;Total;2001;5811
41013 Aznalcóllar;Total;2000;5820
41013 Aznalcóllar;Total;1999;5804
41013 Aznalcóllar;Total;1998;5756
41014 Badolatosa;Total;2019;3078
41014 Badolatosa;Total;2018;3094
41014 Badolatosa;Total;2017;3121
41014 Badolatosa;Total;2016;3147
41014 Badolatosa;Total;2015;3147
41014 Badolatosa;Total;2014;3150
41014 Badolatosa;Total;2013;3184
41014 Badolatosa;Total;2012;3214
