;;;;;;;;;;;;;
;PARO REGISTRADO SEGÚN SEXO, EDAD Y SECTOR DE ACTIVIDAD ECONÓMICA;;;;;;;;;;;;
;;;;;;;;;;;;;
;ALMERIA;;;;;;;;JULIO 2019;;;;
;MUNICIPIOS;TOTAL;SEXO Y EDAD;;;;;;SECTORES;;;;
;;;HOMBRES;;;MUJERES;;;AGRI- CULTURA;INDUS- TRIA;CONS- TRUCCIÓN;SERVICIOS;SIN EMPLEO ANTERIOR
;;;<25;25 - 44;>=45;<25;25 - 44;>=45;;;;;
;;;;;;;;;;;;;
4001;ABLA;58;2;8;25;3;13;7;7;5;3;41;2
4002;ABRUCENA;61;6;9;15;1;17;13;9;5;9;33;5
4003;ADRA;2,836;116;430;449;172;923;746;439;74;198;1,935;190
4004;ALBANCHEZ;18; ;1;7; ;6;4;1; ; ;17; 
4005;ALBOLODUY;37; ;8;10;1;11;7;6;4;6;20;1
4006;ALBOX;735;32;114;159;33;225;172;62;31;86;494;62
4007;ALCOLEA;70;4;11;24;2;14;15;6;6;10;47;1
4008;ALCONTAR;21;1;3;9;1;4;3;3;1;4;12;1
4009;ALCUDIA DE MONTEAGUD;3; ; ;2; ; ;1;1; ;1;1; 
4010;ALHABIA;69;6;14;25;1;14;9;2;12;22;27;6
4011;ALHAMA DE ALMERIA;322;17;47;72;16;89;81;25;19;33;214;31
4012;ALICUN;17; ;1;5; ;2;9;1; ;1;14;1
4013;ALMERIA;18,821;631;3,374;3,988;659;5,110;5,059;1,424;555;1,859;12,980;2,003
4014;ALMOCITA;10; ;1;2; ;3;4;1;1; ;6;2
4015;ALSODUX;7; ;3;2; ;1;1;1; ;1;5; 
4016;ANTAS;129;3;21;20;4;38;43;17;6;7;94;5
4017;ARBOLEAS;131;5;17;30;11;38;30;7;6;15;92;11
4018;ARMUÑA DE ALMANZORA;15; ;5;2; ;2;6; ; ;3;12; 
4019;BACARES;10;2;3;1; ;1;3;2; ; ;7;1
4904;BALANEGRA;254;16;42;43;22;74;57;49;5;13;169;18
4020;BAYARCAL;22;2;5;6;2;4;3;2;1;3;16; 
4021;BAYARQUE;9;1; ;2; ;5;1; ; ;4;5; 
4022;BEDAR;31; ;6;14;1;3;7;1;4;3;21;2
4023;BEIRES;1; ;1; ; ; ; ; ; ; ;1; 
4024;BENAHADUX;382;10;57;65;13;123;114;23;24;29;273;33
4026;BENITAGLA;1; ; ;1; ; ; ; ; ; ;1; 
4027;BENIZALON;10;1;2;2; ;1;4;1; ;1;8; 
4028;BENTARIQUE;13;1;2;3; ;5;2;1; ; ;11;1
4029;BERJA;1,488;59;252;329;79;431;338;279;38;160;938;73
4030;CANJAYAR;95;6;15;35;3;25;11;11;6;14;59;5
4031;CANTORIA;205;7;29;56;4;45;64;14;16;27;131;17
4032;CARBONERAS;503;17;75;104;17;150;140;41;48;53;315;46
4033;CASTRO DE FILABRES;4; ; ;1; ;1;2; ; ; ;4; 
4036;CHERCOS;4; ;1; ; ;3; ; ;1; ;3; 
