;;;;;;;;;;;;;
;PARO REGISTRADO SEGÚN SEXO, EDAD Y SECTOR DE ACTIVIDAD ECONÓMICA;;;;;;;;;;;;
;;;;;;;;;;;;;
;ALMERIA;;;;;;;;DICIEMBRE 2019;;;;
;MUNICIPIOS;TOTAL;SEXO Y EDAD;;;;;;SECTORES;;;;
;;;HOMBRES;;;MUJERES;;;AGRI- CULTURA;INDUS- TRIA;CONS- TRUCCIÓN;SERVICIOS;SIN EMPLEO ANTERIOR
;;;<25;25 - 44;>=45;<25;25 - 44;>=45;;;;;
;;;;;;;;;;;;;
4001;ABLA;87;5;13;28;6;25;10;18;4;5;52;8
4002;ABRUCENA;79;4;13;19;8;17;18;10;4;12;46;7
4003;ADRA;1,936;91;340;420;84;509;492;375;67;198;1,110;186
4004;ALBANCHEZ;19; ;1;12; ;5;1;1;2; ;16; 
4005;ALBOLODUY;41;2;10;12;2;9;6;9;7;7;17;1
4006;ALBOX;726;39;114;158;33;208;174;50;36;92;491;57
4007;ALCOLEA;72;3;12;29;8;11;9;9; ;17;43;3
4008;ALCONTAR;19; ;2;8;1;4;4;4;2;2;10;1
4009;ALCUDIA DE MONTEAGUD;6; ;1;4; ; ;1;1; ; ;5; 
4010;ALHABIA;68;5;14;24;1;16;8;1;15;20;26;6
4011;ALHAMA DE ALMERIA;329;14;51;83;13;96;72;26;25;33;216;29
4012;ALICUN;22; ; ;9; ;2;11; ;1;1;19;1
4013;ALMERIA;17,792;621;3,223;4,017;609;4,451;4,871;1,107;586;1,913;12,164;2,022
4014;ALMOCITA;10; ;1;1; ;1;7;1; ;1;7;1
4015;ALSODUX;8;1;2;2; ;2;1;1; ; ;7; 
4016;ANTAS;136;5;24;20;5;33;49;11;5;8;105;7
4017;ARBOLEAS;128;5;23;30;9;36;25;9;8;22;78;11
4018;ARMUÑA DE ALMANZORA;18;1;7;3;1;2;4;1; ;5;12; 
4019;BACARES;12; ;3;1;2;2;4; ; ; ;11;1
4904;BALANEGRA;154;5;27;42;4;41;35;32;5;13;91;13
4020;BAYARCAL;16; ;3;7;1;4;1; ; ;2;14; 
4021;BAYARQUE;10;1; ;2; ;5;2; ; ;4;6; 
4022;BEDAR;40;3;6;14;1;9;7; ;5;5;28;2
4023;BEIRES;6; ;2;2;1; ;1;1; ;1;4; 
4024;BENAHADUX;369;6;57;63;16;115;112;27;22;27;263;30
4026;BENITAGLA;3; ; ;2; ;1; ; ; ; ;3; 
4027;BENIZALON;13;1;4;2;1; ;5;2; ; ;11; 
4028;BENTARIQUE;11; ;3;5; ;3; ;2; ;1;8; 
4029;BERJA;1,127;50;213;306;42;257;259;231;36;171;611;78
4030;CANJAYAR;94;3;18;35;4;23;11;9;5;15;58;7
4031;CANTORIA;212;10;30;56;5;48;63;14;16;27;137;18
4032;CARBONERAS;691;33;118;138;23;210;169;81;50;62;453;45
4033;CASTRO DE FILABRES;5;1; ;1; ;1;2; ; ; ;5; 
4036;CHERCOS;19;1;3;4;2;7;2; ;4; ;14;1
