;;;;;;;;;;;;;
;PARO REGISTRADO SEGÚN SEXO, EDAD Y SECTOR DE ACTIVIDAD ECONÓMICA;;;;;;;;;;;;
;;;;;;;;;;;;;
;CORDOBA;;;;;;;;ABRIL 2016;;;;
;MUNICIPIOS;TOTAL;SEXO Y EDAD;;;;;;SECTORES;;;;
;;;HOMBRES;;;MUJERES;;;AGRI- CULTURA;INDUS- TRIA;CONS- TRUCCIÓN;SERVICIOS;SIN EMPLEO ANTERIOR
;;;<25;25 - 44;>=45;<25;25 - 44;>=45;;;;;
;;;;;;;;;;;;;
14001;ADAMUZ;305;19;63;81;39;77;26;113;7;24;132;29
14002;AGUILAR DE LA FRONTERA;1,107;128;261;247;120;261;90;268;62;157;508;112
14003;ALCARACEJOS;179;14;25;35;11;39;55;5;7;32;122;13
14004;ALMEDINILLA;163;14;23;38;16;49;23;31;22;6;84;20
14005;ALMODOVAR DEL RIO;1,124;89;230;247;93;280;185;193;48;97;698;88
14006;AÑORA;168;9;31;27;10;46;45;14;10;39;97;8
14007;BAENA;1,793;143;364;398;151;483;254;520;106;163;823;181
14008;BELALCAZAR;459;31;69;78;44;125;112;42;38;36;291;52
14009;BELMEZ;551;32;136;110;35;130;108;44;39;109;275;84
14010;BENAMEJI;344;40;62;80;54;73;35;106;22;29;147;40
14011;BLAZQUEZ, LOS;121;15;17;12;12;29;36;6;6;15;80;14
14012;BUJALANCE;658;69;133;159;68;153;76;290;45;42;213;68
14013;CABRA;1,983;129;420;408;138;507;381;395;196;129;1,029;234
14014;CAÑETE DE LAS TORRES;183;14;38;36;18;45;32;69;19;18;61;16
14015;CARCABUEY;178;25;27;41;9;48;28;39;18;10;93;18
14016;CARDEÑA;147;14;20;33;14;31;35;25;7;18;83;14
14017;CARLOTA, LA;1,396;91;323;287;82;408;205;275;117;150;735;119
14018;CARPIO, EL;611;46;106;131;44;166;118;97;47;33;372;62
14019;CASTRO DEL RIO;509;36;102;112;34;165;60;162;25;53;225;44
14020;CONQUISTA;31;5;6;3;2;8;7;5; ;12;13;1
14021;CORDOBA;42,584;2,243;8,233;8,531;2,068;10,634;10,875;1,703;3,712;3,754;27,688;5,727
14022;DOÑA MENCIA;310;25;49;68;35;102;31;99;32;13;126;40
14023;DOS TORRES;266;10;23;52;26;63;92;12;26;46;160;22
14024;ENCINAS REALES;220;26;36;45;24;63;26;38;13;30;104;35
14025;ESPEJO;176;12;35;45;20;52;12;42;11;27;80;16
14026;ESPIEL;326;17;55;56;17;99;82;30;33;54;186;23
14027;FERNAN-NUÑEZ;1,078;101;236;251;84;284;122;196;58;121;569;134
14028;FUENTE LA LANCHA;67;3;17;7;6;11;23;3;3;32;28;1
14029;FUENTE OBEJUNA;844;55;158;149;39;199;244;78;57;93;532;84
14030;FUENTE PALMERA;765;62;168;194;55;192;94;223;85;100;291;66
14031;FUENTE-TOJAR;47;3;6;8;9;12;9;11;3;4;25;4
14032;GRANJUELA, LA;78;3;15;14;3;17;26;7;1;36;33;1
