;;;;;;;;;;;;;
;PARO REGISTRADO SEGÚN SEXO, EDAD Y SECTOR DE ACTIVIDAD ECONÓMICA;;;;;;;;;;;;
;;;;;;;;;;;;;
;HUELVA;;;;;;;;JULIO 2017;;;;
;MUNICIPIOS;TOTAL;SEXO Y EDAD;;;;;;SECTORES;;;;
;;;HOMBRES;;;MUJERES;;;AGRI- CULTURA;INDUS- TRIA;CONS- TRUCCIÓN;SERVICIOS;SIN EMPLEO ANTERIOR
;;;<25;25 - 44;>=45;<25;25 - 44;>=45;;;;;
;;;;;;;;;;;;;
21001;ALAJAR;110;2;15;34;8;22;29;2;5;1;94;8
21002;ALJARAQUE;1,670;55;258;320;46;484;507;216;84;137;1,102;131
21003;ALMENDRO, EL;68;2;9;26;11;9;11;17;4;4;43; 
21004;ALMONASTER LA REAL;169;11;27;37;10;42;42;6;18;84;48;13
21005;ALMONTE;2,715;135;518;447;131;911;573;1,818;55;141;584;117
21006;ALOSNO;445;27;70;111;25;103;109;82;23;14;297;29
21007;ARACENA;842;35;148;158;35;229;237;62;40;161;503;76
21008;AROCHE;186;16;34;48;16;40;32;56;11;8;106;5
21009;ARROYOMOLINOS DE LEON;142;7;21;25;4;41;44;20;7;9;86;20
21010;AYAMONTE;1,623;53;309;442;66;351;402;340;61;197;901;124
21011;BEAS;363;12;86;85;18;95;67;116;21;40;162;24
21012;BERROCAL;37;2;14;8; ;8;5;5;1;8;22;1
21013;BOLLULLOS PAR DEL CONDADO;915;42;188;261;39;230;155;258;37;99;468;53
21014;BONARES;374;22;75;95;28;88;66;182;20;15;142;15
21015;CABEZAS RUBIAS;63;6;8;19;5;11;14;8;1;3;48;3
21016;CALA;204;12;33;32;8;61;58;13;15;10;151;15
21017;CALAÑAS;460;16;65;123;23;110;123;81;20;38;281;40
21018;CAMPILLO, EL;240;17;40;54;10;57;62;26;9;6;158;41
21019;CAMPOFRIO;74;1;7;13;5;21;27;14;3;4;49;4
21020;CAÑAVERAL DE LEON;43;4;12;8;2;12;5;5;2;13;20;3
21021;CARTAYA;1,516;61;332;329;74;403;317;695;34;102;628;57
21022;CASTAÑO DEL ROBLEDO;44;6;2;14;6;11;5;11;2;2;25;4
21023;CERRO DE ANDEVALO, EL;213;13;34;44;21;49;52;12;10;19;154;18
21030;CHUCENA;115;12;14;35;15;20;19;17;3;15;70;10
21024;CORTECONCEPCION;65;4;15;14;5;11;16;7;10;2;44;2
21025;CORTEGANA;487;26;94;101;34;125;107;55;41;140;204;47
21026;CORTELAZOR;33; ;4;9;1;7;12;3;4;10;16; 
21027;CUMBRES DE ENMEDIO;5;1;2; ; ;1;1; ; ;5; ; 
21028;CUMBRES DE SAN BARTOLOME;32;6;3;4;3;7;9;6;1;2;15;8
21029;CUMBRES MAYORES;231;16;27;50;11;56;71;10;60;28;112;21
21031;ENCINASOLA;127;12;22;33;9;25;26;27;8;25;62;5
21032;ESCACENA DEL CAMPO;132;22;31;28;8;33;10;30;3;11;77;11
