;;;;;;;;;;;;;
;PARO REGISTRADO SEGÚN SEXO, EDAD Y SECTOR DE ACTIVIDAD ECONÓMICA;;;;;;;;;;;;
;;;;;;;;;;;;;
;MALAGA;;;;;;;;MARZO 2017;;;;
;MUNICIPIOS;TOTAL;SEXO Y EDAD;;;;;;SECTORES;;;;
;;;HOMBRES;;;MUJERES;;;AGRI- CULTURA;INDUS- TRIA;CONS- TRUCCIÓN;SERVICIOS;SIN EMPLEO ANTERIOR
;;;<25;25 - 44;>=45;<25;25 - 44;>=45;;;;;
;;;;;;;;;;;;;
29001;ALAMEDA;385;37;76;106;38;86;42;134;16;49;150;36
29002;ALCAUCIN;180;13;33;54;15;38;27;13;7;22;119;19
29003;ALFARNATE;60;1;14;25;3;8;9;13;5;4;34;4
29004;ALFARNATEJO;22;3;7;4; ;4;4;4;1;1;13;3
29005;ALGARROBO;557;47;117;128;31;151;83;59;15;68;368;47
29006;ALGATOCIN;87;2;10;22;3;20;30;2; ;16;57;12
29007;ALHAURIN DE LA TORRE;3,655;158;611;642;140;990;1,114;41;211;320;2,638;445
29008;ALHAURIN EL GRANDE;2,579;125;404;509;135;736;670;84;231;447;1,414;403
29009;ALMACHAR;145;17;29;55;7;25;12;19;3;40;75;8
29010;ALMARGEN;181;17;36;41;20;45;22;37;4;8;120;12
29011;ALMOGIA;414;15;51;100;20;100;128;15;35;97;228;39
29012;ALORA;1,589;52;224;353;95;466;399;91;75;188;1,037;198
29013;ALOZAINA;247;13;45;68;8;45;68;35;16;34;144;18
29014;ALPANDEIRE;24;1;4;9; ;5;5; ; ;12;12; 
29015;ANTEQUERA;3,976;272;674;777;229;1,023;1,001;403;467;401;2,248;457
29016;ARCHEZ;41;3;8;17;5;7;1;3;1;27;9;1
29017;ARCHIDONA;741;43;118;194;39;225;122;159;37;60;417;68
29018;ARDALES;203;15;36;51;13;58;30;14;11;47;126;5
29019;ARENAS;86;5;27;30;5;11;8;7; ;11;59;9
29020;ARRIATE;452;29;63;129;21;113;97;39;12;60;315;26
29021;ATAJATE;23;1;5;8;2;2;5;1; ;7;13;2
29022;BENADALID;18;1;4;7; ;2;4; ; ;5;13; 
29023;BENAHAVIS;214;10;35;31;6;75;57;10;6;13;170;15
29024;BENALAURIA;46;7;7;10;3;9;10;3; ;10;28;5
29025;BENALMADENA;6,087;234;1,031;1,199;220;1,596;1,807;65;196;430;4,909;487
29026;BENAMARGOSA;80;7;14;23;5;20;11;3;5;8;52;12
29027;BENAMOCARRA;180;17;32;53;11;49;18;14;4;29;112;21
29028;BENAOJAN;220;17;34;61;3;45;60;5;34;16;146;19
29029;BENARRABA;45;2;8;14;2;10;9;2; ;3;37;3
29030;BORGE,EL;77;7;19;27;5;11;8;3;5;11;53;5
29031;BURGO, EL;190;9;22;47;11;57;44;11;8;34;124;13
29032;CAMPILLOS;918;73;130;152;90;271;202;125;41;28;644;80
29033;CANILLAS DE ACEITUNO;124;3;27;59;3;20;12;7;9;38;66;4
