;;;;;;;;;;;;;
;PARO REGISTRADO SEGÚN SEXO, EDAD Y SECTOR DE ACTIVIDAD ECONÓMICA;;;;;;;;;;;;
;;;;;;;;;;;;;
;SEVILLA;;;;;;;;MARZO 2017;;;;
;MUNICIPIOS;TOTAL;SEXO Y EDAD;;;;;;SECTORES;;;;
;;;HOMBRES;;;MUJERES;;;AGRI- CULTURA;INDUS- TRIA;CONS- TRUCCIÓN;SERVICIOS;SIN EMPLEO ANTERIOR
;;;<25;25 - 44;>=45;<25;25 - 44;>=45;;;;;
;;;;;;;;;;;;;
41001;AGUADULCE;164;7;40;34;16;44;23;41;23;13;72;15
41002;ALANIS;147;10;21;22;10;53;31;28;2;9;98;10
41003;ALBAIDA DEL ALJARAFE;355;19;69;67;22;103;75;23;10;38;251;33
41004;ALCALA DE GUADAIRA;9,820;384;1,732;1,759;383;2,755;2,807;250;1,127;957;6,499;987
41005;ALCALA DEL RIO;1,191;48;232;248;67;374;222;143;56;152;718;122
41006;ALCOLEA DEL RIO;194;12;26;51;24;45;36;62;3;11;99;19
41007;ALGABA, LA;2,231;100;392;422;88;692;537;144;110;272;1,384;321
41008;ALGAMITAS;85;5;13;30;5;17;15;10;1;28;44;2
41009;ALMADEN DE LA PLATA;195;10;37;35;11;52;50;14;6;22;150;3
41010;ALMENSILLA;662;31;126;131;36;171;167;25;16;112;465;44
41011;ARAHAL;1,720;124;330;374;137;479;276;320;118;188;933;161
41012;AZNALCAZAR;427;33;92;78;29;131;64;75;22;30;274;26
41013;AZNALCOLLAR;824;35;166;150;45;237;191;78;48;96;524;78
41014;BADOLATOSA;166;11;27;58;20;37;13;70;13;25;46;12
41015;BENACAZON;718;36;144;153;33;222;130;89;38;104;442;45
41016;BOLLULLOS DE LA MITACION;1,133;53;234;209;46;328;263;62;64;122;786;99
41017;BORMUJOS;2,139;89;353;419;70;591;617;36;107;211;1,580;205
41018;BRENES;1,050;77;202;204;88;299;180;159;55;75;618;143
41019;BURGUILLOS;730;44;125;116;59;244;142;90;39;58;489;54
41020;CABEZAS DE SAN JUAN, LAS;2,091;164;412;464;169;593;289;306;104;486;995;200
41021;CAMAS;4,139;164;827;826;163;1,132;1,027;94;209;400;3,038;398
41022;CAMPANA, LA;282;24;64;57;21;80;36;64;16;41;144;17
41023;CANTILLANA;969;53;172;224;73;282;165;246;31;136;441;115
41901;CAÑADA ROSAL;209;15;49;27;22;63;33;25;40;29;91;24
41024;CARMONA;3,218;167;572;683;146;856;794;414;268;435;1,707;394
41025;CARRION DE LOS CESPEDES;220;13;38;55;11;59;44;13;8;26;159;14
41026;CASARICHE;402;34;67;98;42;109;52;93;67;39;175;28
41027;CASTILBLANCO DE LOS ARROYOS;625;29;95;134;50;158;159;55;17;39;444;70
41028;CASTILLEJA DE GUZMAN;243;6;40;48;5;68;76;1;9;26;191;16
41029;CASTILLEJA DE LA CUESTA;2,062;104;391;396;64;518;589;30;144;136;1,511;241
41030;CASTILLEJA DEL CAMPO;53;4;9;13;3;17;7;1;1;4;46;1
