Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;04001 Abla;Africa;1
Ambos sexos;04001 Abla;América;1
Ambos sexos;04001 Abla;Asia;..
Ambos sexos;04001 Abla;Europa;..
Ambos sexos;04001 Abla;Resto;..
Ambos sexos;04002 Abrucena;Africa;..
Ambos sexos;04002 Abrucena;América;..
Ambos sexos;04002 Abrucena;Asia;..
Ambos sexos;04002 Abrucena;Europa;..
Ambos sexos;04002 Abrucena;Resto;..
Ambos sexos;04003 Adra;Africa;362
Ambos sexos;04003 Adra;América;32
Ambos sexos;04003 Adra;Asia;9
Ambos sexos;04003 Adra;Europa;65
Ambos sexos;04003 Adra;Resto;..
Ambos sexos;04004 Albánchez;Africa;..
Ambos sexos;04004 Albánchez;América;1
Ambos sexos;04004 Albánchez;Asia;..
Ambos sexos;04004 Albánchez;Europa;1
Ambos sexos;04004 Albánchez;Resto;..
Ambos sexos;04005 Alboloduy;Africa;..
Ambos sexos;04005 Alboloduy;América;..
Ambos sexos;04005 Alboloduy;Asia;..
Ambos sexos;04005 Alboloduy;Europa;3
Ambos sexos;04005 Alboloduy;Resto;..
Ambos sexos;04006 Albox;Africa;4
Ambos sexos;04006 Albox;América;20
Ambos sexos;04006 Albox;Asia;1
Ambos sexos;04006 Albox;Europa;130
Ambos sexos;04006 Albox;Resto;..
Ambos sexos;04007 Alcolea;Africa;..
Ambos sexos;04007 Alcolea;América;1
Ambos sexos;04007 Alcolea;Asia;..
Ambos sexos;04007 Alcolea;Europa;..
Ambos sexos;04007 Alcolea;Resto;..
Ambos sexos;04008 Alcóntar;Africa;..
Ambos sexos;04008 Alcóntar;América;1
Ambos sexos;04008 Alcóntar;Asia;..
Ambos sexos;04008 Alcóntar;Europa;..
Ambos sexos;04008 Alcóntar;Resto;..
Ambos sexos;04009 Alcudia de Monteagud;Africa;..
Ambos sexos;04009 Alcudia de Monteagud;América;..
Ambos sexos;04009 Alcudia de Monteagud;Asia;..
Ambos sexos;04009 Alcudia de Monteagud;Europa;..
Ambos sexos;04009 Alcudia de Monteagud;Resto;..
Ambos sexos;04010 Alhabia;Africa;..
Ambos sexos;04010 Alhabia;América;..
Ambos sexos;04010 Alhabia;Asia;..
Ambos sexos;04010 Alhabia;Europa;..
Ambos sexos;04010 Alhabia;Resto;..
Ambos sexos;04011 Alhama de Almería;Africa;..
Ambos sexos;04011 Alhama de Almería;América;4
Ambos sexos;04011 Alhama de Almería;Asia;1
Ambos sexos;04011 Alhama de Almería;Europa;5
Ambos sexos;04011 Alhama de Almería;Resto;..
Ambos sexos;04012 Alicún;Africa;..
Ambos sexos;04012 Alicún;América;..
Ambos sexos;04012 Alicún;Asia;..
Ambos sexos;04012 Alicún;Europa;2
Ambos sexos;04012 Alicún;Resto;..
Ambos sexos;04013 Almería;Africa;1187
Ambos sexos;04013 Almería;América;488
Ambos sexos;04013 Almería;Asia;144
Ambos sexos;04013 Almería;Europa;483
Ambos sexos;04013 Almería;Resto;2
Ambos sexos;04014 Almócita;Africa;..
Ambos sexos;04014 Almócita;América;..
Ambos sexos;04014 Almócita;Asia;..
Ambos sexos;04014 Almócita;Europa;..
Ambos sexos;04014 Almócita;Resto;..
Ambos sexos;04015 Alsodux;Africa;..
Ambos sexos;04015 Alsodux;América;..
Ambos sexos;04015 Alsodux;Asia;..
Ambos sexos;04015 Alsodux;Europa;2
Ambos sexos;04015 Alsodux;Resto;..
Ambos sexos;04016 Antas;Africa;13
Ambos sexos;04016 Antas;América;21
Ambos sexos;04016 Antas;Asia;..
Ambos sexos;04016 Antas;Europa;21
Ambos sexos;04016 Antas;Resto;..
Ambos sexos;04017 Arboleas;Africa;..
Ambos sexos;04017 Arboleas;América;5
Ambos sexos;04017 Arboleas;Asia;..
Ambos sexos;04017 Arboleas;Europa;40
Ambos sexos;04017 Arboleas;Resto;..
Ambos sexos;04018 Armuña de Almanzora;Africa;..
Ambos sexos;04018 Armuña de Almanzora;América;..
Ambos sexos;04018 Armuña de Almanzora;Asia;..
Ambos sexos;04018 Armuña de Almanzora;Europa;1
Ambos sexos;04018 Armuña de Almanzora;Resto;..
Ambos sexos;04019 Bacares;Africa;..
Ambos sexos;04019 Bacares;América;..
Ambos sexos;04019 Bacares;Asia;..
Ambos sexos;04019 Bacares;Europa;..
Ambos sexos;04019 Bacares;Resto;..
Ambos sexos;04020 Bayárcal;Africa;..
Ambos sexos;04020 Bayárcal;América;..
Ambos sexos;04020 Bayárcal;Asia;..
Ambos sexos;04020 Bayárcal;Europa;1
Ambos sexos;04020 Bayárcal;Resto;..
Ambos sexos;04021 Bayarque;Africa;..
Ambos sexos;04021 Bayarque;América;..
Ambos sexos;04021 Bayarque;Asia;..
Ambos sexos;04021 Bayarque;Europa;..
Ambos sexos;04021 Bayarque;Resto;..
Ambos sexos;04022 Bédar;Africa;1
Ambos sexos;04022 Bédar;América;1
Ambos sexos;04022 Bédar;Asia;2
Ambos sexos;04022 Bédar;Europa;140
Ambos sexos;04022 Bédar;Resto;..
Ambos sexos;04023 Beires;Africa;..
Ambos sexos;04023 Beires;América;..
Ambos sexos;04023 Beires;Asia;..
Ambos sexos;04023 Beires;Europa;..
Ambos sexos;04023 Beires;Resto;..
Ambos sexos;04024 Benahadux;Africa;2
Ambos sexos;04024 Benahadux;América;3
Ambos sexos;04024 Benahadux;Asia;1
Ambos sexos;04024 Benahadux;Europa;10
Ambos sexos;04024 Benahadux;Resto;..
Ambos sexos;04026 Benitagla;Africa;..
Ambos sexos;04026 Benitagla;América;..
Ambos sexos;04026 Benitagla;Asia;..
Ambos sexos;04026 Benitagla;Europa;..
Ambos sexos;04026 Benitagla;Resto;..
Ambos sexos;04027 Benizalón;Africa;..
Ambos sexos;04027 Benizalón;América;..
Ambos sexos;04027 Benizalón;Asia;..
Ambos sexos;04027 Benizalón;Europa;2
Ambos sexos;04027 Benizalón;Resto;..
Ambos sexos;04028 Bentarique;Africa;..
Ambos sexos;04028 Bentarique;América;..
Ambos sexos;04028 Bentarique;Asia;..
Ambos sexos;04028 Bentarique;Europa;..
Ambos sexos;04028 Bentarique;Resto;..
Ambos sexos;04029 Berja;Africa;133
Ambos sexos;04029 Berja;América;16
Ambos sexos;04029 Berja;Asia;1
Ambos sexos;04029 Berja;Europa;51
Ambos sexos;04029 Berja;Resto;1
Ambos sexos;04030 Canjáyar;Africa;..
Ambos sexos;04030 Canjáyar;América;..
Ambos sexos;04030 Canjáyar;Asia;..
Ambos sexos;04030 Canjáyar;Europa;1
Ambos sexos;04030 Canjáyar;Resto;..
Ambos sexos;04031 Cantoria;Africa;1
Ambos sexos;04031 Cantoria;América;3
Ambos sexos;04031 Cantoria;Asia;..
Ambos sexos;04031 Cantoria;Europa;46
Ambos sexos;04031 Cantoria;Resto;..
Ambos sexos;04032 Carboneras;Africa;49
Ambos sexos;04032 Carboneras;América;5
Ambos sexos;04032 Carboneras;Asia;..
Ambos sexos;04032 Carboneras;Europa;90
Ambos sexos;04032 Carboneras;Resto;..
Ambos sexos;04033 Castro de Filabres;Africa;..
Ambos sexos;04033 Castro de Filabres;América;..
Ambos sexos;04033 Castro de Filabres;Asia;..
Ambos sexos;04033 Castro de Filabres;Europa;..
Ambos sexos;04033 Castro de Filabres;Resto;..
Ambos sexos;04034 Cóbdar;Africa;..
Ambos sexos;04034 Cóbdar;América;..
Ambos sexos;04034 Cóbdar;Asia;..
Ambos sexos;04034 Cóbdar;Europa;..
Ambos sexos;04034 Cóbdar;Resto;..
Ambos sexos;04035 Cuevas del Almanzora;Africa;67
Ambos sexos;04035 Cuevas del Almanzora;América;32
Ambos sexos;04035 Cuevas del Almanzora;Asia;2
Ambos sexos;04035 Cuevas del Almanzora;Europa;137
Ambos sexos;04035 Cuevas del Almanzora;Resto;..
Ambos sexos;04036 Chercos;Africa;..
Ambos sexos;04036 Chercos;América;..
Ambos sexos;04036 Chercos;Asia;..
Ambos sexos;04036 Chercos;Europa;1
Ambos sexos;04036 Chercos;Resto;..
Ambos sexos;04037 Chirivel;Africa;..
Ambos sexos;04037 Chirivel;América;..
Ambos sexos;04037 Chirivel;Asia;..
