Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;04001 Abla;Total Unión Europea;0
Ambos sexos;04001 Abla;Reino Unido;0
Ambos sexos;04001 Abla;Alemania;0
Ambos sexos;04001 Abla;Total Africa;2
Ambos sexos;04001 Abla;Marruecos;2
Ambos sexos;04001 Abla;Total América;3
Ambos sexos;04001 Abla;Colombia;0
Ambos sexos;04001 Abla;Ecuador;2
Ambos sexos;04001 Abla;Total Asia;0
Ambos sexos;04001 Abla;Resto;0
Ambos sexos;04002 Abrucena;Total Unión Europea;1
Ambos sexos;04002 Abrucena;Reino Unido;0
Ambos sexos;04002 Abrucena;Alemania;1
Ambos sexos;04002 Abrucena;Total Africa;0
Ambos sexos;04002 Abrucena;Marruecos;0
Ambos sexos;04002 Abrucena;Total América;0
Ambos sexos;04002 Abrucena;Colombia;0
Ambos sexos;04002 Abrucena;Ecuador;0
Ambos sexos;04002 Abrucena;Total Asia;0
Ambos sexos;04002 Abrucena;Resto;0
Ambos sexos;04003 Adra;Total Unión Europea;74
Ambos sexos;04003 Adra;Reino Unido;16
Ambos sexos;04003 Adra;Alemania;30
Ambos sexos;04003 Adra;Total Africa;459
Ambos sexos;04003 Adra;Marruecos;443
Ambos sexos;04003 Adra;Total América;72
Ambos sexos;04003 Adra;Colombia;10
Ambos sexos;04003 Adra;Ecuador;5
Ambos sexos;04003 Adra;Total Asia;13
Ambos sexos;04003 Adra;Resto;0
Ambos sexos;04004 Albánchez;Total Unión Europea;16
Ambos sexos;04004 Albánchez;Reino Unido;15
Ambos sexos;04004 Albánchez;Alemania;0
Ambos sexos;04004 Albánchez;Total Africa;0
Ambos sexos;04004 Albánchez;Marruecos;0
Ambos sexos;04004 Albánchez;Total América;1
Ambos sexos;04004 Albánchez;Colombia;0
Ambos sexos;04004 Albánchez;Ecuador;0
Ambos sexos;04004 Albánchez;Total Asia;0
Ambos sexos;04004 Albánchez;Resto;0
Ambos sexos;04005 Alboloduy;Total Unión Europea;4
Ambos sexos;04005 Alboloduy;Reino Unido;0
Ambos sexos;04005 Alboloduy;Alemania;1
Ambos sexos;04005 Alboloduy;Total Africa;0
Ambos sexos;04005 Alboloduy;Marruecos;0
Ambos sexos;04005 Alboloduy;Total América;0
Ambos sexos;04005 Alboloduy;Colombia;0
Ambos sexos;04005 Alboloduy;Ecuador;0
Ambos sexos;04005 Alboloduy;Total Asia;0
Ambos sexos;04005 Alboloduy;Resto;0
Ambos sexos;04006 Albox;Total Unión Europea;195
Ambos sexos;04006 Albox;Reino Unido;169
Ambos sexos;04006 Albox;Alemania;6
Ambos sexos;04006 Albox;Total Africa;4
Ambos sexos;04006 Albox;Marruecos;3
Ambos sexos;04006 Albox;Total América;149
Ambos sexos;04006 Albox;Colombia;7
Ambos sexos;04006 Albox;Ecuador;90
Ambos sexos;04006 Albox;Total Asia;328
Ambos sexos;04006 Albox;Resto;0
Ambos sexos;04007 Alcolea;Total Unión Europea;1
Ambos sexos;04007 Alcolea;Reino Unido;0
Ambos sexos;04007 Alcolea;Alemania;1
Ambos sexos;04007 Alcolea;Total Africa;0
Ambos sexos;04007 Alcolea;Marruecos;0
Ambos sexos;04007 Alcolea;Total América;4
Ambos sexos;04007 Alcolea;Colombia;0
Ambos sexos;04007 Alcolea;Ecuador;3
Ambos sexos;04007 Alcolea;Total Asia;0
Ambos sexos;04007 Alcolea;Resto;0
Ambos sexos;04008 Alcóntar;Total Unión Europea;0
Ambos sexos;04008 Alcóntar;Reino Unido;0
Ambos sexos;04008 Alcóntar;Alemania;0
Ambos sexos;04008 Alcóntar;Total Africa;0
Ambos sexos;04008 Alcóntar;Marruecos;0
Ambos sexos;04008 Alcóntar;Total América;1
Ambos sexos;04008 Alcóntar;Colombia;0
Ambos sexos;04008 Alcóntar;Ecuador;0
Ambos sexos;04008 Alcóntar;Total Asia;0
Ambos sexos;04008 Alcóntar;Resto;0
Ambos sexos;04009 Alcudia de Monteagud;Total Unión Europea;0
Ambos sexos;04009 Alcudia de Monteagud;Reino Unido;0
Ambos sexos;04009 Alcudia de Monteagud;Alemania;0
Ambos sexos;04009 Alcudia de Monteagud;Total Africa;0
Ambos sexos;04009 Alcudia de Monteagud;Marruecos;0
Ambos sexos;04009 Alcudia de Monteagud;Total América;0
Ambos sexos;04009 Alcudia de Monteagud;Colombia;0
Ambos sexos;04009 Alcudia de Monteagud;Ecuador;0
Ambos sexos;04009 Alcudia de Monteagud;Total Asia;0
Ambos sexos;04009 Alcudia de Monteagud;Resto;0
Ambos sexos;04010 Alhabia;Total Unión Europea;1
Ambos sexos;04010 Alhabia;Reino Unido;0
Ambos sexos;04010 Alhabia;Alemania;0
Ambos sexos;04010 Alhabia;Total Africa;0
Ambos sexos;04010 Alhabia;Marruecos;0
Ambos sexos;04010 Alhabia;Total América;0
Ambos sexos;04010 Alhabia;Colombia;0
Ambos sexos;04010 Alhabia;Ecuador;0
Ambos sexos;04010 Alhabia;Total Asia;0
Ambos sexos;04010 Alhabia;Resto;0
Ambos sexos;04011 Alhama de Almería;Total Unión Europea;12
Ambos sexos;04011 Alhama de Almería;Reino Unido;0
Ambos sexos;04011 Alhama de Almería;Alemania;3
Ambos sexos;04011 Alhama de Almería;Total Africa;2
Ambos sexos;04011 Alhama de Almería;Marruecos;2
Ambos sexos;04011 Alhama de Almería;Total América;15
Ambos sexos;04011 Alhama de Almería;Colombia;0
Ambos sexos;04011 Alhama de Almería;Ecuador;0
Ambos sexos;04011 Alhama de Almería;Total Asia;1
Ambos sexos;04011 Alhama de Almería;Resto;0
Ambos sexos;04012 Alicún;Total Unión Europea;2
Ambos sexos;04012 Alicún;Reino Unido;0
Ambos sexos;04012 Alicún;Alemania;0
Ambos sexos;04012 Alicún;Total Africa;0
Ambos sexos;04012 Alicún;Marruecos;0
Ambos sexos;04012 Alicún;Total América;0
Ambos sexos;04012 Alicún;Colombia;0
Ambos sexos;04012 Alicún;Ecuador;0
Ambos sexos;04012 Alicún;Total Asia;0
Ambos sexos;04012 Alicún;Resto;0
Ambos sexos;04013 Almería;Total Unión Europea;563
Ambos sexos;04013 Almería;Reino Unido;107
Ambos sexos;04013 Almería;Alemania;91
Ambos sexos;04013 Almería;Total Africa;2329
Ambos sexos;04013 Almería;Marruecos;2083
Ambos sexos;04013 Almería;Total América;2139
Ambos sexos;04013 Almería;Colombia;651
Ambos sexos;04013 Almería;Ecuador;594
Ambos sexos;04013 Almería;Total Asia;339
Ambos sexos;04013 Almería;Resto;5
Ambos sexos;04014 Almócita;Total Unión Europea;0
Ambos sexos;04014 Almócita;Reino Unido;0
Ambos sexos;04014 Almócita;Alemania;0
Ambos sexos;04014 Almócita;Total Africa;0
Ambos sexos;04014 Almócita;Marruecos;0
Ambos sexos;04014 Almócita;Total América;0
Ambos sexos;04014 Almócita;Colombia;0
Ambos sexos;04014 Almócita;Ecuador;0
Ambos sexos;04014 Almócita;Total Asia;0
Ambos sexos;04014 Almócita;Resto;0
Ambos sexos;04015 Alsodux;Total Unión Europea;2
Ambos sexos;04015 Alsodux;Reino Unido;0
Ambos sexos;04015 Alsodux;Alemania;0
Ambos sexos;04015 Alsodux;Total Africa;0
Ambos sexos;04015 Alsodux;Marruecos;0
Ambos sexos;04015 Alsodux;Total América;0
Ambos sexos;04015 Alsodux;Colombia;0
Ambos sexos;04015 Alsodux;Ecuador;0
Ambos sexos;04015 Alsodux;Total Asia;0
Ambos sexos;04015 Alsodux;Resto;0
