Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;04001-Abla;Total Población;1.505
Ambos sexos;04001-Abla;Nacidos en el Extranjero;83
Ambos sexos;04001-Abla;Total Europa;68
Ambos sexos;04001-Abla;Total Unión Europea (25);10
Ambos sexos;04001-Abla;Alemania;1
Ambos sexos;04001-Abla;Francia;0
Ambos sexos;04001-Abla;Italia;0
Ambos sexos;04001-Abla;Reino Unido;3
Ambos sexos;04001-Abla;Resto de Europa;58
Ambos sexos;04001-Abla;Bulgaria;3
Ambos sexos;04001-Abla;Rumanía;54
Ambos sexos;04001-Abla;Total Africa;4
Ambos sexos;04001-Abla;Marruecos;2
Ambos sexos;04001-Abla;Total América;11
Ambos sexos;04001-Abla;Argentina;6
Ambos sexos;04001-Abla;Bolivia;0
Ambos sexos;04001-Abla;Colombia;0
Ambos sexos;04001-Abla;Ecuador;1
Ambos sexos;04001-Abla;Perú;0
Ambos sexos;04001-Abla;Total Asia;0
Ambos sexos;04001-Abla;China;0
Ambos sexos;04001-Abla;Oceanía;0
Ambos sexos;04002-Abrucena;Total Población;1.339
Ambos sexos;04002-Abrucena;Nacidos en el Extranjero;42
Ambos sexos;04002-Abrucena;Total Europa;39
Ambos sexos;04002-Abrucena;Total Unión Europea (25);5
Ambos sexos;04002-Abrucena;Alemania;5
Ambos sexos;04002-Abrucena;Francia;0
Ambos sexos;04002-Abrucena;Italia;0
Ambos sexos;04002-Abrucena;Reino Unido;0
Ambos sexos;04002-Abrucena;Resto de Europa;34
Ambos sexos;04002-Abrucena;Bulgaria;0
Ambos sexos;04002-Abrucena;Rumanía;34
Ambos sexos;04002-Abrucena;Total Africa;1
Ambos sexos;04002-Abrucena;Marruecos;1
Ambos sexos;04002-Abrucena;Total América;2
Ambos sexos;04002-Abrucena;Argentina;0
Ambos sexos;04002-Abrucena;Bolivia;0
Ambos sexos;04002-Abrucena;Colombia;0
Ambos sexos;04002-Abrucena;Ecuador;0
Ambos sexos;04002-Abrucena;Perú;0
Ambos sexos;04002-Abrucena;Total Asia;0
Ambos sexos;04002-Abrucena;China;0
Ambos sexos;04002-Abrucena;Oceanía;0
Ambos sexos;04003-Adra;Total Población;23.545
Ambos sexos;04003-Adra;Nacidos en el Extranjero;2.099
