Sexo;Municipios;País de nacimiento;Total
Ambos sexos;04001-Abla;Total Población;1.235
Ambos sexos;04001-Abla;Nacidos en España;1.137
Ambos sexos;04001-Abla;Nacidos en el Extranjero;98
Ambos sexos;04001-Abla;Total Europa;45
Ambos sexos;04001-Abla;Total Unión Europea;43
Ambos sexos;04001-Abla;Alemania;2
Ambos sexos;04001-Abla;Bulgaria;0
Ambos sexos;04001-Abla;Francia;1
Ambos sexos;04001-Abla;Italia;0
Ambos sexos;04001-Abla;Polonia;0
Ambos sexos;04001-Abla;Portugal;0
Ambos sexos;04001-Abla;Reino Unido;1
Ambos sexos;04001-Abla;Rumanía;34
Ambos sexos;04001-Abla;Total Europa No Comunitaria;2
Ambos sexos;04001-Abla;Rusia;0
Ambos sexos;04001-Abla;Ucrania;1
Ambos sexos;04001-Abla;Total África;30
Ambos sexos;04001-Abla;Argelia;1
Ambos sexos;04001-Abla;Marruecos;23
Ambos sexos;04001-Abla;Nigeria;0
Ambos sexos;04001-Abla;Senegal;1
Ambos sexos;04001-Abla;Total América;23
Ambos sexos;04001-Abla;Argentina;0
Ambos sexos;04001-Abla;Bolivia;0
Ambos sexos;04001-Abla;Brasil;8
Ambos sexos;04001-Abla;Colombia;0
Ambos sexos;04001-Abla;Cuba;0
Ambos sexos;04001-Abla;Chile;0
Ambos sexos;04001-Abla;Ecuador;2
Ambos sexos;04001-Abla;Paraguay;3
Ambos sexos;04001-Abla;Perú;1
Ambos sexos;04001-Abla;República Dominicana;8
Ambos sexos;04001-Abla;Uruguay;1
Ambos sexos;04001-Abla;Venezuela;0
Ambos sexos;04001-Abla;Total Asia;0
Ambos sexos;04001-Abla;China;0
Ambos sexos;04001-Abla;Pakistán;0
Ambos sexos;04001-Abla;Total Oceanía;0
Ambos sexos;04002-Abrucena;Total Población;1.150
Ambos sexos;04002-Abrucena;Nacidos en España;1.110
Ambos sexos;04002-Abrucena;Nacidos en el Extranjero;40
Ambos sexos;04002-Abrucena;Total Europa;19
Ambos sexos;04002-Abrucena;Total Unión Europea;19
Ambos sexos;04002-Abrucena;Alemania;0
Ambos sexos;04002-Abrucena;Bulgaria;0
Ambos sexos;04002-Abrucena;Francia;0
Ambos sexos;04002-Abrucena;Italia;0
Ambos sexos;04002-Abrucena;Polonia;0
Ambos sexos;04002-Abrucena;Portugal;0
Ambos sexos;04002-Abrucena;Reino Unido;1
Ambos sexos;04002-Abrucena;Rumanía;18
Ambos sexos;04002-Abrucena;Total Europa No Comunitaria;0
Ambos sexos;04002-Abrucena;Rusia;0
Ambos sexos;04002-Abrucena;Ucrania;0
Ambos sexos;04002-Abrucena;Total África;20
Ambos sexos;04002-Abrucena;Argelia;0
Ambos sexos;04002-Abrucena;Marruecos;20
Ambos sexos;04002-Abrucena;Nigeria;0
Ambos sexos;04002-Abrucena;Senegal;0
Ambos sexos;04002-Abrucena;Total América;1
Ambos sexos;04002-Abrucena;Argentina;0
Ambos sexos;04002-Abrucena;Bolivia;0
Ambos sexos;04002-Abrucena;Brasil;0
Ambos sexos;04002-Abrucena;Colombia;0
Ambos sexos;04002-Abrucena;Cuba;0
Ambos sexos;04002-Abrucena;Chile;0
Ambos sexos;04002-Abrucena;Ecuador;1
Ambos sexos;04002-Abrucena;Paraguay;0
Ambos sexos;04002-Abrucena;Perú;0
Ambos sexos;04002-Abrucena;República Dominicana;0
Ambos sexos;04002-Abrucena;Uruguay;0
Ambos sexos;04002-Abrucena;Venezuela;0
Ambos sexos;04002-Abrucena;Total Asia;0
Ambos sexos;04002-Abrucena;China;0
Ambos sexos;04002-Abrucena;Pakistán;0
Ambos sexos;04002-Abrucena;Total Oceanía;0
Ambos sexos;04003-Adra;Total Población;24.859
Ambos sexos;04003-Adra;Nacidos en España;21.710
Ambos sexos;04003-Adra;Nacidos en el Extranjero;3.149
Ambos sexos;04003-Adra;Total Europa;1.405
Ambos sexos;04003-Adra;Total Unión Europea;1.010
Ambos sexos;04003-Adra;Alemania;22
Ambos sexos;04003-Adra;Bulgaria;26
Ambos sexos;04003-Adra;Francia;45
Ambos sexos;04003-Adra;Italia;9
Ambos sexos;04003-Adra;Polonia;5
Ambos sexos;04003-Adra;Portugal;14
Ambos sexos;04003-Adra;Reino Unido;28
Ambos sexos;04003-Adra;Rumanía;803
Ambos sexos;04003-Adra;Total Europa No Comunitaria;395
Ambos sexos;04003-Adra;Rusia;117
Ambos sexos;04003-Adra;Ucrania;249
Ambos sexos;04003-Adra;Total África;1.463
Ambos sexos;04003-Adra;Argelia;14
Ambos sexos;04003-Adra;Marruecos;1.368
Ambos sexos;04003-Adra;Nigeria;0
Ambos sexos;04003-Adra;Senegal;75
Ambos sexos;04003-Adra;Total América;249
Ambos sexos;04003-Adra;Argentina;96
Ambos sexos;04003-Adra;Bolivia;0
Ambos sexos;04003-Adra;Brasil;18
Ambos sexos;04003-Adra;Colombia;25
Ambos sexos;04003-Adra;Cuba;25
Ambos sexos;04003-Adra;Chile;7
Ambos sexos;04003-Adra;Ecuador;7
Ambos sexos;04003-Adra;Paraguay;3
