Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;001  Alcalá de los Gazules;Africa;1
Ambos sexos;001  Alcalá de los Gazules;América;1
Ambos sexos;001  Alcalá de los Gazules;Asia;..
Ambos sexos;001  Alcalá de los Gazules;Europa;7
Ambos sexos;001  Alcalá de los Gazules;Resto;..
Ambos sexos;003  Algar;Africa;1
Ambos sexos;003  Algar;América;..
Ambos sexos;003  Algar;Asia;..
Ambos sexos;003  Algar;Europa;..
Ambos sexos;003  Algar;Resto;..
Ambos sexos;004  Algeciras;Africa;995
Ambos sexos;004  Algeciras;América;162
Ambos sexos;004  Algeciras;Asia;77
Ambos sexos;004  Algeciras;Europa;340
Ambos sexos;004  Algeciras;Resto;2
Ambos sexos;005  Algodonales;Africa;1
Ambos sexos;005  Algodonales;América;1
Ambos sexos;005  Algodonales;Asia;..
Ambos sexos;005  Algodonales;Europa;23
Ambos sexos;005  Algodonales;Resto;..
Ambos sexos;006  Arcos de la Frontera;Africa;28
Ambos sexos;006  Arcos de la Frontera;América;13
Ambos sexos;006  Arcos de la Frontera;Asia;5
Ambos sexos;006  Arcos de la Frontera;Europa;50
Ambos sexos;006  Arcos de la Frontera;Resto;..
Ambos sexos;007  Barbate;Africa;8
Ambos sexos;007  Barbate;América;17
Ambos sexos;007  Barbate;Asia;5
Ambos sexos;007  Barbate;Europa;86
Ambos sexos;007  Barbate;Resto;..
Ambos sexos;008  Barrios (Los);Africa;43
Ambos sexos;008  Barrios (Los);América;29
Ambos sexos;008  Barrios (Los);Asia;5
Ambos sexos;008  Barrios (Los);Europa;192
Ambos sexos;008  Barrios (Los);Resto;..
Ambos sexos;009  Benaocaz;Africa;..
Ambos sexos;009  Benaocaz;América;..
Ambos sexos;009  Benaocaz;Asia;..
Ambos sexos;009  Benaocaz;Europa;1
Ambos sexos;009  Benaocaz;Resto;..
Ambos sexos;010  Bornos;Africa;6
Ambos sexos;010  Bornos;América;..
Ambos sexos;010  Bornos;Asia;..
Ambos sexos;010  Bornos;Europa;1
Ambos sexos;010  Bornos;Resto;..
Ambos sexos;011  Bosque (El);Africa;1
Ambos sexos;011  Bosque (El);América;1
Ambos sexos;011  Bosque (El);Asia;..
Ambos sexos;011  Bosque (El);Europa;..
Ambos sexos;011  Bosque (El);Resto;..
Ambos sexos;012  Cádiz;Africa;170
Ambos sexos;012  Cádiz;América;144
Ambos sexos;012  Cádiz;Asia;44
Ambos sexos;012  Cádiz;Europa;144
Ambos sexos;012  Cádiz;Resto;1
Ambos sexos;013  Castellar de la Frontera;Africa;..
Ambos sexos;013  Castellar de la Frontera;América;3
Ambos sexos;013  Castellar de la Frontera;Asia;..
Ambos sexos;013  Castellar de la Frontera;Europa;71
Ambos sexos;013  Castellar de la Frontera;Resto;..
Ambos sexos;014  Conil de la Frontera;Africa;47
Ambos sexos;014  Conil de la Frontera;América;16
Ambos sexos;014  Conil de la Frontera;Asia;6
Ambos sexos;014  Conil de la Frontera;Europa;154
Ambos sexos;014  Conil de la Frontera;Resto;..
Ambos sexos;015  Chiclana de la Frontera;Africa;44
Ambos sexos;015  Chiclana de la Frontera;América;49
Ambos sexos;015  Chiclana de la Frontera;Asia;10
Ambos sexos;015  Chiclana de la Frontera;Europa;183
Ambos sexos;015  Chiclana de la Frontera;Resto;1
Ambos sexos;016  Chipiona;Africa;14
Ambos sexos;016  Chipiona;América;75
Ambos sexos;016  Chipiona;Asia;7
Ambos sexos;016  Chipiona;Europa;31
Ambos sexos;016  Chipiona;Resto;..
Ambos sexos;017  Espera;Africa;..
Ambos sexos;017  Espera;América;..
Ambos sexos;017  Espera;Asia;..
Ambos sexos;017  Espera;Europa;..
Ambos sexos;017  Espera;Resto;..
Ambos sexos;018  Gastor (El);Africa;..
Ambos sexos;018  Gastor (El);América;..
Ambos sexos;018  Gastor (El);Asia;1
Ambos sexos;018  Gastor (El);Europa;1
Ambos sexos;018  Gastor (El);Resto;..
Ambos sexos;019  Grazalema;Africa;..
Ambos sexos;019  Grazalema;América;..
Ambos sexos;019  Grazalema;Asia;..
Ambos sexos;019  Grazalema;Europa;4
Ambos sexos;019  Grazalema;Resto;..
Ambos sexos;020  Jerez de la Frontera;Africa;138
Ambos sexos;020  Jerez de la Frontera;América;170
Ambos sexos;020  Jerez de la Frontera;Asia;33
Ambos sexos;020  Jerez de la Frontera;Europa;214
Ambos sexos;020  Jerez de la Frontera;Resto;..
Ambos sexos;021  Jimena de la Frontera;Africa;14
Ambos sexos;021  Jimena de la Frontera;América;13
Ambos sexos;021  Jimena de la Frontera;Asia;3
Ambos sexos;021  Jimena de la Frontera;Europa;265
Ambos sexos;021  Jimena de la Frontera;Resto;..
Ambos sexos;022  Línea de la Concepción (La);Africa;156
Ambos sexos;022  Línea de la Concepción (La);América;77
Ambos sexos;022  Línea de la Concepción (La);Asia;69
Ambos sexos;022  Línea de la Concepción (La);Europa;673
Ambos sexos;022  Línea de la Concepción (La);Resto;..
Ambos sexos;023  Medina-Sidonia;Africa;1
Ambos sexos;023  Medina-Sidonia;América;3
Ambos sexos;023  Medina-Sidonia;Asia;1
Ambos sexos;023  Medina-Sidonia;Europa;5
Ambos sexos;023  Medina-Sidonia;Resto;..
Ambos sexos;024  Olvera;Africa;11
Ambos sexos;024  Olvera;América;6
Ambos sexos;024  Olvera;Asia;..
Ambos sexos;024  Olvera;Europa;4
Ambos sexos;024  Olvera;Resto;..
Ambos sexos;025  Paterna de Rivera;Africa;..
Ambos sexos;025  Paterna de Rivera;América;..
Ambos sexos;025  Paterna de Rivera;Asia;..
Ambos sexos;025  Paterna de Rivera;Europa;1
Ambos sexos;025  Paterna de Rivera;Resto;..
Ambos sexos;026  Prado del Rey;Africa;5
Ambos sexos;026  Prado del Rey;América;6
Ambos sexos;026  Prado del Rey;Asia;..
Ambos sexos;026  Prado del Rey;Europa;9
Ambos sexos;026  Prado del Rey;Resto;..
Ambos sexos;027  Puerto de Santa María (El);Africa;70
Ambos sexos;027  Puerto de Santa María (El);América;435
Ambos sexos;027  Puerto de Santa María (El);Asia;57
Ambos sexos;027  Puerto de Santa María (El);Europa;238
Ambos sexos;027  Puerto de Santa María (El);Resto;..
Ambos sexos;028  Puerto Real;Africa;87
Ambos sexos;028  Puerto Real;América;24
Ambos sexos;028  Puerto Real;Asia;6
Ambos sexos;028  Puerto Real;Europa;54
Ambos sexos;028  Puerto Real;Resto;1
Ambos sexos;029  Puerto Serrano;Africa;..
Ambos sexos;029  Puerto Serrano;América;..
Ambos sexos;029  Puerto Serrano;Asia;..
Ambos sexos;029  Puerto Serrano;Europa;..
Ambos sexos;029  Puerto Serrano;Resto;..
Ambos sexos;030  Rota;Africa;74
Ambos sexos;030  Rota;América;395
Ambos sexos;030  Rota;Asia;26
Ambos sexos;030  Rota;Europa;89
Ambos sexos;030  Rota;Resto;3
Ambos sexos;031  San Fernando;Africa;200
Ambos sexos;031  San Fernando;América;178
Ambos sexos;031  San Fernando;Asia;47
Ambos sexos;031  San Fernando;Europa;311
Ambos sexos;031  San Fernando;Resto;2
Ambos sexos;032  Sanlúcar de Barrameda;Africa;72
Ambos sexos;032  Sanlúcar de Barrameda;América;37
Ambos sexos;032  Sanlúcar de Barrameda;Asia;25
Ambos sexos;032  Sanlúcar de Barrameda;Europa;82
