Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;11001-Alcalá de los Gazules;Total Población;5.673
Ambos sexos;11001-Alcalá de los Gazules;Nacidos en el Extranjero;84
Ambos sexos;11001-Alcalá de los Gazules;Total Europa;60
Ambos sexos;11001-Alcalá de los Gazules;Total Unión Europea (27);53
Ambos sexos;11001-Alcalá de los Gazules;Alemania;12
Ambos sexos;11001-Alcalá de los Gazules;Francia;8
Ambos sexos;11001-Alcalá de los Gazules;Italia;1
Ambos sexos;11001-Alcalá de los Gazules;Reino Unido;17
Ambos sexos;11001-Alcalá de los Gazules;Bulgaria;0
Ambos sexos;11001-Alcalá de los Gazules;Rumanía;8
Ambos sexos;11001-Alcalá de los Gazules;Resto de Europa;7
Ambos sexos;11001-Alcalá de los Gazules;Rusia;0
Ambos sexos;11001-Alcalá de los Gazules;Ucrania;3
Ambos sexos;11001-Alcalá de los Gazules;Total Africa;6
Ambos sexos;11001-Alcalá de los Gazules;Marruecos;6
Ambos sexos;11001-Alcalá de los Gazules;Total América;17
Ambos sexos;11001-Alcalá de los Gazules;Argentina;0
Ambos sexos;11001-Alcalá de los Gazules;Bolivia;7
Ambos sexos;11001-Alcalá de los Gazules;Colombia;1
Ambos sexos;11001-Alcalá de los Gazules;Ecuador;1
Ambos sexos;11001-Alcalá de los Gazules;Perú;1
Ambos sexos;11001-Alcalá de los Gazules;Total Asia;0
Ambos sexos;11001-Alcalá de los Gazules;China;0
Ambos sexos;11001-Alcalá de los Gazules;Oceanía;1
Ambos sexos;11002-Alcalá del Valle;Total Población;5.372
Ambos sexos;11002-Alcalá del Valle;Nacidos en el Extranjero;81
Ambos sexos;11002-Alcalá del Valle;Total Europa;64
Ambos sexos;11002-Alcalá del Valle;Total Unión Europea (27);56
Ambos sexos;11002-Alcalá del Valle;Alemania;28
Ambos sexos;11002-Alcalá del Valle;Francia;10
Ambos sexos;11002-Alcalá del Valle;Italia;0
Ambos sexos;11002-Alcalá del Valle;Reino Unido;0
Ambos sexos;11002-Alcalá del Valle;Bulgaria;0
Ambos sexos;11002-Alcalá del Valle;Rumanía;9
Ambos sexos;11002-Alcalá del Valle;Resto de Europa;8
Ambos sexos;11002-Alcalá del Valle;Rusia;0
Ambos sexos;11002-Alcalá del Valle;Ucrania;0
Ambos sexos;11002-Alcalá del Valle;Total Africa;7
Ambos sexos;11002-Alcalá del Valle;Marruecos;6
Ambos sexos;11002-Alcalá del Valle;Total América;8
Ambos sexos;11002-Alcalá del Valle;Argentina;5
Ambos sexos;11002-Alcalá del Valle;Bolivia;0
Ambos sexos;11002-Alcalá del Valle;Colombia;1
Ambos sexos;11002-Alcalá del Valle;Ecuador;0
Ambos sexos;11002-Alcalá del Valle;Perú;0
Ambos sexos;11002-Alcalá del Valle;Total Asia;2
Ambos sexos;11002-Alcalá del Valle;China;1
Ambos sexos;11002-Alcalá del Valle;Oceanía;0
Ambos sexos;11003-Algar;Total Población;1.588
Ambos sexos;11003-Algar;Nacidos en el Extranjero;13
Ambos sexos;11003-Algar;Total Europa;9
Ambos sexos;11003-Algar;Total Unión Europea (27);9
Ambos sexos;11003-Algar;Alemania;3
Ambos sexos;11003-Algar;Francia;1
Ambos sexos;11003-Algar;Italia;0
Ambos sexos;11003-Algar;Reino Unido;4
Ambos sexos;11003-Algar;Bulgaria;0
Ambos sexos;11003-Algar;Rumanía;0
Ambos sexos;11003-Algar;Resto de Europa;0
Ambos sexos;11003-Algar;Rusia;0
Ambos sexos;11003-Algar;Ucrania;0
Ambos sexos;11003-Algar;Total Africa;2
Ambos sexos;11003-Algar;Marruecos;1
Ambos sexos;11003-Algar;Total América;2
Ambos sexos;11003-Algar;Argentina;0
Ambos sexos;11003-Algar;Bolivia;0
Ambos sexos;11003-Algar;Colombia;0
Ambos sexos;11003-Algar;Ecuador;2
Ambos sexos;11003-Algar;Perú;0
Ambos sexos;11003-Algar;Total Asia;0
Ambos sexos;11003-Algar;China;0
Ambos sexos;11003-Algar;Oceanía;0
Ambos sexos;11004-Algeciras;Total Población;114.012
Ambos sexos;11004-Algeciras;Nacidos en el Extranjero;8.781
Ambos sexos;11004-Algeciras;Total Europa;2.037
Ambos sexos;11004-Algeciras;Total Unión Europea (27);1.866
Ambos sexos;11004-Algeciras;Alemania;383
Ambos sexos;11004-Algeciras;Francia;485
Ambos sexos;11004-Algeciras;Italia;63
Ambos sexos;11004-Algeciras;Reino Unido;330
Ambos sexos;11004-Algeciras;Bulgaria;9
Ambos sexos;11004-Algeciras;Rumanía;205
Ambos sexos;11004-Algeciras;Resto de Europa;171
Ambos sexos;11004-Algeciras;Rusia;48
Ambos sexos;11004-Algeciras;Ucrania;28
Ambos sexos;11004-Algeciras;Total Africa;4.553
Ambos sexos;11004-Algeciras;Marruecos;4.411
Ambos sexos;11004-Algeciras;Total América;1.961
Ambos sexos;11004-Algeciras;Argentina;277
Ambos sexos;11004-Algeciras;Bolivia;720
Ambos sexos;11004-Algeciras;Colombia;153
Ambos sexos;11004-Algeciras;Ecuador;31
Ambos sexos;11004-Algeciras;Perú;70
Ambos sexos;11004-Algeciras;Total Asia;182
Ambos sexos;11004-Algeciras;China;122
Ambos sexos;11004-Algeciras;Oceanía;48
