Sexo;Municipios;País de nacimiento;Total
Ambos sexos;11001-Alcalá de los Gazules;Total Población;5.549
Ambos sexos;11001-Alcalá de los Gazules;Nacidos en España;5.435
Ambos sexos;11001-Alcalá de los Gazules;Nacidos en el Extranjero;114
Ambos sexos;11001-Alcalá de los Gazules;Total Europa;66
Ambos sexos;11001-Alcalá de los Gazules;Total Unión Europea;59
Ambos sexos;11001-Alcalá de los Gazules;Alemania;17
Ambos sexos;11001-Alcalá de los Gazules;Bulgaria;0
Ambos sexos;11001-Alcalá de los Gazules;Francia;7
Ambos sexos;11001-Alcalá de los Gazules;Italia;1
Ambos sexos;11001-Alcalá de los Gazules;Polonia;5
Ambos sexos;11001-Alcalá de los Gazules;Portugal;2
Ambos sexos;11001-Alcalá de los Gazules;Reino Unido;17
Ambos sexos;11001-Alcalá de los Gazules;Rumanía;9
Ambos sexos;11001-Alcalá de los Gazules;Total Europa No Comunitaria;7
Ambos sexos;11001-Alcalá de los Gazules;Rusia;1
Ambos sexos;11001-Alcalá de los Gazules;Ucrania;3
Ambos sexos;11001-Alcalá de los Gazules;Total Africa;17
Ambos sexos;11001-Alcalá de los Gazules;Argelia;3
Ambos sexos;11001-Alcalá de los Gazules;Marruecos;14
Ambos sexos;11001-Alcalá de los Gazules;Nigeria;0
Ambos sexos;11001-Alcalá de los Gazules;Senegal;0
Ambos sexos;11001-Alcalá de los Gazules;Total América;27
Ambos sexos;11001-Alcalá de los Gazules;Argentina;1
Ambos sexos;11001-Alcalá de los Gazules;Bolivia;2
Ambos sexos;11001-Alcalá de los Gazules;Brasil;0
Ambos sexos;11001-Alcalá de los Gazules;Colombia;3
Ambos sexos;11001-Alcalá de los Gazules;Cuba;2
Ambos sexos;11001-Alcalá de los Gazules;Chile;0
Ambos sexos;11001-Alcalá de los Gazules;Ecuador;1
Ambos sexos;11001-Alcalá de los Gazules;Paraguay;1
Ambos sexos;11001-Alcalá de los Gazules;Perú;9
Ambos sexos;11001-Alcalá de los Gazules;Rep. Dominicana;2
Ambos sexos;11001-Alcalá de los Gazules;Uruguay;1
Ambos sexos;11001-Alcalá de los Gazules;Venezuela;3
Ambos sexos;11001-Alcalá de los Gazules;Total Asia;3
Ambos sexos;11001-Alcalá de los Gazules;China;3
Ambos sexos;11001-Alcalá de los Gazules;Pakistán;0
Ambos sexos;11001-Alcalá de los Gazules;Total Oceanía;1
Ambos sexos;11002-Alcalá del Valle;Total Población;5.294
Ambos sexos;11002-Alcalá del Valle;Nacidos en España;5.208
Ambos sexos;11002-Alcalá del Valle;Nacidos en el Extranjero;86
Ambos sexos;11002-Alcalá del Valle;Total Europa;64
Ambos sexos;11002-Alcalá del Valle;Total Unión Europea;56
Ambos sexos;11002-Alcalá del Valle;Alemania;31
Ambos sexos;11002-Alcalá del Valle;Bulgaria;0
Ambos sexos;11002-Alcalá del Valle;Francia;10
Ambos sexos;11002-Alcalá del Valle;Italia;0
Ambos sexos;11002-Alcalá del Valle;Polonia;0
Ambos sexos;11002-Alcalá del Valle;Portugal;3
Ambos sexos;11002-Alcalá del Valle;Reino Unido;0
Ambos sexos;11002-Alcalá del Valle;Rumanía;5
Ambos sexos;11002-Alcalá del Valle;Total Europa No Comunitaria;8
Ambos sexos;11002-Alcalá del Valle;Rusia;0
Ambos sexos;11002-Alcalá del Valle;Ucrania;0
Ambos sexos;11002-Alcalá del Valle;Total Africa;6
Ambos sexos;11002-Alcalá del Valle;Argelia;1
Ambos sexos;11002-Alcalá del Valle;Marruecos;5
Ambos sexos;11002-Alcalá del Valle;Nigeria;0
Ambos sexos;11002-Alcalá del Valle;Senegal;0
Ambos sexos;11002-Alcalá del Valle;Total América;14
Ambos sexos;11002-Alcalá del Valle;Argentina;5
Ambos sexos;11002-Alcalá del Valle;Bolivia;0
Ambos sexos;11002-Alcalá del Valle;Brasil;4
