Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;001  Adamuz;Africa;1
Ambos sexos;001  Adamuz;América;5
Ambos sexos;001  Adamuz;Asia;..
Ambos sexos;001  Adamuz;Europa;..
Ambos sexos;001  Adamuz;Resto;..
Ambos sexos;002  Aguilar de la Frontera;Africa;6
Ambos sexos;002  Aguilar de la Frontera;América;..
Ambos sexos;002  Aguilar de la Frontera;Asia;..
Ambos sexos;002  Aguilar de la Frontera;Europa;3
Ambos sexos;002  Aguilar de la Frontera;Resto;..
Ambos sexos;003  Alcaracejos;Africa;..
Ambos sexos;003  Alcaracejos;América;..
Ambos sexos;003  Alcaracejos;Asia;..
Ambos sexos;003  Alcaracejos;Europa;..
Ambos sexos;003  Alcaracejos;Resto;..
Ambos sexos;004  Almedinilla;Africa;5
Ambos sexos;004  Almedinilla;América;..
Ambos sexos;004  Almedinilla;Asia;..
Ambos sexos;004  Almedinilla;Europa;1
Ambos sexos;004  Almedinilla;Resto;..
Ambos sexos;005  Almodóvar del Río;Africa;1
Ambos sexos;005  Almodóvar del Río;América;1
Ambos sexos;005  Almodóvar del Río;Asia;..
Ambos sexos;005  Almodóvar del Río;Europa;4
Ambos sexos;005  Almodóvar del Río;Resto;1
Ambos sexos;006  Añora;Africa;..
Ambos sexos;006  Añora;América;..
Ambos sexos;006  Añora;Asia;..
Ambos sexos;006  Añora;Europa;..
Ambos sexos;006  Añora;Resto;..
Ambos sexos;007  Baena;Africa;13
Ambos sexos;007  Baena;América;7
Ambos sexos;007  Baena;Asia;7
Ambos sexos;007  Baena;Europa;10
Ambos sexos;007  Baena;Resto;..
Ambos sexos;008  Belalcázar;Africa;..
Ambos sexos;008  Belalcázar;América;1
Ambos sexos;008  Belalcázar;Asia;..
Ambos sexos;008  Belalcázar;Europa;2
Ambos sexos;008  Belalcázar;Resto;..
Ambos sexos;009  Belmez;Africa;..
Ambos sexos;009  Belmez;América;..
Ambos sexos;009  Belmez;Asia;2
Ambos sexos;009  Belmez;Europa;1
Ambos sexos;009  Belmez;Resto;..
Ambos sexos;010  Benamejí;Africa;3
Ambos sexos;010  Benamejí;América;1
Ambos sexos;010  Benamejí;Asia;..
Ambos sexos;010  Benamejí;Europa;2
Ambos sexos;010  Benamejí;Resto;..
Ambos sexos;011  Blázquez (Los);Africa;..
Ambos sexos;011  Blázquez (Los);América;..
Ambos sexos;011  Blázquez (Los);Asia;..
Ambos sexos;011  Blázquez (Los);Europa;..
Ambos sexos;011  Blázquez (Los);Resto;..
Ambos sexos;012  Bujalance;Africa;1
Ambos sexos;012  Bujalance;América;1
Ambos sexos;012  Bujalance;Asia;..
Ambos sexos;012  Bujalance;Europa;..
Ambos sexos;012  Bujalance;Resto;..
Ambos sexos;013  Cabra;Africa;12
Ambos sexos;013  Cabra;América;8
Ambos sexos;013  Cabra;Asia;3
Ambos sexos;013  Cabra;Europa;16
Ambos sexos;013  Cabra;Resto;..
Ambos sexos;014  Cañete de las Torres;Africa;..
Ambos sexos;014  Cañete de las Torres;América;1
Ambos sexos;014  Cañete de las Torres;Asia;..
Ambos sexos;014  Cañete de las Torres;Europa;..
Ambos sexos;014  Cañete de las Torres;Resto;..
Ambos sexos;015  Carcabuey;Africa;..
Ambos sexos;015  Carcabuey;América;..
Ambos sexos;015  Carcabuey;Asia;..
Ambos sexos;015  Carcabuey;Europa;2
Ambos sexos;015  Carcabuey;Resto;..
Ambos sexos;016  Cardeña;Africa;..
Ambos sexos;016  Cardeña;América;1
Ambos sexos;016  Cardeña;Asia;..
Ambos sexos;016  Cardeña;Europa;..
Ambos sexos;016  Cardeña;Resto;..
Ambos sexos;017  Carlota (La);Africa;3
Ambos sexos;017  Carlota (La);América;6
Ambos sexos;017  Carlota (La);Asia;..
Ambos sexos;017  Carlota (La);Europa;8
Ambos sexos;017  Carlota (La);Resto;..
Ambos sexos;018  Carpio (El);Africa;..
Ambos sexos;018  Carpio (El);América;1
Ambos sexos;018  Carpio (El);Asia;4
Ambos sexos;018  Carpio (El);Europa;..
Ambos sexos;018  Carpio (El);Resto;..
Ambos sexos;019  Castro del Río;Africa;1
