Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;14001 Adamuz;Total Población;4.443
Ambos sexos;14001 Adamuz;Nacidos en el Extranjero;81
Ambos sexos;14001 Adamuz;Total Europa;46
Ambos sexos;14001 Adamuz;Total Unión Europea (25);6
Ambos sexos;14001 Adamuz;Alemania;0
Ambos sexos;14001 Adamuz;Francia;5
Ambos sexos;14001 Adamuz;Italia;0
Ambos sexos;14001 Adamuz;Reino Unido;0
Ambos sexos;14001 Adamuz;Resto de Europa;40
Ambos sexos;14001 Adamuz;Bulgaria;2
Ambos sexos;14001 Adamuz;Rumanía;28
Ambos sexos;14001 Adamuz;Total Africa;24
Ambos sexos;14001 Adamuz;Marruecos;24
Ambos sexos;14001 Adamuz;Total Am‚rica;11
Ambos sexos;14001 Adamuz;Argentina;0
Ambos sexos;14001 Adamuz;Bolivia;0
Ambos sexos;14001 Adamuz;Colombia;4
Ambos sexos;14001 Adamuz;Ecuador;0
Ambos sexos;14001 Adamuz;Perú;0
Ambos sexos;14001 Adamuz;Total Asia;0
Ambos sexos;14001 Adamuz;China;0
Ambos sexos;14001 Adamuz;Oceanía;0
Ambos sexos;14002 Aguilar de la Frontera;Total Población;13.589
Ambos sexos;14002 Aguilar de la Frontera;Nacidos en el Extranjero;238
Ambos sexos;14002 Aguilar de la Frontera;Total Europa;59
Ambos sexos;14002 Aguilar de la Frontera;Total Unión Europea (25);26
Ambos sexos;14002 Aguilar de la Frontera;Alemania;8
Ambos sexos;14002 Aguilar de la Frontera;Francia;5
Ambos sexos;14002 Aguilar de la Frontera;Italia;2
Ambos sexos;14002 Aguilar de la Frontera;Reino Unido;5
Ambos sexos;14002 Aguilar de la Frontera;Resto de Europa;33
Ambos sexos;14002 Aguilar de la Frontera;Bulgaria;1
Ambos sexos;14002 Aguilar de la Frontera;Rumanía;23
Ambos sexos;14002 Aguilar de la Frontera;Total Africa;145
Ambos sexos;14002 Aguilar de la Frontera;Marruecos;142
Ambos sexos;14002 Aguilar de la Frontera;Total Am‚rica;32
Ambos sexos;14002 Aguilar de la Frontera;Argentina;0
Ambos sexos;14002 Aguilar de la Frontera;Bolivia;0
Ambos sexos;14002 Aguilar de la Frontera;Colombia;4
Ambos sexos;14002 Aguilar de la Frontera;Ecuador;15
Ambos sexos;14002 Aguilar de la Frontera;Perú;0
Ambos sexos;14002 Aguilar de la Frontera;Total Asia;2
Ambos sexos;14002 Aguilar de la Frontera;China;1
