Sexo;Municipios;País de nacimiento;Total
Ambos sexos;14001-Adamuz;Total Población;4.467
Ambos sexos;14001-Adamuz;Nacidos en España;4.276
Ambos sexos;14001-Adamuz;Nacidos en el Extranjero;191
Ambos sexos;14001-Adamuz;Total Europa;136
Ambos sexos;14001-Adamuz;Total Unión Europea;128
Ambos sexos;14001-Adamuz;Alemania;1
Ambos sexos;14001-Adamuz;Bulgaria;1
Ambos sexos;14001-Adamuz;Francia;7
Ambos sexos;14001-Adamuz;Italia;0
Ambos sexos;14001-Adamuz;Polonia;0
Ambos sexos;14001-Adamuz;Portugal;1
Ambos sexos;14001-Adamuz;Reino Unido;0
Ambos sexos;14001-Adamuz;Rumanía;118
Ambos sexos;14001-Adamuz;Total Europa No Comunitaria;8
Ambos sexos;14001-Adamuz;Rusia;1
Ambos sexos;14001-Adamuz;Ucrania;0
Ambos sexos;14001-Adamuz;Total Africa;39
Ambos sexos;14001-Adamuz;Argelia;0
Ambos sexos;14001-Adamuz;Marruecos;39
Ambos sexos;14001-Adamuz;Nigeria;0
Ambos sexos;14001-Adamuz;Senegal;0
Ambos sexos;14001-Adamuz;Total América;16
Ambos sexos;14001-Adamuz;Argentina;0
Ambos sexos;14001-Adamuz;Bolivia;0
Ambos sexos;14001-Adamuz;Brasil;1
Ambos sexos;14001-Adamuz;Colombia;4
Ambos sexos;14001-Adamuz;Cuba;0
Ambos sexos;14001-Adamuz;Chile;0
Ambos sexos;14001-Adamuz;Ecuador;2
Ambos sexos;14001-Adamuz;Paraguay;2
Ambos sexos;14001-Adamuz;Perú;0
Ambos sexos;14001-Adamuz;Rep. Dominicana;0
Ambos sexos;14001-Adamuz;Uruguay;2
Ambos sexos;14001-Adamuz;Venezuela;0
Ambos sexos;14001-Adamuz;Total Asia;0
Ambos sexos;14001-Adamuz;China;0
Ambos sexos;14001-Adamuz;Pakistán;0
Ambos sexos;14001-Adamuz;Total Oceanía;0
Ambos sexos;14002-Aguilar de la Frontera;Total Población;13.654
Ambos sexos;14002-Aguilar de la Frontera;Nacidos en España;13.342
Ambos sexos;14002-Aguilar de la Frontera;Nacidos en el Extranjero;312
Ambos sexos;14002-Aguilar de la Frontera;Total Europa;92
Ambos sexos;14002-Aguilar de la Frontera;Total Unión Europea;80
Ambos sexos;14002-Aguilar de la Frontera;Alemania;9
Ambos sexos;14002-Aguilar de la Frontera;Bulgaria;1
Ambos sexos;14002-Aguilar de la Frontera;Francia;5
Ambos sexos;14002-Aguilar de la Frontera;Italia;1
Ambos sexos;14002-Aguilar de la Frontera;Polonia;2
Ambos sexos;14002-Aguilar de la Frontera;Portugal;0
Ambos sexos;14002-Aguilar de la Frontera;Reino Unido;6
Ambos sexos;14002-Aguilar de la Frontera;Rumanía;50
Ambos sexos;14002-Aguilar de la Frontera;Total Europa No Comunitaria;12
Ambos sexos;14002-Aguilar de la Frontera;Rusia;0
Ambos sexos;14002-Aguilar de la Frontera;Ucrania;10
Ambos sexos;14002-Aguilar de la Frontera;Total Africa;168
Ambos sexos;14002-Aguilar de la Frontera;Argelia;4
Ambos sexos;14002-Aguilar de la Frontera;Marruecos;164
Ambos sexos;14002-Aguilar de la Frontera;Nigeria;0
Ambos sexos;14002-Aguilar de la Frontera;Senegal;0
Ambos sexos;14002-Aguilar de la Frontera;Total América;43
Ambos sexos;14002-Aguilar de la Frontera;Argentina;3
Ambos sexos;14002-Aguilar de la Frontera;Bolivia;4
Ambos sexos;14002-Aguilar de la Frontera;Brasil;10
Ambos sexos;14002-Aguilar de la Frontera;Colombia;5
Ambos sexos;14002-Aguilar de la Frontera;Cuba;4
Ambos sexos;14002-Aguilar de la Frontera;Chile;1
Ambos sexos;14002-Aguilar de la Frontera;Ecuador;11
Ambos sexos;14002-Aguilar de la Frontera;Paraguay;1
Ambos sexos;14002-Aguilar de la Frontera;Perú;0
Ambos sexos;14002-Aguilar de la Frontera;Rep. Dominicana;0
Ambos sexos;14002-Aguilar de la Frontera;Uruguay;0
Ambos sexos;14002-Aguilar de la Frontera;Venezuela;0
Ambos sexos;14002-Aguilar de la Frontera;Total Asia;9
Ambos sexos;14002-Aguilar de la Frontera;China;9
Ambos sexos;14002-Aguilar de la Frontera;Pakistán;0
Ambos sexos;14002-Aguilar de la Frontera;Total Oceanía;0
Ambos sexos;14003-Alcaracejos;Total Población;1.545
Ambos sexos;14003-Alcaracejos;Nacidos en España;1.491
Ambos sexos;14003-Alcaracejos;Nacidos en el Extranjero;54
Ambos sexos;14003-Alcaracejos;Total Europa;44
Ambos sexos;14003-Alcaracejos;Total Unión Europea;43
Ambos sexos;14003-Alcaracejos;Alemania;5
Ambos sexos;14003-Alcaracejos;Bulgaria;2
Ambos sexos;14003-Alcaracejos;Francia;3
Ambos sexos;14003-Alcaracejos;Italia;0
Ambos sexos;14003-Alcaracejos;Polonia;1
Ambos sexos;14003-Alcaracejos;Portugal;2
Ambos sexos;14003-Alcaracejos;Reino Unido;1
Ambos sexos;14003-Alcaracejos;Rumanía;24
Ambos sexos;14003-Alcaracejos;Total Europa No Comunitaria;1
Ambos sexos;14003-Alcaracejos;Rusia;1
Ambos sexos;14003-Alcaracejos;Ucrania;0
Ambos sexos;14003-Alcaracejos;Total Africa;7
Ambos sexos;14003-Alcaracejos;Argelia;0
Ambos sexos;14003-Alcaracejos;Marruecos;7
Ambos sexos;14003-Alcaracejos;Nigeria;0
Ambos sexos;14003-Alcaracejos;Senegal;0
Ambos sexos;14003-Alcaracejos;Total América;3
Ambos sexos;14003-Alcaracejos;Argentina;0
Ambos sexos;14003-Alcaracejos;Bolivia;0
Ambos sexos;14003-Alcaracejos;Brasil;0
Ambos sexos;14003-Alcaracejos;Colombia;0
Ambos sexos;14003-Alcaracejos;Cuba;1
Ambos sexos;14003-Alcaracejos;Chile;0
Ambos sexos;14003-Alcaracejos;Ecuador;0
Ambos sexos;14003-Alcaracejos;Paraguay;0
Ambos sexos;14003-Alcaracejos;Perú;0
Ambos sexos;14003-Alcaracejos;Rep. Dominicana;0
Ambos sexos;14003-Alcaracejos;Uruguay;0
Ambos sexos;14003-Alcaracejos;Venezuela;0
Ambos sexos;14003-Alcaracejos;Total Asia;0
Ambos sexos;14003-Alcaracejos;China;0
Ambos sexos;14003-Alcaracejos;Pakistán;0
Ambos sexos;14003-Alcaracejos;Total Oceanía;0
Ambos sexos;14004-Almedinilla;Total Población;2.510
Ambos sexos;14004-Almedinilla;Nacidos en España;2.377
Ambos sexos;14004-Almedinilla;Nacidos en el Extranjero;133
Ambos sexos;14004-Almedinilla;Total Europa;93
Ambos sexos;14004-Almedinilla;Total Unión Europea;66
Ambos sexos;14004-Almedinilla;Alemania;0
Ambos sexos;14004-Almedinilla;Bulgaria;0
Ambos sexos;14004-Almedinilla;Francia;1
Ambos sexos;14004-Almedinilla;Italia;0
Ambos sexos;14004-Almedinilla;Polonia;0
Ambos sexos;14004-Almedinilla;Portugal;0
Ambos sexos;14004-Almedinilla;Reino Unido;26
Ambos sexos;14004-Almedinilla;Rumanía;37
Ambos sexos;14004-Almedinilla;Total Europa No Comunitaria;27
Ambos sexos;14004-Almedinilla;Rusia;2
Ambos sexos;14004-Almedinilla;Ucrania;24
Ambos sexos;14004-Almedinilla;Total Africa;30
Ambos sexos;14004-Almedinilla;Argelia;0
Ambos sexos;14004-Almedinilla;Marruecos;30
Ambos sexos;14004-Almedinilla;Nigeria;0
Ambos sexos;14004-Almedinilla;Senegal;0
Ambos sexos;14004-Almedinilla;Total América;9
Ambos sexos;14004-Almedinilla;Argentina;1
Ambos sexos;14004-Almedinilla;Bolivia;0
Ambos sexos;14004-Almedinilla;Brasil;0
Ambos sexos;14004-Almedinilla;Colombia;0
Ambos sexos;14004-Almedinilla;Cuba;0
Ambos sexos;14004-Almedinilla;Chile;0
Ambos sexos;14004-Almedinilla;Ecuador;7
Ambos sexos;14004-Almedinilla;Paraguay;0
Ambos sexos;14004-Almedinilla;Perú;1
Ambos sexos;14004-Almedinilla;Rep. Dominicana;0
Ambos sexos;14004-Almedinilla;Uruguay;0
Ambos sexos;14004-Almedinilla;Venezuela;0
Ambos sexos;14004-Almedinilla;Total Asia;1
Ambos sexos;14004-Almedinilla;China;1
Ambos sexos;14004-Almedinilla;Pakistán;0
Ambos sexos;14004-Almedinilla;Total Oceanía;0
Ambos sexos;14005-Almodóvar del Río;Total Población;7.969
Ambos sexos;14005-Almodóvar del Río;Nacidos en España;7.782
Ambos sexos;14005-Almodóvar del Río;Nacidos en el Extranjero;187
Ambos sexos;14005-Almodóvar del Río;Total Europa;117
Ambos sexos;14005-Almodóvar del Río;Total Unión Europea;106
Ambos sexos;14005-Almodóvar del Río;Alemania;38
Ambos sexos;14005-Almodóvar del Río;Bulgaria;0
Ambos sexos;14005-Almodóvar del Río;Francia;32
Ambos sexos;14005-Almodóvar del Río;Italia;5
Ambos sexos;14005-Almodóvar del Río;Polonia;0
Ambos sexos;14005-Almodóvar del Río;Portugal;0
Ambos sexos;14005-Almodóvar del Río;Reino Unido;0
