Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;001  Agrón;Africa;..
Ambos sexos;001  Agrón;América;..
Ambos sexos;001  Agrón;Asia;..
Ambos sexos;001  Agrón;Europa;..
Ambos sexos;001  Agrón;Resto;..
Ambos sexos;002  Alamedilla;Africa;..
Ambos sexos;002  Alamedilla;América;..
Ambos sexos;002  Alamedilla;Asia;..
Ambos sexos;002  Alamedilla;Europa;..
Ambos sexos;002  Alamedilla;Resto;..
Ambos sexos;003  Albolote;Africa;7
Ambos sexos;003  Albolote;América;15
Ambos sexos;003  Albolote;Asia;7
Ambos sexos;003  Albolote;Europa;25
Ambos sexos;003  Albolote;Resto;..
Ambos sexos;004  Albondón;Africa;..
Ambos sexos;004  Albondón;América;..
Ambos sexos;004  Albondón;Asia;..
Ambos sexos;004  Albondón;Europa;5
Ambos sexos;004  Albondón;Resto;..
Ambos sexos;005  Albuñán;Africa;..
Ambos sexos;005  Albuñán;América;..
Ambos sexos;005  Albuñán;Asia;..
Ambos sexos;005  Albuñán;Europa;..
Ambos sexos;005  Albuñán;Resto;..
Ambos sexos;006  Albuñol;Africa;59
Ambos sexos;006  Albuñol;América;2
Ambos sexos;006  Albuñol;Asia;..
Ambos sexos;006  Albuñol;Europa;11
Ambos sexos;006  Albuñol;Resto;..
Ambos sexos;007  Albuñuelas;Africa;..
Ambos sexos;007  Albuñuelas;América;..
Ambos sexos;007  Albuñuelas;Asia;..
Ambos sexos;007  Albuñuelas;Europa;2
Ambos sexos;007  Albuñuelas;Resto;..
Ambos sexos;010  Aldeire;Africa;..
Ambos sexos;010  Aldeire;América;..
Ambos sexos;010  Aldeire;Asia;..
Ambos sexos;010  Aldeire;Europa;..
Ambos sexos;010  Aldeire;Resto;..
Ambos sexos;011  Alfacar;Africa;..
Ambos sexos;011  Alfacar;América;2
Ambos sexos;011  Alfacar;Asia;2
Ambos sexos;011  Alfacar;Europa;6
Ambos sexos;011  Alfacar;Resto;..
Ambos sexos;013  Alhama de Granada;Africa;11
Ambos sexos;013  Alhama de Granada;América;2
Ambos sexos;013  Alhama de Granada;Asia;..
Ambos sexos;013  Alhama de Granada;Europa;9
Ambos sexos;013  Alhama de Granada;Resto;..
Ambos sexos;014  Alhendín;Africa;2
Ambos sexos;014  Alhendín;América;2
Ambos sexos;014  Alhendín;Asia;..
Ambos sexos;014  Alhendín;Europa;15
Ambos sexos;014  Alhendín;Resto;..
Ambos sexos;015  Alicún de Ortega;Africa;..
Ambos sexos;015  Alicún de Ortega;América;..
Ambos sexos;015  Alicún de Ortega;Asia;..
Ambos sexos;015  Alicún de Ortega;Europa;..
Ambos sexos;015  Alicún de Ortega;Resto;..
Ambos sexos;016  Almegíjar;Africa;..
Ambos sexos;016  Almegíjar;América;1
Ambos sexos;016  Almegíjar;Asia;..
Ambos sexos;016  Almegíjar;Europa;1
Ambos sexos;016  Almegíjar;Resto;..
Ambos sexos;017  Almuñécar;Africa;60
Ambos sexos;017  Almuñécar;América;111
Ambos sexos;017  Almuñécar;Asia;24
Ambos sexos;017  Almuñécar;Europa;1.343
Ambos sexos;017  Almuñécar;Resto;3
Ambos sexos;018  Alquife;Africa;..
Ambos sexos;018  Alquife;América;..
Ambos sexos;018  Alquife;Asia;..
Ambos sexos;018  Alquife;Europa;..
Ambos sexos;018  Alquife;Resto;..
Ambos sexos;020  Arenas del Rey;Africa;3
Ambos sexos;020  Arenas del Rey;América;..
Ambos sexos;020  Arenas del Rey;Asia;..
Ambos sexos;020  Arenas del Rey;Europa;12
Ambos sexos;020  Arenas del Rey;Resto;..
Ambos sexos;021  Armilla;Africa;19
Ambos sexos;021  Armilla;América;17
Ambos sexos;021  Armilla;Asia;1
Ambos sexos;021  Armilla;Europa;29
Ambos sexos;021  Armilla;Resto;1
Ambos sexos;022  Atarfe;Africa;36
Ambos sexos;022  Atarfe;América;12
Ambos sexos;022  Atarfe;Asia;2
Ambos sexos;022  Atarfe;Europa;22
Ambos sexos;022  Atarfe;Resto;..
Ambos sexos;023  Baza;Africa;52
Ambos sexos;023  Baza;América;37
Ambos sexos;023  Baza;Asia;10
Ambos sexos;023  Baza;Europa;20
Ambos sexos;023  Baza;Resto;..
Ambos sexos;024  Beas de Granada;Africa;..
Ambos sexos;024  Beas de Granada;América;..
Ambos sexos;024  Beas de Granada;Asia;..
Ambos sexos;024  Beas de Granada;Europa;..
Ambos sexos;024  Beas de Granada;Resto;..
Ambos sexos;025  Beas de Guadix;Africa;..
Ambos sexos;025  Beas de Guadix;América;..
Ambos sexos;025  Beas de Guadix;Asia;..
Ambos sexos;025  Beas de Guadix;Europa;..
Ambos sexos;025  Beas de Guadix;Resto;..
Ambos sexos;027  Benalúa;Africa;..
Ambos sexos;027  Benalúa;América;..
Ambos sexos;027  Benalúa;Asia;..
Ambos sexos;027  Benalúa;Europa;2
Ambos sexos;027  Benalúa;Resto;..
Ambos sexos;028  Benalúa de las Villas;Africa;..
Ambos sexos;028  Benalúa de las Villas;América;..
Ambos sexos;028  Benalúa de las Villas;Asia;..
Ambos sexos;028  Benalúa de las Villas;Europa;2
Ambos sexos;028  Benalúa de las Villas;Resto;..
Ambos sexos;029  Benamaurel;Africa;..
Ambos sexos;029  Benamaurel;América;..
Ambos sexos;029  Benamaurel;Asia;..
Ambos sexos;029  Benamaurel;Europa;5
Ambos sexos;029  Benamaurel;Resto;..
Ambos sexos;030  Bérchules;Africa;..
Ambos sexos;030  Bérchules;América;..
Ambos sexos;030  Bérchules;Asia;..
Ambos sexos;030  Bérchules;Europa;7
Ambos sexos;030  Bérchules;Resto;..
Ambos sexos;032  Bubión;Africa;3
Ambos sexos;032  Bubión;América;9
Ambos sexos;032  Bubión;Asia;3
Ambos sexos;032  Bubión;Europa;20
Ambos sexos;032  Bubión;Resto;..
Ambos sexos;033  Busquístar;Africa;..
Ambos sexos;033  Busquístar;América;..
Ambos sexos;033  Busquístar;Asia;..
Ambos sexos;033  Busquístar;Europa;2
Ambos sexos;033  Busquístar;Resto;..
Ambos sexos;034  Cacín;Africa;..
Ambos sexos;034  Cacín;América;..
Ambos sexos;034  Cacín;Asia;..
Ambos sexos;034  Cacín;Europa;1
Ambos sexos;034  Cacín;Resto;..
