Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;18001 Agrón;Total Unión Europea;0
Ambos sexos;18001 Agrón;Reino Unido;0
Ambos sexos;18001 Agrón;Alemania;0
Ambos sexos;18001 Agrón;Total Africa;0
Ambos sexos;18001 Agrón;Marruecos;0
Ambos sexos;18001 Agrón;Total América;0
Ambos sexos;18001 Agrón;Colombia;0
Ambos sexos;18001 Agrón;Ecuador;0
Ambos sexos;18001 Agrón;Total Asia;0
Ambos sexos;18001 Agrón;Resto;0
Ambos sexos;18002 Alamedilla;Total Unión Europea;0
Ambos sexos;18002 Alamedilla;Reino Unido;0
Ambos sexos;18002 Alamedilla;Alemania;0
Ambos sexos;18002 Alamedilla;Total Africa;0
Ambos sexos;18002 Alamedilla;Marruecos;0
Ambos sexos;18002 Alamedilla;Total América;0
Ambos sexos;18002 Alamedilla;Colombia;0
Ambos sexos;18002 Alamedilla;Ecuador;0
Ambos sexos;18002 Alamedilla;Total Asia;0
Ambos sexos;18002 Alamedilla;Resto;0
Ambos sexos;18003 Albolote;Total Unión Europea;45
Ambos sexos;18003 Albolote;Reino Unido;6
Ambos sexos;18003 Albolote;Alemania;7
Ambos sexos;18003 Albolote;Total Africa;24
Ambos sexos;18003 Albolote;Marruecos;23
Ambos sexos;18003 Albolote;Total América;89
Ambos sexos;18003 Albolote;Colombia;4
Ambos sexos;18003 Albolote;Ecuador;4
Ambos sexos;18003 Albolote;Total Asia;10
Ambos sexos;18003 Albolote;Resto;0
Ambos sexos;18004 Albondón;Total Unión Europea;5
Ambos sexos;18004 Albondón;Reino Unido;0
Ambos sexos;18004 Albondón;Alemania;5
Ambos sexos;18004 Albondón;Total Africa;0
Ambos sexos;18004 Albondón;Marruecos;0
Ambos sexos;18004 Albondón;Total América;0
Ambos sexos;18004 Albondón;Colombia;0
Ambos sexos;18004 Albondón;Ecuador;0
Ambos sexos;18004 Albondón;Total Asia;0
Ambos sexos;18004 Albondón;Resto;0
Ambos sexos;18005 Albuñán;Total Unión Europea;1
Ambos sexos;18005 Albuñán;Reino Unido;0
Ambos sexos;18005 Albuñán;Alemania;1
Ambos sexos;18005 Albuñán;Total Africa;0
