Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;18001 Agrón;Total Población;320
Ambos sexos;18001 Agrón;Nacidos en el Extranjero;3
Ambos sexos;18001 Agrón;Total Europa;3
Ambos sexos;18001 Agrón;Total Unión Europea (25);3
Ambos sexos;18001 Agrón;Alemania;3
Ambos sexos;18001 Agrón;Francia;0
Ambos sexos;18001 Agrón;Reino Unido;0
Ambos sexos;18001 Agrón;Resto de Europa;0
Ambos sexos;18001 Agrón;Rumanía;0
Ambos sexos;18001 Agrón;Total Africa;0
Ambos sexos;18001 Agrón;Marruecos;0
Ambos sexos;18001 Agrón;Total Am‚rica;0
Ambos sexos;18001 Agrón;Colombia;0
Ambos sexos;18001 Agrón;Ecuador;0
Ambos sexos;18001 Agrón;Argentina;0
Ambos sexos;18001 Agrón;Total Asia;0
Ambos sexos;18001 Agrón;Oceanía;0
Ambos sexos;18002 Alamedilla;Total Población;830
Ambos sexos;18002 Alamedilla;Nacidos en el Extranjero;29
Ambos sexos;18002 Alamedilla;Total Europa;28
Ambos sexos;18002 Alamedilla;Total Unión Europea (25);22
Ambos sexos;18002 Alamedilla;Alemania;7
Ambos sexos;18002 Alamedilla;Francia;15
Ambos sexos;18002 Alamedilla;Reino Unido;0
Ambos sexos;18002 Alamedilla;Resto de Europa;6
Ambos sexos;18002 Alamedilla;Rumanía;6
Ambos sexos;18002 Alamedilla;Total Africa;0
Ambos sexos;18002 Alamedilla;Marruecos;0
Ambos sexos;18002 Alamedilla;Total Am‚rica;1
Ambos sexos;18002 Alamedilla;Colombia;0
Ambos sexos;18002 Alamedilla;Ecuador;1
Ambos sexos;18002 Alamedilla;Argentina;0
Ambos sexos;18002 Alamedilla;Total Asia;0
Ambos sexos;18002 Alamedilla;Oceanía;0
Ambos sexos;18003 Albolote;Total Población;14.862
Ambos sexos;18003 Albolote;Nacidos en el Extranjero;529
Ambos sexos;18003 Albolote;Total Europa;223
Ambos sexos;18003 Albolote;Total Unión Europea (25);187
Ambos sexos;18003 Albolote;Alemania;48
Ambos sexos;18003 Albolote;Francia;89
Ambos sexos;18003 Albolote;Reino Unido;9
Ambos sexos;18003 Albolote;Resto de Europa;36
Ambos sexos;18003 Albolote;Rumanía;6
Ambos sexos;18003 Albolote;Total Africa;58
Ambos sexos;18003 Albolote;Marruecos;51
Ambos sexos;18003 Albolote;Total Am‚rica;231
Ambos sexos;18003 Albolote;Colombia;15
Ambos sexos;18003 Albolote;Ecuador;28
Ambos sexos;18003 Albolote;Argentina;107
Ambos sexos;18003 Albolote;Total Asia;17
Ambos sexos;18003 Albolote;Oceanía;0
Ambos sexos;18004 Albondón;Total Población;941
Ambos sexos;18004 Albondón;Nacidos en el Extranjero;17
Ambos sexos;18004 Albondón;Total Europa;14
Ambos sexos;18004 Albondón;Total Unión Europea (25);11
Ambos sexos;18004 Albondón;Alemania;3
Ambos sexos;18004 Albondón;Francia;1
Ambos sexos;18004 Albondón;Reino Unido;5
Ambos sexos;18004 Albondón;Resto de Europa;3
Ambos sexos;18004 Albondón;Rumanía;0
Ambos sexos;18004 Albondón;Total Africa;0
Ambos sexos;18004 Albondón;Marruecos;0
Ambos sexos;18004 Albondón;Total Am‚rica;3
Ambos sexos;18004 Albondón;Colombia;0
Ambos sexos;18004 Albondón;Ecuador;0
Ambos sexos;18004 Albondón;Argentina;2
Ambos sexos;18004 Albondón;Total Asia;0
Ambos sexos;18004 Albondón;Oceanía;0
Ambos sexos;18005 Albuñán;Total Población;458
Ambos sexos;18005 Albuñán;Nacidos en el Extranjero;12
Ambos sexos;18005 Albuñán;Total Europa;9
Ambos sexos;18005 Albuñán;Total Unión Europea (25);9
Ambos sexos;18005 Albuñán;Alemania;6
Ambos sexos;18005 Albuñán;Francia;2
Ambos sexos;18005 Albuñán;Reino Unido;1
Ambos sexos;18005 Albuñán;Resto de Europa;0
Ambos sexos;18005 Albuñán;Rumanía;0
Ambos sexos;18005 Albuñán;Total Africa;0
Ambos sexos;18005 Albuñán;Marruecos;0
Ambos sexos;18005 Albuñán;Total Am‚rica;3
Ambos sexos;18005 Albuñán;Colombia;0
Ambos sexos;18005 Albuñán;Ecuador;0
Ambos sexos;18005 Albuñán;Argentina;0
Ambos sexos;18005 Albuñán;Total Asia;0
Ambos sexos;18005 Albuñán;Oceanía;0
Ambos sexos;18006 Albuñol;Total Población;6.054
Ambos sexos;18006 Albuñol;Nacidos en el Extranjero;622
Ambos sexos;18006 Albuñol;Total Europa;156
Ambos sexos;18006 Albuñol;Total Unión Europea (25);109
Ambos sexos;18006 Albuñol;Alemania;7
Ambos sexos;18006 Albuñol;Francia;4
Ambos sexos;18006 Albuñol;Reino Unido;33
Ambos sexos;18006 Albuñol;Resto de Europa;47
Ambos sexos;18006 Albuñol;Rumanía;17
Ambos sexos;18006 Albuñol;Total Africa;424
Ambos sexos;18006 Albuñol;Marruecos;423
Ambos sexos;18006 Albuñol;Total Am‚rica;41
Ambos sexos;18006 Albuñol;Colombia;1
Ambos sexos;18006 Albuñol;Ecuador;3
Ambos sexos;18006 Albuñol;Argentina;34
Ambos sexos;18006 Albuñol;Total Asia;1
Ambos sexos;18006 Albuñol;Oceanía;0
Ambos sexos;18007 Albuñuelas;Total Población;1.100
Ambos sexos;18007 Albuñuelas;Nacidos en el Extranjero;16
Ambos sexos;18007 Albuñuelas;Total Europa;16
Ambos sexos;18007 Albuñuelas;Total Unión Europea (25);16
Ambos sexos;18007 Albuñuelas;Alemania;0
Ambos sexos;18007 Albuñuelas;Francia;6
Ambos sexos;18007 Albuñuelas;Reino Unido;10
Ambos sexos;18007 Albuñuelas;Resto de Europa;0
Ambos sexos;18007 Albuñuelas;Rumanía;0
Ambos sexos;18007 Albuñuelas;Total Africa;0
Ambos sexos;18007 Albuñuelas;Marruecos;0
