Sexo;Municipios;País de nacimiento;Total
Ambos sexos;18001-Agrón;Total Población;324
Ambos sexos;18001-Agrón;Nacidos en España;294
Ambos sexos;18001-Agrón;Nacidos en el Extranjero;30
Ambos sexos;18001-Agrón;Total Europa;24
Ambos sexos;18001-Agrón;Total Unión Europea;23
Ambos sexos;18001-Agrón;Alemania;1
Ambos sexos;18001-Agrón;Bulgaria;2
Ambos sexos;18001-Agrón;Francia;0
Ambos sexos;18001-Agrón;Italia;0
Ambos sexos;18001-Agrón;Polonia;0
Ambos sexos;18001-Agrón;Portugal;0
Ambos sexos;18001-Agrón;Reino Unido;9
Ambos sexos;18001-Agrón;Rumanía;6
Ambos sexos;18001-Agrón;Total Europa No Comunitaria;1
Ambos sexos;18001-Agrón;Rusia;0
Ambos sexos;18001-Agrón;Ucrania;0
Ambos sexos;18001-Agrón;Total Africa;3
Ambos sexos;18001-Agrón;Argelia;0
Ambos sexos;18001-Agrón;Marruecos;3
Ambos sexos;18001-Agrón;Nigeria;0
Ambos sexos;18001-Agrón;Senegal;0
Ambos sexos;18001-Agrón;Total América;2
Ambos sexos;18001-Agrón;Argentina;0
Ambos sexos;18001-Agrón;Bolivia;0
Ambos sexos;18001-Agrón;Brasil;0
Ambos sexos;18001-Agrón;Colombia;2
Ambos sexos;18001-Agrón;Cuba;0
Ambos sexos;18001-Agrón;Chile;0
Ambos sexos;18001-Agrón;Ecuador;0
Ambos sexos;18001-Agrón;Paraguay;0
Ambos sexos;18001-Agrón;Perú;0
Ambos sexos;18001-Agrón;República Dominicana;0
Ambos sexos;18001-Agrón;Uruguay;0
Ambos sexos;18001-Agrón;Venezuela;0
Ambos sexos;18001-Agrón;Total Asia;1
Ambos sexos;18001-Agrón;China;1
Ambos sexos;18001-Agrón;Pakistán;0
Ambos sexos;18001-Agrón;Total Oceanía;0
Ambos sexos;18002-Alamedilla;Total Población;695
Ambos sexos;18002-Alamedilla;Nacidos en España;673
Ambos sexos;18002-Alamedilla;Nacidos en el Extranjero;22
Ambos sexos;18002-Alamedilla;Total Europa;22
Ambos sexos;18002-Alamedilla;Total Unión Europea;22
Ambos sexos;18002-Alamedilla;Alemania;3
Ambos sexos;18002-Alamedilla;Bulgaria;0
Ambos sexos;18002-Alamedilla;Francia;14
Ambos sexos;18002-Alamedilla;Italia;0
Ambos sexos;18002-Alamedilla;Polonia;0
Ambos sexos;18002-Alamedilla;Portugal;0
Ambos sexos;18002-Alamedilla;Reino Unido;0
Ambos sexos;18002-Alamedilla;Rumanía;2
Ambos sexos;18002-Alamedilla;Total Europa No Comunitaria;0
Ambos sexos;18002-Alamedilla;Rusia;0
Ambos sexos;18002-Alamedilla;Ucrania;0
Ambos sexos;18002-Alamedilla;Total Africa;0
Ambos sexos;18002-Alamedilla;Argelia;0
Ambos sexos;18002-Alamedilla;Marruecos;0
Ambos sexos;18002-Alamedilla;Nigeria;0
Ambos sexos;18002-Alamedilla;Senegal;0
Ambos sexos;18002-Alamedilla;Total América;0
Ambos sexos;18002-Alamedilla;Argentina;0
Ambos sexos;18002-Alamedilla;Bolivia;0
Ambos sexos;18002-Alamedilla;Brasil;0
Ambos sexos;18002-Alamedilla;Colombia;0
Ambos sexos;18002-Alamedilla;Cuba;0
Ambos sexos;18002-Alamedilla;Chile;0
Ambos sexos;18002-Alamedilla;Ecuador;0
Ambos sexos;18002-Alamedilla;Paraguay;0
Ambos sexos;18002-Alamedilla;Perú;0
Ambos sexos;18002-Alamedilla;República Dominicana;0
Ambos sexos;18002-Alamedilla;Uruguay;0
Ambos sexos;18002-Alamedilla;Venezuela;0
Ambos sexos;18002-Alamedilla;Total Asia;0
Ambos sexos;18002-Alamedilla;China;0
Ambos sexos;18002-Alamedilla;Pakistán;0
Ambos sexos;18002-Alamedilla;Total Oceanía;0
Ambos sexos;18003-Albolote;Total Población;18.082
Ambos sexos;18003-Albolote;Nacidos en España;17.034
Ambos sexos;18003-Albolote;Nacidos en el Extranjero;1.048
Ambos sexos;18003-Albolote;Total Europa;415
Ambos sexos;18003-Albolote;Total Unión Europea;355
Ambos sexos;18003-Albolote;Alemania;68
Ambos sexos;18003-Albolote;Bulgaria;11
Ambos sexos;18003-Albolote;Francia;123
Ambos sexos;18003-Albolote;Italia;16
Ambos sexos;18003-Albolote;Polonia;5
Ambos sexos;18003-Albolote;Portugal;5
Ambos sexos;18003-Albolote;Reino Unido;14
Ambos sexos;18003-Albolote;Rumanía;90
Ambos sexos;18003-Albolote;Total Europa No Comunitaria;60
Ambos sexos;18003-Albolote;Rusia;39
Ambos sexos;18003-Albolote;Ucrania;0
Ambos sexos;18003-Albolote;Total Africa;200
Ambos sexos;18003-Albolote;Argelia;12
Ambos sexos;18003-Albolote;Marruecos;164
Ambos sexos;18003-Albolote;Nigeria;0
Ambos sexos;18003-Albolote;Senegal;20
Ambos sexos;18003-Albolote;Total América;371
Ambos sexos;18003-Albolote;Argentina;100
Ambos sexos;18003-Albolote;Bolivia;30
Ambos sexos;18003-Albolote;Brasil;30
Ambos sexos;18003-Albolote;Colombia;37
Ambos sexos;18003-Albolote;Cuba;27
Ambos sexos;18003-Albolote;Chile;11
Ambos sexos;18003-Albolote;Ecuador;33
Ambos sexos;18003-Albolote;Paraguay;4
Ambos sexos;18003-Albolote;Perú;19
Ambos sexos;18003-Albolote;República Dominicana;9
Ambos sexos;18003-Albolote;Uruguay;18
Ambos sexos;18003-Albolote;Venezuela;24
Ambos sexos;18003-Albolote;Total Asia;61
Ambos sexos;18003-Albolote;China;38
Ambos sexos;18003-Albolote;Pakistán;2
Ambos sexos;18003-Albolote;Total Oceanía;1
Ambos sexos;18004-Albondón;Total Población;814
Ambos sexos;18004-Albondón;Nacidos en España;755
Ambos sexos;18004-Albondón;Nacidos en el Extranjero;59
Ambos sexos;18004-Albondón;Total Europa;48
Ambos sexos;18004-Albondón;Total Unión Europea;46
Ambos sexos;18004-Albondón;Alemania;0
Ambos sexos;18004-Albondón;Bulgaria;4
Ambos sexos;18004-Albondón;Francia;2
Ambos sexos;18004-Albondón;Italia;0
Ambos sexos;18004-Albondón;Polonia;0
Ambos sexos;18004-Albondón;Portugal;0
Ambos sexos;18004-Albondón;Reino Unido;34
Ambos sexos;18004-Albondón;Rumanía;4
Ambos sexos;18004-Albondón;Total Europa No Comunitaria;2
Ambos sexos;18004-Albondón;Rusia;2
Ambos sexos;18004-Albondón;Ucrania;0
Ambos sexos;18004-Albondón;Total Africa;3
Ambos sexos;18004-Albondón;Argelia;0
Ambos sexos;18004-Albondón;Marruecos;3
Ambos sexos;18004-Albondón;Nigeria;0
Ambos sexos;18004-Albondón;Senegal;0
Ambos sexos;18004-Albondón;Total América;8
Ambos sexos;18004-Albondón;Argentina;5
Ambos sexos;18004-Albondón;Bolivia;0
Ambos sexos;18004-Albondón;Brasil;0
Ambos sexos;18004-Albondón;Colombia;2
Ambos sexos;18004-Albondón;Cuba;0
Ambos sexos;18004-Albondón;Chile;1
Ambos sexos;18004-Albondón;Ecuador;0
Ambos sexos;18004-Albondón;Paraguay;0
Ambos sexos;18004-Albondón;Perú;0
Ambos sexos;18004-Albondón;República Dominicana;0
Ambos sexos;18004-Albondón;Uruguay;0
Ambos sexos;18004-Albondón;Venezuela;0
Ambos sexos;18004-Albondón;Total Asia;0
Ambos sexos;18004-Albondón;China;0
Ambos sexos;18004-Albondón;Pakistán;0
Ambos sexos;18004-Albondón;Total Oceanía;0
Ambos sexos;18005-Albuñán;Total Población;423
Ambos sexos;18005-Albuñán;Nacidos en España;413
Ambos sexos;18005-Albuñán;Nacidos en el Extranjero;10
Ambos sexos;18005-Albuñán;Total Europa;9
Ambos sexos;18005-Albuñán;Total Unión Europea;9
Ambos sexos;18005-Albuñán;Alemania;6
Ambos sexos;18005-Albuñán;Bulgaria;0
Ambos sexos;18005-Albuñán;Francia;2
Ambos sexos;18005-Albuñán;Italia;0
Ambos sexos;18005-Albuñán;Polonia;0
Ambos sexos;18005-Albuñán;Portugal;0
Ambos sexos;18005-Albuñán;Reino Unido;1
Ambos sexos;18005-Albuñán;Rumanía;0
Ambos sexos;18005-Albuñán;Total Europa No Comunitaria;0
