Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;21001 Alájar;Africa;..
Ambos sexos;21001 Alájar;América;1
Ambos sexos;21001 Alájar;Asia;..
Ambos sexos;21001 Alájar;Europa;32
Ambos sexos;21001 Alájar;Resto;..
Ambos sexos;21002 Aljaraque;Africa;19
Ambos sexos;21002 Aljaraque;América;20
Ambos sexos;21002 Aljaraque;Asia;..
Ambos sexos;21002 Aljaraque;Europa;91
Ambos sexos;21002 Aljaraque;Resto;..
Ambos sexos;21003 Almendro (El);Africa;..
Ambos sexos;21003 Almendro (El);América;..
Ambos sexos;21003 Almendro (El);Asia;..
Ambos sexos;21003 Almendro (El);Europa;16
Ambos sexos;21003 Almendro (El);Resto;..
Ambos sexos;21004 Almonaster la Real;Africa;1
Ambos sexos;21004 Almonaster la Real;América;..
Ambos sexos;21004 Almonaster la Real;Asia;..
Ambos sexos;21004 Almonaster la Real;Europa;16
Ambos sexos;21004 Almonaster la Real;Resto;2
Ambos sexos;21005 Almonte;Africa;41
Ambos sexos;21005 Almonte;América;8
Ambos sexos;21005 Almonte;Asia;2
Ambos sexos;21005 Almonte;Europa;25
Ambos sexos;21005 Almonte;Resto;..
Ambos sexos;21006 Alosno;Africa;1
Ambos sexos;21006 Alosno;América;..
Ambos sexos;21006 Alosno;Asia;..
Ambos sexos;21006 Alosno;Europa;5
Ambos sexos;21006 Alosno;Resto;..
Ambos sexos;21007 Aracena;Africa;3
Ambos sexos;21007 Aracena;América;4
Ambos sexos;21007 Aracena;Asia;..
Ambos sexos;21007 Aracena;Europa;14
Ambos sexos;21007 Aracena;Resto;..
Ambos sexos;21008 Aroche;Africa;..
Ambos sexos;21008 Aroche;América;..
Ambos sexos;21008 Aroche;Asia;..
Ambos sexos;21008 Aroche;Europa;9
Ambos sexos;21008 Aroche;Resto;..
Ambos sexos;21009 Arroyomolinos de León;Africa;..
Ambos sexos;21009 Arroyomolinos de León;América;..
Ambos sexos;21009 Arroyomolinos de León;Asia;..
Ambos sexos;21009 Arroyomolinos de León;Europa;..
Ambos sexos;21009 Arroyomolinos de León;Resto;..
Ambos sexos;21010 Ayamonte;Africa;25
Ambos sexos;21010 Ayamonte;América;4
Ambos sexos;21010 Ayamonte;Asia;3
Ambos sexos;21010 Ayamonte;Europa;281
Ambos sexos;21010 Ayamonte;Resto;..
Ambos sexos;21011 Beas;Africa;4
Ambos sexos;21011 Beas;América;6
Ambos sexos;21011 Beas;Asia;..
Ambos sexos;21011 Beas;Europa;8
Ambos sexos;21011 Beas;Resto;..
Ambos sexos;21012 Berrocal;Africa;..
Ambos sexos;21012 Berrocal;América;..
Ambos sexos;21012 Berrocal;Asia;..
Ambos sexos;21012 Berrocal;Europa;1
Ambos sexos;21012 Berrocal;Resto;..
Ambos sexos;21013 Bollullos Par del Condado;Africa;21
Ambos sexos;21013 Bollullos Par del Condado;América;2
Ambos sexos;21013 Bollullos Par del Condado;Asia;..
Ambos sexos;21013 Bollullos Par del Condado;Europa;26
Ambos sexos;21013 Bollullos Par del Condado;Resto;..
Ambos sexos;21014 Bonares;Africa;90
Ambos sexos;21014 Bonares;América;2
Ambos sexos;21014 Bonares;Asia;..
Ambos sexos;21014 Bonares;Europa;19
Ambos sexos;21014 Bonares;Resto;..
Ambos sexos;21015 Cabezas Rubias;Africa;..
Ambos sexos;21015 Cabezas Rubias;América;2
Ambos sexos;21015 Cabezas Rubias;Asia;..
Ambos sexos;21015 Cabezas Rubias;Europa;8
Ambos sexos;21015 Cabezas Rubias;Resto;..
Ambos sexos;21016 Cala;Africa;..
Ambos sexos;21016 Cala;América;..
Ambos sexos;21016 Cala;Asia;..
Ambos sexos;21016 Cala;Europa;2
Ambos sexos;21016 Cala;Resto;..
Ambos sexos;21017 Calañas;Africa;..
Ambos sexos;21017 Calañas;América;1
Ambos sexos;21017 Calañas;Asia;..
Ambos sexos;21017 Calañas;Europa;24
Ambos sexos;21017 Calañas;Resto;..
Ambos sexos;21018 Campillo (El);Africa;..
Ambos sexos;21018 Campillo (El);América;..
Ambos sexos;21018 Campillo (El);Asia;..
Ambos sexos;21018 Campillo (El);Europa;10
Ambos sexos;21018 Campillo (El);Resto;..
Ambos sexos;21019 Campofrío;Africa;..
Ambos sexos;21019 Campofrío;América;..
Ambos sexos;21019 Campofrío;Asia;..
Ambos sexos;21019 Campofrío;Europa;4
Ambos sexos;21019 Campofrío;Resto;..
Ambos sexos;21020 Cañaveral de León;Africa;..
Ambos sexos;21020 Cañaveral de León;América;..
Ambos sexos;21020 Cañaveral de León;Asia;..
Ambos sexos;21020 Cañaveral de León;Europa;..
Ambos sexos;21020 Cañaveral de León;Resto;..
Ambos sexos;21021 Cartaya;Africa;99
Ambos sexos;21021 Cartaya;América;15
Ambos sexos;21021 Cartaya;Asia;4
Ambos sexos;21021 Cartaya;Europa;155
Ambos sexos;21021 Cartaya;Resto;..
Ambos sexos;21022 Castaño del Robledo;Africa;..
Ambos sexos;21022 Castaño del Robledo;América;..
Ambos sexos;21022 Castaño del Robledo;Asia;..
Ambos sexos;21022 Castaño del Robledo;Europa;3
Ambos sexos;21022 Castaño del Robledo;Resto;..
Ambos sexos;21023 Cerro de Andévalo (El);Africa;..
Ambos sexos;21023 Cerro de Andévalo (El);América;..
Ambos sexos;21023 Cerro de Andévalo (El);Asia;..
Ambos sexos;21023 Cerro de Andévalo (El);Europa;3
Ambos sexos;21023 Cerro de Andévalo (El);Resto;..
Ambos sexos;21024 Corteconcepción;Africa;..
Ambos sexos;21024 Corteconcepción;América;..
Ambos sexos;21024 Corteconcepción;Asia;1
Ambos sexos;21024 Corteconcepción;Europa;3
Ambos sexos;21024 Corteconcepción;Resto;..
Ambos sexos;21025 Cortegana;Africa;5
Ambos sexos;21025 Cortegana;América;7
Ambos sexos;21025 Cortegana;Asia;..
Ambos sexos;21025 Cortegana;Europa;36
Ambos sexos;21025 Cortegana;Resto;..
Ambos sexos;21026 Cortelazor;Africa;..
Ambos sexos;21026 Cortelazor;América;..
Ambos sexos;21026 Cortelazor;Asia;..
Ambos sexos;21026 Cortelazor;Europa;..
Ambos sexos;21026 Cortelazor;Resto;..
Ambos sexos;21027 Cumbres de Enmedio;Africa;..
Ambos sexos;21027 Cumbres de Enmedio;América;..
Ambos sexos;21027 Cumbres de Enmedio;Asia;..
Ambos sexos;21027 Cumbres de Enmedio;Europa;..
Ambos sexos;21027 Cumbres de Enmedio;Resto;..
Ambos sexos;21028 Cumbres de San Bartolomé;Africa;..
Ambos sexos;21028 Cumbres de San Bartolomé;América;..
