Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;21001-Alájar;Total Población;821
Ambos sexos;21001-Alájar;Nacidos en el Extranjero;64
Ambos sexos;21001-Alájar;Total Europa;53
Ambos sexos;21001-Alájar;Total Unión Europea (25);52
Ambos sexos;21001-Alájar;Alemania;19
Ambos sexos;21001-Alájar;Francia;2
Ambos sexos;21001-Alájar;Italia;4
Ambos sexos;21001-Alájar;Reino Unido;9
Ambos sexos;21001-Alájar;Resto de Europa;1
Ambos sexos;21001-Alájar;Bulgaria;0
Ambos sexos;21001-Alájar;Rumanía;0
Ambos sexos;21001-Alájar;Total Africa;1
Ambos sexos;21001-Alájar;Marruecos;0
Ambos sexos;21001-Alájar;Total América;9
Ambos sexos;21001-Alájar;Argentina;2
Ambos sexos;21001-Alájar;Bolivia;1
Ambos sexos;21001-Alájar;Colombia;0
Ambos sexos;21001-Alájar;Ecuador;0
Ambos sexos;21001-Alájar;Perú;0
Ambos sexos;21001-Alájar;Total Asia;1
Ambos sexos;21001-Alájar;China;0
Ambos sexos;21001-Alájar;Oceanía;0
Ambos sexos;21002-Aljaraque;Total Población;15.617
Ambos sexos;21002-Aljaraque;Nacidos en el Extranjero;745
Ambos sexos;21002-Aljaraque;Total Europa;400
Ambos sexos;21002-Aljaraque;Total Unión Europea (25);333
Ambos sexos;21002-Aljaraque;Alemania;109
Ambos sexos;21002-Aljaraque;Francia;46
Ambos sexos;21002-Aljaraque;Italia;8
Ambos sexos;21002-Aljaraque;Reino Unido;31
Ambos sexos;21002-Aljaraque;Resto de Europa;67
Ambos sexos;21002-Aljaraque;Bulgaria;1
Ambos sexos;21002-Aljaraque;Rumanía;34
Ambos sexos;21002-Aljaraque;Total Africa;143
Ambos sexos;21002-Aljaraque;Marruecos;60
Ambos sexos;21002-Aljaraque;Total América;189
Ambos sexos;21002-Aljaraque;Argentina;53
Ambos sexos;21002-Aljaraque;Bolivia;3
Ambos sexos;21002-Aljaraque;Colombia;40
Ambos sexos;21002-Aljaraque;Ecuador;8
Ambos sexos;21002-Aljaraque;Perú;13
Ambos sexos;21002-Aljaraque;Total Asia;12
Ambos sexos;21002-Aljaraque;China;5
Ambos sexos;21002-Aljaraque;Oceanía;1
Ambos sexos;21003-Almendro (El);Total Población;847
Ambos sexos;21003-Almendro (El);Nacidos en el Extranjero;46
Ambos sexos;21003-Almendro (El);Total Europa;41
Ambos sexos;21003-Almendro (El);Total Unión Europea (25);35
Ambos sexos;21003-Almendro (El);Alemania;11
Ambos sexos;21003-Almendro (El);Francia;0
Ambos sexos;21003-Almendro (El);Italia;0
Ambos sexos;21003-Almendro (El);Reino Unido;0
Ambos sexos;21003-Almendro (El);Resto de Europa;6
Ambos sexos;21003-Almendro (El);Bulgaria;0
Ambos sexos;21003-Almendro (El);Rumanía;4
Ambos sexos;21003-Almendro (El);Total Africa;1
Ambos sexos;21003-Almendro (El);Marruecos;0
Ambos sexos;21003-Almendro (El);Total América;4
Ambos sexos;21003-Almendro (El);Argentina;0
Ambos sexos;21003-Almendro (El);Bolivia;2
Ambos sexos;21003-Almendro (El);Colombia;0
Ambos sexos;21003-Almendro (El);Ecuador;0
Ambos sexos;21003-Almendro (El);Perú;0
Ambos sexos;21003-Almendro (El);Total Asia;0
Ambos sexos;21003-Almendro (El);China;0
Ambos sexos;21003-Almendro (El);Oceanía;0
Ambos sexos;21004-Almonaster la Real;Total Población;1.860
Ambos sexos;21004-Almonaster la Real;Nacidos en el Extranjero;42
Ambos sexos;21004-Almonaster la Real;Total Europa;29
Ambos sexos;21004-Almonaster la Real;Total Unión Europea (25);17
Ambos sexos;21004-Almonaster la Real;Alemania;2
Ambos sexos;21004-Almonaster la Real;Francia;3
Ambos sexos;21004-Almonaster la Real;Italia;0
Ambos sexos;21004-Almonaster la Real;Reino Unido;1
Ambos sexos;21004-Almonaster la Real;Resto de Europa;12
Ambos sexos;21004-Almonaster la Real;Bulgaria;0
Ambos sexos;21004-Almonaster la Real;Rumanía;6
Ambos sexos;21004-Almonaster la Real;Total Africa;5
Ambos sexos;21004-Almonaster la Real;Marruecos;3
Ambos sexos;21004-Almonaster la Real;Total América;6
Ambos sexos;21004-Almonaster la Real;Argentina;1
Ambos sexos;21004-Almonaster la Real;Bolivia;0
Ambos sexos;21004-Almonaster la Real;Colombia;2
Ambos sexos;21004-Almonaster la Real;Ecuador;0
Ambos sexos;21004-Almonaster la Real;Perú;0
Ambos sexos;21004-Almonaster la Real;Total Asia;1
Ambos sexos;21004-Almonaster la Real;China;1
Ambos sexos;21004-Almonaster la Real;Oceanía;1
Ambos sexos;21005-Almonte;Total Población;20.224
Ambos sexos;21005-Almonte;Nacidos en el Extranjero;1.930
Ambos sexos;21005-Almonte;Total Europa;1.336
Ambos sexos;21005-Almonte;Total Unión Europea (25);420
Ambos sexos;21005-Almonte;Alemania;150
Ambos sexos;21005-Almonte;Francia;42
Ambos sexos;21005-Almonte;Italia;9
Ambos sexos;21005-Almonte;Reino Unido;8
Ambos sexos;21005-Almonte;Resto de Europa;916
Ambos sexos;21005-Almonte;Bulgaria;108
Ambos sexos;21005-Almonte;Rumanía;761
Ambos sexos;21005-Almonte;Total Africa;251
Ambos sexos;21005-Almonte;Marruecos;236
Ambos sexos;21005-Almonte;Total América;338
Ambos sexos;21005-Almonte;Argentina;10
Ambos sexos;21005-Almonte;Bolivia;61
Ambos sexos;21005-Almonte;Colombia;36
Ambos sexos;21005-Almonte;Ecuador;165
Ambos sexos;21005-Almonte;Perú;5
Ambos sexos;21005-Almonte;Total Asia;5
Ambos sexos;21005-Almonte;China;2
Ambos sexos;21005-Almonte;Oceanía;0
Ambos sexos;21006-Alosno;Total Población;4.478
Ambos sexos;21006-Alosno;Nacidos en el Extranjero;149
Ambos sexos;21006-Alosno;Total Europa;106
Ambos sexos;21006-Alosno;Total Unión Europea (25);81
Ambos sexos;21006-Alosno;Alemania;36
Ambos sexos;21006-Alosno;Francia;9
Ambos sexos;21006-Alosno;Italia;0
Ambos sexos;21006-Alosno;Reino Unido;1
Ambos sexos;21006-Alosno;Resto de Europa;25
Ambos sexos;21006-Alosno;Bulgaria;4
Ambos sexos;21006-Alosno;Rumanía;14
Ambos sexos;21006-Alosno;Total Africa;37
Ambos sexos;21006-Alosno;Marruecos;37
Ambos sexos;21006-Alosno;Total América;6
Ambos sexos;21006-Alosno;Argentina;0
Ambos sexos;21006-Alosno;Bolivia;0
Ambos sexos;21006-Alosno;Colombia;2
Ambos sexos;21006-Alosno;Ecuador;1
Ambos sexos;21006-Alosno;Perú;0
Ambos sexos;21006-Alosno;Total Asia;0
Ambos sexos;21006-Alosno;China;0
Ambos sexos;21006-Alosno;Oceanía;0
Ambos sexos;21007-Aracena;Total Población;7.228
Ambos sexos;21007-Aracena;Nacidos en el Extranjero;216
Ambos sexos;21007-Aracena;Total Europa;136
Ambos sexos;21007-Aracena;Total Unión Europea (25);118
Ambos sexos;21007-Aracena;Alemania;16
Ambos sexos;21007-Aracena;Francia;10
Ambos sexos;21007-Aracena;Italia;1
Ambos sexos;21007-Aracena;Reino Unido;31
Ambos sexos;21007-Aracena;Resto de Europa;18
Ambos sexos;21007-Aracena;Bulgaria;0
Ambos sexos;21007-Aracena;Rumanía;14
Ambos sexos;21007-Aracena;Total Africa;19
Ambos sexos;21007-Aracena;Marruecos;14
Ambos sexos;21007-Aracena;Total América;59
Ambos sexos;21007-Aracena;Argentina;2
Ambos sexos;21007-Aracena;Bolivia;27
Ambos sexos;21007-Aracena;Colombia;7
Ambos sexos;21007-Aracena;Ecuador;5
Ambos sexos;21007-Aracena;Perú;2
Ambos sexos;21007-Aracena;Total Asia;2
Ambos sexos;21007-Aracena;China;0
Ambos sexos;21007-Aracena;Oceanía;0
Ambos sexos;21008-Aroche;Total Población;3.211
Ambos sexos;21008-Aroche;Nacidos en el Extranjero;13
Ambos sexos;21008-Aroche;Total Europa;12
Ambos sexos;21008-Aroche;Total Unión Europea (25);12
Ambos sexos;21008-Aroche;Alemania;2
Ambos sexos;21008-Aroche;Francia;0
Ambos sexos;21008-Aroche;Italia;0
Ambos sexos;21008-Aroche;Reino Unido;1
Ambos sexos;21008-Aroche;Resto de Europa;0
Ambos sexos;21008-Aroche;Bulgaria;0
Ambos sexos;21008-Aroche;Rumanía;0
Ambos sexos;21008-Aroche;Total Africa;1
Ambos sexos;21008-Aroche;Marruecos;1
Ambos sexos;21008-Aroche;Total América;0
Ambos sexos;21008-Aroche;Argentina;0
Ambos sexos;21008-Aroche;Bolivia;0
Ambos sexos;21008-Aroche;Colombia;0
Ambos sexos;21008-Aroche;Ecuador;0
Ambos sexos;21008-Aroche;Perú;0
Ambos sexos;21008-Aroche;Total Asia;0
Ambos sexos;21008-Aroche;China;0
Ambos sexos;21008-Aroche;Oceanía;0
Ambos sexos;21009-Arroyomolinos de León;Total Población;1.061
Ambos sexos;21009-Arroyomolinos de León;Nacidos en el Extranjero;4
Ambos sexos;21009-Arroyomolinos de León;Total Europa;3
Ambos sexos;21009-Arroyomolinos de León;Total Unión Europea (25);3
Ambos sexos;21009-Arroyomolinos de León;Alemania;3
Ambos sexos;21009-Arroyomolinos de León;Francia;0
Ambos sexos;21009-Arroyomolinos de León;Italia;0
Ambos sexos;21009-Arroyomolinos de León;Reino Unido;0
Ambos sexos;21009-Arroyomolinos de León;Resto de Europa;0
Ambos sexos;21009-Arroyomolinos de León;Bulgaria;0
Ambos sexos;21009-Arroyomolinos de León;Rumanía;0
Ambos sexos;21009-Arroyomolinos de León;Total Africa;1
Ambos sexos;21009-Arroyomolinos de León;Marruecos;1
Ambos sexos;21009-Arroyomolinos de León;Total América;0
Ambos sexos;21009-Arroyomolinos de León;Argentina;0
Ambos sexos;21009-Arroyomolinos de León;Bolivia;0
Ambos sexos;21009-Arroyomolinos de León;Colombia;0
Ambos sexos;21009-Arroyomolinos de León;Ecuador;0
Ambos sexos;21009-Arroyomolinos de León;Perú;0
Ambos sexos;21009-Arroyomolinos de León;Total Asia;0
Ambos sexos;21009-Arroyomolinos de León;China;0
Ambos sexos;21009-Arroyomolinos de León;Oceanía;0
Ambos sexos;21010-Ayamonte;Total Población;18.636
Ambos sexos;21010-Ayamonte;Nacidos en el Extranjero;1.969
Ambos sexos;21010-Ayamonte;Total Europa;1.395
Ambos sexos;21010-Ayamonte;Total Unión Europea (25);1.171
Ambos sexos;21010-Ayamonte;Alemania;157
Ambos sexos;21010-Ayamonte;Francia;34
Ambos sexos;21010-Ayamonte;Italia;26
Ambos sexos;21010-Ayamonte;Reino Unido;165
Ambos sexos;21010-Ayamonte;Resto de Europa;224
Ambos sexos;21010-Ayamonte;Bulgaria;25
Ambos sexos;21010-Ayamonte;Rumanía;96
Ambos sexos;21010-Ayamonte;Total Africa;215
Ambos sexos;21010-Ayamonte;Marruecos;153
Ambos sexos;21010-Ayamonte;Total América;334
Ambos sexos;21010-Ayamonte;Argentina;70
Ambos sexos;21010-Ayamonte;Bolivia;27
Ambos sexos;21010-Ayamonte;Colombia;56
Ambos sexos;21010-Ayamonte;Ecuador;39
Ambos sexos;21010-Ayamonte;Perú;6
Ambos sexos;21010-Ayamonte;Total Asia;23
Ambos sexos;21010-Ayamonte;China;14
Ambos sexos;21010-Ayamonte;Oceanía;2
Ambos sexos;21011-Beas;Total Población;4.210
Ambos sexos;21011-Beas;Nacidos en el Extranjero;119
Ambos sexos;21011-Beas;Total Europa;55
Ambos sexos;21011-Beas;Total Unión Europea (25);25
Ambos sexos;21011-Beas;Alemania;7
Ambos sexos;21011-Beas;Francia;1
Ambos sexos;21011-Beas;Italia;0
Ambos sexos;21011-Beas;Reino Unido;9
Ambos sexos;21011-Beas;Resto de Europa;30
Ambos sexos;21011-Beas;Bulgaria;7
Ambos sexos;21011-Beas;Rumanía;17
Ambos sexos;21011-Beas;Total Africa;30
Ambos sexos;21011-Beas;Marruecos;30
Ambos sexos;21011-Beas;Total América;34
Ambos sexos;21011-Beas;Argentina;0
Ambos sexos;21011-Beas;Bolivia;2
Ambos sexos;21011-Beas;Colombia;3
Ambos sexos;21011-Beas;Ecuador;14
Ambos sexos;21011-Beas;Perú;1
Ambos sexos;21011-Beas;Total Asia;0
Ambos sexos;21011-Beas;China;0
Ambos sexos;21011-Beas;Oceanía;0
Ambos sexos;21012-Berrocal;Total Población;377
Ambos sexos;21012-Berrocal;Nacidos en el Extranjero;1
Ambos sexos;21012-Berrocal;Total Europa;1
Ambos sexos;21012-Berrocal;Total Unión Europea (25);1
Ambos sexos;21012-Berrocal;Alemania;0
Ambos sexos;21012-Berrocal;Francia;1
Ambos sexos;21012-Berrocal;Italia;0
Ambos sexos;21012-Berrocal;Reino Unido;0
Ambos sexos;21012-Berrocal;Resto de Europa;0
Ambos sexos;21012-Berrocal;Bulgaria;0
Ambos sexos;21012-Berrocal;Rumanía;0
Ambos sexos;21012-Berrocal;Total Africa;0
Ambos sexos;21012-Berrocal;Marruecos;0
Ambos sexos;21012-Berrocal;Total América;0
Ambos sexos;21012-Berrocal;Argentina;0
Ambos sexos;21012-Berrocal;Bolivia;0
Ambos sexos;21012-Berrocal;Colombia;0
Ambos sexos;21012-Berrocal;Ecuador;0
Ambos sexos;21012-Berrocal;Perú;0
Ambos sexos;21012-Berrocal;Total Asia;0
Ambos sexos;21012-Berrocal;China;0
Ambos sexos;21012-Berrocal;Oceanía;0
Ambos sexos;21013-Bollullos Par del Condado;Total Población;13.500
Ambos sexos;21013-Bollullos Par del Condado;Nacidos en el Extranjero;554
Ambos sexos;21013-Bollullos Par del Condado;Total Europa;323
Ambos sexos;21013-Bollullos Par del Condado;Total Unión Europea (25);114
Ambos sexos;21013-Bollullos Par del Condado;Alemania;35
Ambos sexos;21013-Bollullos Par del Condado;Francia;12
Ambos sexos;21013-Bollullos Par del Condado;Italia;1
Ambos sexos;21013-Bollullos Par del Condado;Reino Unido;2
Ambos sexos;21013-Bollullos Par del Condado;Resto de Europa;209
Ambos sexos;21013-Bollullos Par del Condado;Bulgaria;38
Ambos sexos;21013-Bollullos Par del Condado;Rumanía;164
Ambos sexos;21013-Bollullos Par del Condado;Total Africa;155
Ambos sexos;21013-Bollullos Par del Condado;Marruecos;151
Ambos sexos;21013-Bollullos Par del Condado;Total América;71
Ambos sexos;21013-Bollullos Par del Condado;Argentina;12
Ambos sexos;21013-Bollullos Par del Condado;Bolivia;2
Ambos sexos;21013-Bollullos Par del Condado;Colombia;23
Ambos sexos;21013-Bollullos Par del Condado;Ecuador;24
Ambos sexos;21013-Bollullos Par del Condado;Perú;0
Ambos sexos;21013-Bollullos Par del Condado;Total Asia;5
Ambos sexos;21013-Bollullos Par del Condado;China;3
Ambos sexos;21013-Bollullos Par del Condado;Oceanía;0
Ambos sexos;21014-Bonares;Total Población;5.493
Ambos sexos;21014-Bonares;Nacidos en el Extranjero;423
Ambos sexos;21014-Bonares;Total Europa;175
Ambos sexos;21014-Bonares;Total Unión Europea (25);77
Ambos sexos;21014-Bonares;Alemania;16
Ambos sexos;21014-Bonares;Francia;2
Ambos sexos;21014-Bonares;Italia;0
Ambos sexos;21014-Bonares;Reino Unido;19
Ambos sexos;21014-Bonares;Resto de Europa;98
Ambos sexos;21014-Bonares;Bulgaria;2
Ambos sexos;21014-Bonares;Rumanía;54
Ambos sexos;21014-Bonares;Total Africa;221
Ambos sexos;21014-Bonares;Marruecos;151
Ambos sexos;21014-Bonares;Total América;14
Ambos sexos;21014-Bonares;Argentina;0
Ambos sexos;21014-Bonares;Bolivia;2
Ambos sexos;21014-Bonares;Colombia;4
Ambos sexos;21014-Bonares;Ecuador;2
Ambos sexos;21014-Bonares;Perú;0
Ambos sexos;21014-Bonares;Total Asia;13
Ambos sexos;21014-Bonares;China;1
Ambos sexos;21014-Bonares;Oceanía;0
Ambos sexos;21015-Cabezas Rubias;Total Población;858
Ambos sexos;21015-Cabezas Rubias;Nacidos en el Extranjero;16
Ambos sexos;21015-Cabezas Rubias;Total Europa;11
Ambos sexos;21015-Cabezas Rubias;Total Unión Europea (25);9
Ambos sexos;21015-Cabezas Rubias;Alemania;0
Ambos sexos;21015-Cabezas Rubias;Francia;0
Ambos sexos;21015-Cabezas Rubias;Italia;0
Ambos sexos;21015-Cabezas Rubias;Reino Unido;0
Ambos sexos;21015-Cabezas Rubias;Resto de Europa;2
Ambos sexos;21015-Cabezas Rubias;Bulgaria;0
Ambos sexos;21015-Cabezas Rubias;Rumanía;1
Ambos sexos;21015-Cabezas Rubias;Total Africa;0
Ambos sexos;21015-Cabezas Rubias;Marruecos;0
Ambos sexos;21015-Cabezas Rubias;Total América;5
Ambos sexos;21015-Cabezas Rubias;Argentina;0
Ambos sexos;21015-Cabezas Rubias;Bolivia;0
Ambos sexos;21015-Cabezas Rubias;Colombia;1
Ambos sexos;21015-Cabezas Rubias;Ecuador;0
Ambos sexos;21015-Cabezas Rubias;Perú;0
Ambos sexos;21015-Cabezas Rubias;Total Asia;0
Ambos sexos;21015-Cabezas Rubias;China;0
Ambos sexos;21015-Cabezas Rubias;Oceanía;0
Ambos sexos;21016-Cala;Total Población;1.308
Ambos sexos;21016-Cala;Nacidos en el Extranjero;15
Ambos sexos;21016-Cala;Total Europa;10
Ambos sexos;21016-Cala;Total Unión Europea (25);3
Ambos sexos;21016-Cala;Alemania;0
Ambos sexos;21016-Cala;Francia;2
Ambos sexos;21016-Cala;Italia;0
Ambos sexos;21016-Cala;Reino Unido;0
Ambos sexos;21016-Cala;Resto de Europa;7
Ambos sexos;21016-Cala;Bulgaria;2
Ambos sexos;21016-Cala;Rumanía;4
Ambos sexos;21016-Cala;Total Africa;2
Ambos sexos;21016-Cala;Marruecos;2
Ambos sexos;21016-Cala;Total América;3
Ambos sexos;21016-Cala;Argentina;0
Ambos sexos;21016-Cala;Bolivia;0
Ambos sexos;21016-Cala;Colombia;0
Ambos sexos;21016-Cala;Ecuador;1
Ambos sexos;21016-Cala;Perú;0
Ambos sexos;21016-Cala;Total Asia;0
Ambos sexos;21016-Cala;China;0
Ambos sexos;21016-Cala;Oceanía;0
Ambos sexos;21017-Calañas;Total Población;4.400
Ambos sexos;21017-Calañas;Nacidos en el Extranjero;58
Ambos sexos;21017-Calañas;Total Europa;43
Ambos sexos;21017-Calañas;Total Unión Europea (25);28
Ambos sexos;21017-Calañas;Alemania;9
Ambos sexos;21017-Calañas;Francia;11
Ambos sexos;21017-Calañas;Italia;0
Ambos sexos;21017-Calañas;Reino Unido;1
Ambos sexos;21017-Calañas;Resto de Europa;15
Ambos sexos;21017-Calañas;Bulgaria;1
Ambos sexos;21017-Calañas;Rumanía;11
Ambos sexos;21017-Calañas;Total Africa;6
Ambos sexos;21017-Calañas;Marruecos;3
Ambos sexos;21017-Calañas;Total América;9
Ambos sexos;21017-Calañas;Argentina;2
Ambos sexos;21017-Calañas;Bolivia;4
Ambos sexos;21017-Calañas;Colombia;2
Ambos sexos;21017-Calañas;Ecuador;0
Ambos sexos;21017-Calañas;Perú;0
Ambos sexos;21017-Calañas;Total Asia;0
Ambos sexos;21017-Calañas;China;0
Ambos sexos;21017-Calañas;Oceanía;0
Ambos sexos;21018-Campillo (El);Total Población;2.276
Ambos sexos;21018-Campillo (El);Nacidos en el Extranjero;61
Ambos sexos;21018-Campillo (El);Total Europa;58
Ambos sexos;21018-Campillo (El);Total Unión Europea (25);28
Ambos sexos;21018-Campillo (El);Alemania;8
Ambos sexos;21018-Campillo (El);Francia;9
Ambos sexos;21018-Campillo (El);Italia;0
Ambos sexos;21018-Campillo (El);Reino Unido;1
Ambos sexos;21018-Campillo (El);Resto de Europa;30
Ambos sexos;21018-Campillo (El);Bulgaria;29
Ambos sexos;21018-Campillo (El);Rumanía;0
Ambos sexos;21018-Campillo (El);Total Africa;1
Ambos sexos;21018-Campillo (El);Marruecos;0
Ambos sexos;21018-Campillo (El);Total América;2
Ambos sexos;21018-Campillo (El);Argentina;1
Ambos sexos;21018-Campillo (El);Bolivia;1
Ambos sexos;21018-Campillo (El);Colombia;0
Ambos sexos;21018-Campillo (El);Ecuador;0
Ambos sexos;21018-Campillo (El);Perú;0
Ambos sexos;21018-Campillo (El);Total Asia;0
Ambos sexos;21018-Campillo (El);China;0
Ambos sexos;21018-Campillo (El);Oceanía;0
Ambos sexos;21019-Campofrío;Total Población;772
Ambos sexos;21019-Campofrío;Nacidos en el Extranjero;5
Ambos sexos;21019-Campofrío;Total Europa;5
Ambos sexos;21019-Campofrío;Total Unión Europea (25);5
Ambos sexos;21019-Campofrío;Alemania;1
Ambos sexos;21019-Campofrío;Francia;0
Ambos sexos;21019-Campofrío;Italia;1
Ambos sexos;21019-Campofrío;Reino Unido;0
Ambos sexos;21019-Campofrío;Resto de Europa;0
Ambos sexos;21019-Campofrío;Bulgaria;0
Ambos sexos;21019-Campofrío;Rumanía;0
Ambos sexos;21019-Campofrío;Total Africa;0
Ambos sexos;21019-Campofrío;Marruecos;0
Ambos sexos;21019-Campofrío;Total América;0
Ambos sexos;21019-Campofrío;Argentina;0
Ambos sexos;21019-Campofrío;Bolivia;0
Ambos sexos;21019-Campofrío;Colombia;0
Ambos sexos;21019-Campofrío;Ecuador;0
Ambos sexos;21019-Campofrío;Perú;0
Ambos sexos;21019-Campofrío;Total Asia;0
Ambos sexos;21019-Campofrío;China;0
Ambos sexos;21019-Campofrío;Oceanía;0
Ambos sexos;21020-Cañaveral de León;Total Población;412
Ambos sexos;21020-Cañaveral de León;Nacidos en el Extranjero;0
Ambos sexos;21020-Cañaveral de León;Total Europa;0
Ambos sexos;21020-Cañaveral de León;Total Unión Europea (25);0
Ambos sexos;21020-Cañaveral de León;Alemania;0
Ambos sexos;21020-Cañaveral de León;Francia;0
Ambos sexos;21020-Cañaveral de León;Italia;0
Ambos sexos;21020-Cañaveral de León;Reino Unido;0
Ambos sexos;21020-Cañaveral de León;Resto de Europa;0
Ambos sexos;21020-Cañaveral de León;Bulgaria;0
Ambos sexos;21020-Cañaveral de León;Rumanía;0
Ambos sexos;21020-Cañaveral de León;Total Africa;0
Ambos sexos;21020-Cañaveral de León;Marruecos;0
Ambos sexos;21020-Cañaveral de León;Total América;0
Ambos sexos;21020-Cañaveral de León;Argentina;0
Ambos sexos;21020-Cañaveral de León;Bolivia;0
Ambos sexos;21020-Cañaveral de León;Colombia;0
Ambos sexos;21020-Cañaveral de León;Ecuador;0
Ambos sexos;21020-Cañaveral de León;Perú;0
Ambos sexos;21020-Cañaveral de León;Total Asia;0
Ambos sexos;21020-Cañaveral de León;China;0
Ambos sexos;21020-Cañaveral de León;Oceanía;0
Ambos sexos;21021-Cartaya;Total Población;16.042
Ambos sexos;21021-Cartaya;Nacidos en el Extranjero;2.100
Ambos sexos;21021-Cartaya;Total Europa;995
Ambos sexos;21021-Cartaya;Total Unión Europea (25);507
Ambos sexos;21021-Cartaya;Alemania;74
Ambos sexos;21021-Cartaya;Francia;28
Ambos sexos;21021-Cartaya;Italia;6
Ambos sexos;21021-Cartaya;Reino Unido;48
Ambos sexos;21021-Cartaya;Resto de Europa;488
Ambos sexos;21021-Cartaya;Bulgaria;12
Ambos sexos;21021-Cartaya;Rumanía;364
Ambos sexos;21021-Cartaya;Total Africa;800
Ambos sexos;21021-Cartaya;Marruecos;623
Ambos sexos;21021-Cartaya;Total América;290
Ambos sexos;21021-Cartaya;Argentina;26
Ambos sexos;21021-Cartaya;Bolivia;43
Ambos sexos;21021-Cartaya;Colombia;22
Ambos sexos;21021-Cartaya;Ecuador;108
Ambos sexos;21021-Cartaya;Perú;17
Ambos sexos;21021-Cartaya;Total Asia;12
Ambos sexos;21021-Cartaya;China;1
Ambos sexos;21021-Cartaya;Oceanía;3
Ambos sexos;21022-Castaño del Robledo;Total Población;214
Ambos sexos;21022-Castaño del Robledo;Nacidos en el Extranjero;18
Ambos sexos;21022-Castaño del Robledo;Total Europa;13
Ambos sexos;21022-Castaño del Robledo;Total Unión Europea (25);12
Ambos sexos;21022-Castaño del Robledo;Alemania;0
Ambos sexos;21022-Castaño del Robledo;Francia;1
Ambos sexos;21022-Castaño del Robledo;Italia;0
Ambos sexos;21022-Castaño del Robledo;Reino Unido;10
Ambos sexos;21022-Castaño del Robledo;Resto de Europa;1
Ambos sexos;21022-Castaño del Robledo;Bulgaria;0
Ambos sexos;21022-Castaño del Robledo;Rumanía;0
Ambos sexos;21022-Castaño del Robledo;Total Africa;2
Ambos sexos;21022-Castaño del Robledo;Marruecos;2
Ambos sexos;21022-Castaño del Robledo;Total América;3
Ambos sexos;21022-Castaño del Robledo;Argentina;2
Ambos sexos;21022-Castaño del Robledo;Bolivia;1
Ambos sexos;21022-Castaño del Robledo;Colombia;0
Ambos sexos;21022-Castaño del Robledo;Ecuador;0
Ambos sexos;21022-Castaño del Robledo;Perú;0
Ambos sexos;21022-Castaño del Robledo;Total Asia;0
Ambos sexos;21022-Castaño del Robledo;China;0
Ambos sexos;21022-Castaño del Robledo;Oceanía;0
Ambos sexos;21023-Cerro de Andévalo (El);Total Población;2.581
Ambos sexos;21023-Cerro de Andévalo (El);Nacidos en el Extranjero;10
Ambos sexos;21023-Cerro de Andévalo (El);Total Europa;7
Ambos sexos;21023-Cerro de Andévalo (El);Total Unión Europea (25);6
Ambos sexos;21023-Cerro de Andévalo (El);Alemania;0
Ambos sexos;21023-Cerro de Andévalo (El);Francia;3
Ambos sexos;21023-Cerro de Andévalo (El);Italia;0
Ambos sexos;21023-Cerro de Andévalo (El);Reino Unido;0
Ambos sexos;21023-Cerro de Andévalo (El);Resto de Europa;1
Ambos sexos;21023-Cerro de Andévalo (El);Bulgaria;0
Ambos sexos;21023-Cerro de Andévalo (El);Rumanía;1
Ambos sexos;21023-Cerro de Andévalo (El);Total Africa;2
Ambos sexos;21023-Cerro de Andévalo (El);Marruecos;2
Ambos sexos;21023-Cerro de Andévalo (El);Total América;0
Ambos sexos;21023-Cerro de Andévalo (El);Argentina;0
Ambos sexos;21023-Cerro de Andévalo (El);Bolivia;0
Ambos sexos;21023-Cerro de Andévalo (El);Colombia;0
Ambos sexos;21023-Cerro de Andévalo (El);Ecuador;0
Ambos sexos;21023-Cerro de Andévalo (El);Perú;0
Ambos sexos;21023-Cerro de Andévalo (El);Total Asia;1
Ambos sexos;21023-Cerro de Andévalo (El);China;1
Ambos sexos;21023-Cerro de Andévalo (El);Oceanía;0
Ambos sexos;21024-Corteconcepción;Total Población;615
Ambos sexos;21024-Corteconcepción;Nacidos en el Extranjero;17
Ambos sexos;21024-Corteconcepción;Total Europa;12
Ambos sexos;21024-Corteconcepción;Total Unión Europea (25);11
Ambos sexos;21024-Corteconcepción;Alemania;9
Ambos sexos;21024-Corteconcepción;Francia;0
