Sexo;Municipios;País de nacimiento;Total
Ambos sexos;21001-Alájar;Total Población;798
Ambos sexos;21001-Alájar;Nacidos en España;738
Ambos sexos;21001-Alájar;Nacidos en el Extranjero;60
Ambos sexos;21001-Alájar;Total Europa;50
Ambos sexos;21001-Alájar;Total Unión Europea;46
Ambos sexos;21001-Alájar;Alemania;18
Ambos sexos;21001-Alájar;Bulgaria;0
Ambos sexos;21001-Alájar;Francia;2
Ambos sexos;21001-Alájar;Italia;5
Ambos sexos;21001-Alájar;Polonia;1
Ambos sexos;21001-Alájar;Portugal;6
Ambos sexos;21001-Alájar;Reino Unido;7
Ambos sexos;21001-Alájar;Rumanía;0
Ambos sexos;21001-Alájar;Total Europa No Comunitaria;4
Ambos sexos;21001-Alájar;Rusia;2
Ambos sexos;21001-Alájar;Ucrania;0
Ambos sexos;21001-Alájar;Total Africa;2
Ambos sexos;21001-Alájar;Argelia;1
Ambos sexos;21001-Alájar;Marruecos;0
Ambos sexos;21001-Alájar;Nigeria;0
Ambos sexos;21001-Alájar;Senegal;1
Ambos sexos;21001-Alájar;Total América;7
Ambos sexos;21001-Alájar;Argentina;2
Ambos sexos;21001-Alájar;Bolivia;0
Ambos sexos;21001-Alájar;Brasil;0
Ambos sexos;21001-Alájar;Colombia;0
Ambos sexos;21001-Alájar;Cuba;0
Ambos sexos;21001-Alájar;Chile;0
Ambos sexos;21001-Alájar;Ecuador;0
Ambos sexos;21001-Alájar;Paraguay;0
Ambos sexos;21001-Alájar;Perú;0
Ambos sexos;21001-Alájar;Rep. Dominicana;0
Ambos sexos;21001-Alájar;Uruguay;0
Ambos sexos;21001-Alájar;Venezuela;0
Ambos sexos;21001-Alájar;Total Asia;1
Ambos sexos;21001-Alájar;China;0
Ambos sexos;21001-Alájar;Pakistán;0
Ambos sexos;21001-Alájar;Total Oceanía;0
Ambos sexos;21002-Aljaraque;Total Población;18.937
Ambos sexos;21002-Aljaraque;Nacidos en España;17.971
Ambos sexos;21002-Aljaraque;Nacidos en el Extranjero;966
Ambos sexos;21002-Aljaraque;Total Europa;580
Ambos sexos;21002-Aljaraque;Total Unión Europea;547
Ambos sexos;21002-Aljaraque;Alemania;130
Ambos sexos;21002-Aljaraque;Bulgaria;11
Ambos sexos;21002-Aljaraque;Francia;46
Ambos sexos;21002-Aljaraque;Italia;13
Ambos sexos;21002-Aljaraque;Polonia;32
Ambos sexos;21002-Aljaraque;Portugal;124
Ambos sexos;21002-Aljaraque;Reino Unido;39
Ambos sexos;21002-Aljaraque;Rumanía;97
Ambos sexos;21002-Aljaraque;Total Europa No Comunitaria;33
Ambos sexos;21002-Aljaraque;Rusia;2
Ambos sexos;21002-Aljaraque;Ucrania;5
Ambos sexos;21002-Aljaraque;Total Africa;118
Ambos sexos;21002-Aljaraque;Argelia;0
Ambos sexos;21002-Aljaraque;Marruecos;68
Ambos sexos;21002-Aljaraque;Nigeria;1
Ambos sexos;21002-Aljaraque;Senegal;41
Ambos sexos;21002-Aljaraque;Total América;241
Ambos sexos;21002-Aljaraque;Argentina;60
Ambos sexos;21002-Aljaraque;Bolivia;3
Ambos sexos;21002-Aljaraque;Brasil;28
Ambos sexos;21002-Aljaraque;Colombia;31
Ambos sexos;21002-Aljaraque;Cuba;14
