Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;23001 Albanchez de Mágina;Africa;..
Ambos sexos;23001 Albanchez de Mágina;América;..
Ambos sexos;23001 Albanchez de Mágina;Asia;..
Ambos sexos;23001 Albanchez de Mágina;Europa;..
Ambos sexos;23001 Albanchez de Mágina;Resto;..
Ambos sexos;23002 Alcalá la Real;Africa;2
Ambos sexos;23002 Alcalá la Real;América;7
Ambos sexos;23002 Alcalá la Real;Asia;..
Ambos sexos;23002 Alcalá la Real;Europa;8
Ambos sexos;23002 Alcalá la Real;Resto;..
Ambos sexos;23003 Alcaudete;Africa;5
Ambos sexos;23003 Alcaudete;América;3
Ambos sexos;23003 Alcaudete;Asia;1
Ambos sexos;23003 Alcaudete;Europa;15
Ambos sexos;23003 Alcaudete;Resto;..
Ambos sexos;23004 Aldeaquemada;Africa;..
Ambos sexos;23004 Aldeaquemada;América;..
Ambos sexos;23004 Aldeaquemada;Asia;..
Ambos sexos;23004 Aldeaquemada;Europa;..
Ambos sexos;23004 Aldeaquemada;Resto;..
Ambos sexos;23005 Andújar;Africa;52
Ambos sexos;23005 Andújar;América;42
Ambos sexos;23005 Andújar;Asia;10
Ambos sexos;23005 Andújar;Europa;71
Ambos sexos;23005 Andújar;Resto;1
Ambos sexos;23006 Arjona;Africa;..
Ambos sexos;23006 Arjona;América;..
Ambos sexos;23006 Arjona;Asia;..
Ambos sexos;23006 Arjona;Europa;..
Ambos sexos;23006 Arjona;Resto;..
Ambos sexos;23007 Arjonilla;Africa;6
Ambos sexos;23007 Arjonilla;América;3
Ambos sexos;23007 Arjonilla;Asia;..
Ambos sexos;23007 Arjonilla;Europa;1
Ambos sexos;23007 Arjonilla;Resto;..
Ambos sexos;23008 Arquillos;Africa;..
Ambos sexos;23008 Arquillos;América;..
Ambos sexos;23008 Arquillos;Asia;..
Ambos sexos;23008 Arquillos;Europa;1
Ambos sexos;23008 Arquillos;Resto;..
Ambos sexos;23009 Baeza;Africa;53
Ambos sexos;23009 Baeza;América;15
Ambos sexos;23009 Baeza;Asia;2
Ambos sexos;23009 Baeza;Europa;12
Ambos sexos;23009 Baeza;Resto;..
Ambos sexos;23010 Bailén;Africa;30
Ambos sexos;23010 Bailén;América;8
Ambos sexos;23010 Bailén;Asia;35
Ambos sexos;23010 Bailén;Europa;10
Ambos sexos;23010 Bailén;Resto;..
Ambos sexos;23011 Baños de la Encina;Africa;..
Ambos sexos;23011 Baños de la Encina;América;1
Ambos sexos;23011 Baños de la Encina;Asia;..
Ambos sexos;23011 Baños de la Encina;Europa;..
Ambos sexos;23011 Baños de la Encina;Resto;..
Ambos sexos;23012 Beas de Segura;Africa;122
Ambos sexos;23012 Beas de Segura;América;4
Ambos sexos;23012 Beas de Segura;Asia;..
Ambos sexos;23012 Beas de Segura;Europa;4
Ambos sexos;23012 Beas de Segura;Resto;..
Ambos sexos;23014 Begíjar;Africa;..
Ambos sexos;23014 Begíjar;América;2
Ambos sexos;23014 Begíjar;Asia;..
Ambos sexos;23014 Begíjar;Europa;1
Ambos sexos;23014 Begíjar;Resto;..
Ambos sexos;23015 Bélmez de la Moraleda;Africa;5
Ambos sexos;23015 Bélmez de la Moraleda;América;1
Ambos sexos;23015 Bélmez de la Moraleda;Asia;..
Ambos sexos;23015 Bélmez de la Moraleda;Europa;1
Ambos sexos;23015 Bélmez de la Moraleda;Resto;..
Ambos sexos;23016 Benatae;Africa;1
Ambos sexos;23016 Benatae;América;..
Ambos sexos;23016 Benatae;Asia;..
Ambos sexos;23016 Benatae;Europa;5
Ambos sexos;23016 Benatae;Resto;..
Ambos sexos;23017 Cabra del Santo Cristo;Africa;..
Ambos sexos;23017 Cabra del Santo Cristo;América;2
Ambos sexos;23017 Cabra del Santo Cristo;Asia;..
Ambos sexos;23017 Cabra del Santo Cristo;Europa;1
Ambos sexos;23017 Cabra del Santo Cristo;Resto;..
Ambos sexos;23018 Cambil;Africa;..
Ambos sexos;23018 Cambil;América;..
Ambos sexos;23018 Cambil;Asia;..
Ambos sexos;23018 Cambil;Europa;..
Ambos sexos;23018 Cambil;Resto;..
Ambos sexos;23019 Campillo de Arenas;Africa;..
Ambos sexos;23019 Campillo de Arenas;América;..
Ambos sexos;23019 Campillo de Arenas;Asia;..
Ambos sexos;23019 Campillo de Arenas;Europa;1
Ambos sexos;23019 Campillo de Arenas;Resto;..
Ambos sexos;23020 Canena;Africa;7
Ambos sexos;23020 Canena;América;..
Ambos sexos;23020 Canena;Asia;..
Ambos sexos;23020 Canena;Europa;1
Ambos sexos;23020 Canena;Resto;..
Ambos sexos;23021 Carboneros;Africa;..
Ambos sexos;23021 Carboneros;América;..
Ambos sexos;23021 Carboneros;Asia;..
Ambos sexos;23021 Carboneros;Europa;..
Ambos sexos;23021 Carboneros;Resto;..
Ambos sexos;23024 Carolina (La);Africa;12
Ambos sexos;23024 Carolina (La);América;25
Ambos sexos;23024 Carolina (La);Asia;48
Ambos sexos;23024 Carolina (La);Europa;55
Ambos sexos;23024 Carolina (La);Resto;..
Ambos sexos;23025 Castellar;Africa;7
Ambos sexos;23025 Castellar;América;1
Ambos sexos;23025 Castellar;Asia;..
Ambos sexos;23025 Castellar;Europa;4
Ambos sexos;23025 Castellar;Resto;..
Ambos sexos;23026 Castillo de Locubín;Africa;..
Ambos sexos;23026 Castillo de Locubín;América;..
Ambos sexos;23026 Castillo de Locubín;Asia;..
Ambos sexos;23026 Castillo de Locubín;Europa;3
Ambos sexos;23026 Castillo de Locubín;Resto;..
Ambos sexos;23027 Cazalilla;Africa;..
Ambos sexos;23027 Cazalilla;América;..
Ambos sexos;23027 Cazalilla;Asia;..
Ambos sexos;23027 Cazalilla;Europa;..
Ambos sexos;23027 Cazalilla;Resto;..
Ambos sexos;23028 Cazorla;Africa;2
Ambos sexos;23028 Cazorla;América;4
Ambos sexos;23028 Cazorla;Asia;..
Ambos sexos;23028 Cazorla;Europa;3
Ambos sexos;23028 Cazorla;Resto;..
Ambos sexos;23029 Chiclana de Segura;Africa;23
Ambos sexos;23029 Chiclana de Segura;América;..
Ambos sexos;23029 Chiclana de Segura;Asia;..
Ambos sexos;23029 Chiclana de Segura;Europa;..
Ambos sexos;23029 Chiclana de Segura;Resto;..
Ambos sexos;23030 Chilluévar;Africa;..
Ambos sexos;23030 Chilluévar;América;1
Ambos sexos;23030 Chilluévar;Asia;..
Ambos sexos;23030 Chilluévar;Europa;1
Ambos sexos;23030 Chilluévar;Resto;..
Ambos sexos;23031 Escañuela;Africa;..
Ambos sexos;23031 Escañuela;América;..
Ambos sexos;23031 Escañuela;Asia;..
Ambos sexos;23031 Escañuela;Europa;..
Ambos sexos;23031 Escañuela;Resto;..
Ambos sexos;23032 Espelúy;Africa;6
Ambos sexos;23032 Espelúy;América;..
Ambos sexos;23032 Espelúy;Asia;..
Ambos sexos;23032 Espelúy;Europa;..
Ambos sexos;23032 Espelúy;Resto;..
Ambos sexos;23033 Frailes;Africa;..
Ambos sexos;23033 Frailes;América;..
Ambos sexos;23033 Frailes;Asia;..
Ambos sexos;23033 Frailes;Europa;..
Ambos sexos;23033 Frailes;Resto;..
Ambos sexos;23034 Fuensanta de Martos;Africa;..
Ambos sexos;23034 Fuensanta de Martos;América;1
Ambos sexos;23034 Fuensanta de Martos;Asia;..
Ambos sexos;23034 Fuensanta de Martos;Europa;12
Ambos sexos;23034 Fuensanta de Martos;Resto;..
Ambos sexos;23035 Fuerte del Rey;Africa;..
Ambos sexos;23035 Fuerte del Rey;América;..
Ambos sexos;23035 Fuerte del Rey;Asia;..
Ambos sexos;23035 Fuerte del Rey;Europa;..
Ambos sexos;23035 Fuerte del Rey;Resto;..
Ambos sexos;23037 Génave;Africa;..
Ambos sexos;23037 Génave;América;..
Ambos sexos;23037 Génave;Asia;..
Ambos sexos;23037 Génave;Europa;..
Ambos sexos;23037 Génave;Resto;..
Ambos sexos;23038 Guardia de Jaén (La);Africa;1
Ambos sexos;23038 Guardia de Jaén (La);América;..
Ambos sexos;23038 Guardia de Jaén (La);Asia;..
Ambos sexos;23038 Guardia de Jaén (La);Europa;5
Ambos sexos;23038 Guardia de Jaén (La);Resto;..
Ambos sexos;23039 Guarromán;Africa;5
Ambos sexos;23039 Guarromán;América;..
Ambos sexos;23039 Guarromán;Asia;..
Ambos sexos;23039 Guarromán;Europa;..
Ambos sexos;23039 Guarromán;Resto;..
Ambos sexos;23040 Lahiguera;Africa;..
Ambos sexos;23040 Lahiguera;América;..
Ambos sexos;23040 Lahiguera;Asia;..
Ambos sexos;23040 Lahiguera;Europa;1
Ambos sexos;23040 Lahiguera;Resto;..
Ambos sexos;23041 Higuera de Calatrava;Africa;..
Ambos sexos;23041 Higuera de Calatrava;América;..
Ambos sexos;23041 Higuera de Calatrava;Asia;..
Ambos sexos;23041 Higuera de Calatrava;Europa;..
Ambos sexos;23041 Higuera de Calatrava;Resto;..
Ambos sexos;23042 Hinojares;Africa;..
Ambos sexos;23042 Hinojares;América;..
Ambos sexos;23042 Hinojares;Asia;..
Ambos sexos;23042 Hinojares;Europa;1
Ambos sexos;23042 Hinojares;Resto;..
Ambos sexos;23043 Hornos;Africa;2
Ambos sexos;23043 Hornos;América;..
Ambos sexos;23043 Hornos;Asia;..
Ambos sexos;23043 Hornos;Europa;2
Ambos sexos;23043 Hornos;Resto;..
Ambos sexos;23044 Huelma;Africa;4
Ambos sexos;23044 Huelma;América;2
Ambos sexos;23044 Huelma;Asia;..
Ambos sexos;23044 Huelma;Europa;..
Ambos sexos;23044 Huelma;Resto;..
Ambos sexos;23045 Huesa;Africa;1
Ambos sexos;23045 Huesa;América;..
Ambos sexos;23045 Huesa;Asia;..
Ambos sexos;23045 Huesa;Europa;1
Ambos sexos;23045 Huesa;Resto;..
Ambos sexos;23046 Ibros;Africa;6
Ambos sexos;23046 Ibros;América;..
Ambos sexos;23046 Ibros;Asia;..
Ambos sexos;23046 Ibros;Europa;..
Ambos sexos;23046 Ibros;Resto;1
Ambos sexos;23047 Iruela (La);Africa;..
Ambos sexos;23047 Iruela (La);América;..
Ambos sexos;23047 Iruela (La);Asia;..
Ambos sexos;23047 Iruela (La);Europa;..
Ambos sexos;23047 Iruela (La);Resto;..
Ambos sexos;23048 Iznatoraf;Africa;104
Ambos sexos;23048 Iznatoraf;América;..
Ambos sexos;23048 Iznatoraf;Asia;..
Ambos sexos;23048 Iznatoraf;Europa;1
Ambos sexos;23048 Iznatoraf;Resto;..
Ambos sexos;23049 Jabalquinto;Africa;10
Ambos sexos;23049 Jabalquinto;América;..
Ambos sexos;23049 Jabalquinto;Asia;..
Ambos sexos;23049 Jabalquinto;Europa;1
Ambos sexos;23049 Jabalquinto;Resto;..
Ambos sexos;23050 Jaén;Africa;188
Ambos sexos;23050 Jaén;América;215
Ambos sexos;23050 Jaén;Asia;118
Ambos sexos;23050 Jaén;Europa;161
Ambos sexos;23050 Jaén;Resto;1
Ambos sexos;23051 Jamilena;Africa;..
Ambos sexos;23051 Jamilena;América;2
Ambos sexos;23051 Jamilena;Asia;..
Ambos sexos;23051 Jamilena;Europa;1
Ambos sexos;23051 Jamilena;Resto;..
Ambos sexos;23052 Jimena;Africa;..
Ambos sexos;23052 Jimena;América;..
Ambos sexos;23052 Jimena;Asia;..
Ambos sexos;23052 Jimena;Europa;..
Ambos sexos;23052 Jimena;Resto;..
