Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;23001-Albanchez de Mágina;Total Población;1.326
Ambos sexos;23001-Albanchez de Mágina;Nacidos en el Extranjero;3
Ambos sexos;23001-Albanchez de Mágina;Total Europa;2
Ambos sexos;23001-Albanchez de Mágina;Total Unión Europea (25);0
Ambos sexos;23001-Albanchez de Mágina;Alemania;0
Ambos sexos;23001-Albanchez de Mágina;Francia;0
Ambos sexos;23001-Albanchez de Mágina;Italia;0
Ambos sexos;23001-Albanchez de Mágina;Reino Unido;0
Ambos sexos;23001-Albanchez de Mágina;Resto de Europa;2
Ambos sexos;23001-Albanchez de Mágina;Bulgaria;0
Ambos sexos;23001-Albanchez de Mágina;Rumanía;0
Ambos sexos;23001-Albanchez de Mágina;Total Africa;1
Ambos sexos;23001-Albanchez de Mágina;Marruecos;0
Ambos sexos;23001-Albanchez de Mágina;Total América;0
Ambos sexos;23001-Albanchez de Mágina;Argentina;0
Ambos sexos;23001-Albanchez de Mágina;Bolivia;0
Ambos sexos;23001-Albanchez de Mágina;Colombia;0
Ambos sexos;23001-Albanchez de Mágina;Ecuador;0
Ambos sexos;23001-Albanchez de Mágina;Perú;0
Ambos sexos;23001-Albanchez de Mágina;Total Asia;0
Ambos sexos;23001-Albanchez de Mágina;China;0
Ambos sexos;23001-Albanchez de Mágina;Oceanía;0
Ambos sexos;23002-Alcalá la Real;Total Población;22.129
Ambos sexos;23002-Alcalá la Real;Nacidos en el Extranjero;755
Ambos sexos;23002-Alcalá la Real;Total Europa;513
Ambos sexos;23002-Alcalá la Real;Total Unión Europea (25);188
Ambos sexos;23002-Alcalá la Real;Alemania;51
Ambos sexos;23002-Alcalá la Real;Francia;28
Ambos sexos;23002-Alcalá la Real;Italia;7
Ambos sexos;23002-Alcalá la Real;Reino Unido;81
Ambos sexos;23002-Alcalá la Real;Resto de Europa;325
Ambos sexos;23002-Alcalá la Real;Bulgaria;3
Ambos sexos;23002-Alcalá la Real;Rumanía;158
Ambos sexos;23002-Alcalá la Real;Total Africa;91
Ambos sexos;23002-Alcalá la Real;Marruecos;72
Ambos sexos;23002-Alcalá la Real;Total América;143
Ambos sexos;23002-Alcalá la Real;Argentina;18
Ambos sexos;23002-Alcalá la Real;Bolivia;5
Ambos sexos;23002-Alcalá la Real;Colombia;40
Ambos sexos;23002-Alcalá la Real;Ecuador;39
Ambos sexos;23002-Alcalá la Real;Perú;10
Ambos sexos;23002-Alcalá la Real;Total Asia;8
Ambos sexos;23002-Alcalá la Real;China;4
Ambos sexos;23002-Alcalá la Real;Oceanía;0
Ambos sexos;23003-Alcaudete;Total Población;11.164
Ambos sexos;23003-Alcaudete;Nacidos en el Extranjero;192
