Sexo;Municipios;País de nacimiento;Total
Ambos sexos;23001-Albanchez de Mágina;Total Población;1.179
Ambos sexos;23001-Albanchez de Mágina;Nacidos en España;1.152
Ambos sexos;23001-Albanchez de Mágina;Nacidos en el Extranjero;27
Ambos sexos;23001-Albanchez de Mágina;Total Europa;2
Ambos sexos;23001-Albanchez de Mágina;Total Unión Europea;1
Ambos sexos;23001-Albanchez de Mágina;Alemania;0
Ambos sexos;23001-Albanchez de Mágina;Bulgaria;0
Ambos sexos;23001-Albanchez de Mágina;Francia;1
Ambos sexos;23001-Albanchez de Mágina;Italia;0
Ambos sexos;23001-Albanchez de Mágina;Polonia;0
Ambos sexos;23001-Albanchez de Mágina;Portugal;0
Ambos sexos;23001-Albanchez de Mágina;Reino Unido;0
Ambos sexos;23001-Albanchez de Mágina;Rumanía;0
Ambos sexos;23001-Albanchez de Mágina;Total Europa No Comunitaria;1
Ambos sexos;23001-Albanchez de Mágina;Rusia;1
Ambos sexos;23001-Albanchez de Mágina;Ucrania;0
Ambos sexos;23001-Albanchez de Mágina;Total Africa;24
Ambos sexos;23001-Albanchez de Mágina;Argelia;0
Ambos sexos;23001-Albanchez de Mágina;Marruecos;4
Ambos sexos;23001-Albanchez de Mágina;Nigeria;0
Ambos sexos;23001-Albanchez de Mágina;Senegal;0
Ambos sexos;23001-Albanchez de Mágina;Total América;1
Ambos sexos;23001-Albanchez de Mágina;Argentina;0
Ambos sexos;23001-Albanchez de Mágina;Bolivia;1
Ambos sexos;23001-Albanchez de Mágina;Brasil;0
Ambos sexos;23001-Albanchez de Mágina;Colombia;0
Ambos sexos;23001-Albanchez de Mágina;Cuba;0
Ambos sexos;23001-Albanchez de Mágina;Chile;0
Ambos sexos;23001-Albanchez de Mágina;Ecuador;0
Ambos sexos;23001-Albanchez de Mágina;Paraguay;0
Ambos sexos;23001-Albanchez de Mágina;Perú;0
Ambos sexos;23001-Albanchez de Mágina;República Dominicana;0
Ambos sexos;23001-Albanchez de Mágina;Uruguay;0
Ambos sexos;23001-Albanchez de Mágina;Venezuela;0
Ambos sexos;23001-Albanchez de Mágina;Total Asia;0
Ambos sexos;23001-Albanchez de Mágina;China;0
Ambos sexos;23001-Albanchez de Mágina;Pakistán;0
Ambos sexos;23001-Albanchez de Mágina;Total Oceanía;0
Ambos sexos;23002-Alcalá la Real;Total Población;22.682
Ambos sexos;23002-Alcalá la Real;Nacidos en España;21.286
Ambos sexos;23002-Alcalá la Real;Nacidos en el Extranjero;1.396
Ambos sexos;23002-Alcalá la Real;Total Europa;875
Ambos sexos;23002-Alcalá la Real;Total Unión Europea;728
Ambos sexos;23002-Alcalá la Real;Alemania;59
Ambos sexos;23002-Alcalá la Real;Bulgaria;5
Ambos sexos;23002-Alcalá la Real;Francia;26
Ambos sexos;23002-Alcalá la Real;Italia;10
Ambos sexos;23002-Alcalá la Real;Polonia;2
Ambos sexos;23002-Alcalá la Real;Portugal;6
Ambos sexos;23002-Alcalá la Real;Reino Unido;251
Ambos sexos;23002-Alcalá la Real;Rumanía;321
Ambos sexos;23002-Alcalá la Real;Total Europa No Comunitaria;147
Ambos sexos;23002-Alcalá la Real;Rusia;4
Ambos sexos;23002-Alcalá la Real;Ucrania;42
Ambos sexos;23002-Alcalá la Real;Total Africa;305
Ambos sexos;23002-Alcalá la Real;Argelia;21
Ambos sexos;23002-Alcalá la Real;Marruecos;186
Ambos sexos;23002-Alcalá la Real;Nigeria;3
Ambos sexos;23002-Alcalá la Real;Senegal;39
Ambos sexos;23002-Alcalá la Real;Total América;180
Ambos sexos;23002-Alcalá la Real;Argentina;25
Ambos sexos;23002-Alcalá la Real;Bolivia;3
Ambos sexos;23002-Alcalá la Real;Brasil;18
Ambos sexos;23002-Alcalá la Real;Colombia;37
Ambos sexos;23002-Alcalá la Real;Cuba;6
Ambos sexos;23002-Alcalá la Real;Chile;2
Ambos sexos;23002-Alcalá la Real;Ecuador;30
Ambos sexos;23002-Alcalá la Real;Paraguay;5
Ambos sexos;23002-Alcalá la Real;Perú;9
Ambos sexos;23002-Alcalá la Real;República Dominicana;6
Ambos sexos;23002-Alcalá la Real;Uruguay;1
Ambos sexos;23002-Alcalá la Real;Venezuela;25
Ambos sexos;23002-Alcalá la Real;Total Asia;36
Ambos sexos;23002-Alcalá la Real;China;23
Ambos sexos;23002-Alcalá la Real;Pakistán;3
Ambos sexos;23002-Alcalá la Real;Total Oceanía;0
Ambos sexos;23003-Alcaudete;Total Población;11.008
Ambos sexos;23003-Alcaudete;Nacidos en España;10.552
Ambos sexos;23003-Alcaudete;Nacidos en el Extranjero;456
Ambos sexos;23003-Alcaudete;Total Europa;200
Ambos sexos;23003-Alcaudete;Total Unión Europea;188
Ambos sexos;23003-Alcaudete;Alemania;2
Ambos sexos;23003-Alcaudete;Bulgaria;0
Ambos sexos;23003-Alcaudete;Francia;6
Ambos sexos;23003-Alcaudete;Italia;2
Ambos sexos;23003-Alcaudete;Polonia;1
Ambos sexos;23003-Alcaudete;Portugal;3
Ambos sexos;23003-Alcaudete;Reino Unido;123
Ambos sexos;23003-Alcaudete;Rumanía;38
Ambos sexos;23003-Alcaudete;Total Europa No Comunitaria;12
Ambos sexos;23003-Alcaudete;Rusia;4
Ambos sexos;23003-Alcaudete;Ucrania;5
Ambos sexos;23003-Alcaudete;Total Africa;172
Ambos sexos;23003-Alcaudete;Argelia;6
Ambos sexos;23003-Alcaudete;Marruecos;31
Ambos sexos;23003-Alcaudete;Nigeria;1
Ambos sexos;23003-Alcaudete;Senegal;23
Ambos sexos;23003-Alcaudete;Total América;66
Ambos sexos;23003-Alcaudete;Argentina;0
Ambos sexos;23003-Alcaudete;Bolivia;13
Ambos sexos;23003-Alcaudete;Brasil;3
Ambos sexos;23003-Alcaudete;Colombia;21
Ambos sexos;23003-Alcaudete;Cuba;3
Ambos sexos;23003-Alcaudete;Chile;5
Ambos sexos;23003-Alcaudete;Ecuador;11
Ambos sexos;23003-Alcaudete;Paraguay;0
Ambos sexos;23003-Alcaudete;Perú;0
