Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;29001 Alameda;Africa;..
Ambos sexos;29001 Alameda;América;4
Ambos sexos;29001 Alameda;Asia;..
Ambos sexos;29001 Alameda;Europa;12
Ambos sexos;29001 Alameda;Resto;..
Ambos sexos;29002 Alcaucín;Africa;1
Ambos sexos;29002 Alcaucín;América;6
Ambos sexos;29002 Alcaucín;Asia;..
Ambos sexos;29002 Alcaucín;Europa;84
Ambos sexos;29002 Alcaucín;Resto;..
Ambos sexos;29003 Alfarnate;Africa;..
Ambos sexos;29003 Alfarnate;América;..
Ambos sexos;29003 Alfarnate;Asia;..
Ambos sexos;29003 Alfarnate;Europa;3
Ambos sexos;29003 Alfarnate;Resto;..
Ambos sexos;29004 Alfarnatejo;Africa;..
Ambos sexos;29004 Alfarnatejo;América;..
Ambos sexos;29004 Alfarnatejo;Asia;..
Ambos sexos;29004 Alfarnatejo;Europa;1
Ambos sexos;29004 Alfarnatejo;Resto;..
Ambos sexos;29005 Algarrobo;Africa;8
Ambos sexos;29005 Algarrobo;América;2
Ambos sexos;29005 Algarrobo;Asia;4
Ambos sexos;29005 Algarrobo;Europa;113
Ambos sexos;29005 Algarrobo;Resto;..
Ambos sexos;29006 Algatocín;Africa;..
Ambos sexos;29006 Algatocín;América;..
Ambos sexos;29006 Algatocín;Asia;..
Ambos sexos;29006 Algatocín;Europa;9
Ambos sexos;29006 Algatocín;Resto;..
Ambos sexos;29007 Alhaurín de la Torre;Africa;27
Ambos sexos;29007 Alhaurín de la Torre;América;66
Ambos sexos;29007 Alhaurín de la Torre;Asia;9
Ambos sexos;29007 Alhaurín de la Torre;Europa;471
Ambos sexos;29007 Alhaurín de la Torre;Resto;1
Ambos sexos;29008 Alhaurín el Grande;Africa;128
Ambos sexos;29008 Alhaurín el Grande;América;103
Ambos sexos;29008 Alhaurín el Grande;Asia;41
Ambos sexos;29008 Alhaurín el Grande;Europa;1.064
Ambos sexos;29008 Alhaurín el Grande;Resto;8
Ambos sexos;29009 Almáchar;Africa;..
Ambos sexos;29009 Almáchar;América;..
Ambos sexos;29009 Almáchar;Asia;..
Ambos sexos;29009 Almáchar;Europa;..
Ambos sexos;29009 Almáchar;Resto;..
Ambos sexos;29010 Almargen;Africa;1
Ambos sexos;29010 Almargen;América;1
Ambos sexos;29010 Almargen;Asia;..
Ambos sexos;29010 Almargen;Europa;..
Ambos sexos;29010 Almargen;Resto;..
Ambos sexos;29011 Almogía;Africa;2
Ambos sexos;29011 Almogía;América;5
Ambos sexos;29011 Almogía;Asia;..
Ambos sexos;29011 Almogía;Europa;154
Ambos sexos;29011 Almogía;Resto;..
Ambos sexos;29012 Álora;Africa;6
Ambos sexos;29012 Álora;América;4
Ambos sexos;29012 Álora;Asia;1
Ambos sexos;29012 Álora;Europa;89
Ambos sexos;29012 Álora;Resto;..
Ambos sexos;29013 Alozaina;Africa;..
Ambos sexos;29013 Alozaina;América;..
Ambos sexos;29013 Alozaina;Asia;..
Ambos sexos;29013 Alozaina;Europa;5
Ambos sexos;29013 Alozaina;Resto;..
Ambos sexos;29014 Alpandeire;Africa;..
Ambos sexos;29014 Alpandeire;América;..
Ambos sexos;29014 Alpandeire;Asia;..
Ambos sexos;29014 Alpandeire;Europa;1
Ambos sexos;29014 Alpandeire;Resto;..
Ambos sexos;29015 Antequera;Africa;30
Ambos sexos;29015 Antequera;América;41
Ambos sexos;29015 Antequera;Asia;5
Ambos sexos;29015 Antequera;Europa;101
Ambos sexos;29015 Antequera;Resto;1
Ambos sexos;29016 Árchez;Africa;1
Ambos sexos;29016 Árchez;América;..
Ambos sexos;29016 Árchez;Asia;..
Ambos sexos;29016 Árchez;Europa;26
Ambos sexos;29016 Árchez;Resto;..
Ambos sexos;29017 Archidona;Africa;2
Ambos sexos;29017 Archidona;América;1
Ambos sexos;29017 Archidona;Asia;..
Ambos sexos;29017 Archidona;Europa;5
Ambos sexos;29017 Archidona;Resto;..
Ambos sexos;29018 Ardales;Africa;..
Ambos sexos;29018 Ardales;América;..
Ambos sexos;29018 Ardales;Asia;..
Ambos sexos;29018 Ardales;Europa;3
Ambos sexos;29018 Ardales;Resto;..
Ambos sexos;29019 Arenas;Africa;..
Ambos sexos;29019 Arenas;América;..
Ambos sexos;29019 Arenas;Asia;..
Ambos sexos;29019 Arenas;Europa;..
Ambos sexos;29019 Arenas;Resto;..
Ambos sexos;29020 Arriate;Africa;9
Ambos sexos;29020 Arriate;América;1
Ambos sexos;29020 Arriate;Asia;..
Ambos sexos;29020 Arriate;Europa;10
Ambos sexos;29020 Arriate;Resto;..
Ambos sexos;29021 Atajate;Africa;..
Ambos sexos;29021 Atajate;América;2
Ambos sexos;29021 Atajate;Asia;..
Ambos sexos;29021 Atajate;Europa;2
Ambos sexos;29021 Atajate;Resto;..
Ambos sexos;29022 Benadalid;Africa;..
Ambos sexos;29022 Benadalid;América;..
Ambos sexos;29022 Benadalid;Asia;..
Ambos sexos;29022 Benadalid;Europa;2
Ambos sexos;29022 Benadalid;Resto;..
Ambos sexos;29023 Benahavís;Africa;50
Ambos sexos;29023 Benahavís;América;42
Ambos sexos;29023 Benahavís;Asia;15
Ambos sexos;29023 Benahavís;Europa;763
Ambos sexos;29023 Benahavís;Resto;6
Ambos sexos;29024 Benalauría;Africa;..
Ambos sexos;29024 Benalauría;América;..
Ambos sexos;29024 Benalauría;Asia;..
Ambos sexos;29024 Benalauría;Europa;..
Ambos sexos;29024 Benalauría;Resto;..
Ambos sexos;29025 Benalmádena;Africa;305
Ambos sexos;29025 Benalmádena;América;446
Ambos sexos;29025 Benalmádena;Asia;226
Ambos sexos;29025 Benalmádena;Europa;4.223
Ambos sexos;29025 Benalmádena;Resto;5
Ambos sexos;29026 Benamargosa;Africa;..
Ambos sexos;29026 Benamargosa;América;6
Ambos sexos;29026 Benamargosa;Asia;..
Ambos sexos;29026 Benamargosa;Europa;8
Ambos sexos;29026 Benamargosa;Resto;..
Ambos sexos;29027 Benamocarra;Africa;1
Ambos sexos;29027 Benamocarra;América;2
Ambos sexos;29027 Benamocarra;Asia;..
Ambos sexos;29027 Benamocarra;Europa;4
Ambos sexos;29027 Benamocarra;Resto;..
Ambos sexos;29028 Benaoján;Africa;..
Ambos sexos;29028 Benaoján;América;..
Ambos sexos;29028 Benaoján;Asia;..
Ambos sexos;29028 Benaoján;Europa;10
Ambos sexos;29028 Benaoján;Resto;..
Ambos sexos;29029 Benarrabá;Africa;1
Ambos sexos;29029 Benarrabá;América;..
Ambos sexos;29029 Benarrabá;Asia;..
Ambos sexos;29029 Benarrabá;Europa;1
Ambos sexos;29029 Benarrabá;Resto;..
Ambos sexos;29030 Borge (El);Africa;..
Ambos sexos;29030 Borge (El);América;..
Ambos sexos;29030 Borge (El);Asia;..
Ambos sexos;29030 Borge (El);Europa;1
Ambos sexos;29030 Borge (El);Resto;..
Ambos sexos;29031 Burgo (El);Africa;..
Ambos sexos;29031 Burgo (El);América;..
Ambos sexos;29031 Burgo (El);Asia;..
Ambos sexos;29031 Burgo (El);Europa;..
Ambos sexos;29031 Burgo (El);Resto;..
Ambos sexos;29032 Campillos;Africa;9
Ambos sexos;29032 Campillos;América;12
Ambos sexos;29032 Campillos;Asia;..
Ambos sexos;29032 Campillos;Europa;4
Ambos sexos;29032 Campillos;Resto;..
Ambos sexos;29033 Canillas de Aceituno;Africa;1
Ambos sexos;29033 Canillas de Aceituno;América;2
Ambos sexos;29033 Canillas de Aceituno;Asia;..
Ambos sexos;29033 Canillas de Aceituno;Europa;39
Ambos sexos;29033 Canillas de Aceituno;Resto;..
Ambos sexos;29034 Canillas de Albaida;Africa;4
Ambos sexos;29034 Canillas de Albaida;América;3
