Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;29001 Alameda;Total Población;5.245
Ambos sexos;29001 Alameda;Nacidos en el Extranjero;169
Ambos sexos;29001 Alameda;Total Europa;100
Ambos sexos;29001 Alameda;Total Unión Europea (25);84
Ambos sexos;29001 Alameda;Alemania;27
Ambos sexos;29001 Alameda;Francia;2
Ambos sexos;29001 Alameda;Italia;0
Ambos sexos;29001 Alameda;Reino Unido;29
Ambos sexos;29001 Alameda;Resto de Europa;16
Ambos sexos;29001 Alameda;Bulgaria;1
Ambos sexos;29001 Alameda;Rumanía;2
Ambos sexos;29001 Alameda;Total Africa;45
Ambos sexos;29001 Alameda;Marruecos;28
Ambos sexos;29001 Alameda;Total Am‚rica;24
Ambos sexos;29001 Alameda;Argentina;5
Ambos sexos;29001 Alameda;Bolivia;0
Ambos sexos;29001 Alameda;Colombia;7
Ambos sexos;29001 Alameda;Ecuador;5
Ambos sexos;29001 Alameda;Perú;1
Ambos sexos;29001 Alameda;Total Asia;0
Ambos sexos;29001 Alameda;China;0
Ambos sexos;29001 Alameda;Oceanía;0
Ambos sexos;29002 Alcaucín;Total Población;1.917
Ambos sexos;29002 Alcaucín;Nacidos en el Extranjero;482
Ambos sexos;29002 Alcaucín;Total Europa;440
Ambos sexos;29002 Alcaucín;Total Unión Europea (25);422
Ambos sexos;29002 Alcaucín;Alemania;50
Ambos sexos;29002 Alcaucín;Francia;8
Ambos sexos;29002 Alcaucín;Italia;0
Ambos sexos;29002 Alcaucín;Reino Unido;325
Ambos sexos;29002 Alcaucín;Resto de Europa;18
Ambos sexos;29002 Alcaucín;Bulgaria;0
Ambos sexos;29002 Alcaucín;Rumanía;1
Ambos sexos;29002 Alcaucín;Total Africa;11
Ambos sexos;29002 Alcaucín;Marruecos;6
Ambos sexos;29002 Alcaucín;Total Am‚rica;21
Ambos sexos;29002 Alcaucín;Argentina;3
Ambos sexos;29002 Alcaucín;Bolivia;6
Ambos sexos;29002 Alcaucín;Colombia;2
Ambos sexos;29002 Alcaucín;Ecuador;1
Ambos sexos;29002 Alcaucín;Perú;0
Ambos sexos;29002 Alcaucín;Total Asia;10
Ambos sexos;29002 Alcaucín;China;0
Ambos sexos;29002 Alcaucín;Oceanía;0
Ambos sexos;29003 Alfarnate;Total Población;1.398
Ambos sexos;29003 Alfarnate;Nacidos en el Extranjero;26
Ambos sexos;29003 Alfarnate;Total Europa;13
Ambos sexos;29003 Alfarnate;Total Unión Europea (25);11
Ambos sexos;29003 Alfarnate;Alemania;1
Ambos sexos;29003 Alfarnate;Francia;1
Ambos sexos;29003 Alfarnate;Italia;0
Ambos sexos;29003 Alfarnate;Reino Unido;8
Ambos sexos;29003 Alfarnate;Resto de Europa;2
Ambos sexos;29003 Alfarnate;Bulgaria;0
Ambos sexos;29003 Alfarnate;Rumanía;0
Ambos sexos;29003 Alfarnate;Total Africa;11
Ambos sexos;29003 Alfarnate;Marruecos;11
Ambos sexos;29003 Alfarnate;Total Am‚rica;0
Ambos sexos;29003 Alfarnate;Argentina;0
Ambos sexos;29003 Alfarnate;Bolivia;0
Ambos sexos;29003 Alfarnate;Colombia;0
Ambos sexos;29003 Alfarnate;Ecuador;0
Ambos sexos;29003 Alfarnate;Perú;0
Ambos sexos;29003 Alfarnate;Total Asia;0
Ambos sexos;29003 Alfarnate;China;0
Ambos sexos;29003 Alfarnate;Oceanía;2
Ambos sexos;29004 Alfarnatejo;Total Población;404
Ambos sexos;29004 Alfarnatejo;Nacidos en el Extranjero;38
Ambos sexos;29004 Alfarnatejo;Total Europa;37
Ambos sexos;29004 Alfarnatejo;Total Unión Europea (25);34
Ambos sexos;29004 Alfarnatejo;Alemania;11
Ambos sexos;29004 Alfarnatejo;Francia;0
Ambos sexos;29004 Alfarnatejo;Italia;1
Ambos sexos;29004 Alfarnatejo;Reino Unido;16
Ambos sexos;29004 Alfarnatejo;Resto de Europa;3
Ambos sexos;29004 Alfarnatejo;Bulgaria;0
Ambos sexos;29004 Alfarnatejo;Rumanía;1
Ambos sexos;29004 Alfarnatejo;Total Africa;0
Ambos sexos;29004 Alfarnatejo;Marruecos;0
Ambos sexos;29004 Alfarnatejo;Total Am‚rica;1
Ambos sexos;29004 Alfarnatejo;Argentina;0
Ambos sexos;29004 Alfarnatejo;Bolivia;0
Ambos sexos;29004 Alfarnatejo;Colombia;0
Ambos sexos;29004 Alfarnatejo;Ecuador;0
Ambos sexos;29004 Alfarnatejo;Perú;0
Ambos sexos;29004 Alfarnatejo;Total Asia;0
Ambos sexos;29004 Alfarnatejo;China;0
Ambos sexos;29004 Alfarnatejo;Oceanía;0
Ambos sexos;29005 Algarrobo;Total Población;5.275
Ambos sexos;29005 Algarrobo;Nacidos en el Extranjero;493
Ambos sexos;29005 Algarrobo;Total Europa;338
Ambos sexos;29005 Algarrobo;Total Unión Europea (25);261
Ambos sexos;29005 Algarrobo;Alemania;115
Ambos sexos;29005 Algarrobo;Francia;21
Ambos sexos;29005 Algarrobo;Italia;5
Ambos sexos;29005 Algarrobo;Reino Unido;67
Ambos sexos;29005 Algarrobo;Resto de Europa;77
Ambos sexos;29005 Algarrobo;Bulgaria;6
Ambos sexos;29005 Algarrobo;Rumanía;19
Ambos sexos;29005 Algarrobo;Total Africa;49
Ambos sexos;29005 Algarrobo;Marruecos;33
Ambos sexos;29005 Algarrobo;Total Am‚rica;100
Ambos sexos;29005 Algarrobo;Argentina;30
Ambos sexos;29005 Algarrobo;Bolivia;15
Ambos sexos;29005 Algarrobo;Colombia;18
Ambos sexos;29005 Algarrobo;Ecuador;6
Ambos sexos;29005 Algarrobo;Perú;1
Ambos sexos;29005 Algarrobo;Total Asia;6
Ambos sexos;29005 Algarrobo;China;0
Ambos sexos;29005 Algarrobo;Oceanía;0
Ambos sexos;29006 Algatocín;Total Población;951
Ambos sexos;29006 Algatocín;Nacidos en el Extranjero;65
Ambos sexos;29006 Algatocín;Total Europa;47
Ambos sexos;29006 Algatocín;Total Unión Europea (25);46
Ambos sexos;29006 Algatocín;Alemania;23
Ambos sexos;29006 Algatocín;Francia;9
Ambos sexos;29006 Algatocín;Italia;1
