Sexo;Municipios;País de nacimiento;Total
Ambos sexos;29001-Alameda;Total Población;5.372
Ambos sexos;29001-Alameda;Nacidos en España;5.096
Ambos sexos;29001-Alameda;Nacidos en el Extranjero;276
Ambos sexos;29001-Alameda;Total Europa;142
Ambos sexos;29001-Alameda;Total Unión Europea;136
Ambos sexos;29001-Alameda;Alemania;28
Ambos sexos;29001-Alameda;Bulgaria;0
Ambos sexos;29001-Alameda;Francia;4
Ambos sexos;29001-Alameda;Italia;1
Ambos sexos;29001-Alameda;Polonia;4
Ambos sexos;29001-Alameda;Portugal;2
Ambos sexos;29001-Alameda;Reino Unido;35
Ambos sexos;29001-Alameda;Rumanía;45
Ambos sexos;29001-Alameda;Total Europa No Comunitaria;6
Ambos sexos;29001-Alameda;Rusia;1
Ambos sexos;29001-Alameda;Ucrania;1
Ambos sexos;29001-Alameda;Total África;90
Ambos sexos;29001-Alameda;Argelia;10
Ambos sexos;29001-Alameda;Marruecos;75
Ambos sexos;29001-Alameda;Nigeria;0
Ambos sexos;29001-Alameda;Senegal;0
Ambos sexos;29001-Alameda;Total América;36
Ambos sexos;29001-Alameda;Argentina;0
Ambos sexos;29001-Alameda;Bolivia;0
Ambos sexos;29001-Alameda;Brasil;3
Ambos sexos;29001-Alameda;Colombia;13
Ambos sexos;29001-Alameda;Cuba;3
Ambos sexos;29001-Alameda;Chile;0
Ambos sexos;29001-Alameda;Ecuador;4
Ambos sexos;29001-Alameda;Paraguay;2
Ambos sexos;29001-Alameda;Perú;0
Ambos sexos;29001-Alameda;República Dominicana;0
Ambos sexos;29001-Alameda;Uruguay;0
Ambos sexos;29001-Alameda;Venezuela;9
Ambos sexos;29001-Alameda;Total Asia;8
Ambos sexos;29001-Alameda;China;6
Ambos sexos;29001-Alameda;Pakistán;0
Ambos sexos;29001-Alameda;Total Oceanía;0
Ambos sexos;29002-Alcaucín;Total Población;2.230
Ambos sexos;29002-Alcaucín;Nacidos en España;1.367
Ambos sexos;29002-Alcaucín;Nacidos en el Extranjero;863
Ambos sexos;29002-Alcaucín;Total Europa;698
Ambos sexos;29002-Alcaucín;Total Unión Europea;685
Ambos sexos;29002-Alcaucín;Alemania;36
Ambos sexos;29002-Alcaucín;Bulgaria;0
Ambos sexos;29002-Alcaucín;Francia;5
Ambos sexos;29002-Alcaucín;Italia;4
Ambos sexos;29002-Alcaucín;Polonia;0
Ambos sexos;29002-Alcaucín;Portugal;0
Ambos sexos;29002-Alcaucín;Reino Unido;548
Ambos sexos;29002-Alcaucín;Rumanía;9
Ambos sexos;29002-Alcaucín;Total Europa No Comunitaria;13
Ambos sexos;29002-Alcaucín;Rusia;0
Ambos sexos;29002-Alcaucín;Ucrania;6
Ambos sexos;29002-Alcaucín;Total África;109
Ambos sexos;29002-Alcaucín;Argelia;0
Ambos sexos;29002-Alcaucín;Marruecos;104
Ambos sexos;29002-Alcaucín;Nigeria;0
Ambos sexos;29002-Alcaucín;Senegal;0
Ambos sexos;29002-Alcaucín;Total América;35
Ambos sexos;29002-Alcaucín;Argentina;9
Ambos sexos;29002-Alcaucín;Bolivia;4
Ambos sexos;29002-Alcaucín;Brasil;0
Ambos sexos;29002-Alcaucín;Colombia;3
Ambos sexos;29002-Alcaucín;Cuba;3
Ambos sexos;29002-Alcaucín;Chile;0
Ambos sexos;29002-Alcaucín;Ecuador;1
Ambos sexos;29002-Alcaucín;Paraguay;0
Ambos sexos;29002-Alcaucín;Perú;2
Ambos sexos;29002-Alcaucín;República Dominicana;1
Ambos sexos;29002-Alcaucín;Uruguay;0
Ambos sexos;29002-Alcaucín;Venezuela;0
Ambos sexos;29002-Alcaucín;Total Asia;21
Ambos sexos;29002-Alcaucín;China;6
Ambos sexos;29002-Alcaucín;Pakistán;7
Ambos sexos;29002-Alcaucín;Total Oceanía;0
Ambos sexos;29003-Alfarnate;Total Población;1.069
Ambos sexos;29003-Alfarnate;Nacidos en España;1.033
Ambos sexos;29003-Alfarnate;Nacidos en el Extranjero;36
Ambos sexos;29003-Alfarnate;Total Europa;4
Ambos sexos;29003-Alfarnate;Total Unión Europea;4
Ambos sexos;29003-Alfarnate;Alemania;0
Ambos sexos;29003-Alfarnate;Bulgaria;0
Ambos sexos;29003-Alfarnate;Francia;0
Ambos sexos;29003-Alfarnate;Italia;0
Ambos sexos;29003-Alfarnate;Polonia;1
Ambos sexos;29003-Alfarnate;Portugal;0
Ambos sexos;29003-Alfarnate;Reino Unido;2
Ambos sexos;29003-Alfarnate;Rumanía;0
Ambos sexos;29003-Alfarnate;Total Europa No Comunitaria;0
Ambos sexos;29003-Alfarnate;Rusia;0
Ambos sexos;29003-Alfarnate;Ucrania;0
Ambos sexos;29003-Alfarnate;Total África;27
Ambos sexos;29003-Alfarnate;Argelia;0
Ambos sexos;29003-Alfarnate;Marruecos;27
Ambos sexos;29003-Alfarnate;Nigeria;0
Ambos sexos;29003-Alfarnate;Senegal;0
Ambos sexos;29003-Alfarnate;Total América;4
Ambos sexos;29003-Alfarnate;Argentina;0
